run:      1; obh2 = 2.207E-02
 computational parameters:
   cy = 0.003/  ct = 0.000/  initial temp = 3.48E+02/  final temp = 1.00E-02/  smallest abundances allowed = 1.00E-25
 model parameters:
   g =  0.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00
it =    306

    temp        n/H          p          D/H         T/H        3He/H        4He        6Li/H       7Li/H       7Be/H
 5.624E-01   2.468E-01   8.020E-01   1.952E-12   1.433E-21   1.491E-21   1.738E-19   1.247E-25   1.247E-25   1.247E-25
 5.490E-01   2.441E-01   8.038E-01   2.050E-12   1.882E-21   1.916E-21   3.553E-19   1.244E-25   1.244E-25   1.244E-25
 5.338E-01   2.412E-01   8.057E-01   2.176E-12   2.613E-21   2.588E-21   7.202E-19   1.241E-25   1.241E-25   1.241E-25
 5.161E-01   2.377E-01   8.079E-01   2.350E-12   3.949E-21   3.778E-21   1.448E-18   1.238E-25   1.238E-25   1.238E-25
 4.953E-01   2.338E-01   8.105E-01   2.599E-12   6.711E-21   6.134E-21   2.887E-18   1.234E-25   1.234E-25   1.234E-25
 4.735E-01   2.297E-01   8.132E-01   2.927E-12   1.238E-20   1.072E-20   5.465E-18   1.230E-25   1.230E-25   1.230E-25
 4.527E-01   2.260E-01   8.157E-01   3.328E-12   2.368E-20   1.937E-20   9.811E-18   1.226E-25   1.226E-25   1.226E-25
 4.327E-01   2.225E-01   8.180E-01   3.823E-12   4.709E-20   3.618E-20   1.739E-17   1.223E-25   1.223E-25   1.223E-25
 4.141E-01   2.194E-01   8.201E-01   4.425E-12   9.607E-20   6.914E-20   3.080E-17   1.219E-25   1.219E-25   1.219E-25
 3.972E-01   2.166E-01   8.220E-01   5.125E-12   1.947E-19   1.312E-19   5.381E-17   1.217E-25   1.217E-25   1.217E-25
 3.820E-01   2.142E-01   8.236E-01   5.938E-12   3.914E-19   2.471E-19   9.335E-17   1.214E-25   1.214E-25   1.214E-25
 3.682E-01   2.120E-01   8.250E-01   6.878E-12   7.807E-19   4.619E-19   1.614E-16   1.212E-25   1.212E-25   1.212E-25
 3.556E-01   2.101E-01   8.263E-01   7.965E-12   1.545E-18   8.570E-19   2.785E-16   1.210E-25   1.210E-25   1.210E-25
 3.439E-01   2.084E-01   8.275E-01   9.220E-12   3.036E-18   1.579E-18   4.798E-16   1.208E-25   1.208E-25   1.208E-25
 3.332E-01   2.069E-01   8.286E-01   1.067E-11   5.923E-18   2.889E-18   8.260E-16   1.207E-25   1.207E-25   1.207E-25
 3.233E-01   2.055E-01   8.295E-01   1.234E-11   1.147E-17   5.252E-18   1.420E-15   1.205E-25   1.205E-25   1.205E-25
 3.142E-01   2.042E-01   8.304E-01   1.425E-11   2.206E-17   9.488E-18   2.439E-15   1.204E-25   1.204E-25   1.204E-25
 3.056E-01   2.030E-01   8.312E-01   1.646E-11   4.215E-17   1.703E-17   4.181E-15   1.203E-25   1.203E-25   1.203E-25
 2.976E-01   2.020E-01   8.320E-01   1.899E-11   8.000E-17   3.040E-17   7.154E-15   1.202E-25   1.202E-25   1.202E-25
 2.901E-01   2.010E-01   8.326E-01   2.190E-11   1.509E-16   5.394E-17   1.222E-14   1.201E-25   1.201E-25   1.201E-25
 2.831E-01   2.001E-01   8.333E-01   2.523E-11   2.828E-16   9.517E-17   2.082E-14   1.200E-25   1.200E-25   1.200E-25
 2.764E-01   1.992E-01   8.339E-01   2.904E-11   5.268E-16   1.670E-16   3.540E-14   1.199E-25   1.199E-25   1.199E-25
 2.702E-01   1.984E-01   8.344E-01   3.340E-11   9.757E-16   2.915E-16   6.005E-14   1.198E-25   1.198E-25   1.198E-25
 2.643E-01   1.976E-01   8.350E-01   3.838E-11   1.797E-15   5.060E-16   1.016E-13   1.198E-25   1.198E-25   1.198E-25
 2.587E-01   1.969E-01   8.355E-01   4.407E-11   3.290E-15   8.739E-16   1.714E-13   1.197E-25   1.197E-25   1.197E-25
 2.534E-01   1.963E-01   8.359E-01   5.056E-11   5.991E-15   1.502E-15   2.885E-13   1.196E-25   1.196E-25   1.196E-25
 2.484E-01   1.957E-01   8.364E-01   5.795E-11   1.085E-14   2.569E-15   4.843E-13   1.196E-25   1.196E-25   1.196E-25
 2.436E-01   1.951E-01   8.368E-01   6.638E-11   1.956E-14   4.372E-15   8.107E-13   1.195E-25   1.195E-25   1.195E-25
 2.391E-01   1.945E-01   8.372E-01   7.597E-11   3.507E-14   7.408E-15   1.354E-12   1.194E-25   1.194E-25   1.194E-25
 2.347E-01   1.939E-01   8.376E-01   8.688E-11   6.258E-14   1.249E-14   2.255E-12   1.194E-25   1.194E-25   1.194E-25
 2.306E-01   1.934E-01   8.379E-01   9.931E-11   1.111E-13   2.098E-14   3.747E-12   1.193E-25   1.193E-25   1.193E-25
 2.266E-01   1.929E-01   8.383E-01   1.135E-10   1.964E-13   3.508E-14   6.213E-12   1.193E-25   1.193E-25   1.193E-25
 2.228E-01   1.924E-01   8.386E-01   1.296E-10   3.457E-13   5.840E-14   1.028E-11   1.192E-25   1.192E-25   1.192E-25
 2.191E-01   1.920E-01   8.390E-01   1.481E-10   6.055E-13   9.680E-14   1.700E-11   1.192E-25   1.192E-25   1.192E-25
 2.155E-01   1.915E-01   8.393E-01   1.692E-10   1.056E-12   1.597E-13   2.807E-11   1.191E-25   1.191E-25   1.191E-25
 2.120E-01   1.910E-01   8.396E-01   1.936E-10   1.835E-12   2.624E-13   4.637E-11   1.191E-25   1.191E-25   1.191E-25
 2.086E-01   1.906E-01   8.399E-01   2.221E-10   3.174E-12   4.289E-13   7.677E-11   1.191E-25   1.191E-25   1.191E-25
 2.052E-01   1.901E-01   8.402E-01   2.558E-10   5.468E-12   6.971E-13   1.276E-10   1.190E-25   1.190E-25   1.190E-25
