
run:      1; obh2 = 2.207E-02
    Temp          D/H         T/H        3He/H       4He/H
   2.191E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.155E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.120E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.086E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.052E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.018E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.982E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.946E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.908E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.867E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.821E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.769E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.709E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.641E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.571E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.510E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.456E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.409E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.366E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.327E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.292E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.260E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.231E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.203E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.178E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.154E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.132E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.111E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.092E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.073E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.055E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.039E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.023E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.008E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.933E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.794E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.662E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.535E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.413E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.295E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.180E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.067E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.957E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.851E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.748E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.649E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.554E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.461E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.371E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.284E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.200E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.118E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.038E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.961E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.886E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.813E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.741E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.672E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.604E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.539E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.474E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.411E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.346E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.276E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.201E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.122E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.038E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.952E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.867E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.784E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.703E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.626E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.551E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.478E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.408E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.339E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.273E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.207E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.139E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.068E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.994E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.915E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.830E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.734E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.624E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.495E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.339E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.150E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.928E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.711E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.504E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.306E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.117E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.935E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.762E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.597E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.439E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.287E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.143E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.005E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.872E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.746E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.625E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.510E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.399E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.294E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.193E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.096E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.004E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.916E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.832E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.751E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.674E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.600E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.530E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.463E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.398E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.337E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.278E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.222E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.168E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.117E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.068E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.021E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.758E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
