
run:      1; obh2 = 2.207E-02
    Temp          D/H         T/H        3He/H       4He/H
   1.863E+00   1.035E-06   4.093E-06   5.353E-06   7.657E-09
   1.781E+00   1.213E-06   5.015E-06   6.640E-06   6.806E-09
   1.703E+00   1.441E-06   6.241E-06   8.371E-06   6.055E-09
   1.628E+00   1.736E-06   7.898E-06   1.074E-05   5.393E-09
   1.556E+00   2.124E-06   1.017E-05   1.402E-05   4.809E-09
   1.488E+00   2.640E-06   1.333E-05   1.866E-05   4.294E-09
   1.422E+00   3.337E-06   1.782E-05   2.532E-05   3.840E-09
   1.360E+00   4.291E-06   2.429E-05   3.509E-05   3.438E-09
   1.300E+00   5.620E-06   3.382E-05   4.968E-05   3.084E-09
   1.243E+00   7.504E-06   4.814E-05   7.198E-05   2.771E-09
   1.188E+00   1.022E-05   7.011E-05   1.068E-04   2.495E-09
   1.136E+00   1.422E-05   1.046E-04   1.625E-04   2.251E-09
   1.086E+00   2.024E-05   1.601E-04   2.538E-04   2.035E-09
   1.038E+00   2.947E-05   2.517E-04   4.075E-04   1.845E-09
   9.924E-01   4.397E-05   4.069E-04   6.735E-04   1.676E-09
   9.488E-01   6.731E-05   6.774E-04   1.147E-03   1.528E-09
   9.071E-01   1.059E-04   1.163E-03   2.018E-03   1.396E-09
   8.671E-01   1.712E-04   2.061E-03   3.669E-03   1.280E-09
   8.298E-01   2.821E-04   3.730E-03   6.814E-03   1.180E-09
   7.968E-01   4.586E-04   6.635E-03   1.243E-02   1.098E-09
   7.676E-01   7.350E-04   1.159E-02   2.224E-02   1.030E-09
   7.414E-01   1.162E-03   1.992E-02   3.911E-02   9.737E-10
   7.177E-01   1.816E-03   3.373E-02   6.769E-02   9.256E-10
   6.963E-01   2.805E-03   5.630E-02   1.155E-01   8.845E-10
   6.767E-01   4.289E-03   9.278E-02   1.942E-01   8.490E-10
   6.587E-01   6.492E-03   1.511E-01   3.227E-01   8.182E-10
   6.421E-01   9.737E-03   2.432E-01   5.298E-01   7.913E-10
   6.267E-01   1.448E-02   3.874E-01   8.603E-01   7.677E-10
   6.125E-01   2.135E-02   6.111E-01   1.382E+00   7.469E-10
   5.992E-01   3.125E-02   9.550E-01   2.000E+00   7.284E-10
   5.867E-01   4.541E-02   1.479E+00   2.000E+00   7.121E-10
   5.748E-01   6.609E-02   2.000E+00   2.000E+00   6.972E-10
   5.624E-01   9.930E-02   2.000E+00   2.000E+00   6.825E-10
   5.490E-01   1.578E-01   2.000E+00   2.000E+00   6.677E-10
   5.339E-01   2.747E-01   2.000E+00   2.000E+00   6.522E-10
   5.161E-01   5.500E-01   2.000E+00   2.000E+00   6.359E-10
   4.953E-01   1.334E+00   2.000E+00   2.000E+00   6.192E-10
   4.735E-01   2.000E+00   2.000E+00   2.000E+00   6.051E-10
   4.527E-01   2.000E+00   2.000E+00   2.000E+00   5.950E-10
   4.328E-01   2.000E+00   2.000E+00   2.000E+00   5.889E-10
   4.141E-01   2.000E+00   2.000E+00   2.000E+00   5.868E-10
   3.972E-01   2.000E+00   2.000E+00   2.000E+00   5.884E-10
   3.820E-01   2.000E+00   2.000E+00   2.000E+00   5.933E-10
   3.682E-01   2.000E+00   2.000E+00   2.000E+00   6.010E-10
   3.556E-01   2.000E+00   2.000E+00   2.000E+00   6.113E-10
   3.440E-01   2.000E+00   2.000E+00   2.000E+00   6.240E-10
   3.333E-01   2.000E+00   2.000E+00   2.000E+00   6.389E-10
   3.234E-01   2.000E+00   2.000E+00   2.000E+00   6.560E-10
   3.142E-01   2.000E+00   2.000E+00   2.000E+00   6.752E-10
   3.056E-01   2.000E+00   2.000E+00   2.000E+00   6.964E-10
   2.976E-01   2.000E+00   2.000E+00   2.000E+00   7.196E-10
   2.901E-01   2.000E+00   2.000E+00   2.000E+00   7.450E-10
   2.831E-01   2.000E+00   2.000E+00   2.000E+00   7.723E-10
   2.765E-01   2.000E+00   2.000E+00   2.000E+00   8.018E-10
   2.702E-01   2.000E+00   2.000E+00   2.000E+00   8.334E-10
   2.643E-01   2.000E+00   2.000E+00   2.000E+00   8.673E-10
   2.587E-01   2.000E+00   2.000E+00   2.000E+00   9.034E-10
   2.534E-01   2.000E+00   2.000E+00   2.000E+00   9.419E-10
   2.484E-01   2.000E+00   2.000E+00   2.000E+00   9.828E-10
   2.436E-01   2.000E+00   2.000E+00   2.000E+00   1.026E-09
   2.391E-01   2.000E+00   2.000E+00   2.000E+00   1.072E-09
   2.347E-01   2.000E+00   2.000E+00   2.000E+00   1.121E-09
   2.306E-01   2.000E+00   2.000E+00   2.000E+00   1.173E-09
   2.266E-01   2.000E+00   2.000E+00   2.000E+00   1.229E-09
   2.228E-01   2.000E+00   2.000E+00   2.000E+00   1.287E-09
   2.191E-01   2.000E+00   2.000E+00   2.000E+00   1.350E-09
   2.155E-01   2.000E+00   2.000E+00   2.000E+00   1.416E-09
   2.120E-01   2.000E+00   2.000E+00   2.000E+00   1.488E-09
   2.086E-01   2.000E+00   2.000E+00   2.000E+00   1.565E-09
   2.052E-01   2.000E+00   2.000E+00   2.000E+00   1.651E-09
   2.018E-01   2.000E+00   2.000E+00   2.000E+00   1.746E-09
   1.982E-01   2.000E+00   2.000E+00   2.000E+00   1.856E-09
   1.946E-01   2.000E+00   2.000E+00   2.000E+00   1.981E-09
   1.908E-01   2.000E+00   2.000E+00   2.000E+00   2.130E-09
   1.867E-01   2.000E+00   2.000E+00   2.000E+00   2.316E-09
   1.821E-01   2.000E+00   2.000E+00   2.000E+00   2.558E-09
   1.769E-01   2.000E+00   2.000E+00   2.000E+00   2.892E-09
   1.709E-01   2.000E+00   2.000E+00   2.000E+00   3.373E-09
   1.641E-01   2.000E+00   2.000E+00   2.000E+00   4.084E-09
   1.571E-01   2.000E+00   2.000E+00   2.000E+00   5.084E-09
   1.510E-01   2.000E+00   2.000E+00   2.000E+00   6.307E-09
   1.456E-01   2.000E+00   2.000E+00   2.000E+00   7.769E-09
   1.409E-01   2.000E+00   2.000E+00   2.000E+00   9.509E-09
   1.366E-01   2.000E+00   2.000E+00   2.000E+00   1.157E-08
   1.327E-01   2.000E+00   2.000E+00   2.000E+00   1.401E-08
   1.292E-01   2.000E+00   2.000E+00   2.000E+00   1.688E-08
   1.260E-01   2.000E+00   2.000E+00   2.000E+00   2.026E-08
   1.231E-01   2.000E+00   2.000E+00   2.000E+00   2.421E-08
   1.203E-01   2.000E+00   2.000E+00   2.000E+00   2.883E-08
   1.178E-01   2.000E+00   2.000E+00   2.000E+00   3.423E-08
   1.154E-01   2.000E+00   2.000E+00   2.000E+00   4.051E-08
   1.132E-01   2.000E+00   2.000E+00   2.000E+00   4.780E-08
   1.111E-01   2.000E+00   2.000E+00   2.000E+00   5.626E-08
   1.092E-01   2.000E+00   2.000E+00   2.000E+00   6.606E-08
   1.073E-01   2.000E+00   2.000E+00   2.000E+00   7.739E-08
   1.055E-01   2.000E+00   2.000E+00   2.000E+00   9.048E-08
   1.039E-01   2.000E+00   2.000E+00   2.000E+00   1.056E-07
   1.023E-01   2.000E+00   2.000E+00   2.000E+00   1.229E-07
   1.008E-01   2.000E+00   2.000E+00   2.000E+00   1.429E-07
   9.933E-02   2.000E+00   2.000E+00   2.000E+00   1.659E-07
   9.794E-02   2.000E+00   2.000E+00   2.000E+00   1.922E-07
   9.662E-02   2.000E+00   2.000E+00   2.000E+00   2.224E-07
   9.535E-02   2.000E+00   2.000E+00   2.000E+00   2.569E-07
   9.413E-02   2.000E+00   2.000E+00   2.000E+00   2.964E-07
   9.295E-02   2.000E+00   2.000E+00   2.000E+00   3.416E-07
   9.180E-02   2.000E+00   2.000E+00   2.000E+00   3.942E-07
   9.067E-02   2.000E+00   2.000E+00   2.000E+00   4.556E-07
   8.957E-02   2.000E+00   2.000E+00   2.000E+00   5.268E-07
   8.851E-02   2.000E+00   2.000E+00   2.000E+00   6.084E-07
   8.748E-02   2.000E+00   2.000E+00   2.000E+00   7.018E-07
   8.649E-02   2.000E+00   2.000E+00   2.000E+00   8.086E-07
   8.554E-02   2.000E+00   2.000E+00   2.000E+00   9.305E-07
   8.461E-02   2.000E+00   2.000E+00   2.000E+00   1.070E-06
   8.371E-02   2.000E+00   2.000E+00   2.000E+00   1.228E-06
   8.284E-02   2.000E+00   2.000E+00   2.000E+00   1.408E-06
   8.200E-02   2.000E+00   2.000E+00   2.000E+00   1.612E-06
   8.118E-02   2.000E+00   2.000E+00   2.000E+00   1.842E-06
   8.038E-02   2.000E+00   2.000E+00   2.000E+00   2.101E-06
   7.961E-02   2.000E+00   2.000E+00   2.000E+00   2.389E-06
   7.886E-02   2.000E+00   2.000E+00   2.000E+00   2.708E-06
   7.813E-02   2.000E+00   2.000E+00   2.000E+00   3.055E-06
   7.741E-02   2.000E+00   2.000E+00   2.000E+00   3.424E-06
   7.672E-02   2.000E+00   2.000E+00   2.000E+00   3.803E-06
   7.604E-02   2.000E+00   2.000E+00   2.000E+00   4.176E-06
   7.539E-02   2.000E+00   2.000E+00   2.000E+00   4.515E-06
   7.474E-02   2.000E+00   2.000E+00   2.000E+00   4.792E-06
   7.411E-02   2.000E+00   2.000E+00   2.000E+00   4.978E-06
   7.346E-02   2.000E+00   2.000E+00   2.000E+00   5.049E-06
   7.276E-02   2.000E+00   2.000E+00   2.000E+00   4.968E-06
   7.201E-02   2.000E+00   2.000E+00   2.000E+00   4.700E-06
   7.122E-02   2.000E+00   2.000E+00   2.000E+00   4.246E-06
   7.038E-02   2.000E+00   2.000E+00   2.000E+00   3.651E-06
   6.952E-02   2.000E+00   2.000E+00   2.000E+00   2.994E-06
   6.867E-02   2.000E+00   2.000E+00   2.000E+00   2.362E-06
   6.784E-02   2.000E+00   2.000E+00   2.000E+00   1.818E-06
   6.703E-02   2.000E+00   2.000E+00   2.000E+00   1.377E-06
   6.626E-02   2.000E+00   2.000E+00   2.000E+00   1.033E-06
   6.551E-02   2.000E+00   2.000E+00   2.000E+00   7.717E-07
   6.478E-02   2.000E+00   2.000E+00   2.000E+00   5.774E-07
   6.408E-02   2.000E+00   2.000E+00   2.000E+00   4.346E-07
   6.339E-02   2.000E+00   2.000E+00   2.000E+00   3.304E-07
   6.273E-02   2.000E+00   2.000E+00   2.000E+00   2.546E-07
   6.207E-02   2.000E+00   2.000E+00   2.000E+00   1.982E-07
   6.139E-02   2.000E+00   2.000E+00   2.000E+00   1.556E-07
   6.068E-02   2.000E+00   2.000E+00   2.000E+00   1.237E-07
   5.994E-02   2.000E+00   2.000E+00   2.000E+00   1.001E-07
   5.915E-02   2.000E+00   2.000E+00   2.000E+00   8.283E-08
   5.830E-02   2.000E+00   2.000E+00   2.000E+00   7.082E-08
   5.734E-02   2.000E+00   2.000E+00   2.000E+00   6.340E-08
   5.624E-02   2.000E+00   2.000E+00   2.000E+00   6.065E-08
   5.495E-02   2.000E+00   2.000E+00   2.000E+00   6.395E-08
   5.339E-02   2.000E+00   2.000E+00   2.000E+00   7.774E-08
   5.150E-02   2.000E+00   2.000E+00   2.000E+00   1.157E-07
   4.928E-02   2.000E+00   2.000E+00   2.000E+00   2.216E-07
   4.711E-02   2.000E+00   2.000E+00   2.000E+00   4.968E-07
   4.504E-02   2.000E+00   2.000E+00   2.000E+00   1.256E-06
   4.306E-02   2.000E+00   2.000E+00   2.000E+00   3.538E-06
   4.117E-02   2.000E+00   2.000E+00   2.000E+00   1.101E-05
   3.935E-02   2.000E+00   2.000E+00   2.000E+00   3.774E-05
   3.762E-02   2.000E+00   2.000E+00   2.000E+00   1.421E-04
   3.597E-02   2.000E+00   2.000E+00   2.000E+00   5.880E-04
   3.439E-02   2.000E+00   2.000E+00   2.000E+00   2.672E-03
   3.287E-02   2.000E+00   2.000E+00   2.000E+00   1.336E-02
   3.143E-02   2.000E+00   2.000E+00   2.000E+00   7.362E-02
   3.005E-02   2.000E+00   2.000E+00   2.000E+00   4.481E-01
   2.872E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.746E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.625E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.510E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.399E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.294E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.193E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.096E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.004E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.916E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.832E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.751E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.674E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.600E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.530E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.463E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.398E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.337E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.278E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.222E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.168E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.117E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.068E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.021E-02   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   9.758E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   9.328E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   8.918E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   8.526E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   8.151E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   7.792E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   7.449E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   7.122E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   6.808E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   6.509E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   6.223E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   5.949E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   5.687E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   5.437E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   5.198E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   4.969E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   4.751E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   4.542E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   4.342E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   4.151E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   3.968E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   3.794E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   3.627E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   3.467E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   3.315E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   3.169E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   3.029E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.896E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.769E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.647E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.531E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.419E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.313E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.211E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.114E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   2.021E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.932E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.847E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.766E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.688E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.614E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.543E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.475E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.410E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.348E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.289E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.232E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.178E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.126E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.076E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   1.029E-03   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   9.839E-04   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   9.406E-04   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   8.992E-04   2.000E+00   2.000E+00   2.000E+00   2.000E+00
   8.617E-04   2.000E+00   2.000E+00   2.000E+00   2.000E+00
