 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                al31          al32          al33          al34          al35          al36          al37          al38 
     56  3.217197145871E-02  9.638085E-16  2.393963E-18  4.034355E-20  1.218811E-23  7.860053E-26  8.151330E-30  1.000000E-30  1.000000E-30
     57  3.249951277145E-02  1.418541E-15  3.573552E-18  6.152904E-20  1.867633E-23  1.228561E-25  1.278879E-29  1.000000E-30  1.000000E-30
     58  3.262595809504E-02  1.640152E-15  4.154561E-18  7.213222E-20  2.193557E-23  1.454168E-25  1.515977E-29  1.000000E-30  1.000000E-30
     59  3.272641576722E-02  1.840735E-15  4.683087E-18  8.185195E-20  2.492831E-23  1.662803E-25  1.735528E-29  1.000000E-30  1.000000E-30
     60  3.304841700500E-02  2.641787E-15  6.816620E-18  1.217321E-19  3.725411E-23  2.535189E-25  2.656319E-29  1.000000E-30  1.000000E-30
     61  3.362823507679E-02  4.910682E-15  1.300132E-17  2.414690E-19  7.457035E-23  5.264520E-25  5.556282E-29  1.000000E-30  1.000000E-30
     62  3.417743618412E-02  8.571312E-15  2.326363E-17  4.487665E-19  1.398410E-22  1.023248E-24  1.087835E-28  1.000000E-30  1.000000E-30
     63  3.448472684867E-02  1.157884E-14  3.187155E-17  6.281836E-19  1.967695E-22  1.469537E-24  1.568898E-28  1.000000E-30  1.000000E-30
     64  3.459225947862E-02  1.285194E-14  3.555110E-17  7.060256E-19  2.215588E-22  1.666621E-24  1.781963E-28  1.000000E-30  1.000000E-30
     65  3.468161085917E-02  1.401587E-14  3.893072E-17  7.780319E-19  2.445293E-22  1.850485E-24  1.981009E-28  1.000000E-30  1.000000E-30
     66  3.501586344154E-02  1.930602E-14  5.446206E-17  1.114573E-18  3.523414E-22  2.727464E-24  2.933655E-28  1.000000E-30  1.000000E-30
     67  3.563385967804E-02  3.433004E-14  9.969016E-17  2.132808E-18  6.816990E-22  5.506660E-24  5.976458E-28  1.387748E-30  1.000000E-30
     68  3.619390900501E-02  5.690017E-14  1.697014E-16  3.782577E-18  1.221571E-21  1.026592E-23  1.123669E-27  2.731130E-30  1.000000E-30
     69  3.661379630041E-02  8.237301E-14  2.506919E-16  5.764280E-18  1.876357E-21  1.625096E-23  1.790406E-27  4.454059E-30  1.000000E-30
     70  3.704099468238E-02  1.192315E-13  3.704809E-16  8.795239E-18  2.886514E-21  2.578787E-23  2.860349E-27  7.289853E-30  1.000000E-30
     71  3.731378163516E-02  1.500865E-13  4.726304E-16  1.145352E-17  3.778939E-21  3.444396E-23  3.837260E-27  9.933301E-30  1.000000E-30
     72  3.757630769329E-02  1.863177E-13  5.943624E-16  1.469316E-17  4.872894E-21  4.528603E-23  5.066728E-27  1.331588E-29  1.000000E-30
     73  3.788075418501E-02  2.376807E-13  7.697403E-16  1.947585E-17  6.498241E-21  6.177763E-23  6.946626E-27  1.858219E-29  1.000000E-30
     74  3.819794660071E-02  3.034413E-13  9.983802E-16  2.588366E-17  8.691487E-21  8.462232E-23  9.565967E-27  2.606873E-29  1.000000E-30
     75  3.838080203158E-02  3.476707E-13  1.154434E-15  3.035465E-17  1.023066E-20  1.009951E-22  1.145207E-26  3.154666E-29  1.000000E-30
     76  3.859219912978E-02  4.056646E-13  1.361397E-15  3.638748E-17  1.231681E-20  1.235567E-22  1.406058E-26  3.921895E-29  1.000000E-30
     77  3.884096228080E-02  4.831114E-13  1.641804E-15  4.473959E-17  1.522134E-20  1.556210E-22  1.778479E-26  5.034503E-29  1.000000E-30
     78  3.907668434759E-02  5.659954E-13  1.946616E-15  5.403166E-17  1.847242E-20  1.923076E-22  2.206681E-26  6.335181E-29  1.000000E-30
