 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                h2            h3            he3           li6           li7           li8           li9           be7  
     30  6.636115041812E-03  2.445429E-05  4.250465E-07  1.806632E-08  8.755474E-12  4.412912E-13  3.201849E-17  1.759657E-19  6.341090E-15
     31  7.490864585256E-03  2.394392E-05  4.412052E-07  1.815016E-08  1.065911E-11  5.709551E-13  4.164405E-17  1.753810E-19  7.864523E-15
     32  8.026631019591E-03  2.354734E-05  4.506509E-07  1.810772E-08  1.198306E-11  6.668856E-13  4.879097E-17  1.750154E-19  8.918244E-15
     33  8.451616658664E-03  2.318872E-05  4.576858E-07  1.801721E-08  1.309977E-11  7.515076E-13  5.510996E-17  1.747260E-19  9.798705E-15
     34  9.803471762980E-03  2.179918E-05  4.770673E-07  1.739264E-08  1.694056E-11  1.070705E-12  7.904738E-17  1.738087E-19  1.273115E-14
     35  1.116687552369E-02  2.002039E-05  4.910592E-07  1.623076E-08  2.105616E-11  1.468040E-12  1.090105E-16  1.728883E-19  1.558001E-14
     36  1.219012310682E-02  1.847651E-05  4.977001E-07  1.505193E-08  2.407811E-11  1.807866E-12  1.347612E-16  1.722008E-19  1.734962E-14
     37  1.314647137106E-02  1.691629E-05  5.011311E-07  1.377217E-08  2.668647E-11  2.148574E-12  1.607000E-16  1.715607E-19  1.852943E-14
     38  1.431720408173E-02  1.490521E-05  5.020607E-07  1.204928E-08  2.944014E-11  2.584053E-12  1.940602E-16  1.707803E-19  1.919543E-14
     39  1.545287753035E-02  1.293261E-05  5.006825E-07  1.033156E-08  3.151862E-11  3.012035E-12  2.271644E-16  1.700267E-19  1.898054E-14
     40  1.716820108076E-02  1.003978E-05  4.963844E-07  7.827796E-09  3.349418E-11  3.650121E-12  2.773743E-16  1.688948E-19  1.722122E-14
     41  1.871872199221E-02  7.657833E-06  4.934152E-07  5.831589E-09  3.419822E-11  4.212007E-12  3.228599E-16  1.678781E-19  1.461547E-14
     42  2.131412024987E-02  4.426491E-06  4.993333E-07  3.281820E-09  3.388129E-11  5.167107E-12  4.039697E-16  1.661900E-19  9.652312E-15
     43  2.288535686070E-02  2.980432E-06  5.138975E-07  2.206943E-09  3.329841E-11  5.812633E-12  4.615113E-16  1.651762E-19  6.954133E-15
     44  2.437102778700E-02  1.952238E-06  5.371218E-07  1.462611E-09  3.270821E-11  6.512537E-12  5.259236E-16  1.642234E-19  4.845440E-15
     45  2.666254430666E-02  9.179191E-07  5.899378E-07  7.133363E-10  3.176164E-11  7.801294E-12  6.492834E-16  1.627645E-19  2.499235E-15
     46  2.807329513827E-02  5.335496E-07  6.258273E-07  4.231628E-10  3.085706E-11  8.658383E-12  7.356031E-16  1.618728E-19  1.521383E-15
     47  2.946719119355E-02  2.915604E-07  6.497641E-07  2.305617E-10  2.917591E-11  9.363066E-12  8.128363E-16  1.609965E-19  8.467470E-16
     48  2.982466835475E-02  2.471095E-07  6.514219E-07  1.938365E-10  2.853210E-11  9.481158E-12  8.278076E-16  1.607726E-19  7.154137E-16
     49  3.017238950627E-02  2.100082E-07  6.506477E-07  1.628227E-10  2.780863E-11  9.560923E-12  8.394834E-16  1.605550E-19  6.037516E-16
     50  3.052509122072E-02  1.780055E-07  6.472401E-07  1.358207E-10  2.697634E-11  9.602362E-12  8.480041E-16  1.603347E-19  5.059365E-16
     51  3.066477686677E-02  1.667640E-07  6.451353E-07  1.262873E-10  2.662026E-11  9.607206E-12  8.503891E-16  1.602475E-19  4.712602E-16
     52  3.080037159611E-02  1.564355E-07  6.425513E-07  1.174999E-10  2.625582E-11  9.603626E-12  8.519830E-16  1.601629E-19  4.392192E-16
     53  3.111325257314E-02  1.350350E-07  6.348671E-07  9.924769E-11  2.536002E-11  9.568376E-12  8.532935E-16  1.599679E-19  3.724377E-16
     54  3.147800645819E-02  1.141560E-07  6.232852E-07  8.143940E-11  2.424197E-11  9.485026E-12  8.510672E-16  1.597408E-19  3.069704E-16
     55  3.181357346897E-02  9.827011E-08  6.104773E-07  6.794469E-11  2.316350E-11  9.372551E-12  8.457811E-16  1.595322E-19  2.571346E-16
     56  3.217197145871E-02  8.423660E-08  5.949718E-07  5.612140E-11  2.198208E-11  9.220715E-12  8.372039E-16  1.593097E-19  2.132899E-16
     57  3.249951277145E-02  7.359656E-08  5.795513E-07  4.726490E-11  2.089428E-11  9.058974E-12  8.271851E-16  1.591066E-19  1.803196E-16
     58  3.262595809504E-02  6.996015E-08  5.733432E-07  4.426838E-11  2.047516E-11  8.991583E-12  8.228362E-16  1.590283E-19  1.691362E-16
     59  3.272641576722E-02  6.718651E-08  5.681533E-07  4.199278E-11  2.013712E-11  8.933615E-12  8.189623E-16  1.589661E-19  1.606294E-16
     60  3.304841700500E-02  5.921062E-08  5.510822E-07  3.552475E-11  1.906315E-11  8.738406E-12  8.055909E-16  1.587669E-19  1.363966E-16
     61  3.362823507679E-02  4.776405E-08  5.194570E-07  2.650786E-11  1.719463E-11  8.362786E-12  7.788980E-16  1.584089E-19  1.024611E-16
     62  3.417743618412E-02  3.953855E-08  4.895328E-07  2.030896E-11  1.553656E-11  7.995367E-12  7.520220E-16  1.580704E-19  7.900063E-17
     63  3.448472684867E-02  3.577472E-08  4.731278E-07  1.757997E-11  1.466461E-11  7.790157E-12  7.367912E-16  1.578814E-19  6.862903E-17
     64  3.459225947862E-02  3.456318E-08  4.673750E-07  1.671835E-11  1.436649E-11  7.717280E-12  7.313206E-16  1.578153E-19  6.534697E-17
     65  3.468161085917E-02  3.358781E-08  4.625452E-07  1.603085E-11  1.412013E-11  7.655565E-12  7.266489E-16  1.577604E-19  6.272497E-17
     66  3.501586344154E-02  3.025620E-08  4.447743E-07  1.373175E-11  1.323030E-11  7.426803E-12  7.092399E-16  1.575552E-19  5.393903E-17
     67  3.563385967804E-02  2.521772E-08  4.135617E-07  1.042281E-11  1.172309E-11  7.019968E-12  6.780478E-16  1.571765E-19  4.123928E-17
     68  3.619390900501E-02  2.165732E-08  3.876898E-07  8.233010E-12  1.051691E-11  6.680138E-12  6.519782E-16  1.568341E-19  3.279161E-17
     69  3.661379630041E-02  1.947146E-08  3.698712E-07  6.960950E-12  9.706330E-12  6.445532E-12  6.340578E-16  1.565778E-19  2.786429E-17
     70  3.704099468238E-02  1.759211E-08  3.531502E-07  5.916929E-12  8.958700E-12  6.225684E-12  6.174001E-16  1.563176E-19  2.380717E-17
     71  3.731378163516E-02  1.657184E-08  3.435758E-07  5.371570E-12  8.528491E-12  6.101961E-12  6.082819E-16  1.561516E-19  2.168437E-17
     72  3.757630769329E-02  1.571234E-08  3.352731E-07  4.924629E-12  8.149674E-12  5.997277E-12  6.008575E-16  1.559921E-19  1.994372E-17
     73  3.788075418501E-02  1.485649E-08  3.268616E-07  4.491433E-12  7.753714E-12  5.895723E-12  5.941527E-16  1.558073E-19  1.825723E-17
     74  3.819794660071E-02  1.411527E-08  3.195884E-07  4.126080E-12  7.390262E-12  5.814983E-12  5.896236E-16  1.556149E-19  1.683770E-17
     75  3.838080203158E-02  1.375333E-08  3.161168E-07  3.950999E-12  7.202995E-12  5.780876E-12  5.882524E-16  1.555042E-19  1.615974E-17
     76  3.859219912978E-02  1.338126E-08  3.125935E-07  3.772890E-12  7.002079E-12  5.749945E-12  5.875228E-16  1.553762E-19  1.547187E-17
     77  3.884096228080E-02  1.301957E-08  3.094291E-07  3.601731E-12  6.792919E-12  5.731129E-12  5.884611E-16  1.552258E-19  1.481593E-17
     78  3.907668434759E-02  1.275006E-08  3.074479E-07  3.475210E-12  6.621434E-12  5.731890E-12  5.912754E-16  1.550833E-19  1.433783E-17
     79  3.934936577490E-02  1.252399E-08  3.064347E-07  3.369231E-12  6.454660E-12  5.756638E-12  5.970381E-16  1.549187E-19  1.394847E-17
     80  3.961640452516E-02  1.238916E-08  3.068174E-07  3.305184E-12  6.323279E-12  5.807092E-12  6.054744E-16  1.547577E-19  1.372972E-17
     81  3.991996766101E-02  1.233862E-08  3.089760E-07  3.278659E-12  6.211338E-12  5.898062E-12  6.186985E-16  1.545749E-19  1.367234E-17
     82  4.019473378510E-02  1.238840E-08  3.125989E-07  3.297400E-12  6.143842E-12  6.013664E-12  6.343139E-16  1.544096E-19  1.379900E-17
     83  4.046928694587E-02  1.253071E-08  3.178573E-07  3.357579E-12  6.107390E-12  6.162564E-12  6.536297E-16  1.542446E-19  1.410064E-17
     84  4.074955599116E-02  1.278215E-08  3.251336E-07  3.467563E-12  6.104097E-12  6.354071E-12  6.777821E-16  1.540764E-19  1.461551E-17
     85  4.099011663524E-02  1.309462E-08  3.331235E-07  3.607564E-12  6.130586E-12  6.555052E-12  7.026552E-16  1.539321E-19  1.525328E-17
     86  4.118445936105E-02  1.341981E-08  3.408755E-07  3.756155E-12  6.172738E-12  6.744992E-12  7.258943E-16  1.538156E-19  1.592190E-17
     87  4.137235583218E-02  1.380313E-08  3.495766E-07  3.934608E-12  6.232008E-12  6.954538E-12  7.513366E-16  1.537031E-19  1.671945E-17
     88  4.152714488067E-02  1.417497E-08  3.577047E-07  4.110875E-12  6.295076E-12  7.147968E-12  7.746981E-16  1.536105E-19  1.750402E-17
     89  4.165981986900E-02  1.453768E-08  3.654078E-07  4.285666E-12  6.359728E-12  7.329845E-12  7.965878E-16  1.535312E-19  1.828017E-17
     90  4.188596337322E-02  1.525868E-08  3.802064E-07  4.641087E-12  6.493158E-12  7.676625E-12  8.381897E-16  1.533960E-19  1.985535E-17
     91  4.208159634323E-02  1.599863E-08  3.948259E-07  5.016440E-12  6.633007E-12  8.017049E-12  8.789255E-16  1.532792E-19  2.151682E-17
     92  4.230932596557E-02  1.701317E-08  4.141144E-07  5.547572E-12  6.825016E-12  8.464436E-12  9.323920E-16  1.531434E-19  2.386704E-17
     93  4.251598135750E-02  1.809398E-08  4.338606E-07  6.133457E-12  7.026894E-12  8.921510E-12  9.870026E-16  1.530202E-19  2.646042E-17
     94  4.274368410830E-02  1.947935E-08  4.581724E-07  6.913393E-12  7.279146E-12  9.484196E-12  1.054288E-15  1.528845E-19  2.991600E-17
     95  4.294191711445E-02  2.086689E-08  4.815534E-07  7.725585E-12  7.523128E-12  1.002611E-11  1.119201E-15  1.527666E-19  3.351943E-17
     96  4.316569238790E-02  2.265326E-08  5.104192E-07  8.814458E-12  7.823898E-12  1.069699E-11  1.199765E-15  1.526335E-19  3.835883E-17
     97  4.339365876136E-02  2.472880E-08  5.424403E-07  1.013723E-11  8.154803E-12  1.144442E-11  1.289834E-15  1.524981E-19  4.425082E-17
     98  4.362382833621E-02  2.709711E-08  5.772614E-07  1.171754E-11  8.509326E-12  1.226187E-11  1.388774E-15  1.523615E-19  5.130815E-17
     99  4.384703699487E-02  2.965772E-08  6.131401E-07  1.350572E-11  8.867059E-12  1.311003E-11  1.491960E-15  1.522291E-19  5.931690E-17
    100  4.408801045744E-02  3.270037E-08  6.537403E-07  1.573065E-11  9.260562E-12  1.407810E-11  1.610464E-15  1.520863E-19  6.931480E-17
    101  4.430336182063E-02  3.564036E-08  6.911827E-07  1.797677E-11  9.611060E-12  1.497978E-11  1.721609E-15  1.519588E-19  7.944436E-17
    102  4.453208602613E-02  3.893204E-08  7.313962E-07  2.059605E-11  9.971402E-12  1.595948E-11  1.843332E-15  1.518235E-19  9.130419E-17
    103  4.474836808964E-02  4.212137E-08  7.689902E-07  2.323243E-11  1.028954E-11  1.688837E-11  1.959832E-15  1.516957E-19  1.032969E-16
    104  4.497736119052E-02  4.546580E-08  8.073604E-07  2.609420E-11  1.059051E-11  1.785290E-11  2.082163E-15  1.515605E-19  1.163869E-16
    105  4.517199675598E-02  4.817992E-08  8.380424E-07  2.848527E-11  1.080857E-11  1.863991E-11  2.183257E-15  1.514457E-19  1.273938E-16
    106  4.536038532241E-02  5.060398E-08  8.654401E-07  3.066918E-11  1.098033E-11  1.935876E-11  2.276877E-15  1.513346E-19  1.375200E-16
    107  4.552484255766E-02  5.249661E-08  8.871377E-07  3.240397E-11  1.109534E-11  1.994290E-11  2.354112E-15  1.512377E-19  1.456326E-16
    108  4.581275722245E-02  5.518471E-08  9.194815E-07  3.490620E-11  1.121422E-11  2.085121E-11  2.477077E-15  1.510683E-19  1.575135E-16
    109  4.603616864208E-02  5.665119E-08  9.392998E-07  3.628457E-11  1.123399E-11  2.144616E-11  2.560448E-15  1.509369E-19  1.642521E-16
    110  4.624194314299E-02  5.750062E-08  9.534234E-07  3.707873E-11  1.119894E-11  2.190618E-11  2.627407E-15  1.508160E-19  1.683403E-16
    111  4.641297951594E-02  5.786006E-08  9.623280E-07  3.740391E-11  1.113495E-11  2.222727E-11  2.676142E-15  1.507156E-19  1.702338E-16
    112  4.656990459822E-02  5.793301E-08  9.683821E-07  3.745189E-11  1.105137E-11  2.247552E-11  2.715574E-15  1.506235E-19  1.708379E-16
    113  4.671253119976E-02  5.780506E-08  9.722576E-07  3.730579E-11  1.095706E-11  2.266511E-11  2.747280E-15  1.505399E-19  1.705230E-16
    114  4.684580987606E-02  5.753536E-08  9.745916E-07  3.702308E-11  1.085500E-11  2.281348E-11  2.773583E-15  1.504618E-19  1.695585E-16
    115  4.697520204195E-02  5.715001E-08  9.757669E-07  3.662918E-11  1.074461E-11  2.293289E-11  2.796260E-15  1.503860E-19  1.680709E-16
    116  4.709649788536E-02  5.669107E-08  9.759756E-07  3.616640E-11  1.063227E-11  2.302447E-11  2.815143E-15  1.503150E-19  1.662417E-16
    117  4.721637454993E-02  5.615600E-08  9.754063E-07  3.563211E-11  1.051391E-11  2.309713E-11  2.831713E-15  1.502448E-19  1.640736E-16
    118  4.732862910872E-02  5.559065E-08  9.742335E-07  3.507218E-11  1.039732E-11  2.315031E-11  2.845480E-15  1.501791E-19  1.617616E-16
    119  4.750539400184E-02  5.459367E-08  9.712577E-07  3.409416E-11  1.020422E-11  2.320752E-11  2.864015E-15  1.500758E-19  1.576605E-16
    120  4.767210524850E-02  5.355559E-08  9.673309E-07  3.308696E-11  1.001345E-11  2.323479E-11  2.878316E-15  1.499784E-19  1.533802E-16
    121  4.783406579930E-02  5.247583E-08  9.626055E-07  3.205055E-11  9.821846E-12  2.323922E-11  2.889560E-15  1.498838E-19  1.489326E-16
    122  4.799263518131E-02  5.136523E-08  9.572066E-07  3.099611E-11  9.629581E-12  2.322453E-11  2.898264E-15  1.497913E-19  1.443726E-16
    123  4.815339657435E-02  5.019323E-08  9.509938E-07  2.989610E-11  9.430627E-12  2.319115E-11  2.904827E-15  1.496976E-19  1.395831E-16
    124  4.832264594384E-02  4.892904E-08  9.438069E-07  2.872396E-11  9.218627E-12  2.313940E-11  2.909688E-15  1.495990E-19  1.344502E-16
    125  4.849826454798E-02  4.759620E-08  9.357386E-07  2.750450E-11  8.996992E-12  2.306962E-11  2.912728E-15  1.494967E-19  1.290814E-16
    126  4.867786870736E-02  4.622166E-08  9.269286E-07  2.626471E-11  8.769601E-12  2.298313E-11  2.913930E-15  1.493922E-19  1.235960E-16
    127  4.885872256535E-02  4.483506E-08  9.175632E-07  2.503270E-11  8.540777E-12  2.288222E-11  2.913377E-15  1.492870E-19  1.181198E-16
    128  4.903755607841E-02  4.346887E-08  9.078803E-07  2.383757E-11  8.315392E-12  2.277021E-11  2.911249E-15  1.491831E-19  1.127845E-16
    129  4.921259737621E-02  4.214206E-08  8.980502E-07  2.269512E-11  8.096221E-12  2.264997E-11  2.907770E-15  1.490814E-19  1.076639E-16
    130  4.938368810460E-02  4.085938E-08  8.881482E-07  2.160816E-11  7.883820E-12  2.252322E-11  2.903141E-15  1.489821E-19  1.027737E-16
    131  4.955132280349E-02  3.961937E-08  8.781999E-07  2.057411E-11  7.677809E-12  2.239095E-11  2.897510E-15  1.488849E-19  9.810499E-17
    132  4.971624312404E-02  3.841796E-08  8.682036E-07  1.958833E-11  7.477437E-12  2.225364E-11  2.890978E-15  1.487893E-19  9.363917E-17
    133  4.987811857735E-02  3.725829E-08  8.582138E-07  1.865219E-11  7.283196E-12  2.211242E-11  2.883666E-15  1.486955E-19  8.938440E-17
    134  5.003799836445E-02  3.612806E-08  8.481285E-07  1.775487E-11  7.093333E-12  2.196547E-11  2.875396E-15  1.486030E-19  8.529240E-17
    135  5.019682549602E-02  3.502603E-08  8.379707E-07  1.689442E-11  6.907321E-12  2.181395E-11  2.866378E-15  1.485111E-19  8.135643E-17
    136  5.035511419132E-02  3.394953E-08  8.277314E-07  1.606802E-11  6.724684E-12  2.165795E-11  2.856650E-15  1.484196E-19  7.756481E-17
    137  5.051299755300E-02  3.289801E-08  8.174173E-07  1.527459E-11  6.545339E-12  2.149767E-11  2.846242E-15  1.483284E-19  7.391358E-17
    138  5.067010535678E-02  3.187406E-08  8.070664E-07  1.451536E-11  6.369751E-12  2.133382E-11  2.835213E-15  1.482377E-19  7.040940E-17
    139  5.082726902819E-02  3.087230E-08  7.966354E-07  1.378565E-11  6.197025E-12  2.116577E-11  2.823532E-15  1.481470E-19  6.703164E-17
    140  5.098506829486E-02  2.988921E-08  7.860945E-07  1.308241E-11  6.026584E-12  2.099308E-11  2.811169E-15  1.480560E-19  6.376687E-17
    141  5.114361869269E-02  2.892430E-08  7.754429E-07  1.240484E-11  5.858364E-12  2.081570E-11  2.798120E-15  1.479646E-19  6.061204E-17
    142  5.130328078870E-02  2.797557E-08  7.646619E-07  1.175114E-11  5.692047E-12  2.063329E-11  2.784352E-15  1.478726E-19  5.755937E-17
    143  5.146205644840E-02  2.705462E-08  7.538912E-07  1.112871E-11  5.529714E-12  2.044821E-11  2.770040E-15  1.477812E-19  5.464416E-17
    144  5.162089365231E-02  2.615540E-08  7.430703E-07  1.053275E-11  5.370356E-12  2.025940E-11  2.755101E-15  1.476898E-19  5.184466E-17
    145  5.177902725711E-02  2.528163E-08  7.322537E-07  9.965063E-12  5.214695E-12  2.006781E-11  2.739603E-15  1.475989E-19  4.917004E-17
    146  5.193558292952E-02  2.443410E-08  7.214514E-07  9.425476E-12  5.063127E-12  1.987316E-11  2.723445E-15  1.475090E-19  4.661996E-17
    147  5.207655208218E-02  2.368764E-08  7.116804E-07  8.959368E-12  4.929033E-12  1.969456E-11  2.708319E-15  1.474280E-19  4.441087E-17
    148  5.220437120847E-02  2.302467E-08  7.027926E-07  8.552700E-12  4.809436E-12  1.953006E-11  2.694150E-15  1.473547E-19  4.247856E-17
    149  5.240275279905E-02  2.202120E-08  6.889443E-07  7.950541E-12  4.627503E-12  1.926984E-11  2.671279E-15  1.472409E-19  3.960841E-17
    150  5.258707116153E-02  2.111588E-08  6.760207E-07  7.421330E-12  4.462427E-12  1.902270E-11  2.649059E-15  1.471352E-19  3.707666E-17
    151  5.276353482958E-02  2.027277E-08  6.635937E-07  6.940794E-12  4.307887E-12  1.878107E-11  2.626872E-15  1.470341E-19  3.476972E-17
    152  5.293536770993E-02  1.947335E-08  6.514407E-07  6.496379E-12  4.160633E-12  1.854097E-11  2.604384E-15  1.469358E-19  3.262892E-17
    153  5.310288915571E-02  1.871395E-08  6.395412E-07  6.084544E-12  4.020088E-12  1.830220E-11  2.581591E-15  1.468400E-19  3.063846E-17
    154  5.325369291828E-02  1.804689E-08  6.287900E-07  5.731237E-12  3.896094E-12  1.808337E-11  2.560345E-15  1.467538E-19  2.892555E-17
    155  5.339308966526E-02  1.744401E-08  6.188179E-07  5.418867E-12  3.783581E-12  1.787775E-11  2.540073E-15  1.466741E-19  2.740681E-17
    156  5.362726198018E-02  1.646081E-08  6.020076E-07  4.923871E-12  3.599131E-12  1.752548E-11  2.504690E-15  1.465404E-19  2.499143E-17
    157  5.383816121000E-02  1.560569E-08  5.867930E-07  4.508208E-12  3.437746E-12  1.720044E-11  2.471316E-15  1.464201E-19  2.295441E-17
    158  5.403768730975E-02  1.482399E-08  5.723682E-07  4.140640E-12  3.289319E-12  1.688709E-11  2.438543E-15  1.463064E-19  2.114604E-17
    159  5.422986619970E-02  1.409854E-08  5.585168E-07  3.810341E-12  3.150599E-12  1.658193E-11  2.406148E-15  1.461970E-19  1.951520E-17
    160  5.440569294967E-02  1.345962E-08  5.459312E-07  3.528188E-12  3.027520E-12  1.630138E-11  2.376016E-15  1.460969E-19  1.811755E-17
    161  5.456994612052E-02  1.288499E-08  5.342856E-07  3.281589E-12  2.915986E-12  1.603922E-11  2.347592E-15  1.460035E-19  1.689246E-17
    162  5.485681963417E-02  1.193555E-08  5.143386E-07  2.889257E-12  2.729628E-12  1.558538E-11  2.297931E-15  1.458405E-19  1.493629E-17
    163  5.511708850657E-02  1.113607E-08  4.968142E-07  2.573903E-12  2.570262E-12  1.518252E-11  2.253510E-15  1.456927E-19  1.335736E-17
    164  5.536560227933E-02  1.042862E-08  4.807216E-07  2.306606E-12  2.426993E-12  1.481016E-11  2.212334E-15  1.455518E-19  1.201420E-17
    165  5.559867087093E-02  9.814279E-09  4.662793E-07  2.083641E-12  2.300579E-12  1.447477E-11  2.175283E-15  1.454198E-19  1.089019E-17
    166  5.582344501454E-02  9.263612E-09  4.529341E-07  1.891253E-12  2.185581E-12  1.416398E-11  2.141005E-15  1.452926E-19  9.917430E-18
    167  5.608267729631E-02  8.677645E-09  4.382970E-07  1.694476E-12  2.061217E-12  1.382275E-11  2.103554E-15  1.451460E-19  8.919490E-18
    168  5.632179590432E-02  8.180170E-09  4.254936E-07  1.534001E-12  1.953904E-12  1.352423E-11  2.071007E-15  1.450109E-19  8.103175E-18
    169  5.658568452696E-02  7.673842E-09  4.120722E-07  1.377085E-12  1.843015E-12  1.321115E-11  2.037097E-15  1.448619E-19  7.302498E-18
    170  5.682194908758E-02  7.254077E-09  4.006173E-07  1.252040E-12  1.749829E-12  1.294363E-11  2.008284E-15  1.447287E-19  6.662433E-18
    171  5.707748662895E-02  6.831323E-09  3.887453E-07  1.130872E-12  1.654880E-12  1.266567E-11  1.978454E-15  1.445848E-19  6.040231E-18
    172  5.730159219632E-02  6.484179E-09  3.787182E-07  1.035046E-12  1.576141E-12  1.243002E-11  1.953205E-15  1.444586E-19  5.546573E-18
    173  5.769211250520E-02  5.924336E-09  3.619426E-07  8.877179E-13  1.447884E-12  1.203283E-11  1.910545E-15  1.442391E-19  4.784341E-18
    174  5.804755660481E-02  5.457520E-09  3.472964E-07  7.719097E-13  1.339916E-12  1.168184E-11  1.872542E-15  1.440396E-19  4.181905E-18
    175  5.837706807704E-02  5.057453E-09  3.342019E-07  6.779186E-13  1.246670E-12  1.136422E-11  1.837846E-15  1.438549E-19  3.690456E-18
    176  5.868213309337E-02  4.712316E-09  3.224500E-07  6.008495E-13  1.165737E-12  1.107566E-11  1.806010E-15  1.436841E-19  3.285541E-18
    177  5.897372529375E-02  4.403239E-09  3.115248E-07  5.350768E-13  1.092894E-12  1.080412E-11  1.775734E-15  1.435211E-19  2.938393E-18
    178  5.927019313219E-02  4.108347E-09  3.007080E-07  4.752528E-13  1.023080E-12  1.053193E-11  1.745048E-15  1.433555E-19  2.621209E-18
    179  5.955970264735E-02  3.837691E-09  2.904035E-07  4.229267E-13  9.587586E-13  1.026923E-11  1.715066E-15  1.431940E-19  2.342510E-18
