 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                hg197         hg198         hg199         hg200         hg201         hg202         hg203         hg204
    100  4.408801045744E-02  1.139919E-28  1.182513E-28  1.313789E-28  7.963693E-29  5.509780E-29  1.628992E-29  6.477465E-30  1.034640E-30
    101  4.430336182063E-02  1.078597E-28  1.145100E-28  1.304500E-28  8.146563E-29  5.807937E-29  1.788226E-29  7.422221E-30  1.212743E-30
    102  4.453208602613E-02  1.240244E-28  1.360024E-28  1.592379E-28  1.019813E-28  7.414056E-29  2.302292E-29  9.587593E-30  1.599548E-30
    103  4.474836808964E-02  1.250855E-28  1.424678E-28  1.730953E-28  1.154525E-28  8.718315E-29  2.833652E-29  1.173612E-29  2.001969E-30
    104  4.497736119052E-02  1.426883E-28  1.685596E-28  2.119066E-28  1.464263E-28  1.140726E-28  3.832577E-29  1.646662E-29  2.887908E-30
    105  4.517199675598E-02  1.231314E-28  1.458268E-28  1.841326E-28  1.281176E-28  1.006853E-28  3.439904E-29  1.537652E-29  2.878054E-30
    106  4.536038532241E-02  1.263597E-28  1.543681E-28  2.003959E-28  1.432729E-28  1.151231E-28  4.000071E-29  1.776063E-29  3.294142E-30
    107  4.552484255766E-02  1.186284E-28  1.508485E-28  2.039358E-28  1.528396E-28  1.285392E-28  4.751672E-29  2.250246E-29  4.360228E-30
    108  4.581275722245E-02  2.168102E-28  2.788045E-28  3.782121E-28  2.825432E-28  2.360913E-28  8.590251E-29  3.990810E-29  7.827542E-30
    109  4.603616864208E-02  1.833099E-28  2.528626E-28  3.679353E-28  2.972325E-28  2.666678E-28  1.051205E-28  5.263756E-29  1.079417E-29
    110  4.624194314299E-02  1.714610E-28  2.409627E-28  3.590586E-28  2.993354E-28  2.775541E-28  1.138346E-28  5.884137E-29  1.244611E-29
    111  4.641297951594E-02  1.488985E-28  2.141826E-28  3.253065E-28  2.761917E-28  2.596993E-28  1.075967E-28  5.585514E-29  1.194861E-29
    112  4.656990459822E-02  1.396536E-28  2.034820E-28  3.126464E-28  2.684168E-28  2.550687E-28  1.073466E-28  5.679917E-29  1.229933E-29
    113  4.671253119976E-02  1.293341E-28  1.916800E-28  2.989696E-28  2.605164E-28  2.505066E-28  1.066518E-28  5.706938E-29  1.251870E-29
    114  4.684580987606E-02  1.235975E-28  1.862296E-28  2.947398E-28  2.605951E-28  2.536392E-28  1.091269E-28  5.897820E-29  1.317948E-29
    115  4.697520204195E-02  1.226748E-28  1.876634E-28  3.010765E-28  2.699050E-28  2.658118E-28  1.156992E-28  6.305006E-29  1.440631E-29
    116  4.709649788536E-02  1.168952E-28  1.817525E-28  2.960182E-28  2.695870E-28  2.691641E-28  1.188452E-28  6.554605E-29  1.522486E-29
    117  4.721637454993E-02  1.172408E-28  1.849383E-28  3.051521E-28  2.816512E-28  2.844712E-28  1.271262E-28  7.073198E-29  1.680883E-29
    118  4.732862910872E-02  1.118802E-28  1.793384E-28  3.003509E-28  2.815901E-28  2.883096E-28  1.306967E-28  7.362209E-29  1.771727E-29
    119  4.750539400184E-02  1.795485E-28  2.951071E-28  5.064606E-28  4.881707E-28  5.130577E-28  2.397963E-28  1.388999E-28  3.477556E-29
    120  4.767210524850E-02  1.733420E-28  2.948491E-28  5.201603E-28  5.128975E-28  5.462833E-28  2.558176E-28  1.465734E-28  3.443840E-29
    121  4.783406579930E-02  1.715507E-28  2.980758E-28  5.365305E-28  5.406465E-28  5.870370E-28  2.813751E-28  1.648963E-28  4.045540E-29
    122  4.799263518131E-02  1.703739E-28  3.027763E-28  5.566482E-28  5.739057E-28  6.360483E-28  3.119333E-28  1.865903E-28  4.699526E-29
    123  4.815339657435E-02  1.758811E-28  3.193705E-28  5.994093E-28  6.322014E-28  7.152114E-28  3.588636E-28  2.192533E-28  5.684254E-29
    124  4.832264594384E-02  1.877615E-28  3.490137E-28  6.698626E-28  7.239937E-28  8.371277E-28  4.301670E-28  2.682828E-28  7.146961E-29
    125  4.849826454798E-02  1.976728E-28  3.765153E-28  7.388277E-28  8.170113E-28  9.630812E-28  5.047648E-28  3.198962E-28  8.668962E-29
    126  4.867786870736E-02  2.041676E-28  3.983389E-28  7.989518E-28  9.038586E-28  1.086281E-27  5.809214E-28  3.743487E-28  1.034596E-28
    127  4.885872256535E-02  2.067051E-28  4.141158E-28  8.508634E-28  9.871684E-28  1.212289E-27  6.632833E-28  4.357210E-28  1.232475E-28
