 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cr51          cr52          cr53          cr54          cr55          cr56          cr57          cr58 
     78  3.907668434759E-02  2.114996E-18  2.851461E-15  2.918328E-14  3.461540E-13  1.715306E-13  9.483203E-14  8.421297E-15  1.082083E-15
     79  3.934936577490E-02  3.112975E-18  4.397908E-15  4.629587E-14  5.722945E-13  2.908779E-13  1.662052E-13  1.505460E-14  1.994074E-15
     80  3.961640452516E-02  4.508927E-18  6.664649E-15  7.213032E-14  9.285410E-13  4.838510E-13  2.855694E-13  2.637446E-14  3.599279E-15
     81  3.991996766101E-02  6.802241E-18  1.057646E-14  1.181581E-13  1.593012E-12  8.540319E-13  5.230340E-13  4.939048E-14  6.973827E-15
     82  4.019473378510E-02  9.775848E-18  1.589909E-14  1.828273E-13  2.570393E-12  1.414025E-12  8.955496E-13  8.628902E-14  1.256667E-14
     83  4.046928694587E-02  1.392897E-17  2.367734E-14  2.802992E-13  4.110009E-12  2.320211E-12  1.519765E-12  1.494204E-13  2.244592E-14
     84  4.074955599116E-02  1.980224E-17  3.517936E-14  4.290922E-13  6.569101E-12  3.808080E-12  2.582040E-12  2.591767E-13  4.019343E-14
     85  4.099011663524E-02  2.654874E-17  4.892852E-14  6.123650E-13  9.729239E-12  5.770169E-12  4.030558E-12  4.118556E-13  6.564687E-14
     86  4.118445936105E-02  3.343552E-17  6.341562E-14  8.104210E-13  1.326828E-11  8.015755E-12  5.735594E-12  5.946034E-13  9.690237E-14
     87  4.137235583218E-02  4.156167E-17  8.096992E-14  1.055922E-12  1.779777E-11  1.094637E-11  8.017607E-12  8.428947E-13  1.403554E-13
     88  4.152714488067E-02  4.951783E-17  9.854221E-14  1.306743E-12  2.256004E-11  1.408184E-11  1.051485E-11  1.118276E-12  1.895487E-13
     89  4.165981986900E-02  5.737123E-17  1.161900E-13  1.563040E-12  2.754609E-11  1.741357E-11  1.321963E-11  1.419953E-12  2.443845E-13
     90  4.188596337322E-02  7.328114E-17  1.526539E-13  2.104527E-12  3.841579E-11  2.481700E-11  1.938051E-11  2.117312E-12  3.740376E-13
     91  4.208159634323E-02  9.003527E-17  1.917933E-13  2.700851E-12  5.082524E-11  3.345617E-11  2.677574E-11  2.968557E-12  5.364133E-13
     92  4.230932596557E-02  1.137414E-16  2.479857E-13  3.579703E-12  6.980283E-11  4.696717E-11  3.868144E-11  4.362771E-12  8.094572E-13
     93  4.251598135750E-02  1.399744E-16  3.107165E-13  4.587246E-12  9.239458E-11  6.342094E-11  5.361274E-11  6.141991E-12  1.167304E-12
     94  4.274368410830E-02  1.751790E-16  3.949645E-13  5.977144E-12  1.247729E-10  8.755457E-11  7.617857E-11  8.879096E-12  1.732960E-12
     95  4.294191711445E-02  2.124417E-16  4.834515E-13  7.475162E-12  1.609874E-10  1.151603E-10  1.027501E-10  1.215791E-11  2.428595E-12
     96  4.316569238790E-02  2.637996E-16  6.033016E-13  9.556281E-12  2.131929E-10  1.558599E-10  1.430806E-10  1.722113E-11  3.531563E-12
     97  4.339365876136E-02  3.290721E-16  7.511891E-13  1.219310E-11  2.819817E-10  2.107820E-10  1.992111E-10  2.439827E-11  5.139530E-12
     98  4.362382833621E-02  4.123284E-16  9.321570E-13  1.550483E-11  3.718507E-10  2.842818E-10  2.767061E-10  3.449239E-11  7.466091E-12
     99  4.384703699487E-02  5.150434E-16  1.144246E-12  1.948352E-11  4.840660E-10  3.782506E-10  3.788655E-10  4.804383E-11  1.067800E-11
    100  4.408801045744E-02  6.581983E-16  1.422256E-12  2.482818E-11  6.408528E-10  5.127536E-10  5.297581E-10  6.843760E-11  1.565243E-11
    101  4.430336182063E-02  8.236481E-16  1.723470E-12  3.075376E-11  8.214519E-10  6.713373E-10  7.131594E-10  9.367647E-11  2.198201E-11
    102  4.453208602613E-02  1.049319E-15  2.108637E-12  3.849938E-11  1.066508E-09  8.915143E-10  9.755324E-10  1.304319E-10  3.145583E-11
    103  4.474836808964E-02  1.321237E-15  2.545173E-12  4.747245E-11  1.361231E-09  1.162486E-09  1.308274E-09  1.778849E-10  4.402727E-11
    104  4.497736119052E-02  1.683219E-15  3.095678E-12  5.904556E-11  1.756123E-09  1.534167E-09  1.778817E-09  2.462183E-10  6.264196E-11
    105  4.517199675598E-02  2.058237E-15  3.642768E-12  7.080643E-11  2.172444E-09  1.934929E-09  2.301192E-09  3.234022E-10  8.423250E-11
    106  4.536038532241E-02  2.482980E-15  4.245797E-12  8.405554E-11  2.657865E-09  2.412106E-09  2.940245E-09  4.193518E-10  1.117392E-10
    107  4.552484255766E-02  2.902426E-15  4.832064E-12  9.721896E-11  3.156164E-09  2.911711E-09  3.626549E-09  5.239513E-10  1.424195E-10
    108  4.581275722245E-02  3.731427E-15  5.985739E-12  1.239512E-10  4.214427E-09  4.001658E-09  5.176299E-09  7.649895E-10  2.153424E-10
    109  4.603616864208E-02  4.435139E-15  6.977607E-12  1.478517E-10  5.211072E-09  5.060117E-09  6.740979E-09  1.013941E-09  2.933005E-10
    110  4.624194314299E-02  5.103058E-15  7.946411E-12  1.720985E-10  6.271210E-09  6.217000E-09  8.510780E-09  1.301155E-09  3.859748E-10
    111  4.641297951594E-02  5.656024E-15  8.778226E-12  1.936863E-10  7.256662E-09  7.319156E-09  1.024951E-08  1.588369E-09  4.811584E-10
    112  4.656990459822E-02  6.148884E-15  9.551062E-12  2.144484E-10  8.242413E-09  8.446354E-09  1.207733E-08  1.895109E-09  5.852540E-10
    113  4.671253119976E-02  6.576452E-15  1.025317E-11  2.339625E-10  9.204073E-09  9.569062E-09  1.394508E-08  2.213165E-09  6.955836E-10
    114  4.684580987606E-02  6.952743E-15  1.090277E-11  2.526312E-10  1.015728E-08  1.070384E-08  1.587864E-08  2.546953E-09  8.137567E-10
    115  4.697520204195E-02  7.292519E-15  1.152249E-11  2.710540E-10  1.113120E-08  1.188543E-08  1.793898E-08  2.907318E-09  9.438604E-10
    116  4.709649788536E-02  7.585504E-15  1.208991E-11  2.885082E-10  1.208585E-08  1.306507E-08  2.004214E-08  3.279833E-09  1.080897E-09
    117  4.721637454993E-02  7.848955E-15  1.263484E-11  3.058620E-10  1.306737E-08  1.429977E-08  2.229148E-08  3.683122E-09  1.231970E-09
    118  4.732862910872E-02  8.071067E-15  1.312860E-11  3.221491E-10  1.401943E-08  1.551840E-08  2.455836E-08  4.094364E-09  1.388738E-09
    119  4.750539400184E-02  8.371219E-15  1.386952E-11  3.477500E-10  1.558033E-08  1.756072E-08  2.845884E-08  4.812529E-09  1.668601E-09
    120  4.767210524850E-02  8.598601E-15  1.452337E-11  3.717165E-10  1.711822E-08  1.962639E-08  3.252881E-08  5.575108E-09  1.973572E-09
    121  4.783406579930E-02  8.768498E-15  1.511367E-11  3.947173E-10  1.867026E-08  2.176460E-08  3.686990E-08  6.402232E-09  2.312665E-09
    122  4.799263518131E-02  8.887511E-15  1.564649E-11  4.168703E-10  2.024256E-08  2.398540E-08  4.151294E-08  7.301458E-09  2.690342E-09
    123  4.815339657435E-02  8.960957E-15  1.613841E-11  4.388569E-10  2.188809E-08  2.636861E-08  4.664464E-08  8.311576E-09  3.124941E-09
    124  4.832264594384E-02  8.992342E-15  1.660527E-11  4.614502E-10  2.367374E-08  2.902273E-08  5.253537E-08  9.490735E-09  3.645030E-09
    125  4.849826454798E-02  8.978881E-15  1.703428E-11  4.842184E-10  2.558143E-08  3.193666E-08  5.921064E-08  1.085055E-08  4.260538E-09
    126  4.867786870736E-02  8.920898E-15  1.741492E-11  5.067175E-10  2.758692E-08  3.508780E-08  6.666859E-08  1.239742E-08  4.979616E-09
    127  4.885872256535E-02  8.821751E-15  1.773944E-11  5.284954E-10  2.965825E-08  3.843786E-08  7.486445E-08  1.412870E-08  5.806430E-09
    128  4.903755607841E-02  8.687720E-15  1.800302E-11  5.490896E-10  3.175328E-08  4.192639E-08  8.368680E-08  1.602663E-08  6.737555E-09
    129  4.921259737621E-02  8.525669E-15  1.820647E-11  5.682662E-10  3.384396E-08  4.551025E-08  9.305219E-08  1.807794E-08  7.770955E-09
    130  4.938368810460E-02  8.341070E-15  1.835369E-11  5.859950E-10  3.592008E-08  4.917338E-08  1.029389E-07  2.028200E-08  8.910530E-09
    131  4.955132280349E-02  8.137901E-15  1.844875E-11  6.023118E-10  3.797900E-08  5.291248E-08  1.133579E-07  2.264546E-08  1.016411E-08
    132  4.971624312404E-02  7.918914E-15  1.849489E-11  6.172603E-10  4.002098E-08  5.673019E-08  1.243393E-07  2.517969E-08  1.154257E-08
    133  4.987811857735E-02  7.687608E-15  1.849438E-11  6.307755E-10  4.203250E-08  6.060355E-08  1.358401E-07  2.787950E-08  1.304817E-08
    134  5.003799836445E-02  7.442865E-15  1.844603E-11  6.428288E-10  4.401672E-08  6.454241E-08  1.479204E-07  3.076386E-08  1.469719E-08
    135  5.019682549602E-02  7.187401E-15  1.835334E-11  6.534837E-10  4.597419E-08  6.855218E-08  1.606251E-07  3.384973E-08  1.650583E-08
    136  5.035511419132E-02  6.922188E-15  1.821636E-11  6.626822E-10  4.789825E-08  7.262640E-08  1.739727E-07  3.714869E-08  1.848849E-08
    137  5.051299755300E-02  6.648387E-15  1.803470E-11  6.703158E-10  4.977552E-08  7.674534E-08  1.879428E-07  4.066352E-08  2.065539E-08
    138  5.067010535678E-02  6.367896E-15  1.780845E-11  6.762437E-10  5.158459E-08  8.087124E-08  2.024533E-07  4.438167E-08  2.300784E-08
    139  5.082726902819E-02  6.080336E-15  1.753577E-11  6.803569E-10  5.331549E-08  8.499243E-08  2.175144E-07  4.831468E-08  2.556320E-08
    140  5.098506829486E-02  5.785583E-15  1.721435E-11  6.824945E-10  5.495130E-08  8.908383E-08  2.330983E-07  5.246580E-08  2.833538E-08
    141  5.114361869269E-02  5.484289E-15  1.684227E-11  6.824561E-10  5.646593E-08  9.309973E-08  2.491056E-07  5.682051E-08  3.132809E-08
    142  5.130328078870E-02  5.176629E-15  1.641687E-11  6.800177E-10  5.783125E-08  9.699056E-08  2.654265E-07  6.136233E-08  3.454514E-08
    143  5.146205644840E-02  4.867412E-15  1.594260E-11  6.750182E-10  5.899796E-08  1.006422E-07  2.816677E-07  6.599469E-08  3.793301E-08
    144  5.162089365231E-02  4.555836E-15  1.541662E-11  6.672664E-10  5.994040E-08  1.040049E-07  2.976966E-07  7.069253E-08  4.148830E-08
    145  5.177902725711E-02  4.244519E-15  1.484187E-11  6.566506E-10  6.062004E-08  1.069846E-07  3.131685E-07  7.536860E-08  4.516099E-08
    146  5.193558292952E-02  3.935166E-15  1.422052E-11  6.430545E-10  6.100093E-08  1.094858E-07  3.277098E-07  7.992248E-08  4.888770E-08
    147  5.207655208218E-02  3.657720E-15  1.361987E-11  6.281635E-10  6.106855E-08  1.112853E-07  3.398600E-07  8.388448E-08  5.227501E-08
    148  5.220437120847E-02  3.408246E-15  1.304378E-11  6.124753E-10  6.088469E-08  1.124917E-07  3.498734E-07  8.730051E-08  5.533109E-08
    149  5.240275279905E-02  3.027253E-15  1.209571E-11  5.840248E-10  6.010206E-08  1.134537E-07  3.630262E-07  9.212788E-08  5.994579E-08
    150  5.258707116153E-02  2.682967E-15  1.116468E-11  5.532688E-10  5.880143E-08  1.132374E-07  3.720372E-07  9.591363E-08  6.395544E-08
    151  5.276353482958E-02  2.365267E-15  1.023910E-11  5.202253E-10  5.702435E-08  1.119388E-07  3.772133E-07  9.872880E-08  6.739676E-08
    152  5.293536770993E-02  2.070041E-15  9.317865E-12  4.850988E-10  5.480014E-08  1.096016E-07  3.785848E-07  1.005596E-07  7.023752E-08
    153  5.310288915571E-02  1.798311E-15  8.413752E-12  4.485901E-10  5.218815E-08  1.062997E-07  3.761555E-07  1.013638E-07  7.240158E-08
    154  5.325369291828E-02  1.569291E-15  7.606198E-12  4.143465E-10  4.949886E-08  1.024945E-07  3.706751E-07  1.011928E-07  7.375304E-08
    155  5.339308966526E-02  1.372082E-15  6.874186E-12  3.820031E-10  4.676805E-08  9.832621E-08  3.628424E-07  1.002530E-07  7.444641E-08
    156  5.362726198018E-02  1.074679E-15  5.697734E-12  3.274304E-10  4.177563E-08  9.011139E-08  3.440101E-07  9.699436E-08  7.432941E-08
    157  5.383816121000E-02  8.445779E-16  4.717480E-12  2.794545E-10  3.701030E-08  8.170191E-08  3.216200E-07  9.235437E-08  7.281439E-08
    158  5.403768730975E-02  6.601411E-16  3.877480E-12  2.364171E-10  3.244098E-08  7.320515E-08  2.966883E-07  8.668541E-08  7.021390E-08
    159  5.422986619970E-02  5.122004E-16  3.160086E-12  1.981184E-10  2.813213E-08  6.484188E-08  2.702850E-07  8.030400E-08  6.676134E-08
    160  5.440569294967E-02  4.005332E-16  2.586120E-12  1.663273E-10  2.437025E-08  5.727315E-08  2.449677E-07  7.390765E-08  6.292862E-08
    161  5.456994612052E-02  3.146806E-16  2.120624E-12  1.396860E-10  2.107601E-08  5.044013E-08  2.210077E-07  6.764360E-08  5.889694E-08
    162  5.485681963417E-02  2.013276E-16  1.462386E-12  1.004346E-10  1.595162E-08  3.941151E-08  1.801389E-07  5.654113E-08  5.119785E-08
    163  5.511708850657E-02  1.307825E-16  1.016734E-12  7.252896E-11  1.206935E-08  3.069548E-08  1.457916E-07  4.681960E-08  4.393184E-08
    164  5.536560227933E-02  8.479860E-17  7.028973E-13  5.199185E-11  9.046300E-09  2.365347E-08  1.165500E-07  3.825805E-08  3.714301E-08
    165  5.559867087093E-02  5.550626E-17  4.881335E-13  3.735485E-11  6.777592E-09  1.818932E-08  9.277808E-08  3.108916E-08  3.116676E-08
    166  5.582344501454E-02  3.630747E-17  3.377135E-13  2.670787E-11  5.046910E-09  1.389055E-08  7.326467E-08  2.504488E-08  2.589927E-08
    167  5.608267729631E-02  2.188761E-17  2.168563E-13  1.781315E-11  3.528183E-09  9.997918E-09  5.481702E-08  1.917600E-08  2.055573E-08
    168  5.632179590432E-02  1.353105E-17  1.419067E-13  1.207228E-11  2.497389E-09  7.270464E-09  4.131789E-08  1.476555E-08  1.636294E-08
    169  5.658568452696E-02  7.851979E-18  8.754211E-14  7.740818E-12  1.680136E-09  5.039377E-09  2.979714E-08  1.090292E-08  1.253527E-08
    170  5.682194908758E-02  4.772193E-18  5.613568E-14  5.138711E-12  1.164462E-09  3.587489E-09  2.198105E-08  8.215374E-09  9.762565E-09
    171  5.707748662895E-02  2.757968E-18  3.434258E-14  3.263903E-12  7.749580E-10  2.457855E-09  1.565221E-08  5.986113E-09  7.372938E-09
