 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                zn77          zn78          zn79          zn80          zn81          zn82          zn83          zn84 
    202  6.886988901479E-02  1.753650E-08  1.143820E-08  1.347624E-08  9.891777E-10  1.117428E-12  5.051236E-15  1.790978E-18  4.568247E-21
    203  6.932442343830E-02  1.657809E-08  1.154387E-08  1.420240E-08  1.104589E-09  1.258093E-12  5.914623E-15  2.109973E-18  5.575710E-21
    204  6.977291475786E-02  1.574153E-08  1.169641E-08  1.502081E-08  1.237278E-09  1.420839E-12  6.944995E-15  2.492612E-18  6.822241E-21
    205  7.051837306122E-02  1.457914E-08  1.207459E-08  1.665842E-08  1.510432E-09  1.758770E-12  9.176554E-15  3.327096E-18  9.658049E-21
    206  7.120724846930E-02  1.371435E-08  1.256657E-08  1.853197E-08  1.837440E-09  2.167754E-12  1.202067E-14  4.399606E-18  1.349205E-20
    207  7.185571854523E-02  1.303809E-08  1.315049E-08  2.065750E-08  2.229547E-09  2.663626E-12  1.565009E-14  5.779483E-18  1.867228E-20
    208  7.250556240022E-02  1.247140E-08  1.385731E-08  2.319832E-08  2.727413E-09  3.300520E-12  2.055991E-14  7.661569E-18  2.609241E-20
    209  7.308358088908E-02  1.203120E-08  1.457850E-08  2.583555E-08  3.279268E-09  4.014724E-12  2.635531E-14  9.901025E-18  3.535099E-20
    210  7.365083251161E-02  1.163236E-08  1.535679E-08  2.878876E-08  3.941558E-09  4.881821E-12  3.375335E-14  1.278213E-17  4.782150E-20
    211  7.420607479025E-02  1.126705E-08  1.618362E-08  3.206389E-08  4.729562E-09  5.925747E-12  4.312055E-14  1.645867E-17  6.448080E-20
    212  7.477269193766E-02  1.090809E-08  1.708386E-08  3.582255E-08  5.703662E-09  7.232174E-12  5.546706E-14  2.134344E-17  8.767521E-20
    213  7.532671922740E-02  1.055435E-08  1.800154E-08  3.991334E-08  6.851971E-09  8.792008E-12  7.101277E-14  2.754423E-17  1.185524E-19
    214  7.590819975934E-02  1.018234E-08  1.900304E-08  4.468953E-08  8.306527E-09  1.079423E-11  9.208911E-14  3.602179E-17  1.628831E-19
    215  7.648106882397E-02  9.814444E-09  2.002401E-08  4.991788E-08  1.003801E-08  1.321065E-11  1.189938E-13  4.693709E-17  2.228930E-19
    216  7.706864365518E-02  9.432293E-09  2.110020E-08  5.586262E-08  1.218432E-08  1.624845E-11  1.548022E-13  6.159187E-17  3.076670E-19
    217  7.765097184480E-02  9.052181E-09  2.219871E-08  6.240439E-08  1.476055E-08  1.994729E-11  2.009892E-13  8.066140E-17  4.238065E-19
    218  7.824188421090E-02  8.673125E-09  2.335817E-08  6.980659E-08  1.793442E-08  2.457043E-11  2.621525E-13  1.061387E-16  5.872247E-19
    219  7.883216312169E-02  8.304886E-09  2.457414E-08  7.809528E-08  2.180145E-08  3.028561E-11  3.422752E-13  1.398113E-16  8.147763E-19
    220  7.934760137230E-02  7.993820E-09  2.569646E-08  8.619236E-08  2.588505E-08  3.640258E-11  4.327583E-13  1.781518E-16  1.086740E-18
    221  7.991019390762E-02  7.672227E-09  2.700690E-08  9.611280E-08  3.127056E-08  4.457730E-11  5.602163E-13  2.325985E-16  1.491882E-18
    222  8.044081450283E-02  7.388258E-09  2.834250E-08  1.066853E-07  3.744524E-08  5.407620E-11  7.163783E-13  2.998525E-16  2.017069E-18
    223  8.103419684334E-02  7.092087E-09  2.997458E-08  1.201799E-07  4.594267E-08  6.732951E-11  9.464805E-13  3.997866E-16  2.837456E-18
    224  8.158988408622E-02  6.836897E-09  3.165748E-08  1.346998E-07  5.580633E-08  8.293299E-11  1.232882E-12  5.252432E-16  3.921193E-18
    225  8.219791245697E-02  6.582343E-09  3.369398E-08  1.530477E-07  6.926876E-08  1.045437E-10  1.652861E-12  7.108454E-16  5.610774E-18
    226  8.273529679330E-02  6.376707E-09  3.568646E-08  1.717958E-07  8.411266E-08  1.287182E-10  2.149660E-12  9.323060E-16  7.732724E-18
    227  8.327310875316E-02  6.187345E-09  3.788454E-08  1.933674E-07  1.024771E-07  1.590410E-10  2.806736E-12  1.227640E-15  1.070371E-17
    228  8.381967664174E-02  6.011006E-09  4.034183E-08  2.185911E-07  1.255990E-07  1.977686E-10  3.692764E-12  1.629274E-15  1.495019E-17
    229  8.442137901789E-02  5.833161E-09  4.332761E-08  2.508239E-07  1.575982E-07  2.522026E-10  5.012939E-12  2.233213E-15  2.168630E-17
    230  8.496109010092E-02  5.683852E-09  4.628133E-08  2.844318E-07  1.937725E-07  3.146940E-10  6.618497E-12  2.974400E-15  3.040100E-17
    231  8.556251684447E-02  5.527341E-09  4.988320E-08  3.278149E-07  2.445048E-07  4.037586E-10  9.047024E-12  4.106101E-15  4.445024E-17
    232  8.609514523980E-02  5.394156E-09  5.334399E-08  3.721122E-07  3.008385E-07  5.042834E-10  1.195585E-11  5.474452E-15  6.237973E-17
    233  8.668730402486E-02  5.246788E-09  5.748412E-08  4.286914E-07  3.793072E-07  6.466565E-10  1.633165E-11  7.552713E-15  9.114538E-17
    234  8.725638446658E-02  5.102356E-09  6.172976E-08  4.910902E-07  4.741578E-07  8.218015E-10  2.206409E-11  1.030271E-14  1.314376E-16
    235  8.784892152766E-02  4.945218E-09  6.636435E-08  5.649260E-07  5.976026E-07  1.053961E-09  3.017025E-11  1.423178E-14  1.924598E-16
    236  8.837914431516E-02  4.794552E-09  7.063068E-08  6.390071E-07  7.338373E-07  1.314859E-09  3.987477E-11  1.898332E-14  2.705584E-16
    237  8.927467123273E-02  4.510617E-09  7.790811E-08  7.819499E-07  1.032996E-06  1.901873E-09  6.363508E-11  3.077567E-14  4.796990E-16
    238  9.009385267910E-02  4.214420E-09  8.426639E-08  9.307390E-07  1.398769E-06  2.641498E-09  9.677782E-11  4.749437E-14  8.041413E-16
    239  9.088007009323E-02  3.892689E-09  8.971687E-08  1.087312E-06  1.851754E-06  3.584819E-09  1.434082E-10  7.138906E-14  1.309643E-15
    240  9.160938796651E-02  3.567515E-09  9.388152E-08  1.240898E-06  2.375003E-06  4.706794E-09  2.044246E-10  1.031374E-13  2.039594E-15
    241  9.231864750676E-02  3.231891E-09  9.683522E-08  1.393502E-06  2.989992E-06  6.064493E-09  2.854897E-10  1.459542E-13  3.106912E-15
    242  9.335415502949E-02  2.726031E-09  9.892660E-08  1.613816E-06  4.098665E-06  8.605141E-09  4.561842E-10  2.378453E-13  5.644170E-15
    243  9.429165011748E-02  2.276079E-09  9.837807E-08  1.799940E-06  5.332243E-06  1.155870E-08  6.830994E-10  3.626716E-13  9.507425E-15
    244  9.514750284226E-02  1.889372E-09  9.597551E-08  1.952109E-06  6.665954E-06  1.488671E-08  9.725187E-10  5.251105E-13  1.509118E-14
    245  9.592869681963E-02  1.568903E-09  9.241397E-08  2.071964E-06  8.060914E-06  1.850775E-08  1.325890E-09  7.272120E-13  2.274703E-14
    246  9.638259128200E-02  1.397485E-09  8.980307E-08  2.131772E-06  8.953496E-06  2.089551E-08  1.580015E-09  8.746187E-13  2.874982E-14
    247  9.686466198075E-02  1.229835E-09  8.671294E-08  2.187794E-06  9.970381E-06  2.368018E-08  1.896814E-09  1.060424E-12  3.675477E-14
    248  9.745016881397E-02  1.046244E-09  8.259435E-08  2.244874E-06  1.130098E-05  2.742525E-08  2.356988E-09  1.333810E-12  4.932458E-14
    249  9.798964068785E-02  8.957157E-10  7.851200E-08  2.286362E-06  1.262115E-05  3.125159E-08  2.866904E-09  1.640890E-12  6.443923E-14
    250  9.892639389759E-02  6.738743E-10  7.098756E-08  2.333208E-06  1.514107E-05  3.884762E-08  3.995279E-09  2.333034E-12  1.018012E-13
    251  9.977784733458E-02  5.136383E-10  6.399801E-08  2.350350E-06  1.768384E-05  4.689246E-08  5.355648E-09  3.186151E-12  1.531571E-13
    252  1.005622893962E-01  3.947950E-10  5.754541E-08  2.343716E-06  2.024338E-05  5.536631E-08  6.971426E-09  4.220468E-12  2.220145E-13
    253  1.013070552067E-01  3.048907E-10  5.161041E-08  2.320632E-06  2.286600E-05  6.443573E-08  8.906983E-09  5.483986E-12  3.144993E-13
    254  1.019791947326E-01  2.395647E-10  4.645797E-08  2.285789E-06  2.538822E-05  7.352913E-08  1.106421E-08  6.918372E-12  4.292044E-13
    255  1.025982572428E-01  1.904678E-10  4.191756E-08  2.242376E-06  2.783818E-05  8.271283E-08  1.346595E-08  8.542740E-12  5.701098E-13
    256  1.032644197032E-01  1.479435E-10  3.732077E-08  2.185738E-06  3.060233E-05  9.349766E-08  1.657659E-08  1.068332E-11  7.716652E-13
