 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                k48           k49           k50           k51           k52           k53           k54           k55  
     87  4.137235583218E-02  4.143088E-13  2.132096E-14  1.642200E-17  5.874022E-20  1.238602E-23  1.620901E-26  1.000000E-30  1.000000E-30
     88  4.152714488067E-02  5.107211E-13  2.668550E-14  2.065433E-17  7.457178E-20  1.577442E-23  2.081737E-26  1.000000E-30  1.000000E-30
     89  4.165981986900E-02  6.086089E-13  3.221859E-14  2.504152E-17  9.113962E-20  1.933190E-23  2.569685E-26  1.057717E-30  1.000000E-30
     90  4.188596337322E-02  8.134811E-13  4.403721E-14  3.447335E-17  1.272001E-19  2.710742E-23  3.647953E-26  1.503382E-30  1.000000E-30
     91  4.208159634323E-02  1.036186E-12  5.719022E-14  4.504866E-17  1.682101E-19  3.599291E-23  4.895756E-26  2.019328E-30  1.000000E-30
     92  4.230932596557E-02  1.359225E-12  7.673630E-14  6.088512E-17  2.305247E-19  4.956153E-23  6.826024E-26  2.818313E-30  1.000000E-30
     93  4.251598135750E-02  1.722429E-12  9.926378E-14  7.928076E-17  3.039953E-19  6.564047E-23  9.143744E-26  3.778724E-30  1.000000E-30
     94  4.274368410830E-02  2.212326E-12  1.304304E-13  1.049363E-16  4.080356E-19  8.852788E-23  1.248762E-25  5.165921E-30  1.000000E-30
     95  4.294191711445E-02  2.727121E-12  1.640053E-13  1.327921E-16  5.226944E-19  1.138792E-22  1.624044E-25  6.724508E-30  1.000000E-30
     96  4.316569238790E-02  3.421987E-12  2.104715E-13  1.716494E-16  6.850531E-19  1.499606E-22  2.165266E-25  8.974814E-30  1.000000E-30
     97  4.339365876136E-02  4.272298E-12  2.688743E-13  2.209034E-16  8.941774E-19  1.966889E-22  2.876147E-25  1.193416E-29  1.000000E-30
     98  4.362382833621E-02  5.299064E-12  3.413377E-13  2.825421E-16  1.160175E-18  2.564551E-22  3.798461E-25  1.577853E-29  1.000000E-30
     99  4.384703699487E-02  6.481288E-12  4.270367E-13  3.560594E-16  1.482564E-18  3.292884E-22  4.938372E-25  2.053586E-29  1.000000E-30
    100  4.408801045744E-02  7.997057E-12  5.399652E-13  4.537794E-16  1.918186E-18  4.282555E-22  6.509818E-25  2.710271E-29  1.000000E-30
    101  4.430336182063E-02  9.598643E-12  6.624848E-13  5.606896E-16  2.402393E-18  5.388571E-22  8.290644E-25  3.455399E-29  1.000000E-30
    102  4.453208602613E-02  1.159701E-11  8.193412E-13  6.986834E-16  3.037129E-18  6.846104E-22  1.066960E-24  4.452043E-29  1.000000E-30
    103  4.474836808964E-02  1.381246E-11  9.977368E-13  8.569052E-16  3.776200E-18  8.552177E-22  1.349215E-24  5.636020E-29  1.000000E-30
    104  4.497736119052E-02  1.655966E-11  1.224663E-12  1.059809E-15  4.738701E-18  1.078575E-21  1.723779E-24  7.209212E-29  1.000000E-30
    105  4.517199675598E-02  1.926660E-11  1.453706E-12  1.266178E-15  5.731964E-18  1.310220E-21  2.117231E-24  8.863736E-29  1.000000E-30
    106  4.536038532241E-02  2.225349E-11  1.712057E-12  1.500588E-15  6.875292E-18  1.578077E-21  2.577528E-24  1.080153E-28  1.000000E-30
    107  4.552484255766E-02  2.518418E-11  1.970779E-12  1.736863E-15  8.041994E-18  1.852564E-21  3.054336E-24  1.281091E-28  1.000000E-30
    108  4.581275722245E-02  3.110658E-11  2.508094E-12  2.231830E-15  1.052663E-17  2.440414E-21  4.090274E-24  1.718273E-28  1.000000E-30
    109  4.603616864208E-02  3.643704E-11  3.006978E-12  2.695924E-15  1.289993E-17  3.005484E-21  5.102275E-24  2.146031E-28  1.000000E-30
    110  4.624194314299E-02  4.193346E-11  3.535728E-12  3.192039E-15  1.547835E-17  3.622780E-21  6.223384E-24  2.620559E-28  1.000000E-30
    111  4.641297951594E-02  4.693421E-11  4.028842E-12  3.658298E-15  1.793702E-17  4.214310E-21  7.311206E-24  3.081570E-28  1.000000E-30
    112  4.656990459822E-02  5.186107E-11  4.525623E-12  4.131285E-15  2.046374E-17  4.824891E-21  8.446628E-24  3.563290E-28  1.000000E-30
    113  4.671253119976E-02  5.661205E-11  5.014783E-12  4.600032E-15  2.299825E-17  5.439862E-21  9.602078E-24  4.054015E-28  1.000000E-30
    114  4.684580987606E-02  6.127899E-11  5.504840E-12  5.072493E-15  2.558191E-17  6.069158E-21  1.079589E-23  4.561525E-28  1.000000E-30
    115  4.697520204195E-02  6.601263E-11  6.011483E-12  5.563812E-15  2.829818E-17  6.733196E-21  1.206733E-23  5.102549E-28  1.000000E-30
    116  4.709649788536E-02  7.062490E-11  6.514352E-12  6.054237E-15  3.103820E-17  7.405417E-21  1.336597E-23  5.655642E-28  1.000000E-30
    117  4.721637454993E-02  7.534361E-11  7.038196E-12  6.567938E-15  3.393773E-17  8.119226E-21  1.475690E-23  6.248570E-28  1.000000E-30
