 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                pos           vel           temp          den           pres          ener          entr          cs
     16  1.076223806424E-08  0.000000E+00  0.000000E+00  9.999999E+09  2.999999E+06  6.875804E+25  6.931960E+19  1.017578E+10  5.288964E+09
     17  6.834096797002E-08  0.000000E+00  0.000000E+00  9.999993E+09  2.999994E+06  6.878057E+25  6.923677E+19  1.018455E+10  5.289883E+09
     18  2.542122411654E-07  0.000000E+00  0.000000E+00  9.999975E+09  2.999977E+06  6.880099E+25  6.916037E+19  1.019263E+10  5.290727E+09
     19  7.007518887657E-07  0.000000E+00  0.000000E+00  9.999930E+09  2.999937E+06  6.880238E+25  6.915073E+19  1.019364E+10  5.290822E+09
     20  1.724661805125E-06  0.000000E+00  0.000000E+00  9.999828E+09  2.999845E+06  6.879951E+25  6.915069E+19  1.019365E+10  5.290796E+09
     21  4.267664185819E-06  0.000000E+00  0.000000E+00  9.999573E+09  2.999616E+06  6.879237E+25  6.915071E+19  1.019364E+10  5.290730E+09
     22  1.786211798807E-05  0.000000E+00  0.000000E+00  9.998214E+09  2.998393E+06  6.875419E+25  6.915081E+19  1.019358E+10  5.290379E+09
     23  6.929007850093E-05  0.000000E+00  0.000000E+00  9.993073E+09  2.993770E+06  6.860996E+25  6.915118E+19  1.019338E+10  5.289048E+09
     24  5.835696836295E-04  0.000000E+00  0.000000E+00  9.941813E+09  2.947936E+06  6.718383E+25  6.915530E+19  1.019134E+10  5.275737E+09
     25  1.496090518789E-03  0.000000E+00  0.000000E+00  9.851505E+09  2.868329E+06  6.472495E+25  6.916446E+19  1.018746E+10  5.252151E+09
     26  2.379765156362E-03  0.000000E+00  0.000000E+00  9.764833E+09  2.793288E+06  6.242847E+25  6.917603E+19  1.018336E+10  5.229357E+09
     27  3.772948503579E-03  0.000000E+00  0.000000E+00  9.629734E+09  2.678947E+06  5.896790E+25  6.920102E+19  1.017604E+10  5.193331E+09
     28  4.957278025650E-03  0.000000E+00  0.000000E+00  9.516359E+09  2.585435E+06  5.617321E+25  6.923082E+19  1.016877E+10  5.162631E+09
     29  5.758110286319E-03  0.000000E+00  0.000000E+00  9.440453E+09  2.524061E+06  5.435715E+25  6.925628E+19  1.016321E+10  5.141877E+09
     30  6.636115041812E-03  0.000000E+00  0.000000E+00  9.357928E+09  2.458445E+06  5.243200E+25  6.929027E+19  1.015640E+10  5.119148E+09
     31  7.490864585256E-03  0.000000E+00  0.000000E+00  9.278282E+09  2.396205E+06  5.062193E+25  6.932970E+19  1.014901E+10  5.097051E+09
     32  8.026631019591E-03  0.000000E+00  0.000000E+00  9.228705E+09  2.357999E+06  4.951850E+25  6.935798E+19  1.014395E+10  5.083203E+09
     33  8.451616658664E-03  0.000000E+00  0.000000E+00  9.189568E+09  2.328126E+06  4.865980E+25  6.938245E+19  1.013971E+10  5.072212E+09
     34  9.803471762980E-03  0.000000E+00  0.000000E+00  9.066174E+09  2.235597E+06  4.602289E+25  6.947155E+19  1.012484E+10  5.037189E+09
     35  1.116687552369E-02  0.000000E+00  0.000000E+00  8.943405E+09  2.146001E+06  4.350398E+25  6.957828E+19  1.010780E+10  5.001833E+09
     36  1.219012310682E-02  0.000000E+00  0.000000E+00  8.852358E+09  2.081125E+06  4.170124E+25  6.966745E+19  1.009386E+10  4.975190E+09
     37  1.314647137106E-02  0.000000E+00  0.000000E+00  8.768102E+09  2.022265E+06  4.008211E+25  6.975561E+19  1.008017E+10  4.950258E+09
     38  1.431720408173E-02  0.000000E+00  0.000000E+00  8.666050E+09  1.952472E+06  3.818405E+25  6.986725E+19  1.006282E+10  4.919809E+09
     39  1.545287753035E-02  0.000000E+00  0.000000E+00  8.568188E+09  1.887071E+06  3.642845E+25  6.997531E+19  1.004581E+10  4.890446E+09
     40  1.716820108076E-02  0.000000E+00  0.000000E+00  8.422470E+09  1.792419E+06  3.392846E+25  7.013175E+19  1.002050E+10  4.846413E+09
     41  1.871872199221E-02  0.000000E+00  0.000000E+00  8.292885E+09  1.710953E+06  3.181700E+25  7.025901E+19  9.998797E+09  4.806950E+09
     42  2.131412024987E-02  0.000000E+00  0.000000E+00  8.080420E+09  1.582789E+06  2.857283E+25  7.042919E+19  9.966460E+09  4.741425E+09
     43  2.288535686070E-02  0.000000E+00  0.000000E+00  7.954450E+09  1.509912E+06  2.677302E+25  7.050408E+19  9.949560E+09  4.702255E+09
     44  2.437102778700E-02  0.000000E+00  0.000000E+00  7.837147E+09  1.444093E+06  2.517697E+25  7.055668E+19  9.935323E+09  4.665677E+09
     45  2.666254430666E-02  0.000000E+00  0.000000E+00  7.659599E+09  1.348154E+06  2.290044E+25  7.060897E+19  9.916055E+09  4.609844E+09
     46  2.807329513827E-02  0.000000E+00  0.000000E+00  7.552300E+09  1.292287E+06  2.160200E+25  7.062832E+19  9.905307E+09  4.575668E+09
     47  2.946719119355E-02  0.000000E+00  0.000000E+00  7.447759E+09  1.239362E+06  2.039063E+25  7.064068E+19  9.895189E+09  4.541986E+09
     48  2.982466835475E-02  0.000000E+00  0.000000E+00  7.421182E+09  1.226141E+06  2.009101E+25  7.064301E+19  9.892646E+09  4.533379E+09
     49  3.017238950627E-02  0.000000E+00  0.000000E+00  7.395422E+09  1.213417E+06  1.980378E+25  7.064499E+19  9.890189E+09  4.525024E+09
     50  3.052509122072E-02  0.000000E+00  0.000000E+00  7.369384E+09  1.200646E+06  1.951663E+25  7.064673E+19  9.887709E+09  4.516567E+09
     51  3.066477686677E-02  0.000000E+00  0.000000E+00  7.359098E+09  1.195625E+06  1.940406E+25  7.064736E+19  9.886729E+09  4.513222E+09
     52  3.080037159611E-02  0.000000E+00  0.000000E+00  7.349126E+09  1.190771E+06  1.929541E+25  7.064794E+19  9.885779E+09  4.509978E+09
     53  3.111325257314E-02  0.000000E+00  0.000000E+00  7.326168E+09  1.179646E+06  1.904701E+25  7.064917E+19  9.883589E+09  4.502503E+09
     54  3.147800645819E-02  0.000000E+00  0.000000E+00  7.299494E+09  1.166808E+06  1.876144E+25  7.065041E+19  9.881041E+09  4.493804E+09
     55  3.181357346897E-02  0.000000E+00  0.000000E+00  7.275040E+09  1.155121E+06  1.850250E+25  7.065140E+19  9.878698E+09  4.485814E+09
     56  3.217197145871E-02  0.000000E+00  0.000000E+00  7.249013E+09  1.142768E+06  1.822984E+25  7.065233E+19  9.876194E+09  4.477291E+09
     57  3.249951277145E-02  0.000000E+00  0.000000E+00  7.225309E+09  1.131594E+06  1.798414E+25  7.065308E+19  9.873901E+09  4.469509E+09
     58  3.262595809504E-02  0.000000E+00  0.000000E+00  7.216178E+09  1.127309E+06  1.789016E+25  7.065335E+19  9.873015E+09  4.466506E+09
     59  3.272641576722E-02  0.000000E+00  0.000000E+00  7.208933E+09  1.123917E+06  1.781583E+25  7.065356E+19  9.872309E+09  4.464119E+09
     60  3.304841700500E-02  0.000000E+00  0.000000E+00  7.185757E+09  1.113112E+06  1.757964E+25  7.065418E+19  9.870044E+09  4.456470E+09
     61  3.362823507679E-02  0.000000E+00  0.000000E+00  7.144214E+09  1.093917E+06  1.716213E+25  7.065517E+19  9.865944E+09  4.442722E+09
     62  3.417743618412E-02  0.000000E+00  0.000000E+00  7.105085E+09  1.076042E+06  1.677577E+25  7.065599E+19  9.862031E+09  4.429738E+09
     63  3.448472684867E-02  0.000000E+00  0.000000E+00  7.083285E+09  1.066168E+06  1.656334E+25  7.065641E+19  9.859828E+09  4.422477E+09
     64  3.459225947862E-02  0.000000E+00  0.000000E+00  7.075673E+09  1.062734E+06  1.648962E+25  7.065655E+19  9.859054E+09  4.419936E+09
     65  3.468161085917E-02  0.000000E+00  0.000000E+00  7.069353E+09  1.059889E+06  1.642861E+25  7.065666E+19  9.858410E+09  4.417824E+09
     66  3.501586344154E-02  0.000000E+00  0.000000E+00  7.045763E+09  1.049314E+06  1.620233E+25  7.065707E+19  9.855994E+09  4.409922E+09
     67  3.563385967804E-02  0.000000E+00  0.000000E+00  7.002355E+09  1.030039E+06  1.579194E+25  7.065778E+19  9.851489E+09  4.395303E+09
     68  3.619390900501E-02  0.000000E+00  0.000000E+00  6.963248E+09  1.012877E+06  1.542880E+25  7.065837E+19  9.847363E+09  4.382051E+09
     69  3.661379630041E-02  0.000000E+00  0.000000E+00  6.934071E+09  1.000198E+06  1.516194E+25  7.065879E+19  9.844242E+09  4.372120E+09
     70  3.704099468238E-02  0.000000E+00  0.000000E+00  6.904512E+09  9.874617E+05  1.489508E+25  7.065919E+19  9.841040E+09  4.362025E+09
     71  3.731378163516E-02  0.000000E+00  0.000000E+00  6.885703E+09  9.794137E+05  1.472712E+25  7.065944E+19  9.838982E+09  4.355586E+09
     72  3.757630769329E-02  0.000000E+00  0.000000E+00  6.867650E+09  9.717303E+05  1.456724E+25  7.065967E+19  9.836991E+09  4.349395E+09
     73  3.788075418501E-02  0.000000E+00  0.000000E+00  6.846774E+09  9.628955E+05  1.438399E+25  7.065993E+19  9.834670E+09  4.342225E+09
     74  3.819794660071E-02  0.000000E+00  0.000000E+00  6.825091E+09  9.537763E+05  1.419550E+25  7.066019E+19  9.832238E+09  4.334766E+09
     75  3.838080203158E-02  0.000000E+00  0.000000E+00  6.812622E+09  9.485585E+05  1.408795E+25  7.066034E+19  9.830829E+09  4.330472E+09
     76  3.859219912978E-02  0.000000E+00  0.000000E+00  6.798236E+09  9.425619E+05  1.396463E+25  7.066051E+19  9.829194E+09  4.325512E+09
     77  3.884096228080E-02  0.000000E+00  0.000000E+00  6.781345E+09  9.355538E+05  1.382089E+25  7.066070E+19  9.827262E+09  4.319682E+09
     78  3.907668434759E-02  0.000000E+00  0.000000E+00  6.765379E+09  9.289613E+05  1.368603E+25  7.066088E+19  9.825422E+09  4.314165E+09
     79  3.934936577490E-02  0.000000E+00  0.000000E+00  6.746956E+09  9.213929E+05  1.353166E+25  7.066108E+19  9.823285E+09  4.307790E+09
     80  3.961640452516E-02  0.000000E+00  0.000000E+00  6.728963E+09  9.140410E+05  1.338215E+25  7.066127E+19  9.821181E+09  4.301553E+09
     81  3.991996766101E-02  0.000000E+00  0.000000E+00  6.708567E+09  9.057547E+05  1.321418E+25  7.066148E+19  9.818777E+09  4.294470E+09
     82  4.019473378510E-02  0.000000E+00  0.000000E+00  6.690160E+09  8.983193E+05  1.306393E+25  7.066167E+19  9.816589E+09  4.288063E+09
     83  4.046928694587E-02  0.000000E+00  0.000000E+00  6.671817E+09  8.909506E+05  1.291547E+25  7.066185E+19  9.814392E+09  4.281663E+09
     84  4.074955599116E-02  0.000000E+00  0.000000E+00  6.653144E+09  8.834908E+05  1.276562E+25  7.066203E+19  9.812137E+09  4.275130E+09
     85  4.099011663524E-02  0.000000E+00  0.000000E+00  6.637158E+09  8.771378E+05  1.263836E+25  7.066218E+19  9.810193E+09  4.269520E+09
     86  4.118445936105E-02  0.000000E+00  0.000000E+00  6.624272E+09  8.720387E+05  1.253647E+25  7.066230E+19  9.808616E+09  4.264995E+09
     87  4.137235583218E-02  0.000000E+00  0.000000E+00  6.611837E+09  8.671369E+05  1.243874E+25  7.066241E+19  9.807086E+09  4.260626E+09
     88  4.152714488067E-02  0.000000E+00  0.000000E+00  6.601611E+09  8.631196E+05  1.235880E+25  7.066249E+19  9.805821E+09  4.257031E+09
     89  4.165981986900E-02  0.000000E+00  0.000000E+00  6.592858E+09  8.596910E+05  1.229069E+25  7.066257E+19  9.804735E+09  4.253951E+09
     90  4.188596337322E-02  0.000000E+00  0.000000E+00  6.577965E+09  8.538783E+05  1.217544E+25  7.066269E+19  9.802877E+09  4.248704E+09
     91  4.208159634323E-02  0.000000E+00  0.000000E+00  6.565109E+09  8.488816E+05  1.207660E+25  7.066279E+19  9.801264E+09  4.244166E+09
     92  4.230932596557E-02  0.000000E+00  0.000000E+00  6.550175E+09  8.431019E+05  1.196253E+25  7.066290E+19  9.799379E+09  4.238883E+09
     93  4.251598135750E-02  0.000000E+00  0.000000E+00  6.536653E+09  8.378911E+05  1.185992E+25  7.066300E+19  9.797662E+09  4.234087E+09
     94  4.274368410830E-02  0.000000E+00  0.000000E+00  6.521786E+09  8.321869E+05  1.174786E+25  7.066310E+19  9.795763E+09  4.228803E+09
     95  4.294191711445E-02  0.000000E+00  0.000000E+00  6.508870E+09  8.272526E+05  1.165113E+25  7.066318E+19  9.794104E+09  4.224200E+09
     96  4.316569238790E-02  0.000000E+00  0.000000E+00  6.494321E+09  8.217176E+05  1.154288E+25  7.066326E+19  9.792223E+09  4.219004E+09
     97  4.339365876136E-02  0.000000E+00  0.000000E+00  6.479533E+09  8.161171E+05  1.143361E+25  7.066333E+19  9.790300E+09  4.213709E+09
     98  4.362382833621E-02  0.000000E+00  0.000000E+00  6.464637E+09  8.105011E+05  1.132430E+25  7.066340E+19  9.788351E+09  4.208361E+09
     99  4.384703699487E-02  0.000000E+00  0.000000E+00  6.450223E+09  8.050919E+05  1.121928E+25  7.066346E+19  9.786452E+09  4.203176E+09
    100  4.408801045744E-02  0.000000E+00  0.000000E+00  6.434699E+09  7.992927E+05  1.110696E+25  7.066351E+19  9.784394E+09  4.197578E+09
    101  4.430336182063E-02  0.000000E+00  0.000000E+00  6.420856E+09  7.941455E+05  1.100753E+25  7.066355E+19  9.782547E+09  4.192577E+09
    102  4.453208602613E-02  0.000000E+00  0.000000E+00  6.406187E+09  7.887150E+05  1.090287E+25  7.066359E+19  9.780577E+09  4.187267E+09
    103  4.474836808964E-02  0.000000E+00  0.000000E+00  6.392346E+09  7.836140E+05  1.080481E+25  7.066363E+19  9.778706E+09  4.182249E+09
    104  4.497736119052E-02  0.000000E+00  0.000000E+00  6.377725E+09  7.782492E+05  1.070193E+25  7.066367E+19  9.776716E+09  4.176939E+09
    105  4.517199675598E-02  0.000000E+00  0.000000E+00  6.365324E+09  7.737182E+05  1.061525E+25  7.066371E+19  9.775017E+09  4.172430E+09
    106  4.536038532241E-02  0.000000E+00  0.000000E+00  6.353344E+09  7.693577E+05  1.053201E+25  7.066376E+19  9.773365E+09  4.168068E+09
    107  4.552484255766E-02  0.000000E+00  0.000000E+00  6.342904E+09  7.655713E+05  1.045987E+25  7.066381E+19  9.771916E+09  4.164263E+09
    108  4.581275722245E-02  0.000000E+00  0.000000E+00  6.324668E+09  7.589872E+05  1.033475E+25  7.066392E+19  9.769367E+09  4.157608E+09
    109  4.603616864208E-02  0.000000E+00  0.000000E+00  6.310554E+09  7.539172E+05  1.023869E+25  7.066402E+19  9.767377E+09  4.152451E+09
    110  4.624194314299E-02  0.000000E+00  0.000000E+00  6.297581E+09  7.492774E+05  1.015099E+25  7.066413E+19  9.765533E+09  4.147705E+09
    111  4.641297951594E-02  0.000000E+00  0.000000E+00  6.286819E+09  7.454426E+05  1.007867E+25  7.066423E+19  9.763995E+09  4.143764E+09
    112  4.656990459822E-02  0.000000E+00  0.000000E+00  6.276962E+09  7.419415E+05  1.001276E+25  7.066434E+19  9.762577E+09  4.140151E+09
    113  4.671253119976E-02  0.000000E+00  0.000000E+00  6.268015E+09  7.387737E+05  9.953228E+24  7.066444E+19  9.761285E+09  4.136870E+09
    114  4.684580987606E-02  0.000000E+00  0.000000E+00  6.259667E+09  7.358257E+05  9.897914E+24  7.066454E+19  9.760073E+09  4.133805E+09
    115  4.697520204195E-02  0.000000E+00  0.000000E+00  6.251573E+09  7.329749E+05  9.844504E+24  7.066464E+19  9.758893E+09  4.130832E+09
    116  4.709649788536E-02  0.000000E+00  0.000000E+00  6.243994E+09  7.303126E+05  9.794695E+24  7.066473E+19  9.757784E+09  4.128046E+09
    117  4.721637454993E-02  0.000000E+00  0.000000E+00  6.236514E+09  7.276909E+05  9.745713E+24  7.066483E+19  9.756686E+09  4.125294E+09
    118  4.732862910872E-02  0.000000E+00  0.000000E+00  6.229517E+09  7.252444E+05  9.700065E+24  7.066493E+19  9.755654E+09  4.122718E+09
    119  4.750539400184E-02  0.000000E+00  0.000000E+00  6.218515E+09  7.214086E+05  9.628611E+24  7.066508E+19  9.754025E+09  4.118664E+09
    120  4.767210524850E-02  0.000000E+00  0.000000E+00  6.208157E+09  7.178096E+05  9.561696E+24  7.066522E+19  9.752484E+09  4.114842E+09
    121  4.783406579930E-02  0.000000E+00  0.000000E+00  6.198110E+09  7.143304E+05  9.497126E+24  7.066537E+19  9.750981E+09  4.111130E+09
    122  4.799263518131E-02  0.000000E+00  0.000000E+00  6.188290E+09  7.109403E+05  9.434323E+24  7.066551E+19  9.749505E+09  4.107497E+09
    123  4.815339657435E-02  0.000000E+00  0.000000E+00  6.178349E+09  7.075198E+05  9.371066E+24  7.066566E+19  9.748004E+09  4.103814E+09
    124  4.832264594384E-02  0.000000E+00  0.000000E+00  6.167901E+09  7.039365E+05  9.304918E+24  7.066581E+19  9.746419E+09  4.099937E+09
    125  4.849826454798E-02  0.000000E+00  0.000000E+00  6.157079E+09  7.002375E+05  9.236761E+24  7.066597E+19  9.744768E+09  4.095914E+09
    126  4.867786870736E-02  0.000000E+00  0.000000E+00  6.146030E+09  6.964747E+05  9.167558E+24  7.066614E+19  9.743075E+09  4.091798E+09
    127  4.885872256535E-02  0.000000E+00  0.000000E+00  6.134925E+09  6.927062E+05  9.098390E+24  7.066631E+19  9.741363E+09  4.087656E+09
    128  4.903755607841E-02  0.000000E+00  0.000000E+00  6.123964E+09  6.889997E+05  9.030510E+24  7.066648E+19  9.739665E+09  4.083566E+09
    129  4.921259737621E-02  0.000000E+00  0.000000E+00  6.113254E+09  6.853911E+05  8.964559E+24  7.066664E+19  9.737997E+09  4.079568E+09
    130  4.938368810460E-02  0.000000E+00  0.000000E+00  6.102803E+09  6.818822E+05  8.900556E+24  7.066680E+19  9.736361E+09  4.075664E+09
    131  4.955132280349E-02  0.000000E+00  0.000000E+00  6.092581E+09  6.784616E+05  8.838284E+24  7.066696E+19  9.734754E+09  4.071840E+09
    132  4.971624312404E-02  0.000000E+00  0.000000E+00  6.082542E+09  6.751131E+05  8.777436E+24  7.066712E+19  9.733167E+09  4.068079E+09
    133  4.987811857735E-02  0.000000E+00  0.000000E+00  6.072704E+09  6.718425E+05  8.718111E+24  7.066728E+19  9.731605E+09  4.064387E+09
    134  5.003799836445E-02  0.000000E+00  0.000000E+00  6.063002E+09  6.686278E+05  8.659900E+24  7.066743E+19  9.730057E+09  4.060741E+09
    135  5.019682549602E-02  0.000000E+00  0.000000E+00  6.053380E+09  6.654495E+05  8.602448E+24  7.066759E+19  9.728515E+09  4.057119E+09
    136  5.035511419132E-02  0.000000E+00  0.000000E+00  6.043806E+09  6.622970E+05  8.545559E+24  7.066774E+19  9.726973E+09  4.053508E+09
    137  5.051299755300E-02  0.000000E+00  0.000000E+00  6.034271E+09  6.591675E+05  8.489179E+24  7.066790E+19  9.725430E+09  4.049906E+09
    138  5.067010535678E-02  0.000000E+00  0.000000E+00  6.024799E+09  6.560680E+05  8.433436E+24  7.066806E+19  9.723891E+09  4.046321E+09
    139  5.082726902819E-02  0.000000E+00  0.000000E+00  6.015337E+09  6.529820E+05  8.378028E+24  7.066822E+19  9.722345E+09  4.042733E+09
    140  5.098506829486E-02  0.000000E+00  0.000000E+00  6.005852E+09  6.498981E+05  8.322751E+24  7.066838E+19  9.720789E+09  4.039130E+09
    141  5.114361869269E-02  0.000000E+00  0.000000E+00  5.996338E+09  6.468142E+05  8.267569E+24  7.066854E+19  9.719219E+09  4.035510E+09
    142  5.130328078870E-02  0.000000E+00  0.000000E+00  5.986771E+09  6.437234E+05  8.212360E+24  7.066872E+19  9.717634E+09  4.031863E+09
    143  5.146205644840E-02  0.000000E+00  0.000000E+00  5.977274E+09  6.406645E+05  8.157813E+24  7.066889E+19  9.716052E+09  4.028237E+09
    144  5.162089365231E-02  0.000000E+00  0.000000E+00  5.967787E+09  6.376189E+05  8.103598E+24  7.066907E+19  9.714464E+09  4.024609E+09
    145  5.177902725711E-02  0.000000E+00  0.000000E+00  5.958357E+09  6.346012E+05  8.049973E+24  7.066925E+19  9.712878E+09  4.020997E+09
    146  5.193558292952E-02  0.000000E+00  0.000000E+00  5.949036E+09  6.316277E+05  7.997225E+24  7.066943E+19  9.711302E+09  4.017422E+09
    147  5.207655208218E-02  0.000000E+00  0.000000E+00  5.940656E+09  6.289621E+05  7.950018E+24  7.066960E+19  9.709878E+09  4.014203E+09
    148  5.220437120847E-02  0.000000E+00  0.000000E+00  5.933068E+09  6.265549E+05  7.907450E+24  7.066976E+19  9.708582E+09  4.011286E+09
    149  5.240275279905E-02  0.000000E+00  0.000000E+00  5.921309E+09  6.228371E+05  7.841825E+24  7.067002E+19  9.706564E+09  4.006759E+09
    150  5.258707116153E-02  0.000000E+00  0.000000E+00  5.910405E+09  6.194026E+05  7.781332E+24  7.067027E+19  9.704681E+09  4.002554E+09
    151  5.276353482958E-02  0.000000E+00  0.000000E+00  5.899985E+09  6.161322E+05  7.723847E+24  7.067053E+19  9.702870E+09  3.998531E+09
    152  5.293536770993E-02  0.000000E+00  0.000000E+00  5.889855E+09  6.129642E+05  7.668273E+24  7.067078E+19  9.701099E+09  3.994616E+09
    153  5.310288915571E-02  0.000000E+00  0.000000E+00  5.879997E+09  6.098914E+05  7.614472E+24  7.067105E+19  9.699365E+09  3.990801E+09
    154  5.325369291828E-02  0.000000E+00  0.000000E+00  5.871136E+09  6.071384E+05  7.566359E+24  7.067129E+19  9.697797E+09  3.987370E+09
    155  5.339308966526E-02  0.000000E+00  0.000000E+00  5.862958E+09  6.046047E+05  7.522152E+24  7.067153E+19  9.696343E+09  3.984199E+09
    156  5.362726198018E-02  0.000000E+00  0.000000E+00  5.849244E+09  6.003721E+05  7.448463E+24  7.067195E+19  9.693889E+09  3.978878E+09
    157  5.383816121000E-02  0.000000E+00  0.000000E+00  5.836921E+09  5.965856E+05  7.382708E+24  7.067235E+19  9.691667E+09  3.974090E+09
    158  5.403768730975E-02  0.000000E+00  0.000000E+00  5.825287E+09  5.930252E+05  7.321028E+24  7.067275E+19  9.689553E+09  3.969564E+09
    159  5.422986619970E-02  0.000000E+00  0.000000E+00  5.814102E+09  5.896161E+05  7.262100E+24  7.067314E+19  9.687508E+09  3.965209E+09
    160  5.440569294967E-02  0.000000E+00  0.000000E+00  5.803889E+09  5.865141E+05  7.208598E+24  7.067352E+19  9.685628E+09  3.961228E+09
    161  5.456994612052E-02  0.000000E+00  0.000000E+00  5.794363E+09  5.836311E+05  7.158969E+24  7.067389E+19  9.683865E+09  3.957512E+09
    162  5.485681963417E-02  0.000000E+00  0.000000E+00  5.777765E+09  5.786298E+05  7.073099E+24  7.067454E+19  9.680770E+09  3.951028E+09
    163  5.511708850657E-02  0.000000E+00  0.000000E+00  5.762747E+09  5.741295E+05  6.996071E+24  7.067517E+19  9.677945E+09  3.945150E+09
    164  5.536560227933E-02  0.000000E+00  0.000000E+00  5.748443E+09  5.698650E+05  6.923293E+24  7.067578E+19  9.675231E+09  3.939543E+09
    165  5.559867087093E-02  0.000000E+00  0.000000E+00  5.735061E+09  5.658944E+05  6.855713E+24  7.067637E+19  9.672674E+09  3.934287E+09
    166  5.582344501454E-02  0.000000E+00  0.000000E+00  5.722185E+09  5.620913E+05  6.791151E+24  7.067695E+19  9.670195E+09  3.929219E+09
    167  5.608267729631E-02  0.000000E+00  0.000000E+00  5.707370E+09  5.577368E+05  6.717427E+24  7.067764E+19  9.667321E+09  3.923375E+09
    168  5.632179590432E-02  0.000000E+00  0.000000E+00  5.693739E+09  5.537502E+05  6.650114E+24  7.067830E+19  9.664656E+09  3.917984E+09
    169  5.658568452696E-02  0.000000E+00  0.000000E+00  5.678734E+09  5.493837E+05  6.576590E+24  7.067903E+19  9.661700E+09  3.912034E+09
    170  5.682194908758E-02  0.000000E+00  0.000000E+00  5.665333E+09  5.455034E+05  6.511452E+24  7.067970E+19  9.659039E+09  3.906717E+09
    171  5.707748662895E-02  0.000000E+00  0.000000E+00  5.650874E+09  5.413375E+05  6.441720E+24  7.068045E+19  9.656147E+09  3.900975E+09
    172  5.730159219632E-02  0.000000E+00  0.000000E+00  5.638224E+09  5.377102E+05  6.381171E+24  7.068111E+19  9.653598E+09  3.895942E+09
    173  5.769211250520E-02  0.000000E+00  0.000000E+00  5.616249E+09  5.314474E+05  6.276988E+24  7.068229E+19  9.649128E+09  3.887176E+09
    174  5.804755660481E-02  0.000000E+00  0.000000E+00  5.596322E+09  5.258105E+05  6.183601E+24  7.068339E+19  9.645029E+09  3.879196E+09
    175  5.837706807704E-02  0.000000E+00  0.000000E+00  5.577911E+09  5.206383E+05  6.098232E+24  7.068444E+19  9.641203E+09  3.871795E+09
    176  5.868213309337E-02  0.000000E+00  0.000000E+00  5.560921E+09  5.158952E+05  6.020216E+24  7.068543E+19  9.637637E+09  3.864939E+09
    177  5.897372529375E-02  0.000000E+00  0.000000E+00  5.544730E+09  5.114019E+05  5.946551E+24  7.068640E+19  9.634208E+09  3.858384E+09
    178  5.927019313219E-02  0.000000E+00  0.000000E+00  5.528316E+09  5.068737E+05  5.872553E+24  7.068740E+19  9.630700E+09  3.851718E+09
    179  5.955970264735E-02  0.000000E+00  0.000000E+00  5.512334E+09  5.024904E+05  5.801157E+24  7.068840E+19  9.627253E+09  3.845209E+09
