 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                prot          he4  
    194  6.470641913937E-02  1.300557E-06  5.471274E-02
    195  6.514351188605E-02  1.141745E-06  5.459007E-02
    196  6.551961572666E-02  1.019682E-06  5.448350E-02
    197  6.614173306661E-02  8.444857E-07  5.430547E-02
    198  6.666431851744E-02  7.200309E-07  5.415460E-02
    199  6.714973898932E-02  6.204225E-07  5.401369E-02
    200  6.763365269933E-02  5.340296E-07  5.387268E-02
    201  6.810748363549E-02  4.607620E-07  5.373428E-02
    202  6.886988901479E-02  3.629403E-07  5.351136E-02
    203  6.932442343830E-02  3.144836E-07  5.337853E-02
    204  6.977291475786E-02  2.727953E-07  5.324762E-02
    205  7.051837306122E-02  2.152391E-07  5.303059E-02
    206  7.120724846930E-02  1.728056E-07  5.283081E-02
    207  7.185571854523E-02  1.404282E-07  5.264345E-02
    208  7.250556240022E-02  1.141557E-07  5.245634E-02
    209  7.308358088908E-02  9.503690E-08  5.229034E-02
    210  7.365083251161E-02  7.945208E-08  5.212757E-02
    211  7.420607479025E-02  6.682711E-08  5.196817E-02
    212  7.477269193766E-02  5.618844E-08  5.180503E-02
    213  7.532671922740E-02  4.756472E-08  5.164449E-02
    214  7.590819975934E-02  4.013191E-08  5.147416E-02
    215  7.648106882397E-02  3.416341E-08  5.130350E-02
    216  7.706864365518E-02  2.917163E-08  5.112415E-02
    217  7.765097184480E-02  2.515088E-08  5.094041E-02
    218  7.824188421090E-02  2.185502E-08  5.074614E-02
    219  7.883216312169E-02  1.919652E-08  5.054251E-02
    220  7.934760137230E-02  1.728900E-08  5.035565E-02
    221  7.991019390762E-02  1.557545E-08  5.014140E-02
    222  8.044081450283E-02  1.424807E-08  4.992924E-02
    223  8.103419684334E-02  1.302801E-08  4.968069E-02
    224  8.158988408622E-02  1.209949E-08  4.943810E-02
    225  8.219791245697E-02  1.128232E-08  4.916370E-02
    226  8.273529679330E-02  1.070202E-08  4.891542E-02
    227  8.327310875316E-02  1.022910E-08  4.866343E-02
    228  8.381967664174E-02  9.834968E-09  4.840557E-02
    229  8.442137901789E-02  9.470166E-09  4.812125E-02
    230  8.496109010092E-02  9.177588E-09  4.786659E-02
    231  8.556251684447E-02  8.867137E-09  4.758337E-02
    232  8.609514523980E-02  8.589845E-09  4.733265E-02
    233  8.668730402486E-02  8.266477E-09  4.705310E-02
    234  8.725638446658E-02  7.934173E-09  4.678247E-02
    235  8.784892152766E-02  7.563096E-09  4.649731E-02
    236  8.837914431516E-02  7.210044E-09  4.623820E-02
    237  8.927467123273E-02  6.576657E-09  4.578995E-02
    238  9.009385267910E-02  5.973123E-09  4.536681E-02
    239  9.088007009323E-02  5.391429E-09  4.494894E-02
    240  9.160938796651E-02  4.866746E-09  4.455229E-02
    241  9.231864750676E-02  4.383526E-09  4.416038E-02
    242  9.335415502949E-02  3.745211E-09  4.358291E-02
    243  9.429165011748E-02  3.249345E-09  4.306190E-02
    244  9.514750284226E-02  2.867098E-09  4.259407E-02
    245  9.592869681963E-02  2.574210E-09  4.217780E-02
    246  9.638259128200E-02  2.426023E-09  4.194189E-02
    247  9.686466198075E-02  2.284768E-09  4.169677E-02
    248  9.745016881397E-02  2.133216E-09  4.140716E-02
    249  9.798964068785E-02  2.010581E-09  4.114861E-02
    250  9.892639389759E-02  1.829892E-09  4.071933E-02
    251  9.977784733458E-02  1.694843E-09  4.035116E-02
    252  1.005622893962E-01  1.589479E-09  4.003048E-02
    253  1.013070552067E-01  1.503027E-09  3.974216E-02
    254  1.019791947326E-01  1.434061E-09  3.949505E-02
    255  1.025982572428E-01  1.376688E-09  3.927813E-02
    256  1.032644197032E-01  1.320453E-09  3.905570E-02
    257  1.039121745974E-01  1.270264E-09  3.884994E-02
    258  1.045193471709E-01  1.226553E-09  3.866614E-02
    259  1.051181778144E-01  1.186161E-09  3.849310E-02
    260  1.056826419982E-01  1.150195E-09  3.833720E-02
    261  1.062431336111E-01  1.116200E-09  3.818904E-02
    262  1.068146627648E-01  1.083112E-09  3.804453E-02
    263  1.073656177930E-01  1.052534E-09  3.791122E-02
    264  1.079139362418E-01  1.023178E-09  3.778415E-02
    265  1.084202130578E-01  9.969189E-10  3.767156E-02
    266  1.089957947327E-01  9.679065E-10  3.754883E-02
    267  1.095139929398E-01  9.424223E-10  3.744286E-02
    268  1.100036617482E-01  9.187799E-10  3.734648E-02
    269  1.105581599754E-01  8.924608E-10  3.724148E-02
    270  1.111738162549E-01  8.637281E-10  3.712976E-02
    271  1.117276452796E-01  8.382811E-10  3.703335E-02
    272  1.122547306619E-01  8.144398E-10  3.694498E-02
    273  1.128196390807E-01  7.893484E-10  3.685373E-02
    274  1.134172103791E-01  7.633640E-10  3.676088E-02
    275  1.139661173569E-01  7.400196E-10  3.667874E-02
    276  1.145721141816E-01  7.148519E-10  3.659138E-02
    277  1.151138636995E-01  6.928920E-10  3.651610E-02
    278  1.160623872824E-01  6.556142E-10  3.639031E-02
