 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cu62          cu63          cu64          cu65          cu66          cu67          cu68          cu69 
     97  4.339365876136E-02  1.248615E-20  1.279090E-18  1.630022E-17  3.823976E-16  1.027183E-15  8.474242E-15  4.771139E-15  5.530397E-15
     98  4.362382833621E-02  1.894079E-20  2.016657E-18  2.632691E-17  6.364673E-16  1.750228E-15  1.492102E-14  8.579394E-15  1.024406E-14
     99  4.384703699487E-02  2.840833E-20  3.141119E-18  4.199384E-17  1.045821E-15  2.942658E-15  2.590362E-14  1.520245E-14  1.868446E-14
    100  4.408801045744E-02  4.407241E-20  5.078011E-18  6.968617E-17  1.793168E-15  5.173187E-15  4.715338E-14  2.829484E-14  3.588315E-14
    101  4.430336182063E-02  6.537903E-20  7.818472E-18  1.098761E-16  2.912997E-15  8.595371E-15  8.084541E-14  4.948786E-14  6.455270E-14
    102  4.453208602613E-02  9.943480E-20  1.237526E-17  1.784364E-16  4.886054E-15  1.476948E-14  1.436621E-13  8.982680E-14  1.207464E-13
    103  4.474836808964E-02  1.475458E-19  1.907566E-17  2.819095E-16  7.963509E-15  2.463207E-14  2.473763E-13  1.578237E-13  2.182928E-13
    104  4.497736119052E-02  2.229889E-19  3.002548E-17  4.556309E-16  1.330969E-14  4.219097E-14  4.383889E-13  2.857386E-13  4.073953E-13
    105  4.517199675598E-02  3.145817E-19  4.385720E-17  6.808621E-16  2.047268E-14  6.627409E-14  7.089481E-13  4.705956E-13  6.885519E-13
    106  4.536038532241E-02  4.349683E-19  6.272806E-17  9.958018E-16  3.080372E-14  1.017766E-13  1.119954E-12  7.567030E-13  1.135363E-12
    107  4.552484255766E-02  5.717627E-19  8.493738E-17  1.375176E-15  4.361662E-14  1.467177E-13  1.654986E-12  1.135659E-12  1.741859E-12
    108  4.581275722245E-02  8.985047E-19  1.406234E-16  2.357686E-15  7.817070E-14  2.713888E-13  3.197728E-12  2.254857E-12  3.594918E-12
    109  4.603616864208E-02  1.241834E-18  2.024089E-16  3.488123E-15  1.197577E-13  4.261586E-13  5.195152E-12  3.741857E-12  6.148403E-12
    110  4.624194314299E-02  1.635101E-18  2.767003E-16  4.892183E-15  1.735102E-13  6.317029E-13  7.947262E-12  5.837240E-12  9.862596E-12
    111  4.641297951594E-02  2.020501E-18  3.527743E-16  6.372663E-15  2.322536E-13  8.618405E-13  1.113103E-11  8.310073E-12  1.437067E-11
    112  4.656990459822E-02  2.420513E-18  4.349300E-16  8.014278E-15  2.995153E-13  1.131105E-12  1.496601E-11  1.134191E-11  2.003736E-11
    113  4.671253119976E-02  2.821435E-18  5.203971E-16  9.764717E-15  3.734086E-13  1.432889E-12  1.938102E-11  1.488967E-11  2.682220E-11
    114  4.684580987606E-02  3.226733E-18  6.098878E-16  1.164054E-14  4.548373E-13  1.771697E-12  2.446285E-11  1.903553E-11  3.492143E-11
    115  4.697520204195E-02  3.646911E-18  7.058899E-16  1.369850E-14  5.466093E-13  2.160426E-12  3.043456E-11  2.397847E-11  4.477657E-11
    116  4.709649788536E-02  4.063137E-18  8.041978E-16  1.585202E-14  6.451619E-13  2.585089E-12  3.710920E-11  2.958027E-11  5.616481E-11
    117  4.721637454993E-02  4.494196E-18  9.093698E-16  1.820498E-14  7.555816E-13  3.068834E-12  4.488245E-11  3.619193E-11  6.986105E-11
    118  4.732862910872E-02  4.914281E-18  1.015163E-15  2.062071E-14  8.717325E-13  3.585876E-12  5.336930E-11  4.350392E-11  8.528408E-11
    119  4.750539400184E-02  5.604833E-18  1.196230E-15  2.486387E-14  1.082121E-12  4.541535E-12  6.948453E-11  5.761664E-11  1.157428E-10
    120  4.767210524850E-02  6.285251E-18  1.383445E-15  2.938757E-14  1.314676E-12  5.623118E-12  8.830498E-11  7.441388E-11  1.529747E-10
    121  4.783406579930E-02  6.969676E-18  1.580811E-15  3.429965E-14  1.576129E-12  6.866939E-12  1.106098E-10  9.468569E-11  1.990702E-10
    122  4.799263518131E-02  7.658889E-18  1.789011E-15  3.963390E-14  1.869870E-12  8.295533E-12  1.369907E-10  1.190897E-10  2.559593E-10
    123  4.815339657435E-02  8.373376E-18  2.015326E-15  4.560514E-14  2.210134E-12  9.987163E-12  1.691601E-10  1.493756E-10  3.283322E-10
    124  4.832264594384E-02  9.140591E-18  2.270536E-15  5.254410E-14  2.619643E-12  1.206963E-11  2.099737E-10  1.885032E-10  4.242569E-10
    125  4.849826454798E-02  9.949855E-18  2.554016E-15  6.049759E-14  3.106493E-12  1.460441E-11  2.612352E-10  2.385842E-10  5.503513E-10
    126  4.867786870736E-02  1.078805E-17  2.863883E-15  6.947736E-14  3.677208E-12  1.764855E-11  3.248121E-10  3.019139E-10  7.142299E-10
    127  4.885872256535E-02  1.163945E-17  3.196546E-15  7.943993E-14  4.334955E-12  2.124376E-11  4.023846E-10  3.807164E-10  9.238805E-10
    128  4.903755607841E-02  1.248509E-17  3.546022E-15  9.025566E-14  5.076654E-12  2.539775E-11  4.949675E-10  4.766235E-10  1.186182E-09
    129  4.921259737621E-02  1.331285E-17  3.907875E-15  1.018238E-13  5.900153E-12  3.012151E-11  6.036576E-10  5.913995E-10  1.508728E-09
    130  4.938368810460E-02  1.411834E-17  4.280324E-15  1.141170E-13  6.807912E-12  3.545188E-11  7.301867E-10  7.275471E-10  1.901635E-09
    131  4.955132280349E-02  1.490031E-17  4.662885E-15  1.271480E-13  7.805417E-12  4.144510E-11  8.768590E-10  8.882997E-10  2.377783E-09
    132  4.971624312404E-02  1.565858E-17  5.055694E-15  1.409533E-13  8.900431E-12  4.817439E-11  1.046566E-09  1.077695E-09  2.953319E-09
    133  4.987811857735E-02  1.638789E-17  5.456257E-15  1.554774E-13  1.009375E-11  5.567303E-11  1.241358E-09  1.298995E-09  3.642986E-09
    134  5.003799836445E-02  1.708643E-17  5.864743E-15  1.707745E-13  1.139636E-11  6.404194E-11  1.465295E-09  1.557920E-09  4.470324E-09
    135  5.019682549602E-02  1.775602E-17  6.282160E-15  1.869136E-13  1.282012E-11  7.339317E-11  1.722951E-09  1.861101E-09  5.463423E-09
    136  5.035511419132E-02  1.839377E-17  6.707797E-15  2.039170E-13  1.437467E-11  8.383237E-11  2.019147E-09  2.215801E-09  6.654482E-09
    137  5.051299755300E-02  1.899427E-17  7.139504E-15  2.217554E-13  1.606596E-11  9.544694E-11  2.358565E-09  2.629488E-09  8.078651E-09
    138  5.067010535678E-02  1.954965E-17  7.573215E-15  2.403187E-13  1.789261E-11  1.082787E-10  2.744874E-09  3.108743E-09  9.770315E-09
    139  5.082726902819E-02  2.005562E-17  8.007579E-15  2.596133E-13  1.986530E-11  1.224595E-10  3.184841E-09  3.664408E-09  1.178169E-08
    140  5.098506829486E-02  2.050538E-17  8.439827E-15  2.795949E-13  2.199131E-11  1.381087E-10  3.685488E-09  4.308285E-09  1.417257E-08
    141  5.114361869269E-02  2.088936E-17  8.864982E-15  3.001249E-13  2.426936E-11  1.552926E-10  4.252801E-09  5.051531E-09  1.700497E-08
    142  5.130328078870E-02  2.119727E-17  9.277628E-15  3.210478E-13  2.669742E-11  1.740816E-10  4.893558E-09  5.907074E-09  2.035282E-08
    143  5.146205644840E-02  2.141466E-17  9.665457E-15  3.418418E-13  2.922975E-11  1.942078E-10  5.603266E-09  6.873250E-09  2.423698E-08
    144  5.162089365231E-02  2.153289E-17  1.002298E-14  3.623163E-13  3.185795E-11  2.156910E-10  6.387521E-09  7.962356E-09  2.873736E-08
    145  5.177902725711E-02  2.154149E-17  1.033997E-14  3.820067E-13  3.453846E-11  2.382680E-10  7.242028E-09  9.173588E-09  3.388516E-08
    146  5.193558292952E-02  2.142936E-17  1.060516E-14  4.003816E-13  3.721724E-11  2.615718E-10  8.158456E-09  1.050024E-08  3.968822E-08
    147  5.207655208218E-02  2.122059E-17  1.079527E-14  4.156021E-13  3.961117E-11  2.831122E-10  9.038741E-09  1.180149E-08  4.554301E-08
    148  5.220437120847E-02  2.093951E-17  1.092226E-14  4.280195E-13  4.173292E-11  3.028596E-10  9.876217E-09  1.306423E-08  5.137633E-08
    149  5.240275279905E-02  2.032456E-17  1.102239E-14  4.440271E-13  4.485249E-11  3.333007E-10  1.123269E-08  1.516288E-08  6.140541E-08
    150  5.258707116153E-02  1.955624E-17  1.099721E-14  4.545401E-13  4.745321E-11  3.604925E-10  1.252742E-08  1.723296E-08  7.172257E-08
    151  5.276353482958E-02  1.864785E-17  1.085755E-14  4.599636E-13  4.956333E-11  3.845719E-10  1.376306E-08  1.927874E-08  8.236930E-08
    152  5.293536770993E-02  1.761237E-17  1.060870E-14  4.603568E-13  5.116232E-11  4.052535E-10  1.492528E-08  2.127942E-08  9.327442E-08
    153  5.310288915571E-02  1.647692E-17  1.025943E-14  4.557790E-13  5.220691E-11  4.219409E-10  1.598128E-08  2.318154E-08  1.041844E-07
    154  5.325369291828E-02  1.536737E-17  9.859083E-15  4.473675E-13  5.265952E-11  4.333987E-10  1.683518E-08  2.480320E-08  1.140158E-07
    155  5.339308966526E-02  1.428623E-17  9.422919E-15  4.360432E-13  5.263961E-11  4.405781E-10  1.751891E-08  2.618508E-08  1.229085E-07
