 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                o13           o14           o15           o16           o17           o18           o19           o20  
     66  3.501586344154E-02  4.671277E-27  2.266906E-23  3.220350E-18  6.947803E-13  1.806487E-12  9.662644E-13  1.206535E-24  1.235462E-26
     67  3.563385967804E-02  9.248192E-27  2.313557E-23  3.036215E-18  7.756239E-13  2.542325E-12  1.302797E-12  1.206515E-24  1.235423E-26
     68  3.619390900501E-02  8.936361E-27  2.327014E-23  2.882437E-18  8.585718E-13  3.354640E-12  1.679437E-12  1.206498E-24  1.235388E-26
     69  3.661379630041E-02  6.800489E-27  2.319202E-23  2.775596E-18  9.275944E-13  4.054611E-12  2.012415E-12  1.206485E-24  1.235362E-26
     70  3.704099468238E-02  7.317167E-27  2.295875E-23  2.674432E-18  1.004517E-12  4.843471E-12  2.400010E-12  1.206472E-24  1.235335E-26
     71  3.731378163516E-02  4.832555E-27  2.271660E-23  2.614661E-18  1.057527E-12  5.369029E-12  2.668302E-12  1.206463E-24  1.235318E-26
     72  3.757630769329E-02  4.672780E-27  2.241514E-23  2.560918E-18  1.111636E-12  5.878501E-12  2.938182E-12  1.206455E-24  1.235301E-26
     73  3.788075418501E-02  5.710254E-27  2.198383E-23  2.503424E-18  1.178451E-12  6.457158E-12  3.259748E-12  1.206445E-24  1.235282E-26
     74  3.819794660071E-02  6.068569E-27  2.144637E-23  2.449172E-18  1.253049E-12  7.023151E-12  3.595590E-12  1.206436E-24  1.235262E-26
     75  3.838080203158E-02  3.466494E-27  2.109884E-23  2.420519E-18  1.298517E-12  7.322347E-12  3.785232E-12  1.206430E-24  1.235250E-26
     76  3.859219912978E-02  4.235646E-27  2.067183E-23  2.389389E-18  1.353450E-12  7.646137E-12  4.001850E-12  1.206423E-24  1.235237E-26
     77  3.884096228080E-02  5.127166E-27  2.012822E-23  2.356019E-18  1.421530E-12  7.971673E-12  4.241161E-12  1.206416E-24  1.235222E-26
     78  3.907668434759E-02  4.883515E-27  1.957589E-23  2.327579E-18  1.489663E-12  8.214031E-12  4.446107E-12  1.206408E-24  1.235207E-26
     79  3.934936577490E-02  5.929225E-27  1.889704E-23  2.298389E-18  1.573149E-12  8.402291E-12  4.648715E-12  1.206400E-24  1.235190E-26
     80  3.961640452516E-02  5.868799E-27  1.819606E-23  2.273449E-18  1.660070E-12  8.481537E-12  4.803496E-12  1.206391E-24  1.235173E-26
     81  3.991996766101E-02  7.004592E-27  1.736196E-23  2.249178E-18  1.765520E-12  8.437654E-12  4.918047E-12  1.206382E-24  1.235154E-26
     82  4.019473378510E-02  6.356466E-27  1.657753E-23  2.230670E-18  1.867491E-12  8.272414E-12  4.958602E-12  1.206373E-24  1.235136E-26
     83  4.046928694587E-02  6.664921E-27  1.577013E-23  2.215138E-18  1.976058E-12  7.992507E-12  4.935846E-12  1.206365E-24  1.235119E-26
     84  4.074955599116E-02  6.862842E-27  1.492299E-23  2.202189E-18  2.094268E-12  7.590617E-12  4.842394E-12  1.206356E-24  1.235102E-26
     85  4.099011663524E-02  6.265366E-27  1.417849E-23  2.193277E-18  2.202092E-12  7.157972E-12  4.703795E-12  1.206349E-24  1.235087E-26
     86  4.118445936105E-02  5.142490E-27  1.356657E-23  2.187437E-18  2.293767E-12  6.756410E-12  4.553400E-12  1.206343E-24  1.235074E-26
     87  4.137235583218E-02  5.061840E-27  1.296725E-23  2.182848E-18  2.386503E-12  6.330792E-12  4.377144E-12  1.206337E-24  1.235062E-26
     88  4.152714488067E-02  4.226599E-27  1.246895E-23  2.179775E-18  2.466075E-12  5.957898E-12  4.211032E-12  1.206332E-24  1.235053E-26
     89  4.165981986900E-02  3.662185E-27  1.203946E-23  2.177593E-18  2.536660E-12  5.626098E-12  4.055186E-12  1.206328E-24  1.235044E-26
     90  4.188596337322E-02  6.303257E-27  1.130519E-23  2.174690E-18  2.662274E-12  5.044355E-12  3.765445E-12  1.206321E-24  1.235030E-26
     91  4.208159634323E-02  5.554723E-27  1.067140E-23  2.172832E-18  2.776600E-12  4.535555E-12  3.495862E-12  1.206315E-24  1.235018E-26
     92  4.230932596557E-02  6.601548E-27  9.941671E-24  2.171179E-18  2.916711E-12  3.951564E-12  3.168376E-12  1.206308E-24  1.235004E-26
     93  4.251598135750E-02  6.134829E-27  9.293427E-24  2.169867E-18  3.050769E-12  3.441758E-12  2.866217E-12  1.206301E-24  1.234991E-26
     94  4.274368410830E-02  6.909294E-27  8.605085E-24  2.168252E-18  3.206461E-12  2.915884E-12  2.537509E-12  1.206294E-24  1.234976E-26
     95  4.294191711445E-02  6.222159E-27  8.035904E-24  2.166370E-18  3.349147E-12  2.496864E-12  2.261626E-12  1.206288E-24  1.234964E-26
     96  4.316569238790E-02  7.192753E-27  7.436400E-24  2.163408E-18  3.518594E-12  2.073161E-12  1.967993E-12  1.206281E-24  1.234950E-26
     97  4.339365876136E-02  7.411062E-27  6.881513E-24  2.159132E-18  3.700765E-12  1.698332E-12  1.693329E-12  1.206274E-24  1.234935E-26
     98  4.362382833621E-02  7.673395E-27  6.385599E-24  2.153197E-18  3.894912E-12  1.377810E-12  1.444461E-12  1.206267E-24  1.234921E-26
     99  4.384703699487E-02  7.628096E-27  5.970662E-24  2.145659E-18  4.093405E-12  1.119566E-12  1.231880E-12  1.206260E-24  1.234907E-26
    100  4.408801045744E-02  8.458359E-27  5.596359E-24  2.135356E-18  4.319435E-12  8.933231E-13  1.034026E-12  1.206252E-24  1.234892E-26
