 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                mn67          mn68          mn69          mn70          mn71          mn72          mn73          mn74 
    100  4.408801045744E-02  4.417842E-23  7.980977E-26  4.565408E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    101  4.430336182063E-02  7.659045E-23  1.393716E-25  8.111595E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    102  4.453208602613E-02  1.372352E-22  2.516647E-25  1.491957E-27  1.068301E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    103  4.474836808964E-02  2.374338E-22  4.386130E-25  2.646137E-27  1.907859E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    104  4.497736119052E-02  4.218164E-22  7.853048E-25  4.826568E-27  3.502813E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    105  4.517199675598E-02  6.828126E-22  1.279646E-24  7.990389E-27  5.831343E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    106  4.536038532241E-02  1.079905E-21  2.036860E-24  1.291574E-26  9.476948E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    107  4.552484255766E-02  1.599127E-21  3.033153E-24  1.949377E-26  1.437132E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    108  4.581275722245E-02  3.117296E-21  5.971202E-24  3.929395E-26  2.920935E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    109  4.603616864208E-02  5.131021E-21  9.904112E-24  6.638836E-26  4.966952E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    110  4.624194314299E-02  7.992613E-21  1.553700E-23  1.059337E-25  7.972819E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    111  4.641297951594E-02  1.141855E-20  2.232758E-23  1.544072E-25  1.167862E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    112  4.656990459822E-02  1.569534E-20  3.085651E-23  2.161907E-25  1.642601E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    113  4.671253119976E-02  2.080322E-20  4.109989E-23  2.914003E-25  2.223200E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    114  4.684580987606E-02  2.690457E-20  5.339896E-23  3.828359E-25  2.932098E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    115  4.697520204195E-02  3.435104E-20  6.848372E-23  4.963247E-25  3.815588E-28  1.154719E-30  1.000000E-30  1.000000E-30  1.000000E-30
    116  4.709649788536E-02  4.299734E-20  8.608152E-23  6.302325E-25  4.862117E-28  1.488888E-30  1.000000E-30  1.000000E-30  1.000000E-30
    117  4.721637454993E-02  5.346105E-20  1.074750E-22  7.948163E-25  6.153239E-28  1.901217E-30  1.000000E-30  1.000000E-30  1.000000E-30
    118  4.732862910872E-02  6.533049E-20  1.318483E-22  9.843077E-25  7.645134E-28  2.382169E-30  1.000000E-30  1.000000E-30  1.000000E-30
    119  4.750539400184E-02  8.902745E-20  1.807775E-22  1.369818E-24  1.069424E-27  3.376841E-30  1.000000E-30  1.000000E-30  1.000000E-30
    120  4.767210524850E-02  1.184288E-19  2.418762E-22  1.858771E-24  1.458220E-27  4.662799E-30  1.000000E-30  1.000000E-30  1.000000E-30
    121  4.783406579930E-02  1.554118E-19  3.192029E-22  2.486859E-24  1.960199E-27  6.345157E-30  1.000000E-30  1.000000E-30  1.000000E-30
    122  4.799263518131E-02  2.018308E-19  4.168398E-22  3.291499E-24  2.606476E-27  8.539168E-30  1.000000E-30  1.000000E-30  1.000000E-30
    123  4.815339657435E-02  2.619411E-19  5.440272E-22  4.354903E-24  3.464809E-27  1.149065E-29  1.000000E-30  1.000000E-30  1.000000E-30
    124  4.832264594384E-02  3.431938E-19  7.170083E-22  5.822949E-24  4.655807E-27  1.564074E-29  1.000000E-30  1.000000E-30  1.000000E-30
    125  4.849826454798E-02  4.523288E-19  9.508398E-22  7.838596E-24  6.299777E-27  2.144915E-29  1.000000E-30  1.000000E-30  1.000000E-30
    126  4.867786870736E-02  5.974869E-19  1.263906E-21  1.058089E-23  8.548650E-27  2.950889E-29  1.000000E-30  1.000000E-30  1.000000E-30
    127  4.885872256535E-02  7.877654E-19  1.677027E-21  1.425893E-23  1.158164E-26  4.053716E-29  1.000000E-30  1.000000E-30  1.000000E-30
    128  4.903755607841E-02  1.031873E-18  2.210549E-21  1.908655E-23  1.558459E-26  5.530384E-29  1.000000E-30  1.000000E-30  1.000000E-30
    129  4.921259737621E-02  1.339758E-18  2.887866E-21  2.531391E-23  2.077622E-26  7.472935E-29  1.000000E-30  1.000000E-30  1.000000E-30
    130  4.938368810460E-02  1.724467E-18  3.739611E-21  3.326829E-23  2.744287E-26  1.000233E-28  1.000000E-30  1.000000E-30  1.000000E-30
    131  4.955132280349E-02  2.202710E-18  4.805080E-21  4.337220E-23  3.595511E-26  1.327629E-28  1.000000E-30  1.000000E-30  1.000000E-30
    132  4.971624312404E-02  2.795737E-18  6.134424E-21  5.616985E-23  4.679188E-26  1.750060E-28  1.000000E-30  1.000000E-30  1.000000E-30
    133  4.987811857735E-02  3.524798E-18  7.778623E-21  7.223532E-23  6.046421E-26  2.290115E-28  1.000000E-30  1.000000E-30  1.000000E-30
    134  5.003799836445E-02  4.421820E-18  9.813715E-21  9.241344E-23  7.772169E-26  2.980724E-28  1.000000E-30  1.000000E-30  1.000000E-30
    135  5.019682549602E-02  5.526749E-18  1.233541E-20  1.177832E-22  9.952626E-26  3.864689E-28  1.000000E-30  1.000000E-30  1.000000E-30
    136  5.035511419132E-02  6.887140E-18  1.545857E-20  1.496647E-22  1.270623E-25  4.995568E-28  1.000000E-30  1.000000E-30  1.000000E-30
    137  5.051299755300E-02  8.557732E-18  1.931671E-20  1.896274E-22  1.617479E-25  6.438667E-28  1.000000E-30  1.000000E-30  1.000000E-30
    138  5.067010535678E-02  1.059660E-17  2.405342E-20  2.394118E-22  2.051709E-25  8.268906E-28  1.000000E-30  1.000000E-30  1.000000E-30
    139  5.082726902819E-02  1.308865E-17  2.987758E-20  3.015293E-22  2.596185E-25  1.059392E-27  1.000000E-30  1.000000E-30  1.000000E-30
    140  5.098506829486E-02  1.613587E-17  3.704218E-20  3.790820E-22  3.279336E-25  1.354970E-27  1.000000E-30  1.000000E-30  1.000000E-30
    141  5.114361869269E-02  1.985228E-17  4.583357E-20  4.756793E-22  4.134530E-25  1.729937E-27  1.000000E-30  1.000000E-30  1.000000E-30
    142  5.130328078870E-02  2.437877E-17  5.660764E-20  5.958753E-22  5.204072E-25  2.205253E-27  1.000000E-30  1.000000E-30  1.000000E-30
    143  5.146205644840E-02  2.979478E-17  6.957986E-20  7.428349E-22  6.518496E-25  2.797404E-27  1.000000E-30  1.000000E-30  1.000000E-30
    144  5.162089365231E-02  3.627205E-17  8.519228E-20  9.224708E-22  8.133516E-25  3.535029E-27  1.000000E-30  1.000000E-30  1.000000E-30
    145  5.177902725711E-02  4.392714E-17  1.037621E-19  1.139515E-21  1.009508E-24  4.443437E-27  1.223792E-30  1.000000E-30  1.000000E-30
    146  5.193558292952E-02  5.284804E-17  1.255426E-19  1.398150E-21  1.244485E-24  5.546908E-27  1.534074E-30  1.000000E-30  1.000000E-30
    147  5.207655208218E-02  6.214659E-17  1.483865E-19  1.673567E-21  1.495971E-24  6.743773E-27  1.871717E-30  1.000000E-30  1.000000E-30
    148  5.220437120847E-02  7.170196E-17  1.719962E-19  1.962232E-21  1.760778E-24  8.019589E-27  2.233007E-30  1.000000E-30  1.000000E-30
    149  5.240275279905E-02  8.879649E-17  2.145395E-19  2.491629E-21  2.249248E-24  1.040948E-26  2.913028E-30  1.000000E-30  1.000000E-30
    150  5.258707116153E-02  1.072704E-16  2.609162E-19  3.081033E-21  2.796864E-24  1.313827E-26  3.693876E-30  1.000000E-30  1.000000E-30
    151  5.276353482958E-02  1.273138E-16  3.116641E-19  3.739464E-21  3.412756E-24  1.626244E-26  4.592787E-30  1.000000E-30  1.000000E-30
    152  5.293536770993E-02  1.489538E-16  3.669305E-19  4.471633E-21  4.102277E-24  1.982301E-26  5.622889E-30  1.000000E-30  1.000000E-30
    153  5.310288915571E-02  1.718652E-16  4.259687E-19  5.270674E-21  4.859981E-24  2.380710E-26  6.781897E-30  1.000000E-30  1.000000E-30
    154  5.325369291828E-02  1.937536E-16  4.828751E-19  6.057323E-21  5.610999E-24  2.782646E-26  7.957494E-30  1.000000E-30  1.000000E-30
    155  5.339308966526E-02  2.147746E-16  5.380035E-19  6.835150E-21  6.358431E-24  3.189471E-26  9.153477E-30  1.000000E-30  1.000000E-30
    156  5.362726198018E-02  2.508797E-16  6.338585E-19  8.226747E-21  7.707682E-24  3.941066E-26  1.137851E-29  1.000000E-30  1.000000E-30
    157  5.383816121000E-02  2.831103E-16  7.208590E-19  9.538460E-21  8.994368E-24  4.679424E-26  1.358375E-29  1.000000E-30  1.000000E-30
    158  5.403768730975E-02  3.120596E-16  8.004316E-19  1.078729E-20  1.023423E-23  5.412809E-26  1.579371E-29  1.000000E-30  1.000000E-30
    159  5.422986619970E-02  3.375177E-16  8.718959E-19  1.196031E-20  1.141413E-23  6.133590E-26  1.798598E-29  1.000000E-30  1.000000E-30
    160  5.440569294967E-02  3.579364E-16  9.306718E-19  1.297543E-20  1.244986E-23  6.788347E-26  1.999682E-29  1.000000E-30  1.000000E-30
    161  5.456994612052E-02  3.740428E-16  9.784823E-19  1.385081E-20  1.335700E-23  7.382996E-26  2.184140E-29  1.000000E-30  1.000000E-30
    162  5.485681963417E-02  3.941425E-16  1.042073E-18  1.514782E-20  1.473702E-23  8.342359E-26  2.486406E-29  1.000000E-30  1.000000E-30
    163  5.511708850657E-02  4.032221E-16  1.076440E-18  1.603049E-20  1.572127E-23  9.094963E-26  2.729168E-29  1.000000E-30  1.000000E-30
    164  5.536560227933E-02  4.038037E-16  1.088045E-18  1.658407E-20  1.638974E-23  9.681565E-26  2.924177E-29  1.000000E-30  1.000000E-30
    165  5.559867087093E-02  3.974522E-16  1.080312E-18  1.682987E-20  1.675330E-23  1.009254E-25  3.067051E-29  1.000000E-30  1.000000E-30
