 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cd116         cd117         cd118         cd119         cd120         cd121         cd122         cd123
    102  4.453208602613E-02  1.602653E-28  1.526049E-28  7.669632E-29  2.860939E-29  8.005952E-30  2.282091E-30  1.000000E-30  1.000000E-30
    103  4.474836808964E-02  1.669752E-28  1.640042E-28  8.581568E-29  3.297657E-29  8.949016E-30  2.559546E-30  1.000000E-30  1.000000E-30
    104  4.497736119052E-02  1.993428E-28  2.016089E-28  1.093646E-28  4.306508E-29  1.229244E-29  3.457994E-30  1.000000E-30  1.000000E-30
    105  4.517199675598E-02  1.744790E-28  1.773111E-28  9.697117E-29  3.849808E-29  1.180861E-29  3.489670E-30  1.000000E-30  1.000000E-30
    106  4.536038532241E-02  1.852576E-28  1.925121E-28  1.080620E-28  4.354593E-29  1.318536E-29  3.914468E-30  1.000000E-30  1.000000E-30
    107  4.552484255766E-02  1.864480E-28  2.004851E-28  1.180907E-28  4.954187E-29  1.584395E-29  4.765689E-30  1.000000E-30  1.000000E-30
    108  4.581275722245E-02  3.367983E-28  3.637773E-28  2.142761E-28  8.931824E-29  2.858621E-29  8.815410E-30  1.000000E-30  1.000000E-30
    109  4.603616864208E-02  3.179583E-28  3.639503E-28  2.314563E-28  1.020140E-28  3.566030E-29  1.135247E-29  1.146503E-30  1.000000E-30
    110  4.624194314299E-02  3.087132E-28  3.610706E-28  2.371324E-28  1.070231E-28  3.858150E-29  1.248642E-29  1.288666E-30  1.000000E-30
    111  4.641297951594E-02  2.759311E-28  3.276250E-28  2.188887E-28  9.962194E-29  3.614410E-29  1.181879E-29  1.245737E-30  1.000000E-30
    112  4.656990459822E-02  2.652147E-28  3.181850E-28  2.151428E-28  9.889409E-29  3.687367E-29  1.217868E-29  1.306676E-30  1.000000E-30
    113  4.671253119976E-02  2.556477E-28  3.104587E-28  2.128763E-28  9.863211E-29  3.726707E-29  1.242998E-29  1.355798E-30  1.000000E-30
    114  4.684580987606E-02  2.500645E-28  3.071770E-28  2.135413E-28  9.972469E-29  3.817074E-29  1.288600E-29  1.427211E-30  1.000000E-30
    115  4.697520204195E-02  2.534510E-28  3.150077E-28  2.221188E-28  1.046772E-28  4.059752E-29  1.392417E-29  1.564689E-30  1.000000E-30
    116  4.709649788536E-02  2.501090E-28  3.150737E-28  2.258923E-28  1.076074E-28  4.237722E-29  1.470675E-29  1.675935E-30  1.000000E-30
    117  4.721637454993E-02  2.575568E-28  3.280807E-28  2.384644E-28  1.146108E-28  4.566990E-29  1.609992E-29  1.859551E-30  1.000000E-30
    118  4.732862910872E-02  2.541636E-28  3.277020E-28  2.418067E-28  1.173616E-28  4.746883E-29  1.687407E-29  1.974847E-30  1.000000E-30
    119  4.750539400184E-02  4.230083E-28  5.563495E-28  4.215592E-28  2.084033E-28  8.682233E-29  3.162336E-29  3.912096E-30  1.000000E-30
    120  4.767210524850E-02  4.217275E-28  5.652157E-28  4.363434E-28  2.177199E-28  9.037655E-29  3.196095E-29  3.777630E-30  1.000000E-30
    121  4.783406579930E-02  4.353646E-28  5.944704E-28  4.703561E-28  2.386230E-28  1.024207E-28  3.734628E-29  4.581131E-30  1.000000E-30
    122  4.799263518131E-02  4.510489E-28  6.261393E-28  5.060145E-28  2.603408E-28  1.143008E-28  4.231448E-29  5.359282E-30  1.067194E-30
    123  4.815339657435E-02  4.807542E-28  6.786974E-28  5.606986E-28  2.927624E-28  1.316935E-28  4.968396E-29  6.420278E-30  1.293063E-30
    124  4.832264594384E-02  5.299262E-28  7.622965E-28  6.454922E-28  3.426394E-28  1.582403E-28  6.089020E-29  7.909843E-30  1.612825E-30
    125  4.849826454798E-02  5.773162E-28  8.461142E-28  7.336336E-28  3.954826E-28  1.870419E-28  7.306516E-29  9.799464E-30  2.023408E-30
    126  4.867786870736E-02  6.215496E-28  9.280908E-28  8.239675E-28  4.510790E-28  2.185091E-28  8.670193E-29  1.186409E-29  2.413120E-30
    127  4.885872256535E-02  6.584701E-28  1.001335E-27  9.100009E-28  5.058706E-28  2.510533E-28  1.011669E-28  1.431925E-29  3.008664E-30
    128  4.903755607841E-02  6.832296E-28  1.058131E-27  9.847006E-28  5.560719E-28  2.830481E-28  1.158745E-28  1.665091E-29  3.593950E-30
    129  4.921259737621E-02  7.029565E-28  1.109412E-27  1.058151E-27  6.073920E-28  3.174594E-28  1.321252E-28  1.924513E-29  4.236124E-30
    130  4.938368810460E-02  7.212421E-28  1.158029E-27  1.129684E-27  6.582362E-28  3.525166E-28  1.489674E-28  2.207217E-29  4.990009E-30
    131  4.955132280349E-02  7.392983E-28  1.207836E-27  1.205690E-27  7.134062E-28  3.918353E-28  1.682326E-28  2.563609E-29  5.733038E-30
    132  4.971624312404E-02  7.632796E-28  1.268381E-27  1.294541E-27  7.773119E-28  4.372384E-28  1.905316E-28  2.993077E-29  6.964749E-30
    133  4.987811857735E-02  7.803958E-28  1.317157E-27  1.371992E-27  8.350177E-28  4.801641E-28  2.121359E-28  3.420020E-29  7.971716E-30
    134  5.003799836445E-02  8.036838E-28  1.379778E-27  1.469039E-27  9.070171E-28  5.339835E-28  2.394064E-28  3.966914E-29  9.449475E-30
    135  5.019682549602E-02  8.343722E-28  1.454603E-27  1.578603E-27  9.865212E-28  5.918339E-28  2.684797E-28  4.546934E-29  1.096754E-29
    136  5.035511419132E-02  8.620567E-28  1.526168E-27  1.688690E-27  1.068546E-27  6.536550E-28  2.998925E-28  5.183868E-29  1.281877E-29
    137  5.051299755300E-02  8.946973E-28  1.609359E-27  1.816492E-27  1.164079E-27  7.263136E-28  3.372003E-28  5.923268E-29  1.470933E-29
    138  5.067010535678E-02  9.250978E-28  1.689947E-27  1.944792E-27  1.261831E-27  8.027130E-28  3.770529E-28  6.729195E-29  1.678326E-29
    139  5.082726902819E-02  9.623832E-28  1.785520E-27  2.094459E-27  1.375583E-27  8.920211E-28  4.239362E-28  7.686591E-29  1.944971E-29
    140  5.098506829486E-02  9.992425E-28  1.882390E-27  2.250389E-27  1.495845E-27  9.882184E-28  4.750022E-28  8.760308E-29  2.262401E-29
