 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ar31          ar32          ar33          ar34          ar35          ar36          ar37          ar38 
     75  3.838080203158E-02  1.000000E-30  1.000000E-30  1.000000E-30  7.872504E-30  2.595143E-24  9.179368E-19  6.903055E-17  3.861638E-14
     76  3.859219912978E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.194119E-30  2.790843E-24  1.030732E-18  7.952705E-17  4.625081E-14
     77  3.884096228080E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.544644E-30  3.018767E-24  1.173284E-18  9.330212E-17  5.680481E-14
     78  3.907668434759E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.841926E-30  3.227714E-24  1.316908E-18  1.077658E-16  6.852467E-14
     79  3.934936577490E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.135669E-30  3.454435E-24  1.491171E-18  1.261365E-16  8.434537E-14
     80  3.961640452516E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.364960E-30  3.653978E-24  1.667220E-18  1.456767E-16  1.023354E-13
     81  3.991996766101E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.550357E-30  3.844894E-24  1.868875E-18  1.694209E-16  1.258774E-13
     82  4.019473378510E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.647546E-30  3.976983E-24  2.047338E-18  1.918732E-16  1.499734E-13
     83  4.046928694587E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.682545E-30  4.065235E-24  2.217017E-18  2.147770E-16  1.766003E-13
     84  4.074955599116E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.656075E-30  4.102688E-24  2.373529E-18  2.378130E-16  2.059024E-13
     85  4.099011663524E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.587330E-30  4.087625E-24  2.487610E-18  2.564907E-16  2.320919E-13
     86  4.118445936105E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.506213E-30  4.042356E-24  2.562421E-18  2.703337E-16  2.534480E-13
     87  4.137235583218E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.411554E-30  3.970494E-24  2.617530E-18  2.822698E-16  2.738118E-13
     88  4.152714488067E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.325885E-30  3.891224E-24  2.648917E-18  2.907962E-16  2.900588E-13
     89  4.165981986900E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.250025E-30  3.809658E-24  2.665128E-18  2.970260E-16  3.033893E-13
     90  4.188596337322E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.123286E-30  3.644507E-24  2.669266E-18  3.050843E-16  3.243463E-13
     91  4.208159634323E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.025764E-30  3.479089E-24  2.648962E-18  3.092477E-16  3.401876E-13
     92  4.230932596557E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.939606E-30  3.267094E-24  2.599021E-18  3.107082E-16  3.553963E-13
     93  4.251598135750E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.897594E-30  3.063224E-24  2.531424E-18  3.088897E-16  3.657717E-13
     94  4.274368410830E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.900442E-30  2.834686E-24  2.436313E-18  3.036064E-16  3.730805E-13
     95  4.294191711445E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.949615E-30  2.638867E-24  2.339738E-18  2.964861E-16  3.758368E-13
