 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sm150         sm151         sm152         sm153         sm154         sm155         sm156         sm157
    116  4.709649788536E-02  3.164826E-30  4.952465E-30  2.803420E-30  3.114027E-30  1.583027E-30  1.000000E-30  1.000000E-30  1.000000E-30
    117  4.721637454993E-02  3.288517E-30  5.212432E-30  3.029158E-30  3.387512E-30  1.743418E-30  1.000000E-30  1.000000E-30  1.000000E-30
    118  4.732862910872E-02  3.256630E-30  5.232180E-30  3.090960E-30  3.506713E-30  1.831354E-30  1.013758E-30  1.000000E-30  1.000000E-30
    119  4.750539400184E-02  5.547855E-30  8.958469E-30  5.276393E-30  6.075161E-30  3.217334E-30  1.798465E-30  1.000000E-30  1.000000E-30
    120  4.767210524850E-02  5.464641E-30  8.985567E-30  5.418427E-30  6.376904E-30  3.579898E-30  2.047089E-30  1.000000E-30  1.000000E-30
    121  4.783406579930E-02  5.724600E-30  9.583950E-30  6.045610E-30  7.121364E-30  3.916327E-30  2.205811E-30  1.000000E-30  1.000000E-30
    122  4.799263518131E-02  5.950052E-30  1.016589E-29  6.554903E-30  8.001822E-30  4.545921E-30  2.640613E-30  1.000000E-30  1.000000E-30
    123  4.815339657435E-02  6.325053E-30  1.107643E-29  7.190190E-30  8.952626E-30  5.219558E-30  3.180675E-30  1.000000E-30  1.000000E-30
    124  4.832264594384E-02  7.016065E-30  1.239607E-29  8.323824E-30  1.046389E-29  6.319048E-30  3.800063E-30  1.000000E-30  1.000000E-30
    125  4.849826454798E-02  7.853702E-30  1.408043E-29  9.601201E-30  1.238413E-29  7.430086E-30  4.611153E-30  1.000000E-30  1.000000E-30
    126  4.867786870736E-02  8.689789E-30  1.583819E-29  1.109866E-29  1.456819E-29  9.134133E-30  5.693249E-30  1.216920E-30  1.000000E-30
    127  4.885872256535E-02  9.311134E-30  1.723431E-29  1.249827E-29  1.664796E-29  1.064309E-29  6.936692E-30  1.519349E-30  1.000000E-30
    128  4.903755607841E-02  9.760950E-30  1.834345E-29  1.356943E-29  1.834432E-29  1.209556E-29  7.922567E-30  1.763580E-30  1.000000E-30
    129  4.921259737621E-02  1.014586E-29  1.939039E-29  1.463454E-29  2.012345E-29  1.363138E-29  9.215945E-30  2.097453E-30  1.000000E-30
    130  4.938368810460E-02  1.054048E-29  2.049110E-29  1.565493E-29  2.183309E-29  1.506802E-29  1.035230E-29  2.389613E-30  1.000000E-30
    131  4.955132280349E-02  1.098120E-29  2.172046E-29  1.681507E-29  2.378306E-29  1.650126E-29  1.150514E-29  2.785803E-30  1.000000E-30
    132  4.971624312404E-02  1.147511E-29  2.309248E-29  1.814685E-29  2.612376E-29  1.829257E-29  1.292850E-29  3.099132E-30  1.000000E-30
    133  4.987811857735E-02  1.184530E-29  2.426675E-29  1.940393E-29  2.839683E-29  2.012931E-29  1.428217E-29  3.507091E-30  1.087514E-30
    134  5.003799836445E-02  1.229577E-29  2.571087E-29  2.096664E-29  3.125788E-29  2.258690E-29  1.605259E-29  4.036935E-30  1.268777E-30
    135  5.019682549602E-02  1.280820E-29  2.737789E-29  2.289831E-29  3.485650E-29  2.590726E-29  1.864647E-29  4.749179E-30  1.510057E-30
    136  5.035511419132E-02  1.335818E-29  2.917797E-29  2.512976E-29  3.905234E-29  2.984114E-29  2.184244E-29  5.687837E-30  1.831866E-30
    137  5.051299755300E-02  1.392133E-29  3.104933E-29  2.750484E-29  4.360977E-29  3.422528E-29  2.561193E-29  6.705881E-30  2.164622E-30
    138  5.067010535678E-02  1.445118E-29  3.284922E-29  2.988357E-29  4.829970E-29  3.886978E-29  2.972089E-29  7.982105E-30  2.639023E-30
    139  5.082726902819E-02  1.510294E-29  3.497712E-29  3.265282E-29  5.372946E-29  4.427034E-29  3.456045E-29  9.480149E-30  3.150459E-30
    140  5.098506829486E-02  1.582068E-29  3.727730E-29  3.570361E-29  5.982335E-29  5.049540E-29  4.022425E-29  1.125969E-29  3.765897E-30
    141  5.114361869269E-02  1.659258E-29  3.976947E-29  3.901385E-29  6.658184E-29  5.757150E-29  4.678829E-29  1.348631E-29  4.644310E-30
    142  5.130328078870E-02  1.744265E-29  4.249976E-29  4.265228E-29  7.407069E-29  6.552491E-29  5.426787E-29  1.588948E-29  5.497729E-30
    143  5.146205644840E-02  1.821371E-29  4.507756E-29  4.619631E-29  8.151958E-29  7.361058E-29  6.196359E-29  1.832075E-29  6.579541E-30
    144  5.162089365231E-02  1.903863E-29  4.782420E-29  5.004494E-29  8.977162E-29  8.283043E-29  7.094258E-29  2.129450E-29  7.595833E-30
    145  5.177902725711E-02  1.974870E-29  5.034445E-29  5.375787E-29  9.797072E-29  9.231606E-29  8.040147E-29  2.458612E-29  8.960288E-30
    146  5.193558292952E-02  2.094991E-29  5.422259E-29  5.887980E-29  1.086764E-28  1.044081E-28  9.264678E-29  3.016415E-29  1.125263E-29
    147  5.207655208218E-02  1.960359E-29  5.154827E-29  5.715516E-29  1.070050E-28  1.046573E-28  9.420349E-29  3.115479E-29  1.171481E-29
    148  5.220437120847E-02  1.854850E-29  4.938256E-29  5.562427E-29  1.054204E-28  1.046620E-28  9.523063E-29  3.188399E-29  1.212831E-29
    149  5.240275279905E-02  3.029965E-29  8.242537E-29  9.536653E-29  1.846497E-28  1.881487E-28  1.744936E-28  5.963483E-29  2.327078E-29
    150  5.258707116153E-02  2.787338E-29  7.707177E-29  9.135537E-29  1.804425E-28  1.881820E-28  1.771640E-28  6.035324E-29  2.312905E-29
    151  5.276353482958E-02  2.811098E-29  7.923872E-29  9.640458E-29  1.939802E-28  2.074467E-28  1.994334E-28  7.049128E-29  2.789600E-29
    152  5.293536770993E-02  2.820496E-29  8.096541E-29  1.008894E-28  2.068760E-28  2.267984E-28  2.223252E-28  8.058912E-29  3.260881E-29
    153  5.310288915571E-02  2.953537E-29  8.640659E-29  1.100577E-28  2.297267E-28  2.578631E-28  2.576146E-28  9.586360E-29  4.019566E-29
    154  5.325369291828E-02  2.772719E-29  8.266231E-29  1.079144E-28  2.295871E-28  2.640545E-28  2.687104E-28  1.021925E-28  4.355562E-29
    155  5.339308966526E-02  2.555368E-29  7.646957E-29  1.003876E-28  2.145026E-28  2.474782E-28  2.520086E-28  9.534904E-29  4.011636E-29
    156  5.362726198018E-02  4.573137E-29  1.418283E-28  1.949670E-28  4.317379E-28  5.233603E-28  5.549253E-28  2.217370E-28  9.766866E-29
    157  5.383816121000E-02  4.197076E-29  1.324130E-28  1.859473E-28  4.169136E-28  5.093434E-28  5.400921E-28  2.130822E-28  9.163107E-29
    158  5.403768730975E-02  4.114425E-29  1.328845E-28  1.926006E-28  4.431846E-28  5.622953E-28  6.156404E-28  2.548921E-28  1.146922E-28
    159  5.422986619970E-02  4.117022E-29  1.358973E-28  2.032104E-28  4.797871E-28  6.309414E-28  7.111249E-28  3.060152E-28  1.418695E-28
    160  5.440569294967E-02  3.870974E-29  1.304924E-28  2.005020E-28  4.832478E-28  6.524904E-28  7.502306E-28  3.307587E-28  1.559949E-28
    161  5.456994612052E-02  3.632361E-29  1.234512E-28  1.914835E-28  4.642400E-28  6.291331E-28  7.236194E-28  3.176372E-28  1.487851E-28
    162  5.485681963417E-02  6.576162E-29  2.312465E-28  3.785629E-28  9.621796E-28  1.400363E-27  1.709719E-27  8.135172E-28  4.051508E-28
    163  5.511708850657E-02  6.157754E-29  2.245947E-28  3.810471E-28  9.859805E-28  1.445446E-27  1.756084E-27  8.159852E-28  3.945018E-28
    164  5.536560227933E-02  6.037348E-29  2.247639E-28  3.954216E-28  1.057762E-27  1.637614E-27  2.089853E-27  1.046738E-27  5.401307E-28
    165  5.559867087093E-02  5.739266E-29  2.193808E-28  3.993660E-28  1.095854E-27  1.754190E-27  2.297377E-27  1.190525E-27  6.304308E-28
    166  5.582344501454E-02  5.547594E-29  2.160869E-28  4.008914E-28  1.111097E-27  1.785895E-27  2.333733E-27  1.196333E-27  6.259543E-28
    167  5.608267729631E-02  6.456526E-29  2.594512E-28  4.994777E-28  1.420111E-27  2.353231E-27  3.143151E-27  1.653277E-27  8.805523E-28
    168  5.632179590432E-02  5.931543E-29  2.456568E-28  4.949700E-28  1.460263E-27  2.548580E-27  3.545558E-27  1.965114E-27  1.087427E-27
    169  5.658568452696E-02  6.604232E-29  2.808113E-28  5.829322E-28  1.753002E-27  3.121275E-27  4.395728E-27  2.464020E-27  1.371911E-27
    170  5.682194908758E-02  5.898000E-29  2.558052E-28  5.489623E-28  1.698285E-27  3.153649E-27  4.596639E-27  2.698779E-27  1.555862E-27
    171  5.707748662895E-02  6.310022E-29  2.834363E-28  6.338784E-28  2.015613E-27  3.860719E-27  5.743709E-27  3.446254E-27  2.014049E-27
    172  5.730159219632E-02  5.455709E-29  2.496929E-28  5.764895E-28  1.883627E-27  3.756800E-27  5.776237E-27  3.622939E-27  2.188771E-27
    173  5.769211250520E-02  9.354581E-29  4.488183E-28  1.106245E-27  3.802187E-27  8.149040E-27  1.327397E-26  9.003752E-27  5.768868E-27
    174  5.804755660481E-02  7.932758E-29  3.864880E-28  9.953629E-28  3.583885E-27  8.298547E-27  1.436985E-26  1.045538E-26  6.985527E-27
    175  5.837706807704E-02  7.462300E-29  3.828313E-28  1.027814E-27  3.758181E-27  8.745661E-27  1.521075E-26  1.130499E-26  7.771270E-27
    176  5.868213309337E-02  6.516410E-29  3.490158E-28  9.918704E-28  3.776708E-27  9.234771E-27  1.657025E-26  1.266478E-26  8.838940E-27
    177  5.897372529375E-02  5.895245E-29  3.262258E-28  9.728399E-28  3.841620E-27  9.841364E-27  1.825670E-26  1.451135E-26  1.038630E-26
