 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                s43           s44           s45           s46           s47           s48           s49           cl28 
     86  4.118445936105E-02  1.509331E-19  4.378493E-22  3.533014E-26  1.537689E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  4.137235583218E-02  1.854124E-19  5.456824E-22  4.403085E-26  1.935687E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  4.152714488067E-02  2.184080E-19  6.504998E-22  5.248862E-26  2.326718E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  4.165981986900E-02  2.502568E-19  7.530369E-22  6.076278E-26  2.712759E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  4.188596337322E-02  3.126525E-19  9.574305E-22  7.725740E-26  3.491448E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  4.208159634323E-02  3.754309E-19  1.167336E-21  9.419863E-26  4.302390E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  4.230932596557E-02  4.593517E-19  1.453949E-21  1.173327E-25  5.425699E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  4.251598135750E-02  5.459771E-19  1.756436E-21  1.417501E-25  6.629047E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  4.274368410830E-02  6.528884E-19  2.138467E-21  1.725928E-25  8.172598E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  4.294191711445E-02  7.556974E-19  2.514444E-21  2.029517E-25  9.715424E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     96  4.316569238790E-02  8.823987E-19  2.988821E-21  2.412635E-25  1.169284E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     97  4.339365876136E-02  1.022804E-18  3.528194E-21  2.848346E-25  1.397991E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     98  4.362382833621E-02  1.175795E-18  4.131756E-21  3.336041E-25  1.658458E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     99  4.384703699487E-02  1.334707E-18  4.775600E-21  3.856438E-25  1.941227E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    100  4.408801045744E-02  1.517851E-18  5.538303E-21  4.473111E-25  2.282297E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
