 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                rh108         rh109         rh110         rh111         rh112         rh113         rh114         rh115
    105  4.517199675598E-02  2.542263E-29  2.761840E-29  1.627356E-29  1.101392E-29  1.711800E-30  1.000000E-30  1.000000E-30  1.000000E-30
    106  4.536038532241E-02  2.624058E-29  2.909808E-29  1.732140E-29  1.178650E-29  1.861006E-30  1.000000E-30  1.000000E-30  1.000000E-30
    107  4.552484255766E-02  2.564012E-29  3.002543E-29  1.851166E-29  1.242206E-29  1.986454E-30  1.000000E-30  1.000000E-30  1.000000E-30
    108  4.581275722245E-02  4.722870E-29  5.575893E-29  3.470329E-29  2.463526E-29  4.225259E-30  1.782659E-30  1.000000E-30  1.000000E-30
    109  4.603616864208E-02  4.098878E-29  5.150120E-29  3.366440E-29  2.460625E-29  4.126331E-30  1.783359E-30  1.000000E-30  1.000000E-30
    110  4.624194314299E-02  4.027874E-29  5.177154E-29  3.468061E-29  2.633208E-29  4.639607E-30  2.056440E-30  1.000000E-30  1.000000E-30
    111  4.641297951594E-02  3.587162E-29  4.701705E-29  3.179648E-29  2.432624E-29  4.324107E-30  1.957674E-30  1.000000E-30  1.000000E-30
    112  4.656990459822E-02  3.468660E-29  4.618249E-29  3.173612E-29  2.490051E-29  4.487834E-30  2.068691E-30  1.000000E-30  1.000000E-30
    113  4.671253119976E-02  3.328162E-29  4.511429E-29  3.141444E-29  2.505521E-29  4.539049E-30  2.126301E-30  1.000000E-30  1.000000E-30
    114  4.684580987606E-02  3.265293E-29  4.495663E-29  3.169110E-29  2.571043E-29  4.677586E-30  2.223694E-30  1.000000E-30  1.000000E-30
    115  4.697520204195E-02  3.310249E-29  4.623500E-29  3.297935E-29  2.720324E-29  5.037571E-30  2.493336E-30  1.000000E-30  1.000000E-30
    116  4.709649788536E-02  3.270170E-29  4.644308E-29  3.351619E-29  2.800811E-29  5.272594E-30  2.543626E-30  1.000000E-30  1.000000E-30
    117  4.721637454993E-02  3.347619E-29  4.816338E-29  3.513852E-29  2.976186E-29  5.720136E-30  2.917522E-30  1.000000E-30  1.000000E-30
    118  4.732862910872E-02  3.303933E-29  4.826847E-29  3.558426E-29  3.048903E-29  5.903593E-30  3.022473E-30  1.000000E-30  1.000000E-30
    119  4.750539400184E-02  5.387887E-29  8.100825E-29  6.107268E-29  5.391207E-29  1.063461E-29  5.563860E-30  1.000000E-30  1.000000E-30
    120  4.767210524850E-02  5.394562E-29  8.200901E-29  6.177084E-29  5.361016E-29  1.041801E-29  5.280762E-30  1.000000E-30  1.000000E-30
    121  4.783406579930E-02  5.538558E-29  8.622982E-29  6.641639E-29  5.952915E-29  1.194529E-29  6.405864E-30  1.000000E-30  1.000000E-30
    122  4.799263518131E-02  5.713228E-29  9.096511E-29  7.137341E-29  6.555142E-29  1.342435E-29  7.229692E-30  1.000000E-30  1.000000E-30
    123  4.815339657435E-02  6.043410E-29  9.852974E-29  7.882970E-29  7.427452E-29  1.536661E-29  8.606815E-30  1.000000E-30  1.000000E-30
    124  4.832264594384E-02  6.592555E-29  1.100041E-28  8.979796E-29  8.699933E-29  1.834197E-29  1.054535E-29  1.000000E-30  1.000000E-30
    125  4.849826454798E-02  7.194621E-29  1.222509E-28  1.012505E-28  1.000749E-28  2.179427E-29  1.278963E-29  1.000000E-30  1.000000E-30
    126  4.867786870736E-02  7.884861E-29  1.348815E-28  1.121437E-28  1.113424E-28  2.460507E-29  1.467990E-29  1.000000E-30  1.000000E-30
    127  4.885872256535E-02  8.644907E-29  1.525906E-28  1.296114E-28  1.314282E-28  2.912807E-29  1.782380E-29  1.127466E-30  1.000000E-30
    128  4.903755607841E-02  9.728160E-29  1.752902E-28  1.510378E-28  1.553313E-28  3.476836E-29  2.109438E-29  1.349639E-30  1.000000E-30
    129  4.921259737621E-02  1.126959E-28  2.098095E-28  1.856026E-28  1.973126E-28  4.542846E-29  2.862830E-29  1.855946E-30  1.000000E-30
    130  4.938368810460E-02  1.356315E-28  2.600168E-28  2.359196E-28  2.598937E-28  6.170415E-29  4.051417E-29  2.687017E-30  1.000000E-30
    131  4.955132280349E-02  1.711391E-28  3.350530E-28  3.092669E-28  3.487962E-28  8.450276E-29  5.705842E-29  3.880484E-30  1.000000E-30
    132  4.971624312404E-02  2.282247E-28  4.541440E-28  4.242733E-28  4.855992E-28  1.190495E-28  8.166936E-29  5.679880E-30  1.000000E-30
    133  4.987811857735E-02  3.216735E-28  6.539523E-28  6.202005E-28  7.213421E-28  1.788656E-28  1.240867E-28  8.679307E-30  1.000000E-30
    134  5.003799836445E-02  4.699011E-28  9.762623E-28  9.404597E-28  1.113118E-27  2.795884E-28  1.967275E-28  1.389144E-29  1.000000E-30
    135  5.019682549602E-02  7.046385E-28  1.496125E-27  1.464377E-27  1.765281E-27  4.495641E-28  3.213412E-28  2.293688E-29  1.306944E-30
    136  5.035511419132E-02  1.075442E-27  2.333651E-27  2.321195E-27  2.851542E-27  7.367712E-28  5.355584E-28  3.867745E-29  2.250089E-30
    137  5.051299755300E-02  1.658774E-27  3.678599E-27  3.718780E-27  4.657473E-27  1.221444E-27  9.036261E-28  6.607137E-29  3.889064E-30
    138  5.067010535678E-02  2.570038E-27  5.824414E-27  5.984415E-27  7.642553E-27  2.034856E-27  1.532796E-27  1.135143E-28  6.765721E-30
    139  5.082726902819E-02  3.994536E-27  9.251512E-27  9.662010E-27  1.258494E-26  3.402694E-27  2.610910E-27  1.959081E-28  1.182858E-29
    140  5.098506829486E-02  6.221492E-27  1.472719E-26  1.563533E-26  2.077582E-26  5.705599E-27  4.461130E-27  3.392548E-28  2.075744E-29
    141  5.114361869269E-02  9.695392E-27  2.345948E-26  2.532090E-26  3.433016E-26  9.577626E-27  7.632825E-27  5.883985E-28  3.649127E-29
    142  5.130328078870E-02  1.511203E-26  3.738297E-26  4.102627E-26  5.676638E-26  1.609099E-26  1.307375E-26  1.021811E-27  6.424659E-29
