 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ti46          ti47          ti48          ti49          ti50          ti51          ti52          ti53 
     76  3.859219912978E-02  3.041058E-19  3.133847E-17  7.855513E-15  9.650452E-14  4.016237E-12  1.949172E-12  9.914586E-13  7.416018E-14
     77  3.884096228080E-02  4.018446E-19  4.282013E-17  1.126741E-14  1.427469E-13  6.184517E-12  3.069473E-12  1.605358E-12  1.225329E-13
     78  3.907668434759E-02  5.203599E-19  5.722952E-17  1.576081E-14  2.056006E-13  9.254233E-12  4.691918E-12  2.519644E-12  1.960487E-13
     79  3.934936577490E-02  6.966329E-19  7.945836E-17  2.305479E-14  3.111381E-13  1.463822E-11  7.607666E-12  4.212789E-12  3.351822E-13
     80  3.961640452516E-02  9.197013E-19  1.086926E-16  3.317244E-14  4.628646E-13  2.274258E-11  1.211091E-11  6.911746E-12  5.620975E-13
     81  3.991996766101E-02  1.248777E-18  1.536279E-16  4.962893E-14  7.193476E-13  3.713662E-11  2.033389E-11  1.201083E-11  1.001501E-12
     82  4.019473378510E-02  1.631482E-18  2.080855E-16  7.072834E-14  1.061213E-12  5.729746E-11  3.217609E-11  1.960881E-11  1.672559E-12
     83  4.046928694587E-02  2.112561E-18  2.792925E-16  9.984378E-14  1.550935E-12  8.759555E-11  5.045456E-11  3.172650E-11  2.768371E-12
     84  4.074955599116E-02  2.722593E-18  3.732853E-16  1.404364E-13  2.260484E-12  1.337064E-10  7.904651E-11  5.132885E-11  4.584462E-12
     85  4.099011663524E-02  3.353847E-18  4.742853E-16  1.863396E-13  3.092617E-12  1.903371E-10  1.150801E-10  7.682344E-11  7.000590E-12
     86  4.118445936105E-02  3.943031E-18  5.715793E-16  2.324883E-13  3.955403E-12  2.513817E-10  1.547771E-10  1.056640E-10  9.786359E-12
     87  4.137235583218E-02  4.583842E-18  6.803967E-16  2.860958E-13  4.985825E-12  3.268729E-10  2.048384E-10  1.429098E-10  1.344601E-11
     88  4.152714488067E-02  5.166096E-18  7.817623E-16  3.377508E-13  6.003904E-12  4.038315E-10  2.567776E-10  1.823856E-10  1.738458E-11
     89  4.165981986900E-02  5.704983E-18  8.775483E-16  3.879702E-13  7.015015E-12  4.823192E-10  3.105449E-10  2.239964E-10  2.159036E-11
     90  4.188596337322E-02  6.708834E-18  1.060656E-15  4.874774E-13  9.074198E-12  6.477078E-10  4.260447E-10  3.154941E-10  3.099474E-11
     91  4.208159634323E-02  7.665254E-18  1.240281E-15  5.891871E-13  1.124734E-11  8.292558E-10  5.556745E-10  4.209758E-10  4.204651E-11
     92  4.230932596557E-02  8.883386E-18  1.475566E-15  7.280009E-13  1.431211E-11  1.095856E-09  7.504056E-10  5.838438E-10  5.944937E-11
     93  4.251598135750E-02  1.008961E-17  1.714790E-15  8.750315E-13  1.766959E-11  1.400256E-09  9.779535E-10  7.795526E-10  8.078238E-11
     94  4.274368410830E-02  1.153316E-17  2.007691E-15  1.062163E-12  2.209170E-11  1.818179E-09  1.297827E-09  1.062612E-09  1.122704E-10
     95  4.294191711445E-02  1.289674E-17  2.289343E-15  1.248534E-12  2.664580E-11  2.266227E-09  1.648738E-09  1.381850E-09  1.484906E-10
     96  4.316569238790E-02  1.457389E-17  2.639846E-15  1.487769E-12  3.268918E-11  2.884841E-09  2.144507E-09  1.845543E-09  2.021512E-10
     97  4.339365876136E-02  1.646300E-17  3.036662E-15  1.766311E-12  3.997781E-11  3.662624E-09  2.783286E-09  2.460862E-09  2.748725E-10
     98  4.362382833621E-02  1.860042E-17  3.484154E-15  2.087395E-12  4.868147E-11  4.630540E-09  3.598122E-09  3.269510E-09  3.724971E-10
     99  4.384703699487E-02  2.095256E-17  3.971024E-15  2.441831E-12  5.862474E-11  5.781080E-09  4.590540E-09  4.283688E-09  4.975256E-10
    100  4.408801045744E-02  2.388210E-17  4.566304E-15  2.878321E-12  7.130149E-11  7.307124E-09  5.940014E-09  5.704799E-09  6.765257E-10
    101  4.430336182063E-02  2.692593E-17  5.171403E-15  3.322551E-12  8.464193E-11  8.975668E-09  7.451429E-09  7.343480E-09  8.872633E-10
    102  4.453208602613E-02  3.068273E-17  5.901916E-15  3.856471E-12  1.012043E-10  1.112388E-08  9.443957E-09  9.566556E-09  1.179068E-09
    103  4.474836808964E-02  3.478636E-17  6.684778E-15  4.424683E-12  1.194172E-10  1.357268E-08  1.177015E-08  1.223772E-08  1.536975E-09
    104  4.497736119052E-02  3.973264E-17  7.616363E-15  5.096697E-12  1.416946E-10  1.667926E-08  1.479378E-08  1.581281E-08  2.026096E-09
    105  4.517199675598E-02  4.438367E-17  8.488560E-15  5.724537E-12  1.632123E-10  1.978873E-08  1.789201E-08  1.958035E-08  2.551937E-09
    106  4.536038532241E-02  4.918223E-17  9.392706E-15  6.378198E-12  1.863467E-10  2.324774E-08  2.141481E-08  2.397730E-08  3.177063E-09
    107  4.552484255766E-02  5.350328E-17  1.021699E-14  6.980501E-12  2.083508E-10  2.664934E-08  2.495181E-08  2.850157E-08  3.831517E-09
    108  4.581275722245E-02  6.097445E-17  1.168601E-14  8.083675E-12  2.505259E-10  3.348538E-08  3.226369E-08  3.816978E-08  5.263061E-09
    109  4.603616864208E-02  6.629504E-17  1.279104E-14  8.955221E-12  2.858131E-10  3.954851E-08  3.896572E-08  4.737480E-08  6.662502E-09
    110  4.624194314299E-02  7.046201E-17  1.372392E-14  9.741841E-12  3.195333E-10  4.568210E-08  4.594813E-08  5.729281E-08  8.205530E-09
