 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ge72          ge73          ge74          ge75          ge76          ge77          ge78          ge79 
     87  4.137235583218E-02  9.630398E-22  5.124490E-21  4.159183E-20  7.789671E-20  2.328288E-19  1.434325E-19  1.727316E-19  3.955902E-20
     88  4.152714488067E-02  1.363645E-21  7.384108E-21  6.140553E-20  1.169015E-19  3.573756E-19  2.234186E-19  2.746931E-19  6.378511E-20
     89  4.165981986900E-02  1.831836E-21  1.006934E-20  8.550162E-20  1.650761E-19  5.145121E-19  3.257409E-19  4.076936E-19  9.579793E-20
     90  4.188596337322E-02  3.010574E-21  1.697860E-20  1.494067E-19  2.954588E-19  9.518621E-19  6.157688E-19  7.944883E-19  1.905044E-19
     91  4.208159634323E-02  4.598015E-21  2.651391E-20  2.406444E-19  4.858806E-19  1.610888E-18  1.061778E-18  1.406578E-18  3.432533E-19
     92  4.230932596557E-02  7.482340E-21  4.428037E-20  4.166923E-19  8.619947E-19  2.955234E-18  1.990863E-18  2.719852E-18  6.774821E-19
     93  4.251598135750E-02  1.158321E-20  7.018634E-20  6.825833E-19  1.443518E-18  5.102178E-18  3.506130E-18  4.926108E-18  1.250127E-18
     94  4.274368410830E-02  1.865606E-20  1.160302E-19  1.170258E-18  2.535867E-18  9.270340E-18  6.511686E-18  9.436527E-18  2.444574E-18
     95  4.294191711445E-02  2.816399E-20  1.791941E-19  1.865618E-18  4.129401E-18  1.554595E-17  1.113061E-17  1.657126E-17  4.370582E-18
     96  4.316569238790E-02  4.476363E-20  2.922396E-19  3.153937E-18  7.150718E-18  2.783069E-17  2.036217E-17  3.125499E-17  8.412391E-18
     97  4.339365876136E-02  7.180510E-20  4.812894E-19  5.388864E-18  1.252166E-17  5.042193E-17  3.771734E-17  5.973315E-17  1.641524E-17
     98  4.362382833621E-02  1.160600E-19  7.989274E-19  9.284598E-18  2.211615E-17  9.217436E-17  7.051075E-17  1.152516E-16  3.234452E-17
     99  4.384703699487E-02  1.859404E-19  1.313578E-18  1.582835E-17  3.862433E-17  1.664521E-16  1.301333E-16  2.193388E-16  6.282557E-17
    100  4.408801045744E-02  3.121847E-19  2.268226E-18  2.842466E-17  7.119639E-17  3.181329E-16  2.546469E-16  4.437038E-16  1.299291E-16
    101  4.430336182063E-02  5.016998E-19  3.738138E-18  4.852439E-17  1.244179E-16  5.743090E-16  4.695135E-16  8.428508E-16  2.517483E-16
    102  4.453208602613E-02  8.409701E-19  6.436420E-18  8.674648E-17  2.280285E-16  1.089633E-15  9.110572E-16  1.688221E-15  5.149871E-16
    103  4.474836808964E-02  1.386478E-18  1.088492E-17  1.520188E-16  4.091551E-16  2.020402E-15  1.725714E-15  3.295599E-15  1.025629E-15
    104  4.497736119052E-02  2.378253E-18  1.918183E-17  2.782076E-16  7.677716E-16  3.925580E-15  3.429728E-15  6.762256E-15  2.149587E-15
    105  4.517199675598E-02  3.781654E-18  3.120947E-17  4.674456E-16  1.317790E-15  6.940488E-15  6.181709E-15  1.252392E-14  4.053576E-15
    106  4.536038532241E-02  5.929143E-18  5.003362E-17  7.731293E-16  2.225065E-15  1.206090E-14  1.094500E-14  2.276684E-14  7.499056E-15
    107  4.552484255766E-02  8.757754E-18  7.535299E-17  1.196522E-15  3.506304E-15  1.948939E-14  1.797727E-14  3.826575E-14  1.279830E-14
    108  4.581275722245E-02  1.709115E-17  1.521476E-16  2.534157E-15  7.664979E-15  4.452460E-14  4.226253E-14  9.366158E-14  3.217565E-14
    109  4.603616864208E-02  2.816806E-17  2.574849E-16  4.451330E-15  1.380043E-14  8.297404E-14  8.054197E-14  1.842277E-13  6.463058E-14
    110  4.624194314299E-02  4.378373E-17  4.101125E-16  7.337957E-15  2.327365E-14  1.444534E-13  1.431425E-13  3.370999E-13  1.205696E-13
    111  4.641297951594E-02  6.220573E-17  5.946048E-16  1.094779E-14  3.538669E-14  2.255274E-13  2.273499E-13  5.485469E-13  1.993770E-13
    112  4.656990459822E-02  8.475956E-17  8.254192E-16  1.560242E-14  5.131717E-14  3.351118E-13  3.431909E-13  8.466977E-13  3.123222E-13
    113  4.671253119976E-02  1.110893E-16  1.100307E-15  2.130213E-14  7.118222E-14  4.752464E-13  4.937430E-13  1.243079E-12  4.647402E-13
    114  4.684580987606E-02  1.417620E-16  1.426528E-15  2.824315E-14  9.578489E-14  6.529028E-13  6.874913E-13  1.764026E-12  6.678500E-13
    115  4.697520204195E-02  1.781930E-16  1.820934E-15  3.684504E-14  1.267707E-13  8.817101E-13  9.406318E-13  2.458494E-12  9.422231E-13
    116  4.709649788536E-02  2.193014E-16  2.273600E-15  4.695357E-14  1.637491E-13  1.160656E-12  1.253498E-12  3.333435E-12  1.292292E-12
    117  4.721637454993E-02  2.675873E-16  2.814095E-15  5.930209E-14  2.095990E-13  1.513725E-12  1.654777E-12  4.476607E-12  1.755295E-12
    118  4.732862910872E-02  3.207139E-16  3.418228E-15  7.341054E-14  2.627376E-13  1.931099E-12  2.135202E-12  5.869800E-12  2.326205E-12
