 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                kr97          kr98          kr99          kr100         kr101         kr102         kr103         kr104
    150  5.258707116153E-02  1.056527E-23  7.253190E-26  7.050287E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    151  5.276353482958E-02  1.668945E-23  1.162832E-25  1.136310E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    152  5.293536770993E-02  2.576883E-23  1.821564E-25  1.789259E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    153  5.310288915571E-02  3.892172E-23  2.790418E-25  2.754828E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    154  5.325369291828E-02  5.587725E-23  4.057311E-25  4.023879E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    155  5.339308966526E-02  7.738570E-23  5.685648E-25  5.662674E-28  1.294783E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    156  5.362726198018E-02  1.313793E-22  9.847357E-25  9.878094E-28  2.295650E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    157  5.383816121000E-02  2.071260E-22  1.580516E-24  1.595669E-27  3.765419E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    158  5.403768730975E-02  3.131573E-22  2.430503E-24  2.468802E-27  5.910782E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    159  5.422986619970E-02  4.590249E-22  3.621507E-24  3.700303E-27  8.984047E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    160  5.440569294967E-02  6.430261E-22  5.150044E-24  5.290605E-27  1.301115E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    161  5.456994612052E-02  8.717786E-22  7.081098E-24  7.311263E-27  1.819795E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    162  5.485681963417E-02  1.451922E-21  1.208860E-23  1.259301E-26  3.201324E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    163  5.511708850657E-02  2.254301E-21  1.919553E-23  2.015885E-26  5.224076E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    164  5.536560227933E-02  3.373224E-21  2.934634E-23  3.105817E-26  8.197573E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    165  5.559867087093E-02  4.858467E-21  4.313041E-23  4.597983E-26  1.234747E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    166  5.582344501454E-02  6.833766E-21  6.186304E-23  6.641634E-26  1.813599E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    167  5.608267729631E-02  1.001011E-20  9.268982E-23  1.003274E-25  2.793095E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    168  5.632179590432E-02  1.409062E-20  1.332319E-22  1.453032E-25  4.118239E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    169  5.658568452696E-02  2.034041E-20  1.968319E-22  2.164691E-25  6.258018E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    170  5.682194908758E-02  2.802265E-20  2.768696E-22  3.067892E-25  9.028343E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    171  5.707748662895E-02  3.931463E-20  3.972983E-22  4.438386E-25  1.331611E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
