 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                pd108         pd109         pd110         pd111         pd112         pd113         pd114         pd115
     93  4.251598135750E-02  2.234394E-29  3.755378E-29  4.015614E-29  2.980943E-29  1.405377E-29  5.390160E-30  1.118448E-30  1.000000E-30
     94  4.274368410830E-02  2.542407E-29  4.405462E-29  4.888889E-29  3.716863E-29  1.765492E-29  7.067164E-30  1.502474E-30  1.000000E-30
     95  4.294191711445E-02  2.350121E-29  4.252746E-29  4.993398E-29  3.969874E-29  2.011694E-29  8.080737E-30  1.753795E-30  1.000000E-30
     96  4.316569238790E-02  2.663861E-29  4.863510E-29  5.820673E-29  4.698177E-29  2.504446E-29  1.028139E-29  2.282161E-30  1.000000E-30
     97  4.339365876136E-02  2.772450E-29  5.114947E-29  6.160028E-29  4.956050E-29  2.553922E-29  1.084025E-29  2.468850E-30  1.000000E-30
     98  4.362382833621E-02  2.871217E-29  5.426110E-29  6.746857E-29  5.550840E-29  2.946635E-29  1.248282E-29  3.103826E-30  1.000000E-30
     99  4.384703699487E-02  2.822255E-29  5.456014E-29  6.992412E-29  5.875176E-29  3.216935E-29  1.385936E-29  3.407269E-30  1.000000E-30
    100  4.408801045744E-02  3.148198E-29  6.258071E-29  8.295409E-29  7.123817E-29  4.015581E-29  1.742529E-29  4.359393E-30  1.018776E-30
    101  4.430336182063E-02  2.899849E-29  5.868302E-29  7.994710E-29  7.008197E-29  4.080833E-29  1.826548E-29  4.715141E-30  1.118797E-30
    102  4.453208602613E-02  3.114774E-29  6.489602E-29  9.153431E-29  8.203236E-29  4.915280E-29  2.220776E-29  5.803986E-30  1.396716E-30
    103  4.474836808964E-02  2.960835E-29  6.351113E-29  9.307555E-29  8.565628E-29  5.335018E-29  2.484602E-29  6.615629E-30  1.616335E-30
    104  4.497736119052E-02  3.214869E-29  7.100191E-29  1.081475E-28  1.021741E-28  6.605116E-29  3.152395E-29  8.513391E-30  2.110485E-30
    105  4.517199675598E-02  2.798074E-29  6.185966E-29  9.459475E-29  8.969662E-29  5.840423E-29  2.817159E-29  8.320127E-30  2.099059E-30
    106  4.536038532241E-02  2.739598E-29  6.208653E-29  9.799283E-29  9.488707E-29  6.357470E-29  3.107683E-29  9.341101E-30  2.408722E-30
    107  4.552484255766E-02  2.519898E-29  5.899253E-29  9.699607E-29  9.675843E-29  6.805327E-29  3.479255E-29  1.045826E-29  2.719024E-30
    108  4.581275722245E-02  4.336089E-29  1.029039E-28  1.718814E-28  1.727219E-28  1.219579E-28  6.186419E-29  1.932455E-29  5.294723E-30
    109  4.603616864208E-02  3.446817E-29  8.615547E-29  1.543698E-28  1.630001E-28  1.240486E-28  6.652821E-29  2.173101E-29  5.864796E-30
    110  4.624194314299E-02  3.200636E-29  8.087391E-29  1.479532E-28  1.588871E-28  1.246058E-28  6.834181E-29  2.311002E-29  6.483625E-30
    111  4.641297951594E-02  2.700749E-29  6.972480E-29  1.305649E-28  1.422812E-28  1.135692E-28  6.281755E-29  2.129467E-29  5.987676E-30
    112  4.656990459822E-02  2.511364E-29  6.556588E-29  1.247502E-28  1.373492E-28  1.112138E-28  6.225323E-29  2.179449E-29  6.254391E-30
    113  4.671253119976E-02  2.318494E-29  6.142847E-29  1.189832E-28  1.325115E-28  1.089101E-28  6.152140E-29  2.185578E-29  6.316986E-30
    114  4.684580987606E-02  2.181524E-29  5.852018E-29  1.152573E-28  1.297708E-28  1.082593E-28  6.167618E-29  2.226456E-29  6.469386E-30
    115  4.697520204195E-02  2.125749E-29  5.776093E-29  1.157216E-28  1.317615E-28  1.116299E-28  6.416234E-29  2.356954E-29  6.912543E-30
    116  4.709649788536E-02  2.012015E-29  5.545485E-29  1.131684E-28  1.304445E-28  1.124323E-28  6.534397E-29  2.435099E-29  7.226699E-30
    117  4.721637454993E-02  1.997317E-29  5.570911E-29  1.154836E-28  1.344983E-28  1.176152E-28  6.899521E-29  2.609109E-29  7.834264E-30
    118  4.732862910872E-02  1.898162E-29  5.360523E-29  1.129221E-28  1.329352E-28  1.180282E-28  6.992250E-29  2.677305E-29  8.101190E-30
    119  4.750539400184E-02  2.961143E-29  8.527796E-29  1.843864E-28  2.209083E-28  2.012534E-28  1.213453E-28  4.764588E-29  1.459381E-29
    120  4.767210524850E-02  2.732790E-29  8.034440E-29  1.784441E-28  2.174048E-28  2.021503E-28  1.231014E-28  4.775870E-29  1.468988E-29
    121  4.783406579930E-02  2.669872E-29  7.999989E-29  1.818830E-28  2.252235E-28  2.146212E-28  1.330230E-28  5.346063E-29  1.656460E-29
    122  4.799263518131E-02  2.628070E-29  8.005029E-29  1.859979E-28  2.336984E-28  2.274358E-28  1.429432E-28  5.866919E-29  1.834946E-29
    123  4.815339657435E-02  2.657643E-29  8.224599E-29  1.952752E-28  2.489825E-28  2.476096E-28  1.578903E-28  6.643930E-29  2.101994E-29
    124  4.832264594384E-02  2.757770E-29  8.683118E-29  2.111748E-28  2.737296E-28  2.789916E-28  1.808585E-28  7.805833E-29  2.515228E-29
    125  4.849826454798E-02  2.821678E-29  9.050439E-29  2.257107E-28  2.975852E-28  3.109306E-28  2.048944E-28  9.052915E-29  2.973936E-29
    126  4.867786870736E-02  2.856591E-29  9.334678E-29  2.387250E-28  3.201174E-28  3.428422E-28  2.296388E-28  1.038700E-28  3.475263E-29
    127  4.885872256535E-02  2.855608E-29  9.503357E-29  2.490774E-28  3.395609E-28  3.725762E-28  2.535913E-28  1.174165E-28  3.998066E-29
    128  4.903755607841E-02  2.804725E-29  9.494092E-29  2.546644E-28  3.526884E-28  3.962006E-28  2.739789E-28  1.298973E-28  4.501189E-29
    129  4.921259737621E-02  2.723954E-29  9.384448E-29  2.579222E-28  3.632023E-28  4.184302E-28  2.943351E-28  1.431948E-28  5.059355E-29
    130  4.938368810460E-02  2.654123E-29  9.303895E-29  2.619037E-28  3.749708E-28  4.426814E-28  3.164553E-28  1.577461E-28  5.664419E-29
    131  4.955132280349E-02  2.602395E-29  9.268352E-29  2.670135E-28  3.879840E-28  4.675324E-28  3.385682E-28  1.717942E-28  6.240052E-29
    132  4.971624312404E-02  2.560950E-29  9.275159E-29  2.731931E-28  4.024077E-28  4.940284E-28  3.621267E-28  1.869868E-28  6.852713E-29
    133  4.987811857735E-02  2.523574E-29  9.301466E-29  2.789011E-28  4.152694E-28  5.169851E-28  3.821957E-28  1.999548E-28  7.397428E-29
    134  5.003799836445E-02  2.518398E-29  9.409557E-29  2.875808E-28  4.335357E-28  5.489279E-28  4.099313E-28  2.170084E-28  8.061783E-29
    135  5.019682549602E-02  2.539067E-29  9.662587E-29  3.023697E-28  4.626505E-28  5.973218E-28  4.511395E-28  2.419453E-28  9.041784E-29
    136  5.035511419132E-02  2.594811E-29  1.008949E-28  3.242243E-28  5.044515E-28  6.658798E-28  5.097954E-28  2.784124E-28  1.051961E-28
    137  5.051299755300E-02  2.715897E-29  1.076117E-28  3.555124E-28  5.638204E-28  7.659478E-28  5.977556E-28  3.353464E-28  1.287790E-28
    138  5.067010535678E-02  2.906830E-29  1.171221E-28  3.966397E-28  6.401913E-28  8.939186E-28  7.106862E-28  4.104829E-28  1.606353E-28
    139  5.082726902819E-02  3.238325E-29  1.323255E-28  4.581754E-28  7.518199E-28  1.079655E-27  8.759098E-28  5.230550E-28  2.092636E-28
    140  5.098506829486E-02  3.769520E-29  1.565424E-28  5.540322E-28  9.226295E-28  1.355063E-27  1.116221E-27  6.826191E-28  2.773380E-28
    141  5.114361869269E-02  4.593245E-29  1.940159E-28  7.013675E-28  1.183937E-27  1.773193E-27  1.479575E-27  9.229190E-28  3.798012E-28
    142  5.130328078870E-02  5.847548E-29  2.519113E-28  9.350781E-28  1.606055E-27  2.464907E-27  2.088455E-27  1.330224E-27  5.540873E-28
    143  5.146205644840E-02  7.713960E-29  3.390064E-28  1.292088E-27  2.257604E-27  3.548627E-27  3.051615E-27  1.983421E-27  8.359476E-28
    144  5.162089365231E-02  1.053432E-28  4.721134E-28  1.846868E-27  3.281943E-27  5.282691E-27  4.610773E-27  3.058890E-27  1.304837E-27
    145  5.177902725711E-02  1.470354E-28  6.715452E-28  2.694236E-27  4.867262E-27  8.020026E-27  7.104135E-27  4.811824E-27  2.078054E-27
    146  5.193558292952E-02  2.063470E-28  9.609096E-28  3.956683E-27  7.269664E-27  1.226766E-26  1.103002E-26  7.627007E-27  3.334058E-27
    147  5.207655208218E-02  2.827216E-28  1.337748E-27  5.627256E-27  1.048426E-26  1.805154E-26  1.643980E-26  1.157890E-26  5.118163E-27
    148  5.220437120847E-02  3.781087E-28  1.814991E-27  7.784117E-27  1.468828E-26  2.576141E-26  2.374080E-26  1.701028E-26  7.597604E-27
    149  5.240275279905E-02  6.037727E-28  2.963850E-27  1.310602E-26  2.523663E-26  4.560727E-26  4.285411E-26  3.159449E-26  1.436069E-26
    150  5.258707116153E-02  9.112447E-28  4.564427E-27  2.073826E-26  4.064777E-26  7.538166E-26  7.201702E-26  5.439970E-26  2.509608E-26
    151  5.276353482958E-02  1.341659E-27  6.855918E-27  3.200183E-26  6.384435E-26  1.214889E-25  1.179937E-25  9.128197E-26  4.272385E-26
    152  5.293536770993E-02  1.937449E-27  1.009387E-26  4.836472E-26  9.815776E-26  1.915214E-25  1.890209E-25  1.496904E-25  7.106428E-26
    153  5.310288915571E-02  2.740684E-27  1.455072E-26  7.152338E-26  1.476090E-25  2.951381E-25  2.958805E-25  2.397224E-25  1.153935E-25
    154  5.325369291828E-02  3.708872E-27  2.002841E-26  1.007397E-25  2.110636E-25  4.314314E-25  4.386755E-25  3.628346E-25  1.768619E-25
    155  5.339308966526E-02  4.860460E-27  2.666205E-26  1.369870E-25  2.910336E-25  6.071704E-25  6.254941E-25  5.273510E-25  2.600618E-25
    156  5.362726198018E-02  7.512952E-27  4.232748E-26  2.255310E-25  4.907418E-25  1.060504E-24  1.117478E-24  9.739284E-25  4.900847E-25
    157  5.383816121000E-02  1.085541E-26  6.262451E-26  3.445546E-25  7.656137E-25  1.706193E-24  1.833574E-24  1.644863E-24  8.423688E-25
    158  5.403768730975E-02  1.508106E-26  8.899240E-26  5.049043E-25  1.144666E-24  2.627219E-24  2.876969E-24  2.652997E-24  1.381543E-24
    159  5.422986619970E-02  2.034322E-26  1.226866E-25  7.169968E-25  1.657273E-24  3.913615E-24  4.364264E-24  4.133392E-24  2.187586E-24
    160  5.440569294967E-02  2.638849E-26  1.623590E-25  9.750165E-25  2.294066E-24  5.560896E-24  6.305511E-24  6.120101E-24  3.287514E-24
    161  5.456994612052E-02  3.327362E-26  2.085810E-25  1.284863E-24  3.073720E-24  7.635306E-24  8.793775E-24  8.733261E-24  4.756887E-24
    162  5.485681963417E-02  4.877538E-26  3.160210E-25  2.036515E-24  5.017645E-24  1.301844E-23  1.541535E-23  1.594716E-23  8.903500E-24
    163  5.511708850657E-02  6.749565E-26  4.504375E-25  3.021987E-24  7.643781E-24  2.061567E-23  2.502172E-23  2.684702E-23  1.532470E-23
    164  5.536560227933E-02  9.062013E-26  6.221967E-25  4.339303E-24  1.125662E-23  3.151216E-23  3.916353E-23  4.351229E-23  2.536697E-23
    165  5.559867087093E-02  1.180915E-25  8.328150E-25  6.024372E-24  1.600451E-23  4.640727E-23  5.897859E-23  6.772445E-23  4.027731E-23
    166  5.582344501454E-02  1.510453E-25  1.093119E-24  8.191874E-24  2.226918E-23  6.680670E-23  8.675676E-23  1.028507E-22  6.235790E-23
    167  5.608267729631E-02  1.987192E-25  1.481801E-24  1.156876E-23  3.229769E-23  1.007875E-22  1.341984E-22  1.650875E-22  1.023527E-22
    168  5.632179590432E-02  2.539074E-25  1.946424E-24  1.578272E-23  4.516013E-23  1.461571E-22  1.991539E-22  2.535128E-22  1.604514E-22
    169  5.658568452696E-02  3.300420E-25  2.608654E-24  2.205808E-23  6.485897E-23  2.185592E-22  3.055205E-22  4.039272E-22  2.615607E-22
    170  5.682194908758E-02  4.145347E-25  3.367684E-24  2.956850E-23  8.909357E-23  3.113053E-22  4.452628E-22  6.090376E-22  4.025470E-22
    171  5.707748662895E-02  5.267361E-25  4.408436E-24  4.031888E-23  1.247477E-22  4.533664E-22  6.647772E-22  9.434635E-22  6.376096E-22
    172  5.730159219632E-02  6.461605E-25  5.551240E-24  5.262634E-23  1.666645E-22  6.270162E-22  9.397120E-22  1.377632E-21  9.494056E-22
    173  5.769211250520E-02  9.113305E-25  8.195369E-24  8.272722E-23  2.728760E-22  1.090628E-21  1.698149E-21  2.634899E-21  1.878983E-21
    174  5.804755660481E-02  1.229957E-24  1.153231E-23  1.232993E-22  4.221167E-22  1.783150E-21  2.874980E-21  4.698613E-21  3.456904E-21
    175  5.837706807704E-02  1.608096E-24  1.567457E-23  1.767906E-22  6.265383E-22  2.786570E-21  4.640834E-21  7.959950E-21  6.028919E-21
    176  5.868213309337E-02  2.044931E-24  2.066404E-23  2.449377E-22  8.963819E-22  4.182224E-21  7.178119E-21  1.287731E-20  1.002004E-20
    177  5.897372529375E-02  2.556199E-24  2.673826E-23  3.324029E-22  1.254511E-21  6.128199E-21  1.082609E-20  2.027649E-20  1.619091E-20
    178  5.927019313219E-02  3.187821E-24  3.454026E-23  4.507765E-22  1.755519E-21  8.986910E-21  1.635042E-20  3.199887E-20  2.623432E-20
    179  5.955970264735E-02  3.932888E-24  4.410811E-23  6.037253E-22  2.424580E-21  1.299523E-20  2.433417E-20  4.971948E-20  4.182956E-20
    180  5.987296131417E-02  4.906770E-24  5.712905E-23  8.235116E-22  3.419475E-21  1.926554E-20  3.722142E-20  7.969382E-20  6.895409E-20
    181  6.018239261751E-02  6.072541E-24  7.337262E-23  1.113380E-21  4.778533E-21  2.828837E-20  5.637347E-20  1.264323E-19  1.124774E-19
    182  6.051941164510E-02  7.616795E-24  9.583506E-23  1.538159E-21  6.844490E-21  4.277054E-20  8.816742E-20  2.080256E-19  1.907715E-19
    183  6.081686890997E-02  9.261507E-24  1.207822E-22  2.037332E-21  9.360402E-21  6.136374E-20  1.303437E-19  3.216761E-19  3.030410E-19
    184  6.107970107709E-02  1.097238E-23  1.477112E-22  2.603734E-21  1.230658E-20  8.417845E-20  1.836148E-19  4.715581E-19  4.549576E-19
    185  6.149099227918E-02  1.422254E-23  2.012513E-22  3.801631E-21  1.878603E-20  1.373667E-19  3.123812E-19  8.540628E-19  8.554240E-19
    186  6.184187848266E-02  1.764952E-23  2.606405E-22  5.224791E-21  2.682187E-20  2.076851E-19  4.894513E-19  1.411978E-18  1.460320E-18
    187  6.212841772032E-02  2.098472E-23  3.209196E-22  6.753863E-21  3.577071E-20  2.902791E-19  7.043837E-19  2.123361E-18  2.254491E-18
    188  6.241083345826E-02  2.482313E-23  3.929667E-22  8.677670E-21  4.740008E-20  4.029167E-19  1.006360E-18  3.168517E-18  3.452701E-18
    189  6.286334795077E-02  3.232693E-23  5.409949E-22  1.290762E-20  7.409253E-20  6.786191E-19  1.775561E-18  5.995491E-18  6.811873E-18
    190  6.324448148531E-02  4.020422E-23  7.051789E-22  1.796300E-20  1.075319E-19  1.049119E-18  2.854958E-18  1.022864E-17  1.203972E-17
    191  6.354755735680E-02  4.767042E-23  8.680634E-22  2.329977E-20  1.442282E-19  1.479956E-18  4.155546E-18  1.560918E-17  1.889814E-17
    192  6.382753282149E-02  5.568057E-23  1.049755E-21  2.957789E-20  1.888622E-19  2.030831E-18  5.870381E-18  2.303951E-17  2.863294E-17
    193  6.429792763326E-02  7.197957E-23  1.438857E-21  4.399943E-20  2.960412E-19  3.444822E-18  1.045724E-17  4.419265E-17  5.739562E-17
    194  6.470641913937E-02  8.961008E-23  1.885073E-21  6.190979E-20  4.359991E-19  5.435265E-18  1.721944E-17  7.762568E-17  1.047720E-16
    195  6.514351188605E-02  1.128163E-22  2.507008E-21  8.890174E-20  6.575703E-19  8.827619E-18  2.928010E-17  1.414857E-16  1.990264E-16
    196  6.551961572666E-02  1.370155E-22  3.192518E-21  1.209888E-19  9.336603E-19  1.336384E-17  4.611913E-17  2.366534E-16  3.450108E-16
