 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                fe60          fe61          fe62          fe63          fe64          fe65          fe66          fe67 
    105  4.517199675598E-02  4.133220E-10  1.002543E-10  9.030971E-11  8.097686E-12  1.099138E-12  5.556634E-14  6.387688E-15  2.704745E-16
    106  4.536038532241E-02  5.548468E-10  1.367036E-10  1.263210E-10  1.146712E-11  1.590782E-12  8.139359E-14  9.564646E-15  4.098065E-16
    107  4.552484255766E-02  7.146405E-10  1.784992E-10  1.686572E-10  1.547626E-11  2.188289E-12  1.131472E-13  1.355418E-14  5.867624E-16
    108  4.581275722245E-02  1.099683E-09  2.813551E-10  2.764419E-10  2.585176E-11  3.779910E-12  1.990734E-13  2.466639E-14  1.087287E-15
    109  4.603616864208E-02  1.515985E-09  3.951877E-10  4.002755E-10  3.798826E-11  5.701425E-12  3.046011E-13  3.874893E-14  1.732256E-15
    110  4.624194314299E-02  2.014009E-09  5.341616E-10  5.564602E-10  5.353501E-11  8.230957E-12  4.455804E-13  5.807777E-14  2.630227E-15
    111  4.641297951594E-02  2.527006E-09  6.799355E-10  7.250930E-10  7.055436E-11  1.106802E-11  6.057739E-13  8.057310E-14  3.688579E-15
    112  4.656990459822E-02  3.088387E-09  8.420554E-10  9.175074E-10  9.021323E-11  1.441617E-11  7.970156E-13  1.080027E-13  4.993525E-15
    113  4.671253119976E-02  3.682897E-09  1.016325E-09  1.129290E-09  1.120965E-10  1.821754E-11  1.016454E-12  1.400948E-13  6.535963E-15
    114  4.684580987606E-02  4.318508E-09  1.205248E-09  1.363979E-09  1.366019E-10  2.255315E-11  1.269194E-12  1.777293E-13  8.361974E-15
    115  4.697520204195E-02  5.016480E-09  1.415490E-09  1.630701E-09  1.647328E-10  2.761831E-11  1.567238E-12  2.228815E-13  1.057261E-14
    116  4.709649788536E-02  5.749337E-09  1.639077E-09  1.920118E-09  1.955515E-10  3.326127E-11  1.902261E-12  2.744781E-13  1.312062E-14
