 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                nb97          nb98          nb99          nb100         nb101         nb102         nb103         nb104
    123  4.815339657435E-02  7.166834E-23  2.894312E-23  2.150890E-23  3.557846E-24  2.396346E-24  3.482513E-25  8.288777E-26  6.602415E-27
    124  4.832264594384E-02  1.176977E-22  4.836763E-23  3.659132E-23  6.155605E-24  4.230476E-24  6.243288E-25  1.516033E-25  1.223116E-26
    125  4.849826454798E-02  1.948839E-22  8.155148E-23  6.285103E-23  1.076013E-23  7.551633E-24  1.132428E-24  2.807719E-25  2.295504E-26
    126  4.867786870736E-02  3.232136E-22  1.377870E-22  1.082290E-22  1.886455E-23  1.352695E-23  2.061982E-24  5.222805E-25  4.328459E-26
    127  4.885872256535E-02  5.331379E-22  2.315748E-22  1.854182E-22  3.290924E-23  2.411475E-23  3.737173E-24  9.672138E-25  8.126534E-26
    128  4.903755607841E-02  8.675836E-22  3.838999E-22  3.132737E-22  5.660741E-23  4.237973E-23  6.676091E-24  1.765117E-24  1.503309E-25
    129  4.921259737621E-02  1.387697E-21  6.253156E-22  5.198620E-22  9.560188E-23  7.309513E-23  1.170077E-23  3.159061E-24  2.726495E-25
    130  4.938368810460E-02  2.182982E-21  1.001358E-21  8.477993E-22  1.586135E-22  1.237970E-22  2.013038E-23  5.547550E-24  4.850613E-25
    131  4.955132280349E-02  3.384563E-21  1.579919E-21  1.361786E-21  2.591111E-22  2.063673E-22  3.407789E-23  9.582262E-24  8.486055E-25
    132  4.971624312404E-02  5.185175E-21  2.462525E-21  2.160297E-21  4.179406E-22  3.395703E-22  5.693181E-23  1.632958E-23  1.464447E-24
    133  4.987811857735E-02  7.846438E-21  3.790093E-21  3.383092E-21  6.652976E-22  5.512484E-22  9.381122E-23  2.743836E-23  2.491287E-24
    134  5.003799836445E-02  1.176391E-20  5.778445E-21  5.247198E-21  1.048707E-21  8.859623E-22  1.530156E-22  4.562856E-23  4.193830E-24
    135  5.019682549602E-02  1.752062E-20  8.750952E-21  8.083299E-21  1.641743E-21  1.414025E-21  2.478332E-22  7.533950E-23  7.009363E-24
    136  5.035511419132E-02  2.595840E-20  1.318316E-20  1.238678E-20  2.556537E-21  2.244826E-21  3.992605E-22  1.237290E-22  1.165196E-23
    137  5.051299755300E-02  3.827336E-20  1.976369E-20  1.888890E-20  3.961598E-21  3.546288E-21  6.400490E-22  2.021981E-22  1.927391E-23
    138  5.067010535678E-02  5.610603E-20  2.945695E-20  2.863536E-20  6.102567E-21  5.568817E-21  1.019874E-21  3.284241E-22  3.168648E-23
    139  5.082726902819E-02  8.193469E-20  4.373897E-20  4.324899E-20  9.365816E-21  8.712895E-21  1.619211E-21  5.315433E-22  5.190797E-23
    140  5.098506829486E-02  1.193451E-19  6.478436E-20  6.516487E-20  1.434109E-20  1.360240E-20  2.565375E-21  8.585879E-22  8.487228E-23
    141  5.114361869269E-02  1.733930E-19  9.572143E-20  9.795742E-20  2.191033E-20  2.119116E-20  4.056258E-21  1.384255E-21  1.385210E-22
    142  5.130328078870E-02  2.514054E-19  1.411655E-19  1.469968E-19  3.342127E-20  3.296680E-20  6.405298E-21  2.229281E-21  2.258540E-22
