 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                si28          si29          si30          si31          si32          si33          si34          si35 
     72  3.757630769329E-02  3.600595E-14  6.285318E-13  6.161493E-11  4.223416E-11  1.409855E-10  2.787821E-12  5.159847E-13  5.558639E-16
     73  3.788075418501E-02  4.195256E-14  7.507287E-13  7.660515E-11  5.404692E-11  1.869246E-10  3.758007E-12  7.127802E-13  7.729543E-16
     74  3.819794660071E-02  4.870653E-14  8.945301E-13  9.518843E-11  6.921634E-11  2.485170E-10  5.084238E-12  9.897277E-13  1.080767E-15
     75  3.838080203158E-02  5.281663E-14  9.847219E-13  1.073588E-10  7.944088E-11  2.915150E-10  6.024680E-12  1.190789E-12  1.305585E-15
     76  3.859219912978E-02  5.779649E-14  1.096634E-12  1.229894E-10  9.286902E-11  3.495923E-10  7.310702E-12  1.471034E-12  1.620442E-15
     77  3.884096228080E-02  6.379548E-14  1.235822E-12  1.433061E-10  1.108280E-10  4.300279E-10  9.119388E-12  1.874539E-12  2.076464E-15
     78  3.907668434759E-02  6.951564E-14  1.373485E-12  1.644081E-10  1.300697E-10  5.195289E-10  1.116538E-11  2.342664E-12  2.608855E-15
     79  3.934936577490E-02  7.602191E-14  1.536916E-12  1.908792E-10  1.550466E-10  6.406151E-10  1.398340E-11  3.005447E-12  3.367767E-15
     80  3.961640452516E-02  8.209948E-14  1.697722E-12  2.186302E-10  1.822488E-10  7.786438E-10  1.725902E-11  3.799386E-12  4.283564E-15
     81  3.991996766101E-02  8.840368E-14  1.875916E-12  2.517735E-10  2.161715E-10  9.597666E-10  2.165078E-11  4.899839E-12  5.563161E-15
     82  4.019473378510E-02  9.331362E-14  2.027185E-12  2.824875E-10  2.491409E-10  1.145695E-09  2.626244E-11  6.096529E-12  6.966335E-15
     83  4.046928694587E-02  9.726859E-14  2.163659E-12  3.131142E-10  2.836890E-10  1.351692E-09  3.148805E-11  7.500680E-12  8.626277E-15
     84  4.074955599116E-02  1.000550E-13  2.280304E-12  3.430421E-10  3.194997E-10  1.579050E-09  3.739902E-11  9.150067E-12  1.059322E-14
     85  4.099011663524E-02  1.012405E-13  2.355990E-12  3.664516E-10  3.495085E-10  1.782910E-09  4.283594E-11  1.072651E-11  1.248972E-14
