 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                v50           v51           v52           v53           v54           v55           v56           v57  
     72  3.757630769329E-02  1.679309E-17  4.061032E-15  7.631546E-15  1.285418E-14  1.352982E-15  4.441398E-16  8.753279E-18  4.035336E-19
     73  3.788075418501E-02  2.702446E-17  6.882336E-15  1.334625E-14  2.331311E-14  2.513459E-15  8.526330E-16  1.713159E-17  8.110988E-19
     74  3.819794660071E-02  4.416305E-17  1.184788E-14  2.374216E-14  4.308032E-14  4.762682E-15  1.672053E-15  3.428095E-17  1.668888E-18
     75  3.838080203158E-02  5.847315E-17  1.614873E-14  3.297834E-14  6.116440E-14  6.860434E-15  2.456599E-15  5.095492E-17  2.520744E-18
     76  3.859219912978E-02  8.085262E-17  2.308120E-14  4.818481E-14  9.167877E-14  1.045773E-14  3.831980E-15  8.056689E-17  4.060863E-18
     77  3.884096228080E-02  1.179710E-16  3.497140E-14  7.492766E-14  1.469205E-13  1.709570E-14  6.436902E-15  1.375157E-16  7.085952E-18
     78  3.907668434759E-02  1.681078E-16  5.157584E-14  1.132604E-13  2.285254E-13  2.709819E-14  1.046975E-14  2.270930E-16  1.194954E-17
     79  3.934936577490E-02  2.519993E-16  8.031221E-14  1.814827E-13  3.785354E-13  4.588205E-14  1.826654E-14  4.032586E-16  2.174249E-17
     80  3.961640452516E-02  3.726153E-16  1.230249E-13  2.859123E-13  6.160947E-13  7.630311E-14  3.128479E-14  7.027192E-16  3.880567E-17
     81  3.991996766101E-02  5.774846E-16  1.980100E-13  4.751453E-13  1.062619E-12  1.348842E-13  5.719256E-14  1.310323E-15  7.436299E-17
     82  4.019473378510E-02  8.533132E-16  3.020460E-13  7.461237E-13  1.725792E-12  2.240113E-13  9.792174E-14  2.284083E-15  1.328795E-16
     83  4.046928694587E-02  1.254455E-15  4.573603E-13  1.163115E-12  2.782669E-12  3.693706E-13  1.664652E-13  3.953297E-15  2.357663E-16
     84  4.074955599116E-02  1.848662E-15  6.928517E-13  1.815293E-12  4.496014E-12  6.106766E-13  2.839827E-13  6.869937E-15  4.203077E-16
     85  4.099011663524E-02  2.565071E-15  9.819938E-13  2.639591E-12  6.735056E-12  9.330669E-13  4.457638E-13  1.095644E-14  6.852157E-16
     86  4.118445936105E-02  3.329672E-15  1.294495E-12  3.552385E-12  9.284732E-12  1.307042E-12  6.381911E-13  1.588908E-14  1.011514E-15
     87  4.137235583218E-02  4.271421E-15  1.682892E-12  4.711794E-12  1.260532E-11  1.802249E-12  8.987957E-13  2.265832E-14  1.467538E-15
     88  4.152714488067E-02  5.231948E-15  2.081514E-12  5.924997E-12  1.615815E-11  2.339988E-12  1.187500E-12  3.024616E-14  1.987051E-15
     89  4.165981986900E-02  6.215120E-15  2.491155E-12  7.192315E-12  1.993992E-11  2.919586E-12  1.503990E-12  3.864753E-14  2.570202E-15
