 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ta180         ta181         ta182         ta183         ta184         ta185         ta186         ta187
    117  4.721637454993E-02  1.046988E-29  9.052387E-30  4.025552E-30  1.153592E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    118  4.732862910872E-02  1.004957E-29  8.818380E-30  3.967095E-30  1.150309E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    119  4.750539400184E-02  1.704410E-29  1.512635E-29  6.846255E-30  2.004601E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    120  4.767210524850E-02  1.628206E-29  1.505737E-29  7.032620E-30  2.141588E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    121  4.783406579930E-02  1.657091E-29  1.547970E-29  7.390897E-30  2.348279E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    122  4.799263518131E-02  1.724599E-29  1.635051E-29  7.947381E-30  2.480471E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    123  4.815339657435E-02  1.873453E-29  1.790604E-29  8.719456E-30  2.804990E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    124  4.832264594384E-02  2.135197E-29  2.086923E-29  1.035391E-29  3.385343E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    125  4.849826454798E-02  2.355680E-29  2.354853E-29  1.187642E-29  3.914867E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    126  4.867786870736E-02  2.594373E-29  2.656062E-29  1.355060E-29  4.534438E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    127  4.885872256535E-02  2.789880E-29  2.922982E-29  1.508960E-29  4.983838E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    128  4.903755607841E-02  2.932053E-29  3.145543E-29  1.648703E-29  5.730665E-30  1.118177E-30  1.000000E-30  1.000000E-30  1.000000E-30
    129  4.921259737621E-02  3.036037E-29  3.338247E-29  1.782139E-29  6.186046E-30  1.216343E-30  1.000000E-30  1.000000E-30  1.000000E-30
    130  4.938368810460E-02  3.132794E-29  3.526738E-29  1.915531E-29  6.728289E-30  1.339132E-30  1.000000E-30  1.000000E-30  1.000000E-30
    131  4.955132280349E-02  3.258934E-29  3.754719E-29  2.076890E-29  7.489938E-30  1.515923E-30  1.000000E-30  1.000000E-30  1.000000E-30
    132  4.971624312404E-02  3.391923E-29  3.997589E-29  2.257921E-29  8.304591E-30  1.704761E-30  1.000000E-30  1.000000E-30  1.000000E-30
    133  4.987811857735E-02  3.522856E-29  4.249514E-29  2.453002E-29  9.178094E-30  1.909116E-30  1.000000E-30  1.000000E-30  1.000000E-30
    134  5.003799836445E-02  3.672580E-29  4.533217E-29  2.673529E-29  1.020823E-29  2.116884E-30  1.000000E-30  1.000000E-30  1.000000E-30
    135  5.019682549602E-02  3.847444E-29  4.856797E-29  2.924964E-29  1.145839E-29  2.421171E-30  1.000000E-30  1.000000E-30  1.000000E-30
    136  5.035511419132E-02  4.036772E-29  5.207177E-29  3.200111E-29  1.275897E-29  2.769047E-30  1.000000E-30  1.000000E-30  1.000000E-30
    137  5.051299755300E-02  4.233501E-29  5.578596E-29  3.496795E-29  1.415563E-29  3.075873E-30  1.000000E-30  1.000000E-30  1.000000E-30
    138  5.067010535678E-02  4.432215E-29  5.964049E-29  3.808284E-29  1.560421E-29  3.488503E-30  1.000000E-30  1.000000E-30  1.000000E-30
    139  5.082726902819E-02  4.659308E-29  6.405299E-29  4.168259E-29  1.731761E-29  3.920372E-30  1.094727E-30  1.000000E-30  1.000000E-30
    140  5.098506829486E-02  4.909757E-29  6.896521E-29  4.573624E-29  1.931789E-29  4.433306E-30  1.257926E-30  1.000000E-30  1.000000E-30
    141  5.114361869269E-02  5.172999E-29  7.424238E-29  5.016931E-29  2.154754E-29  4.950186E-30  1.420031E-30  1.000000E-30  1.000000E-30
    142  5.130328078870E-02  5.459526E-29  8.008193E-29  5.513374E-29  2.419651E-29  5.717592E-30  1.676536E-30  1.000000E-30  1.000000E-30
    143  5.146205644840E-02  5.689302E-29  8.516851E-29  5.964539E-29  2.671777E-29  6.393028E-30  1.904442E-30  1.000000E-30  1.000000E-30
    144  5.162089365231E-02  5.962608E-29  9.123201E-29  6.509297E-29  2.984029E-29  7.169651E-30  2.198436E-30  1.000000E-30  1.000000E-30
    145  5.177902725711E-02  6.209523E-29  9.692825E-29  7.032481E-29  3.288244E-29  8.077045E-30  2.493354E-30  1.000000E-30  1.000000E-30
    146  5.193558292952E-02  6.320417E-29  1.008149E-28  7.490467E-29  3.679907E-29  9.374510E-30  2.982412E-30  1.000000E-30  1.000000E-30
    147  5.207655208218E-02  5.960619E-29  9.674095E-29  7.295802E-29  3.642623E-29  9.397258E-30  3.026216E-30  1.000000E-30  1.000000E-30
    148  5.220437120847E-02  5.577609E-29  9.197649E-29  7.025240E-29  3.551529E-29  9.256258E-30  3.013741E-30  1.000000E-30  1.000000E-30
    149  5.240275279905E-02  8.996621E-29  1.529575E-28  1.199666E-28  6.239788E-29  1.658464E-29  5.528019E-30  1.000000E-30  1.000000E-30
    150  5.258707116153E-02  8.877253E-29  1.536113E-28  1.213323E-28  6.224015E-29  1.635882E-29  5.330697E-30  1.000000E-30  1.000000E-30
    151  5.276353482958E-02  8.855602E-29  1.573565E-28  1.273125E-28  6.735741E-29  1.799848E-29  6.232269E-30  1.000000E-30  1.000000E-30
    152  5.293536770993E-02  9.027486E-29  1.642206E-28  1.355168E-28  7.330299E-29  1.991029E-29  6.884557E-30  1.064944E-30  1.000000E-30
    153  5.310288915571E-02  9.031774E-29  1.676293E-28  1.412111E-28  7.885824E-29  2.258906E-29  8.330069E-30  1.319204E-30  1.000000E-30
    154  5.325369291828E-02  8.402443E-29  1.589344E-28  1.359997E-28  7.728417E-29  2.236335E-29  8.358104E-30  1.342099E-30  1.000000E-30
    155  5.339308966526E-02  7.883698E-29  1.498532E-28  1.283659E-28  7.250332E-29  2.072255E-29  7.838974E-30  1.277663E-30  1.000000E-30
    156  5.362726198018E-02  1.406717E-28  2.768256E-28  2.450268E-28  1.446765E-28  4.331282E-29  1.694141E-29  2.835660E-30  1.000000E-30
    157  5.383816121000E-02  1.346490E-28  2.755825E-28  2.501669E-28  1.495793E-28  4.412554E-29  1.672545E-29  2.760212E-30  1.000000E-30
    158  5.403768730975E-02  1.319052E-28  2.775844E-28  2.581662E-28  1.589392E-28  4.827929E-29  1.876120E-29  3.107368E-30  1.000000E-30
    159  5.422986619970E-02  1.304823E-28  2.810160E-28  2.677162E-28  1.704631E-28  5.377386E-29  2.294901E-29  4.138796E-30  1.000000E-30
    160  5.440569294967E-02  1.237447E-28  2.722712E-28  2.639358E-28  1.712210E-28  5.486711E-29  2.374516E-29  4.369989E-30  1.000000E-30
    161  5.456994612052E-02  1.171465E-28  2.604273E-28  2.537700E-28  1.645802E-28  5.227857E-29  2.212359E-29  4.014642E-30  1.000000E-30
    162  5.485681963417E-02  2.178565E-28  5.069311E-28  5.159824E-28  3.541559E-28  1.184131E-28  5.453222E-29  1.061880E-29  1.943079E-30
    163  5.511708850657E-02  2.085584E-28  5.104627E-28  5.357527E-28  3.736507E-28  1.250179E-28  5.481128E-29  9.950987E-30  1.839266E-30
    164  5.536560227933E-02  2.017605E-28  5.060721E-28  5.476523E-28  4.010370E-28  1.409278E-28  6.841328E-29  1.379134E-29  2.639026E-30
    165  5.559867087093E-02  1.983788E-28  5.124331E-28  5.670692E-28  4.250648E-28  1.521070E-28  7.577452E-29  1.557571E-29  3.225076E-30
    166  5.582344501454E-02  1.932572E-28  5.078018E-28  5.667623E-28  4.251073E-28  1.512093E-28  7.366440E-29  1.500782E-29  3.221757E-30
    167  5.608267729631E-02  2.314092E-28  6.288531E-28  7.198557E-28  5.539598E-28  2.008899E-28  1.002527E-28  2.048869E-29  4.219571E-30
    168  5.632179590432E-02  2.199543E-28  6.262614E-28  7.467927E-28  6.026961E-28  2.270688E-28  1.193042E-28  2.559076E-29  5.598338E-30
    169  5.658568452696E-02  2.483252E-28  7.244308E-28  8.782271E-28  7.186829E-28  2.731958E-28  1.446989E-28  3.113767E-29  7.007964E-30
    170  5.682194908758E-02  2.282786E-28  6.877498E-28  8.587753E-28  7.288638E-28  2.854606E-28  1.576956E-28  3.527791E-29  8.325242E-30
    171  5.707748662895E-02  2.529453E-28  7.917143E-28  1.016517E-27  8.859868E-28  3.535873E-28  1.995301E-28  4.541435E-29  1.059747E-29
    172  5.730159219632E-02  2.232337E-28  7.203137E-28  9.511000E-28  8.583045E-28  3.524282E-28  2.069532E-28  4.875819E-29  1.191541E-29
    173  5.769211250520E-02  4.039498E-28  1.383296E-27  1.930053E-27  1.871961E-27  8.173722E-28  5.257231E-28  1.346744E-28  3.719073E-29
    174  5.804755660481E-02  3.632378E-28  1.327792E-27  1.958002E-27  2.010363E-27  9.119506E-28  6.047079E-28  1.564210E-28  3.953908E-29
    175  5.837706807704E-02  3.512713E-28  1.313526E-27  1.965040E-27  2.058739E-27  9.546272E-28  6.649209E-28  1.826017E-28  5.395173E-29
    176  5.868213309337E-02  3.286984E-28  1.287448E-27  1.990637E-27  2.148560E-27  1.015930E-27  7.233025E-28  2.022283E-28  6.151355E-29
    177  5.897372529375E-02  3.157867E-28  1.292431E-27  2.070304E-27  2.319672E-27  1.126226E-27  8.252116E-28  2.352482E-28  7.278001E-29
