 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cl29          cl30          cl31          cl32          cl33          cl34          cl35          cl36 
     66  3.501586344154E-02  1.000000E-30  1.000000E-30  1.000000E-30  7.757970E-30  5.039251E-24  6.783709E-21  1.268019E-17  5.603532E-16
     67  3.563385967804E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.563593E-30  6.337897E-24  9.423874E-21  1.982859E-17  9.585127E-16
     68  3.619390900501E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.324371E-30  7.766911E-24  1.263851E-20  2.951483E-17  1.536483E-15
     69  3.661379630041E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.921387E-30  9.033026E-24  1.572792E-20  3.964016E-17  2.171881E-15
     70  3.704099468238E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.055414E-29  1.052865E-23  1.964308E-20  5.342012E-17  3.071615E-15
     71  3.731378163516E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.096438E-29  1.159586E-23  2.261031E-20  6.446787E-17  3.811917E-15
     72  3.757630769329E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.135947E-29  1.270879E-23  2.585581E-20  7.707218E-17  4.670048E-15
     73  3.788075418501E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.181202E-29  1.410625E-23  3.014876E-20  9.448936E-17  5.870550E-15
     74  3.819794660071E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.226860E-29  1.568277E-23  3.528504E-20  1.163202E-16  7.386542E-15
     75  3.838080203158E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.252105E-29  1.664603E-23  3.857858E-20  1.308343E-16  8.395723E-15
     76  3.859219912978E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.280309E-29  1.782140E-23  4.274574E-20  1.497282E-16  9.709960E-15
     77  3.884096228080E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.311149E-29  1.926661E-23  4.811960E-20  1.749148E-16  1.145025E-14
     78  3.907668434759E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.337505E-29  2.069075E-23  5.369762E-20  2.019801E-16  1.329756E-14
     79  3.934936577490E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.363835E-29  2.239284E-23  6.075576E-20  2.375060E-16  1.567576E-14
     80  3.961640452516E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.384624E-29  2.410170E-23  6.830579E-20  2.770338E-16  1.824856E-14
