 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                tc93          tc94          tc95          tc96          tc97          tc98          tc99          tc100
    106  4.536038532241E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.206388E-30  2.036470E-30
    107  4.552484255766E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.099569E-30  1.892357E-30
    108  4.581275722245E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.829286E-30  3.271714E-30
    109  4.603616864208E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.525206E-30  2.775575E-30
    110  4.624194314299E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.587446E-30  2.982780E-30
    111  4.641297951594E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.706892E-30  3.236965E-30
    112  4.656990459822E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.170181E-30  4.200116E-30
    113  4.671253119976E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.974642E-30  5.804977E-30
    114  4.684580987606E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.228929E-30  8.368330E-30
    115  4.697520204195E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.191457E-30  1.243255E-29
    116  4.709649788536E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.951636E-30  1.821930E-29
    117  4.721637454993E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.227849E-30  1.300346E-29  2.682160E-29
    118  4.732862910872E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.712054E-30  1.841489E-29  3.845806E-29
    119  4.750539400184E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.908979E-30  3.211308E-29  6.839029E-29
    120  4.767210524850E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.668052E-30  5.276601E-29  1.144453E-28
    121  4.783406579930E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.072231E-30  7.322018E-30  8.476737E-29  1.872143E-28
    122  4.799263518131E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.621430E-30  1.126676E-29  1.335388E-28  3.001975E-28
    123  4.815339657435E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.439465E-30  1.726648E-29  2.096190E-28  4.797651E-28
    124  4.832264594384E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.710430E-30  2.678895E-29  3.335781E-28  7.780621E-28
    125  4.849826454798E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.673036E-30  4.182090E-29  5.346866E-28  1.271904E-27
    126  4.867786870736E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  8.670135E-30  6.530350E-29  8.578301E-28  2.082095E-27
    127  4.885872256535E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.316744E-29  1.013609E-28  1.368379E-27  3.389399E-27
    128  4.903755607841E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.974103E-29  1.552879E-28  2.153966E-27  5.443582E-27
    129  4.921259737621E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.913215E-29  2.340863E-28  3.334412E-27  8.594530E-27
    130  4.938368810460E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.243165E-30  4.234595E-29  3.474306E-28  5.079469E-27  1.334745E-26
    131  4.955132280349E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.738307E-30  6.074515E-29  5.087043E-28  7.629897E-27  2.043242E-26
