 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                po232         po233         po234         po235         po236         po237         at211         neut 
     99  4.384703699487E-02  1.007192E-30  1.056049E-30  1.115092E-30  1.278577E-30  1.322966E-30  1.459792E-30  1.000000E-30  7.721745E-01
    100  4.408801045744E-02  1.019113E-30  1.097496E-30  1.173528E-30  1.363849E-30  1.411896E-30  1.564574E-30  1.000000E-30  7.721589E-01
    101  4.430336182063E-02  1.016200E-30  1.130687E-30  1.221701E-30  1.436220E-30  1.487866E-30  1.654868E-30  1.000000E-30  7.721455E-01
    102  4.453208602613E-02  1.027142E-30  1.178021E-30  1.284111E-30  1.524674E-30  1.579642E-30  1.762849E-30  1.000000E-30  7.721317E-01
    103  4.474836808964E-02  1.024352E-30  1.218457E-30  1.338610E-30  1.604182E-30  1.662367E-30  1.861329E-30  1.000000E-30  7.721189E-01
    104  4.497736119052E-02  1.030700E-30  1.265956E-30  1.400270E-30  1.692786E-30  1.753805E-30  1.970516E-30  1.000000E-30  7.721052E-01
    105  4.517199675598E-02  1.015644E-30  1.286434E-30  1.433105E-30  1.748573E-30  1.812692E-30  2.044110E-30  1.000000E-30  7.720933E-01
    106  4.536038532241E-02  1.008328E-30  1.297761E-30  1.455974E-30  1.793539E-30  1.860610E-30  2.106417E-30  1.000000E-30  7.720814E-01
    107  4.552484255766E-02  1.001081E-30  1.294407E-30  1.462666E-30  1.819102E-30  1.889233E-30  2.147076E-30  1.000000E-30  7.720705E-01
    108  4.581275722245E-02  1.017747E-30  1.324795E-30  1.505418E-30  1.896255E-30  1.965871E-30  2.251002E-30  1.000000E-30  7.720500E-01
    109  4.603616864208E-02  1.000000E-30  1.305251E-30  1.496482E-30  1.912965E-30  1.984127E-30  2.288350E-30  1.000000E-30  7.720328E-01
    110  4.624194314299E-02  1.000000E-30  1.269028E-30  1.469440E-30  1.908471E-30  1.981324E-30  2.302447E-30  1.000000E-30  7.720158E-01
    111  4.641297951594E-02  1.000000E-30  1.228093E-30  1.436008E-30  1.892512E-30  1.967537E-30  2.301428E-30  1.000000E-30  7.720010E-01
    112  4.656990459822E-02  1.000000E-30  1.185533E-30  1.399858E-30  1.871450E-30  1.948647E-30  2.293631E-30  1.000000E-30  7.719868E-01
    113  4.671253119976E-02  1.000000E-30  1.144293E-30  1.364068E-30  1.848526E-30  1.927889E-30  2.282359E-30  1.000000E-30  7.719736E-01
    114  4.684580987606E-02  1.000000E-30  1.104471E-30  1.328958E-30  1.824738E-30  1.906201E-30  2.269106E-30  1.000000E-30  7.719609E-01
    115  4.697520204195E-02  1.000000E-30  1.064927E-30  1.293566E-30  1.799744E-30  1.883206E-30  2.254022E-30  1.000000E-30  7.719483E-01
    116  4.709649788536E-02  1.000000E-30  1.027903E-30  1.260135E-30  1.775484E-30  1.860880E-30  2.238749E-30  1.000000E-30  7.719364E-01
    117  4.721637454993E-02  1.000000E-30  1.000000E-30  1.226501E-30  1.750443E-30  1.837676E-30  2.222323E-30  1.000000E-30  7.719244E-01
    118  4.732862910872E-02  1.000000E-30  1.000000E-30  1.195486E-30  1.726993E-30  1.816006E-30  2.206681E-30  1.000000E-30  7.719131E-01
    119  4.750539400184E-02  1.000000E-30  1.000000E-30  1.132308E-30  1.675896E-30  1.765760E-30  2.167680E-30  1.000000E-30  7.718950E-01
    120  4.767210524850E-02  1.000000E-30  1.000000E-30  1.074021E-30  1.627869E-30  1.718631E-30  2.130431E-30  1.000000E-30  7.718779E-01
    121  4.783406579930E-02  1.000000E-30  1.000000E-30  1.018237E-30  1.581119E-30  1.672713E-30  2.093605E-30  1.000000E-30  7.718611E-01
    122  4.799263518131E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.535482E-30  1.627827E-30  2.057183E-30  1.000000E-30  7.718445E-01
    123  4.815339657435E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.488324E-30  1.581220E-30  2.018898E-30  1.000000E-30  7.718277E-01
