 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                c14           c15           c16           c17           c18           n11           n12           n13  
     88  4.152714488067E-02  6.503779E-10  4.953082E-22  3.078353E-25  5.872558E-30  1.000000E-30  1.815303E-27  7.588594E-29  1.721614E-18
     89  4.165981986900E-02  6.101124E-10  4.952896E-22  3.077974E-25  5.869761E-30  1.000000E-30  1.815303E-27  7.535911E-29  1.768282E-18
     90  4.188596337322E-02  5.396550E-10  4.952579E-22  3.077328E-25  5.864996E-30  1.000000E-30  1.815303E-27  7.462591E-29  1.859686E-18
     91  4.208159634323E-02  4.785107E-10  4.952304E-22  3.076770E-25  5.860876E-30  1.000000E-30  1.815303E-27  7.415755E-29  1.952203E-18
     92  4.230932596557E-02  4.092737E-10  4.951985E-22  3.076119E-25  5.856085E-30  1.000000E-30  1.815303E-27  7.381189E-29  2.077663E-18
     93  4.251598135750E-02  3.499997E-10  4.951696E-22  3.075530E-25  5.851740E-30  1.000000E-30  1.815303E-27  7.369296E-29  2.210136E-18
     94  4.274368410830E-02  2.903544E-10  4.951376E-22  3.074880E-25  5.846957E-30  1.000000E-30  1.815303E-27  7.380549E-29  2.378847E-18
     95  4.294191711445E-02  2.441913E-10  4.951099E-22  3.074314E-25  5.842795E-30  1.000000E-30  1.815303E-27  7.414036E-29  2.547079E-18
     96  4.316569238790E-02  1.989947E-10  4.950785E-22  3.073676E-25  5.838101E-30  1.000000E-30  1.815303E-27  7.484671E-29  2.763102E-18
     97  4.339365876136E-02  1.604802E-10  4.950466E-22  3.073026E-25  5.833324E-30  1.000000E-30  1.815303E-27  7.600323E-29  3.013888E-18
     98  4.362382833621E-02  1.288427E-10  4.950143E-22  3.072370E-25  5.828504E-30  1.000000E-30  1.815303E-27  7.771548E-29  3.300459E-18
     99  4.384703699487E-02  1.043489E-10  4.949830E-22  3.071733E-25  5.823833E-30  1.000000E-30  1.815303E-27  7.999845E-29  3.611507E-18
    100  4.408801045744E-02  8.371713E-11  4.949493E-22  3.071047E-25  5.818795E-30  1.000000E-30  1.815303E-27  8.324125E-29  3.983709E-18
    101  4.430336182063E-02  6.946489E-11  4.949191E-22  3.070433E-25  5.814296E-30  1.000000E-30  1.815303E-27  8.686693E-29  4.347031E-18
    102  4.453208602613E-02  5.782619E-11  4.948871E-22  3.069781E-25  5.809522E-30  1.000000E-30  1.815303E-27  9.143755E-29  4.759624E-18
    103  4.474836808964E-02  4.947969E-11  4.948568E-22  3.069165E-25  5.805011E-30  1.000000E-30  1.815303E-27  9.630601E-29  5.167265E-18
    104  4.497736119052E-02  4.285302E-11  4.948247E-22  3.068513E-25  5.800239E-30  1.000000E-30  1.815303E-27  1.017908E-28  5.606160E-18
    105  4.517199675598E-02  3.863749E-11  4.947975E-22  3.067959E-25  5.796186E-30  1.000000E-30  1.815303E-27  1.064549E-28  5.974455E-18
    106  4.536038532241E-02  3.555254E-11  4.947711E-22  3.067423E-25  5.792266E-30  1.000000E-30  1.815303E-27  1.107080E-28  6.316852E-18
    107  4.552484255766E-02  3.352276E-11  4.947480E-22  3.066955E-25  5.788846E-30  1.000000E-30  1.815303E-27  1.140199E-28  6.597479E-18
    108  4.581275722245E-02  3.116978E-11  4.947077E-22  3.066136E-25  5.782863E-30  1.000000E-30  1.815303E-27  1.184871E-28  7.032129E-18
    109  4.603616864208E-02  3.020904E-11  4.946764E-22  3.065500E-25  5.778225E-30  1.000000E-30  1.815303E-27  1.205113E-28  7.309397E-18
    110  4.624194314299E-02  2.987375E-11  4.946476E-22  3.064915E-25  5.773956E-30  1.000000E-30  1.815303E-27  1.211372E-28  7.513426E-18
    111  4.641297951594E-02  2.993862E-11  4.946237E-22  3.064428E-25  5.770411E-30  1.000000E-30  1.815303E-27  1.207892E-28  7.645993E-18
    112  4.656990459822E-02  3.024330E-11  4.946017E-22  3.063982E-25  5.767159E-30  1.000000E-30  1.815303E-27  1.198229E-28  7.739158E-18
    113  4.671253119976E-02  3.070754E-11  4.945818E-22  3.063577E-25  5.764206E-30  1.000000E-30  1.815303E-27  1.184573E-28  7.801594E-18
    114  4.684580987606E-02  3.129225E-11  4.945631E-22  3.063198E-25  5.761448E-30  1.000000E-30  1.815303E-27  1.168086E-28  7.842193E-18
    115  4.697520204195E-02  3.199239E-11  4.945450E-22  3.062830E-25  5.758771E-30  1.000000E-30  1.815303E-27  1.149064E-28  7.866538E-18
    116  4.709649788536E-02  3.276265E-11  4.945280E-22  3.062486E-25  5.756263E-30  1.000000E-30  1.815303E-27  1.128900E-28  7.877041E-18
