 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ne19          ne20          ne21          ne22          ne23          ne24          ne25          ne26 
     36  1.219012310682E-02  1.650892E-24  1.083532E-22  5.104216E-22  3.633604E-22  2.505794E-24  5.145366E-25  1.112961E-27  1.762937E-30
     37  1.314647137106E-02  3.490789E-24  2.749850E-22  1.457638E-21  1.151176E-21  8.997934E-24  1.949053E-24  4.317102E-27  7.748384E-30
     38  1.431720408173E-02  7.902784E-24  7.878709E-22  4.829667E-21  4.329244E-21  4.008841E-23  9.207461E-24  2.100408E-26  4.220658E-29
     39  1.545287753035E-02  1.572404E-23  2.005291E-21  1.418583E-20  1.443743E-20  1.603092E-22  3.881955E-23  9.120732E-26  2.059247E-28
     40  1.716820108076E-02  3.724293E-23  7.208735E-21  6.348791E-20  7.894388E-20  1.176503E-21  3.074132E-22  7.556151E-25  2.024597E-27
     41  1.871872199221E-02  6.891648E-23  2.059542E-20  2.169466E-19  3.267565E-19  6.514923E-21  1.879637E-21  4.889845E-24  1.605261E-26
     42  2.131412024987E-02  1.427500E-22  1.093585E-19  1.456496E-18  3.237580E-18  1.060577E-19  3.706385E-20  1.059692E-22  4.428558E-25
     43  2.288535686070E-02  1.902730E-22  3.061648E-19  4.322091E-18  1.236334E-17  5.150316E-19  2.238847E-19  7.014443E-22  3.779648E-24
     44  2.437102778700E-02  2.293163E-22  8.859888E-19  1.221070E-17  4.593596E-17  2.336370E-18  1.189073E-18  3.942619E-21  2.356840E-23
     45  2.666254430666E-02  2.697354E-22  5.876735E-18  6.363444E-17  3.785691E-16  2.522664E-17  1.778995E-17  6.539210E-20  4.794488E-22
     46  2.807329513827E-02  2.817751E-22  2.332909E-17  1.900886E-16  1.494067E-15  1.166398E-16  1.046664E-16  4.103230E-19  3.430491E-21
     47  2.946719119355E-02  2.846137E-22  1.076678E-16  6.018391E-16  6.066631E-15  5.344816E-16  5.751135E-16  2.373717E-18  2.155924E-20
     48  2.982466835475E-02  2.839466E-22  1.629418E-16  8.210768E-16  8.794833E-15  7.955024E-16  8.909486E-16  3.723809E-18  3.441379E-20
     49  3.017238950627E-02  2.828142E-22  2.445378E-16  1.107501E-15  1.256571E-14  1.165874E-15  1.359364E-15  5.755133E-18  5.413005E-20
     50  3.052509122072E-02  2.812120E-22  3.680665E-16  1.493576E-15  1.792199E-14  1.702179E-15  2.061855E-15  8.843026E-18  8.457612E-20
     51  3.066477686677E-02  2.804620E-22  4.319399E-16  1.678608E-15  2.058305E-14  1.971884E-15  2.423213E-15  1.044620E-17  1.005452E-19
     52  3.080037159611E-02  2.796479E-22  5.049670E-16  1.881001E-15  2.355096E-14  2.274780E-15  2.834176E-15  1.227885E-17  1.189044E-19
     53  3.111325257314E-02  2.775380E-22  7.212736E-16  2.438321E-15  3.200703E-14  3.147185E-15  4.042821E-15  1.771832E-17  1.739265E-19
     54  3.147800645819E-02  2.747778E-22  1.077206E-15  3.265061E-15  4.521745E-14  4.530418E-15  6.017574E-15  2.673182E-17  2.664104E-19
     55  3.181357346897E-02  2.720339E-22  1.531219E-15  4.220071E-15  6.131521E-14  6.239582E-15  8.530817E-15  3.837441E-17  3.876101E-19
     56  3.217197145871E-02  2.689720E-22  2.183895E-15  5.474011E-15  8.362114E-14  8.638705E-15  1.216134E-14  5.545139E-17  5.679842E-19
     57  3.249951277145E-02  2.661183E-22  2.963025E-15  6.855427E-15  1.095403E-13  1.146024E-14  1.655071E-14  7.641720E-17  7.926504E-19
     58  3.262595809504E-02  2.650107E-22  3.317450E-15  7.454560E-15  1.211789E-13  1.273688E-14  1.857217E-14  8.617039E-17  8.981528E-19
     59  3.272641576722E-02  2.640970E-22  3.628786E-15  7.968387E-15  1.313139E-13  1.385303E-14  2.035441E-14  9.480867E-17  9.920109E-19
     60  3.304841700500E-02  2.611779E-22  4.785406E-15  9.799715E-15  1.686737E-13  1.799779E-14  2.708803E-14  1.277762E-16  1.353635E-18
     61  3.362823507679E-02  2.560555E-22  7.561308E-15  1.387278E-14  2.579856E-13  2.806164E-14  4.405248E-14  2.126775E-16  2.304554E-18
     62  3.417743618412E-02  2.514770E-22  1.115935E-14  1.878291E-14  3.755999E-13  4.156901E-14  6.787292E-14  3.351800E-16  3.713134E-18
     63  3.448472684867E-02  2.490572E-22  1.364174E-14  2.203838E-14  4.588756E-13  5.127082E-14  8.557053E-14  4.280793E-16  4.803121E-18
     64  3.459225947862E-02  2.482164E-22  1.460797E-14  2.328541E-14  4.917508E-13  5.512803E-14  9.272072E-14  4.659749E-16  5.252098E-18
     65  3.468161085917E-02  2.475110E-22  1.545793E-14  2.437431E-14  5.208435E-13  5.855321E-14  9.911797E-14  5.000296E-16  5.657422E-18
     66  3.501586344154E-02  2.449485E-22  1.895869E-14  2.880530E-14  6.432349E-13  7.307513E-14  1.267319E-13  6.486310E-16  7.445952E-18
     67  3.563385967804E-02  2.405576E-22  2.683430E-14  3.861246E-14  9.352664E-13  1.083509E-13  1.966219E-13  1.034183E-15  1.220873E-17
     68  3.619390900501E-02  2.369926E-22  3.559920E-14  4.950632E-14  1.290960E-12  1.522936E-13  2.882251E-13  1.555099E-15  1.885759E-17
     69  3.661379630041E-02  2.345231E-22  4.320499E-14  5.907621E-14  1.628361E-12  1.948002E-13  3.807454E-13  2.094754E-15  2.594234E-17
     70  3.704099468238E-02  2.321302E-22  5.183153E-14  7.015238E-14  2.046508E-12  2.484464E-13  5.021833E-13  2.819296E-15  3.570312E-17
     71  3.731378163516E-02  2.307171E-22  5.761444E-14  7.777779E-14  2.352845E-12  2.883838E-13  5.957612E-13  3.388759E-15  4.355057E-17
     72  3.757630769329E-02  2.294446E-22  6.325078E-14  8.541293E-14  2.675861E-12  3.310581E-13  6.986137E-13  4.024764E-15  5.247921E-17
     73  3.788075418501E-02  2.280773E-22  6.969509E-14  9.446051E-14  3.082208E-12  3.855604E-13  8.342149E-13  4.878346E-15  6.471422E-17
     74  3.819794660071E-02  2.267747E-22  7.605434E-14  1.038444E-13  3.535575E-12  4.474777E-13  9.941094E-13  5.905722E-15  7.979944E-17
     75  3.838080203158E-02  2.260769E-22  7.944615E-14  1.091089E-13  3.807242E-12  4.851712E-13  1.094599E-12  6.562597E-15  8.964149E-17
     76  3.859219912978E-02  2.252500E-22  8.314361E-14  1.150921E-13  4.132422E-12  5.308915E-13  1.219620E-12  7.390612E-15  1.022458E-16
     77  3.884096228080E-02  2.243377E-22  8.691148E-14  1.216477E-13  4.517590E-12  5.860087E-13  1.375547E-12  8.441702E-15  1.185830E-16
     78  3.907668434759E-02  2.235349E-22  8.977821E-14  1.271997E-13  4.877615E-12  6.386126E-13  1.530292E-12  9.505680E-15  1.355100E-16
     79  3.934936577490E-02  2.226821E-22  9.210353E-14  1.325995E-13  5.277343E-12  6.985167E-13  1.714779E-12  1.080306E-14  1.567009E-16
     80  3.961640452516E-02  2.219262E-22  9.323899E-14  1.366112E-13  5.639383E-12  7.545601E-13  1.897269E-12  1.212057E-14  1.788834E-16
     81  3.991996766101E-02  2.211615E-22  9.306086E-14  1.393974E-13  5.999397E-12  8.128134E-13  2.100877E-12  1.363767E-14  2.053544E-16
     82  4.019473378510E-02  2.205543E-22  9.151072E-14  1.401145E-13  6.263050E-12  8.583090E-13  2.275231E-12  1.498675E-14  2.298845E-16
     83  4.046928694587E-02  2.199707E-22  8.867938E-14  1.390398E-13  6.456045E-12  8.951331E-13  2.434400E-12  1.627272E-14  2.543523E-16
     84  4.074955599116E-02  2.194187E-22  8.447940E-14  1.359733E-13  6.564892E-12  9.212868E-13  2.572763E-12  1.745977E-14  2.782904E-16
     85  4.099011663524E-02  2.190098E-22  7.987582E-14  1.317181E-13  6.576627E-12  9.326309E-13  2.664870E-12  1.832293E-14  2.970599E-16
     86  4.118445936105E-02  2.187258E-22  7.555724E-14  1.272215E-13  6.527023E-12  9.334809E-13  2.717516E-12  1.888451E-14  3.104517E-16
     87  4.137235583218E-02  2.184922E-22  7.094572E-14  1.220311E-13  6.427449E-12  9.268249E-13  2.747483E-12  1.929090E-14  3.214668E-16
     88  4.152714488067E-02  2.183307E-22  6.688252E-14  1.171887E-13  6.307499E-12  9.157072E-13  2.755515E-12  1.951325E-14  3.288599E-16
     89  4.165981986900E-02  2.182146E-22  6.325188E-14  1.126767E-13  6.178202E-12  9.021496E-13  2.749907E-12  1.961713E-14  3.338436E-16
     90  4.188596337322E-02  2.180642E-22  5.685650E-14  1.043482E-13  5.905083E-12  8.707936E-13  2.713373E-12  1.960142E-14  3.391992E-16
     91  4.208159634323E-02  2.179811E-22  5.123538E-14  9.665345E-14  5.620680E-12  8.358843E-13  2.654747E-12  1.938874E-14  3.404527E-16
     92  4.230932596557E-02  2.179051E-22  4.475488E-14  8.736163E-14  5.243523E-12  7.874354E-13  2.557144E-12  1.891621E-14  3.378982E-16
     93  4.251598135750E-02  2.178382E-22  3.907390E-14  7.883417E-14  4.868517E-12  7.375360E-13  2.444038E-12  1.829148E-14  3.319083E-16
     94  4.274368410830E-02  2.178043E-22  3.319150E-14  6.960088E-14  4.433933E-12  6.780267E-13  2.297266E-12  1.741627E-14  3.215826E-16
     95  4.294191711445E-02  2.178047E-22  2.848789E-14  6.188352E-14  4.048339E-12  6.239498E-13  2.155000E-12  1.652299E-14  3.097846E-16
     96  4.316569238790E-02  2.178334E-22  2.371624E-14  5.370037E-14  3.617332E-12  5.622516E-13  1.983998E-12  1.540758E-14  2.939278E-16
     97  4.339365876136E-02  2.178853E-22  1.948107E-14  4.607416E-14  3.193961E-12  5.004347E-13  1.804254E-12  1.419606E-14  2.756720E-16
     98  4.362382833621E-02  2.179502E-22  1.584801E-14  3.918800E-14  2.791793E-12  4.406263E-13  1.622757E-12  1.293830E-14  2.558192E-16
     99  4.384703699487E-02  2.180139E-22  1.291210E-14  3.332437E-14  2.432346E-12  3.862655E-13  1.451389E-12  1.172210E-14  2.358768E-16
    100  4.408801045744E-02  2.180686E-22  1.033259E-14  2.788277E-14  2.081965E-12  3.324250E-13  1.275520E-12  1.044658E-14  2.142471E-16
    101  4.430336182063E-02  2.180314E-22  8.480671E-15  2.375475E-14  1.802417E-12  2.888530E-13  1.128531E-12  9.359078E-15  1.952449E-16
    102  4.453208602613E-02  2.179294E-22  6.916541E-15  2.007794E-14  1.540564E-12  2.475186E-13  9.849887E-13  8.278251E-15  1.758623E-16
    103  4.474836808964E-02  2.177788E-22  5.759335E-15  1.720958E-14  1.324486E-12  2.130256E-13  8.619189E-13  7.336019E-15  1.585513E-16
    104  4.497736119052E-02  2.175532E-22  4.812365E-15  1.473795E-14  1.126138E-12  1.810765E-13  7.450914E-13  6.427344E-15  1.414755E-16
    105  4.517199675598E-02  2.173034E-22  4.190397E-15  1.303460E-14  9.795769E-13  1.573202E-13  6.563528E-13  5.726958E-15  1.280395E-16
    106  4.536038532241E-02  2.170092E-22  3.717749E-15  1.168427E-14  8.545379E-13  1.369820E-13  5.790541E-13  5.108907E-15  1.159671E-16
    107  4.552484255766E-02  2.167112E-22  3.390959E-15  1.071371E-14  7.573484E-13  1.211498E-13  5.179905E-13  4.614794E-15  1.061547E-16
    108  4.581275722245E-02  2.161055E-22  2.971024E-15  9.404025E-15  6.101544E-13  9.716970E-14  4.238864E-13  3.841622E-15  9.047366E-17
    109  4.603616864208E-02  2.155730E-22  2.750935E-15  8.672854E-15  5.135013E-13  8.144109E-14  3.609540E-13  3.315188E-15  7.952825E-17
    110  4.624194314299E-02  2.149720E-22  2.611453E-15  8.177988E-15  4.357528E-13  6.879843E-14  3.095180E-13  2.878076E-15  7.023843E-17
    111  4.641297951594E-02  2.144459E-22  2.533252E-15  7.877680E-15  3.789682E-13  5.955686E-14  2.713155E-13  2.548961E-15  6.310831E-17
    112  4.656990459822E-02  2.139526E-22  2.486930E-15  7.679124E-15  3.326471E-13  5.200165E-14  2.396114E-13  2.272555E-15  5.701799E-17
    113  4.671253119976E-02  2.134997E-22  2.463212E-15  7.555528E-15  2.950383E-13  4.584668E-14  2.133982E-13  2.041510E-15  5.184702E-17
    114  4.684580987606E-02  2.130756E-22  2.455059E-15  7.484141E-15  2.635276E-13  4.066675E-14  1.910132E-13  1.842214E-15  4.732171E-17
    115  4.697520204195E-02  2.126652E-22  2.458778E-15  7.451996E-15  2.360961E-13  3.613244E-14  1.711265E-13  1.663466E-15  4.320669E-17
    116  4.709649788536E-02  2.122829E-22  2.471729E-15  7.452449E-15  2.130405E-13  3.229652E-14  1.540494E-13  1.508579E-15  3.959376E-17
    117  4.721637454993E-02  2.119086E-22  2.492775E-15  7.479822E-15  1.926252E-13  2.887421E-14  1.385811E-13  1.367065E-15  3.625088E-17
    118  4.732862910872E-02  2.115619E-22  2.519364E-15  7.528108E-15  1.755088E-13  2.598039E-14  1.252991E-13  1.244544E-15  3.332138E-17
    119  4.750539400184E-02  2.110244E-22  2.573651E-15  7.645377E-15  1.521637E-13  2.198379E-14  1.065841E-13  1.070155E-15  2.908909E-17
    120  4.767210524850E-02  2.105277E-22  2.637619E-15  7.798774E-15  1.338139E-13  1.878472E-14  9.121324E-14  9.251966E-16  2.550787E-17
    121  4.783406579930E-02  2.100548E-22  2.710670E-15  7.984700E-15  1.190073E-13  1.614715E-14  7.819838E-14  8.010569E-16  2.238864E-17
    122  4.799263518131E-02  2.095918E-22  2.791947E-15  8.200056E-15  1.070508E-13  1.396113E-14  6.710295E-14  6.940567E-16  1.965534E-17
    123  4.815339657435E-02  2.090735E-22  2.884033E-15  8.451720E-15  9.715139E-14  1.209139E-14  5.731640E-14  5.986315E-16  1.717682E-17
    124  4.832264594384E-02  2.085334E-22  2.990464E-15  8.749938E-15  8.889101E-14  1.046194E-14  4.847804E-14  5.115025E-16  1.487536E-17
    125  4.849826454798E-02  2.079806E-22  3.110669E-15  9.094212E-15  8.233793E-14  9.088268E-15  4.070400E-14  4.339956E-16  1.279176E-17
    126  4.867786870736E-02  2.074244E-22  3.243429E-15  9.482078E-15  7.744791E-14  7.968304E-15  3.403242E-14  3.667152E-16  1.094995E-17
    127  4.885872256535E-02  2.068749E-22  3.386759E-15  9.908663E-15  7.409085E-14  7.086655E-15  2.843886E-14  3.096609E-16  9.358899E-18
    128  4.903755607841E-02  2.063428E-22  3.537686E-15  1.036586E-14  7.207697E-14  6.419142E-15  2.385576E-14  2.623924E-16  8.015917E-18
    129  4.921259737621E-02  2.058334E-22  3.694019E-15  1.084760E-14  7.117009E-14  5.931107E-15  2.014658E-14  2.237308E-16  6.896836E-18
    130  4.938368810460E-02  2.053466E-22  3.854855E-15  1.135161E-14  7.115045E-14  5.587229E-15  1.715196E-14  1.922060E-16  5.967230E-18
    131  4.955132280349E-02  2.048802E-22  4.019985E-15  1.187782E-14  7.184563E-14  5.358325E-15  1.473160E-14  1.664912E-16  5.194656E-18
    132  4.971624312404E-02  2.044311E-22  4.189595E-15  1.242757E-14  7.312916E-14  5.221945E-15  1.277203E-14  1.454972E-16  4.551807E-18
    133  4.987811857735E-02  2.039987E-22  4.362860E-15  1.299895E-14  7.489775E-14  5.161534E-15  1.119437E-14  1.284703E-16  4.020100E-18
    134  5.003799836445E-02  2.035148E-22  4.541314E-15  1.359822E-14  7.709690E-14  5.163709E-15  9.917670E-15  1.146027E-16  3.577876E-18
    135  5.019682549602E-02  2.030324E-22  4.725000E-15  1.422653E-14  7.967827E-14  5.219348E-15  8.890750E-15  1.033991E-16  3.212537E-18
    136  5.035511419132E-02  2.025556E-22  4.914224E-15  1.488628E-14  8.261056E-14  5.321556E-15  8.071761E-15  9.444629E-17  2.913236E-18
    137  5.051299755300E-02  2.020846E-22  5.108949E-15  1.557887E-14  8.586767E-14  5.464946E-15  7.428258E-15  8.742344E-17  2.671554E-18
    138  5.067010535678E-02  2.016211E-22  5.308507E-15  1.630353E-14  8.941924E-14  5.644717E-15  6.934699E-15  8.207713E-17  2.480900E-18
    139  5.082726902819E-02  2.011630E-22  5.513757E-15  1.706516E-14  9.326819E-14  5.858427E-15  6.566294E-15  7.815681E-17  2.334310E-18
    140  5.098506829486E-02  2.007089E-22  5.725326E-15  1.786824E-14  9.742120E-14  6.104648E-15  6.304560E-15  7.547742E-17  2.226686E-18
    141  5.114361869269E-02  2.002586E-22  5.943258E-15  1.871538E-14  1.018793E-13  6.382136E-15  6.135488E-15  7.390014E-17  2.154294E-18
    142  5.130328078870E-02  1.998108E-22  6.167951E-15  1.961088E-14  1.066551E-13  6.690720E-15  6.047402E-15  7.331052E-17  2.114019E-18
    143  5.146205644840E-02  1.993706E-22  6.396398E-15  2.054539E-14  1.116898E-13  7.025736E-15  6.030870E-15  7.361034E-17  2.103463E-18
    144  5.162089365231E-02  1.989343E-22  6.629714E-15  2.152602E-14  1.170139E-13  7.388510E-15  6.076444E-15  7.470656E-17  2.119910E-18
    145  5.177902725711E-02  1.985026E-22  6.866530E-15  2.254978E-14  1.226051E-13  7.777018E-15  6.176412E-15  7.651895E-17  2.161196E-18
    146  5.193558292952E-02  1.980182E-22  7.106177E-15  2.361650E-14  1.284563E-13  8.190164E-15  6.324029E-15  7.897520E-17  2.225238E-18
    147  5.207655208218E-02  1.975670E-22  7.325561E-15  2.462122E-14  1.339855E-13  8.585886E-15  6.494414E-15  8.171313E-17  2.301715E-18
    148  5.220437120847E-02  1.971553E-22  7.527145E-15  2.556939E-14  1.392162E-13  8.964390E-15  6.677288E-15  8.460674E-17  2.386005E-18
    149  5.240275279905E-02  1.965115E-22  7.844680E-15  2.711411E-14  1.477573E-13  9.590009E-15  7.010883E-15  8.984253E-17  2.544348E-18
    150  5.258707116153E-02  1.959085E-22  8.144312E-15  2.863234E-14  1.561695E-13  1.021424E-14  7.371699E-15  9.549627E-17  2.721161E-18
    151  5.276353482958E-02  1.953267E-22  8.434905E-15  3.016484E-14  1.646733E-13  1.085245E-14  7.760834E-15  1.016126E-16  2.917389E-18
    152  5.293536770993E-02  1.947559E-22  8.720956E-15  3.173491E-14  1.733954E-13  1.151382E-14  8.179613E-15  1.082322E-16  3.134316E-18
    153  5.310288915571E-02  1.941951E-22  9.002400E-15  3.334318E-14  1.823375E-13  1.219846E-14  8.625338E-15  1.153284E-16  3.371214E-18
    154  5.325369291828E-02  1.936863E-22  9.257461E-15  3.485818E-14  1.907668E-13  1.284953E-14  9.057870E-15  1.222682E-16  3.606628E-18
    155  5.339308966526E-02  1.932123E-22  9.494462E-15  3.631799E-14  1.988934E-13  1.348217E-14  9.484453E-15  1.291659E-16  3.843860E-18
    156  5.362726198018E-02  1.924071E-22  9.894099E-15  3.890107E-14  2.132818E-13  1.461363E-14  1.025916E-14  1.418282E-16  4.286815E-18
    157  5.383816121000E-02  1.916170E-22  1.025529E-14  4.137783E-14  2.270863E-13  1.571200E-14  1.102227E-14  1.544704E-16  4.737729E-18
    158  5.403768730975E-02  1.908084E-22  1.059652E-14  4.385341E-14  2.408918E-13  1.682254E-14  1.180238E-14  1.675645E-16  5.212980E-18
    159  5.422986619970E-02  1.900164E-22  1.092249E-14  4.635418E-14  2.548464E-13  1.795749E-14  1.260704E-14  1.812530E-16  5.718213E-18
    160  5.440569294967E-02  1.892837E-22  1.121660E-14  4.873598E-14  2.681459E-13  1.905080E-14  1.338841E-14  1.947218E-16  6.223297E-18
    161  5.456994612052E-02  1.885943E-22  1.148652E-14  5.103800E-14  2.810084E-13  2.011912E-14  1.415739E-14  2.081465E-16  6.734288E-18
    162  5.485681963417E-02  1.873855E-22  1.194206E-14  5.521089E-14  3.043479E-13  2.208589E-14  1.558648E-14  2.335434E-16  7.720849E-18
    163  5.511708850657E-02  1.862896E-22  1.233331E-14  5.913815E-14  3.263441E-13  2.397448E-14  1.697516E-14  2.587910E-16  8.726935E-18
    164  5.536560227933E-02  1.852491E-22  1.268266E-14  6.297558E-14  3.478686E-13  2.585733E-14  1.837592E-14  2.848333E-16  9.790409E-18
    165  5.559867087093E-02  1.842807E-22  1.298582E-14  6.662089E-14  3.683459E-13  2.768241E-14  1.974997E-14  3.109478E-16  1.088254E-17
    166  5.582344501454E-02  1.832628E-22  1.325564E-14  7.017045E-14  3.883129E-13  2.949455E-14  2.113066E-14  3.377511E-16  1.202944E-17
    167  5.608267729631E-02  1.820610E-22  1.353815E-14  7.427693E-14  4.114475E-13  3.163691E-14  2.278532E-14  3.706247E-16  1.347132E-17
    168  5.632179590432E-02  1.809578E-22  1.377221E-14  7.806232E-14  4.328051E-13  3.365724E-14  2.436908E-14  4.028553E-16  1.492164E-17
    169  5.658568452696E-02  1.797517E-22  1.400342E-14  8.223445E-14  4.563770E-13  3.593549E-14  2.618333E-14  4.406784E-16  1.666800E-17
    170  5.682194908758E-02  1.786854E-22  1.418886E-14  8.596712E-14  4.774908E-13  3.801980E-14  2.787019E-14  4.766867E-16  1.837313E-17
    171  5.707748662895E-02  1.775485E-22  1.436959E-14  9.000881E-14  5.003746E-13  4.032531E-14  2.976680E-14  5.181060E-16  2.038328E-17
    172  5.730159219632E-02  1.765657E-22  1.451348E-14  9.356348E-14  5.205161E-13  4.239424E-14  3.149660E-14  5.567128E-16  2.230163E-17
    173  5.769211250520E-02  1.748124E-22  1.473802E-14  9.980828E-14  5.559248E-13  4.611880E-14  3.467700E-14  6.296508E-16  2.603590E-17
    174  5.804755660481E-02  1.730981E-22  1.491987E-14  1.055763E-13  5.886471E-13  4.965668E-14  3.777683E-14  7.030448E-16  2.992892E-17
    175  5.837706807704E-02  1.715186E-22  1.507281E-14  1.109921E-13  6.193821E-13  5.306392E-14  4.083583E-14  7.776125E-16  3.401435E-17
    176  5.868213309337E-02  1.700736E-22  1.520365E-14  1.160682E-13  6.481955E-13  5.633163E-14  4.383777E-14  8.527709E-16  3.825677E-17
    177  5.897372529375E-02  1.687134E-22  1.532083E-14  1.209769E-13  6.760622E-13  5.955947E-14  4.686903E-14  9.305867E-16  4.277390E-17
    178  5.927019313219E-02  1.673533E-22  1.543345E-14  1.260231E-13  7.047122E-13  6.294731E-14  5.012154E-14  1.016166E-15  4.788077E-17
    179  5.955970264735E-02  1.660039E-22  1.553849E-14  1.310084E-13  7.330195E-13  6.636281E-14  5.347415E-14  1.106558E-15  5.342481E-17
