 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                la133         la134         la135         la136         la137         la138         la139         la140
     93  4.251598135750E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.780199E-30  1.035900E-29  3.396684E-29  4.379257E-29  1.034094E-29
     94  4.274368410830E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.098338E-30  1.128402E-29  3.837445E-29  5.153616E-29  1.211026E-29
     95  4.294191711445E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.502207E-30  9.664375E-30  3.456919E-29  4.922423E-29  1.171957E-29
     96  4.316569238790E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.798035E-30  1.106315E-29  3.981360E-29  5.722203E-29  1.419238E-29
     97  4.339365876136E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.747699E-30  1.131712E-29  4.172986E-29  6.118353E-29  1.510433E-29
     98  4.362382833621E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.651259E-30  1.138508E-29  4.323655E-29  6.551056E-29  1.642763E-29
     99  4.384703699487E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.407660E-30  1.105117E-29  4.316380E-29  6.743724E-29  1.724121E-29
    100  4.408801045744E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.564239E-30  1.171336E-29  4.734332E-29  7.683970E-29  1.992959E-29
    101  4.430336182063E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.041738E-30  1.068376E-29  4.411372E-29  7.329002E-29  1.947361E-29
    102  4.453208602613E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.124157E-30  1.108063E-29  4.745974E-29  8.210006E-29  2.210210E-29
    103  4.474836808964E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.873251E-30  1.011891E-29  4.481403E-29  8.069028E-29  2.236301E-29
    104  4.497736119052E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.885429E-30  1.059078E-29  4.864795E-29  9.125323E-29  2.583915E-29
    105  4.517199675598E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.324837E-30  9.252760E-30  4.269826E-29  8.014957E-29  2.289462E-29
    106  4.536038532241E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.164741E-30  8.855662E-30  4.210435E-29  8.181897E-29  2.364542E-29
