 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ag116         ag117         ag118         ag119         ag120         ag121         ag122         ag123
    128  4.903755607841E-02  8.222240E-29  8.573745E-29  1.867915E-29  6.098586E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    129  4.921259737621E-02  8.881295E-29  9.491454E-29  2.098588E-29  6.920638E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    130  4.938368810460E-02  9.490870E-29  1.037928E-28  2.340100E-29  7.886282E-30  1.094823E-30  1.000000E-30  1.000000E-30  1.000000E-30
    131  4.955132280349E-02  1.020596E-28  1.144579E-28  2.643323E-29  9.110875E-30  1.281512E-30  1.000000E-30  1.000000E-30  1.000000E-30
    132  4.971624312404E-02  1.101510E-28  1.263178E-28  2.974759E-29  1.045301E-29  1.489700E-30  1.000000E-30  1.000000E-30  1.000000E-30
    133  4.987811857735E-02  1.169169E-28  1.368378E-28  3.277930E-29  1.192543E-29  1.723494E-30  1.000000E-30  1.000000E-30  1.000000E-30
    134  5.003799836445E-02  1.253821E-28  1.501879E-28  3.670342E-29  1.363155E-29  1.996312E-30  1.000000E-30  1.000000E-30  1.000000E-30
    135  5.019682549602E-02  1.359555E-28  1.660974E-28  4.122228E-29  1.537881E-29  2.345173E-30  1.000000E-30  1.000000E-30  1.000000E-30
    136  5.035511419132E-02  1.468018E-28  1.825994E-28  4.580158E-29  1.725202E-29  2.598756E-30  1.000000E-30  1.000000E-30  1.000000E-30
    137  5.051299755300E-02  1.576305E-28  1.998458E-28  5.068762E-29  1.954891E-29  3.069001E-30  1.000000E-30  1.000000E-30  1.000000E-30
    138  5.067010535678E-02  1.699493E-28  2.196021E-28  5.633075E-29  2.231958E-29  3.542457E-30  1.000000E-30  1.000000E-30  1.000000E-30
    139  5.082726902819E-02  1.836718E-28  2.410435E-28  6.253079E-29  2.532632E-29  3.985568E-30  1.000000E-30  1.000000E-30  1.000000E-30
    140  5.098506829486E-02  1.983671E-28  2.642828E-28  6.925805E-29  2.839621E-29  4.557956E-30  1.000000E-30  1.000000E-30  1.000000E-30
    141  5.114361869269E-02  2.169870E-28  2.952175E-28  7.817575E-29  3.246502E-29  5.309835E-30  1.134281E-30  1.000000E-30  1.000000E-30
    142  5.130328078870E-02  2.400438E-28  3.334236E-28  8.944365E-29  3.749248E-29  6.131599E-30  1.329680E-30  1.000000E-30  1.000000E-30
    143  5.146205644840E-02  2.654893E-28  3.755919E-28  1.018689E-28  4.317889E-29  7.142315E-30  1.573812E-30  1.000000E-30  1.000000E-30
    144  5.162089365231E-02  3.008057E-28  4.368802E-28  1.205505E-28  5.227003E-29  8.684606E-30  1.964117E-30  1.000000E-30  1.000000E-30
    145  5.177902725711E-02  3.477259E-28  5.205764E-28  1.465324E-28  6.514768E-29  1.099250E-29  2.550688E-30  1.000000E-30  1.000000E-30
    146  5.193558292952E-02  4.098222E-28  6.417277E-28  1.862980E-28  8.649893E-29  1.513953E-29  3.475966E-30  1.000000E-30  1.000000E-30
