 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sb131         sb132         sb133         sb134         sb135         sb136         sb137         sb138
    145  5.177902725711E-02  1.773904E-27  5.525446E-28  2.577864E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    146  5.193558292952E-02  1.864648E-27  5.865335E-28  2.780429E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    147  5.207655208218E-02  1.876942E-27  5.981233E-28  2.876381E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    148  5.220437120847E-02  1.867833E-27  6.021280E-28  2.934112E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    149  5.240275279905E-02  3.333565E-27  1.103594E-27  5.568060E-28  1.340053E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    150  5.258707116153E-02  3.574946E-27  1.220516E-27  6.374866E-28  1.536943E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    151  5.276353482958E-02  3.832069E-27  1.331973E-27  7.131600E-28  1.726861E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    152  5.293536770993E-02  4.152320E-27  1.464247E-27  7.979996E-28  1.943680E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    153  5.310288915571E-02  4.386603E-27  1.556796E-27  8.547311E-28  2.099920E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    154  5.325369291828E-02  4.396584E-27  1.583227E-27  8.826581E-28  2.222491E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    155  5.339308966526E-02  4.350259E-27  1.589078E-27  8.994701E-28  2.277968E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    156  5.362726198018E-02  8.883284E-27  3.323076E-27  1.938361E-27  4.897017E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    157  5.383816121000E-02  9.066607E-27  3.566566E-27  2.227472E-27  5.601665E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    158  5.403768730975E-02  9.287212E-27  3.690300E-27  2.353139E-27  6.083013E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    159  5.422986619970E-02  1.047781E-26  4.197417E-27  2.663314E-27  6.835098E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    160  5.440569294967E-02  1.073387E-26  4.383731E-27  2.850258E-27  7.337426E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    161  5.456994612052E-02  1.089034E-26  4.531019E-27  3.008794E-27  7.845769E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    162  5.485681963417E-02  2.281320E-26  9.584758E-27  6.433480E-27  1.668026E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    163  5.511708850657E-02  2.290599E-26  1.039785E-26  7.885461E-27  2.104721E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    164  5.536560227933E-02  2.696592E-26  1.209176E-26  8.771362E-27  2.313231E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    165  5.559867087093E-02  2.949311E-26  1.363335E-26  1.027641E-26  2.707610E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    166  5.582344501454E-02  3.206953E-26  1.534821E-26  1.211899E-26  3.239676E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    167  5.608267729631E-02  4.381330E-26  2.170763E-26  1.789625E-26  4.815841E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    168  5.632179590432E-02  4.749513E-26  2.430793E-26  2.086458E-26  5.666014E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    169  5.658568452696E-02  6.307745E-26  3.324000E-26  2.953787E-26  8.083831E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    170  5.682194908758E-02  6.727447E-26  3.641292E-26  3.346246E-26  9.226822E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    171  5.707748662895E-02  8.691462E-26  4.869300E-26  4.682083E-26  1.305689E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
