 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ca41          ca42          ca43          ca44          ca45          ca46          ca47          ca48 
     62  3.417743618412E-02  1.137396E-20  8.420206E-19  7.149101E-18  1.470456E-16  4.110180E-16  2.740908E-15  3.981795E-15  1.247533E-14
     63  3.448472684867E-02  1.546709E-20  1.187655E-18  1.041371E-17  2.241016E-16  6.490284E-16  4.527122E-15  6.818995E-15  2.236263E-14
     64  3.459225947862E-02  1.721049E-20  1.338609E-18  1.187068E-17  2.595367E-16  7.610277E-16  5.392276E-15  8.225074E-15  2.740638E-14
     65  3.468161085917E-02  1.880948E-20  1.478736E-18  1.323740E-17  2.932724E-16  8.688840E-16  6.237671E-15  9.615109E-15  3.246696E-14
     66  3.501586344154E-02  2.612988E-20  2.138764E-18  1.983624E-17  4.618889E-16  1.422591E-15  1.072752E-14  1.720091E-14  6.105385E-14
     67  3.563385967804E-02  4.728255E-20  4.173087E-18  4.135000E-17  1.056424E-15  3.496529E-15  2.888764E-14  4.983773E-14  1.941733E-13
     68  3.619390900501E-02  7.976115E-20  7.546774E-18  7.948443E-17  2.212032E-15  7.819550E-15  7.021377E-14  1.294470E-13  5.484134E-13
     69  3.661379630041E-02  1.171309E-19  1.168512E-17  1.289162E-16  3.828863E-15  1.422469E-14  1.360358E-13  2.637183E-13  1.190843E-12
     70  3.704099468238E-02  1.721896E-19  1.814324E-17  2.099851E-16  6.670055E-15  2.607269E-14  2.659662E-13  5.427523E-13  2.616286E-12
     71  3.731378163516E-02  2.189862E-19  2.390406E-17  2.853631E-16  9.466998E-15  3.823357E-14  4.065262E-13  8.573616E-13  4.309715E-12
     72  3.757630769329E-02  2.746128E-19  3.102304E-17  3.816715E-16  1.320811E-14  5.504847E-14  6.091779E-13  1.326154E-12  6.941169E-12
     73  3.788075418501E-02  3.545352E-19  4.169649E-17  5.314415E-16  1.932480E-14  8.354610E-14  9.685213E-13  2.187561E-12  1.200008E-11
     74  3.819794660071E-02  4.584126E-19  5.625153E-17  7.442337E-16  2.851541E-14  1.280921E-13  1.558855E-12  3.659042E-12  2.108061E-11
     75  3.838080203158E-02  5.291380E-19  6.655609E-17  8.999564E-16  3.554882E-14  1.632584E-13  2.043361E-12  4.903984E-12  2.906376E-11
     76  3.859219912978E-02  6.228423E-19  8.064030E-17  1.118514E-15  4.578736E-14  2.157539E-13  2.790077E-12  6.871037E-12  4.208672E-11
     77  3.884096228080E-02  7.494961E-19  1.004341E-16  1.435956E-15  6.133430E-14  2.979127E-13  4.003965E-12  1.016494E-11  6.473173E-11
     78  3.907668434759E-02  8.867891E-19  1.228175E-16  1.807885E-15  8.043546E-14  4.021138E-13  5.606064E-12  1.464908E-11  9.679620E-11
     79  3.934936577490E-02  1.067347E-18  1.536554E-16  2.340541E-15  1.092394E-13  5.646839E-13  8.214389E-12  2.219552E-11  1.530768E-10
     80  3.961640452516E-02  1.266915E-18  1.895390E-16  2.987191E-15  1.462163E-13  7.810649E-13  1.184638E-11  3.307801E-11  2.379193E-10
     81  3.991996766101E-02  1.520042E-18  2.377586E-16  3.898000E-15  2.015936E-13  1.117996E-12  1.778345E-11  5.154956E-11  3.889632E-10
     82  4.019473378510E-02  1.770727E-18  2.885796E-16  4.906798E-15  2.669607E-13  1.531729E-12  2.544047E-11  7.629127E-11  6.011934E-10
     83  4.046928694587E-02  2.038857E-18  3.464920E-16  6.114585E-15  3.502997E-13  2.079677E-12  3.607407E-11  1.119245E-10  9.213119E-10
     84  4.074955599116E-02  2.323520E-18  4.125158E-16  7.567435E-15  4.574608E-13  2.812546E-12  5.100871E-11  1.638765E-10  1.410705E-09
     85  4.099011663524E-02  2.568511E-18  4.738423E-16  8.992811E-15  5.697308E-13  3.609837E-12  6.802726E-11  2.252046E-10  2.014729E-09
     86  4.118445936105E-02  2.761286E-18  5.257603E-16  1.026090E-14  6.755395E-13  4.385834E-12  8.525672E-11  2.891739E-10  2.668855E-09
     87  4.137235583218E-02  2.938617E-18  5.772089E-16  1.157863E-14  7.915238E-13  5.261614E-12  1.054041E-10  3.660091E-10  3.481433E-09
     88  4.152714488067E-02  3.074918E-18  6.199420E-16  1.272472E-14  8.975657E-13  6.083891E-12  1.249388E-10  4.423316E-10  4.313387E-09
     89  4.165981986900E-02  3.182730E-18  6.564103E-16  1.374455E-14  9.961454E-13  6.865932E-12  1.440346E-10  5.184889E-10  5.165126E-09
     90  4.188596337322E-02  3.343038E-18  7.172204E-16  1.554535E-14  1.180547E-12  8.372524E-12  1.821456E-10  6.745553E-10  6.969177E-09
     91  4.208159634323E-02  3.453948E-18  7.674163E-16  1.714768E-14  1.356660E-12  9.862564E-12  2.214344E-10  8.404756E-10  8.961865E-09
     92  4.230932596557E-02  3.546916E-18  8.217502E-16  1.903746E-14  1.580710E-12  1.182800E-11  2.755282E-10  1.076248E-09  1.190717E-08
     93  4.251598135750E-02  3.595375E-18  8.661995E-16  2.075011E-14  1.801207E-12  1.383689E-11  3.333355E-10  1.336524E-09  1.529288E-08
     94  4.274368410830E-02  3.608233E-18  9.087301E-16  2.260209E-14  2.061465E-12  1.630229E-11  4.075668E-10  1.681977E-09  1.997409E-08
     95  4.294191711445E-02  3.585934E-18  9.397689E-16  2.416491E-14  2.301879E-12  1.866992E-11  4.821094E-10  2.040294E-09  2.502732E-08
     96  4.316569238790E-02  3.526912E-18  9.680388E-16  2.585921E-14  2.587898E-12  2.159852E-11  5.785157E-10  2.518911E-09  3.205112E-08
     97  4.339365876136E-02  3.434679E-18  9.896417E-16  2.749802E-14  2.894447E-12  2.487184E-11  6.915335E-10  3.099663E-09  4.094291E-08
     98  4.362382833621E-02  3.314864E-18  1.004595E-15  2.905740E-14  3.218802E-12  2.848649E-11  8.225115E-10  3.796562E-09  5.208002E-08
     99  4.384703699487E-02  3.179519E-18  1.013258E-15  3.047848E-14  3.547205E-12  3.230410E-11  9.675801E-10  4.595342E-09  6.539481E-08
    100  4.408801045744E-02  3.019275E-18  1.017094E-15  3.191483E-14  3.916575E-12  3.678796E-11  1.146451E-09  5.615353E-09  8.314637E-08
    101  4.430336182063E-02  2.868866E-18  1.016392E-15  3.311319E-14  4.259343E-12  4.113118E-11  1.328286E-09  6.688453E-09  1.026362E-07
    102  4.453208602613E-02  2.706982E-18  1.012208E-15  3.430080E-14  4.635221E-12  4.609884E-11  1.546270E-09  8.018733E-09  1.278217E-07
    103  4.474836808964E-02  2.555048E-18  1.005364E-15  3.533494E-14  4.999132E-12  5.112322E-11  1.777539E-09  9.478786E-09  1.566416E-07
    104  4.497736119052E-02  2.397734E-18  9.952660E-16  3.632189E-14  5.389526E-12  5.676742E-11  2.050451E-09  1.126235E-08  1.933686E-07
    105  4.517199675598E-02  2.267685E-18  9.842776E-16  3.705503E-14  5.720967E-12  6.179093E-11  2.305482E-09  1.298604E-08  2.303391E-07
