 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                na22          na23          na24          na25          na26          na27          na28          na29 
     35  1.116687552369E-02  5.693742E-25  5.104824E-24  1.172802E-24  4.143569E-25  2.490506E-27  7.569428E-29  1.000000E-30  1.000000E-30
     36  1.219012310682E-02  1.859634E-24  2.081610E-23  4.934770E-24  1.923419E-24  1.257640E-26  4.054763E-28  1.000000E-30  1.000000E-30
     37  1.314647137106E-02  5.164272E-24  7.223337E-23  1.748192E-23  7.487163E-24  5.338690E-26  1.814204E-27  1.000000E-30  1.000000E-30
     38  1.431720408173E-02  1.626685E-23  3.038644E-22  7.476896E-23  3.601000E-23  2.882625E-25  1.042181E-26  3.699831E-30  1.000000E-30
     39  1.545287753035E-02  4.465131E-23  1.130717E-21  2.809801E-22  1.521666E-22  1.370696E-24  5.248439E-26  1.900990E-29  1.000000E-30
     40  1.716820108076E-02  1.736712E-22  7.260268E-21  1.822349E-21  1.180823E-21  1.268544E-23  5.259950E-25  1.982761E-28  1.000000E-30
     41  1.871872199221E-02  5.082467E-22  3.373977E-20  8.660510E-21  6.885225E-21  8.997794E-23  4.150168E-24  1.643953E-27  3.174052E-30
     42  2.131412024987E-02  2.424392E-21  3.759094E-19  1.056737E-19  1.222555E-19  2.095033E-21  1.103225E-22  4.730481E-26  8.947335E-29
     43  2.288535686070E-02  5.684271E-21  1.400846E-18  4.317522E-19  6.990378E-19  1.425258E-20  8.973265E-22  4.076593E-25  8.639958E-28
     44  2.437102778700E-02  1.238619E-20  4.836118E-18  1.674818E-18  3.532815E-18  7.990761E-20  5.462664E-21  2.574850E-24  5.797764E-27
     45  2.666254430666E-02  3.955348E-20  3.112416E-17  1.372446E-17  4.926624E-17  1.324128E-18  1.074176E-19  5.388464E-23  1.351810E-25
     46  2.807329513827E-02  8.052508E-20  9.671858E-17  5.087503E-17  2.690916E-16  8.195614E-18  7.709665E-19  4.039413E-22  1.093343E-24
     47  2.946719119355E-02  1.629682E-19  3.003770E-16  1.875126E-16  1.368464E-15  4.620300E-17  4.857314E-18  2.643249E-21  7.618789E-24
     48  2.982466835475E-02  1.951414E-19  4.040597E-16  2.635757E-16  2.076421E-15  7.184916E-17  7.744007E-18  4.253704E-21  1.244780E-23
     49  3.017238950627E-02  2.312750E-19  5.342307E-16  3.640395E-16  3.097902E-15  1.099924E-16  1.217387E-17  6.753889E-21  2.008711E-23
     50  3.052509122072E-02  2.734071E-19  7.041624E-16  5.007694E-16  4.590434E-15  1.672084E-16  1.899671E-17  1.064694E-20  3.219315E-23
     51  3.066477686677E-02  2.916537E-19  7.838751E-16  5.667349E-16  5.344758E-15  1.966383E-16  2.256690E-17  1.269928E-20  3.865137E-23
     52  3.080037159611E-02  3.104704E-19  8.699047E-16  6.390670E-16  6.193771E-15  2.300905E-16  2.666532E-17  1.506499E-20  4.614507E-23
     53  3.111325257314E-02  3.575043E-19  1.101922E-15  8.392579E-16  8.646304E-15  3.283795E-16  3.890954E-17  2.218504E-20  6.896619E-23
     54  3.147800645819E-02  4.180979E-19  1.436469E-15  1.138750E-15  1.254538E-14  4.886563E-16  5.937020E-17  3.421874E-20  1.082363E-22
     55  3.181357346897E-02  4.789889E-19  1.812973E-15  1.487995E-15  1.736706E-14  6.920568E-16  8.598682E-17  5.006021E-20  1.609105E-22
     56  3.217197145871E-02  5.490672E-19  2.296259E-15  1.951422E-15  2.412848E-14  9.847657E-16  1.252480E-16  7.371435E-20  2.410848E-22
     57  3.249951277145E-02  6.173755E-19  2.818587E-15  2.467882E-15  3.206085E-14  1.337005E-15  1.736548E-16  1.032372E-19  3.430817E-22
     58  3.262595809504E-02  6.448209E-19  3.042628E-15  2.693674E-15  3.564177E-14  1.498651E-15  1.962212E-16  1.171104E-19  3.916108E-22
     59  3.272641576722E-02  6.674455E-19  3.233448E-15  2.887777E-15  3.876801E-14  1.640848E-15  2.162250E-16  1.294523E-19  4.350282E-22
