 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                se86          se87          se88          se89          se90          se91          se92          se93 
    101  4.430336182063E-02  1.230972E-20  6.690617E-22  3.110292E-24  1.447365E-26  7.927636E-29  1.000000E-30  1.000000E-30  1.000000E-30
    102  4.453208602613E-02  2.910222E-20  1.607074E-21  7.597582E-24  3.571026E-26  1.990562E-28  1.000000E-30  1.000000E-30  1.000000E-30
    103  4.474836808964E-02  6.695973E-20  3.753766E-21  1.803287E-23  8.556868E-26  4.850135E-28  1.000000E-30  1.000000E-30  1.000000E-30
    104  4.497736119052E-02  1.645335E-19  9.371685E-21  4.579130E-23  2.194852E-25  1.266261E-27  2.107050E-30  1.000000E-30  1.000000E-30
    105  4.517199675598E-02  3.565672E-19  2.058595E-20  1.020489E-22  4.933438E-25  2.889364E-27  4.855932E-30  1.000000E-30  1.000000E-30
    106  4.536038532241E-02  7.563466E-19  4.424248E-20  2.224211E-22  1.084256E-24  6.443739E-27  1.089670E-29  1.000000E-30  1.000000E-30
    107  4.552484255766E-02  1.454835E-18  8.607599E-20  4.380630E-22  2.151006E-24  1.294747E-26  2.201340E-29  1.000000E-30  1.000000E-30
    108  4.581275722245E-02  4.497428E-18  2.714352E-19  1.411311E-21  7.018287E-24  4.319692E-26  7.413963E-29  1.000000E-30  1.000000E-30
    109  4.603616864208E-02  1.058461E-17  6.488669E-19  3.431172E-21  1.723395E-23  1.079530E-25  1.866631E-28  1.000000E-30  1.000000E-30
    110  4.624194314299E-02  2.274678E-17  1.414652E-18  7.598277E-21  3.851799E-23  2.452284E-25  4.269518E-28  1.120395E-30  1.000000E-30
    111  4.641297951594E-02  4.215227E-17  2.652976E-18  1.443560E-20  7.374156E-23  4.758679E-25  8.332481E-28  2.217953E-30  1.000000E-30
    112  4.656990459822E-02  7.308258E-17  4.650186E-18  2.560594E-20  1.317253E-22  8.606376E-25  1.514885E-27  4.079106E-30  1.000000E-30
    113  4.671253119976E-02  1.189737E-16  7.645717E-18  4.255932E-20  2.203431E-22  1.455944E-24  2.574961E-27  7.006790E-30  1.000000E-30
    114  4.684580987606E-02  1.855902E-16  1.203790E-17  6.769133E-20  3.525622E-22  2.354298E-24  4.182358E-27  1.149322E-29  1.000000E-30
    115  4.697520204195E-02  2.830754E-16  1.852720E-17  1.052150E-19  5.511965E-22  3.718666E-24  6.634786E-27  1.840785E-29  1.000000E-30
    116  4.709649788536E-02  4.171093E-16  2.753117E-17  1.578035E-19  8.312207E-22  5.662125E-24  1.014340E-26  2.839632E-29  1.000000E-30
    117  4.721637454993E-02  6.074147E-16  4.042832E-17  2.338634E-19  1.238536E-21  8.517506E-24  1.532015E-26  4.327185E-29  1.000000E-30
    118  4.732862910872E-02  8.583315E-16  5.757713E-17  3.359411E-19  1.788174E-21  1.240783E-23  2.240183E-26  6.380424E-29  1.000000E-30
    119  4.750539400184E-02  1.462906E-15  9.934333E-17  5.875217E-19  3.152284E-21  2.218225E-23  4.028670E-26  1.162551E-28  1.000000E-30
    120  4.767210524850E-02  2.392102E-15  1.643441E-16  9.845182E-19  5.322434E-21  3.795692E-23  6.932526E-26  2.025621E-28  1.000000E-30
    121  4.783406579930E-02  3.820075E-15  2.654319E-16  1.610120E-18  8.768812E-21  6.335292E-23  1.163444E-25  3.441008E-28  1.000000E-30
    122  4.799263518131E-02  5.991778E-15  4.209595E-16  2.585098E-18  1.418056E-20  1.037660E-22  1.915869E-25  5.734267E-28  1.000000E-30
    123  4.815339657435E-02  9.388829E-15  6.670608E-16  4.147796E-18  2.292004E-20  1.699019E-22  3.154104E-25  9.555209E-28  1.137760E-30
    124  4.832264594384E-02  1.495648E-14  1.075255E-15  6.774511E-18  3.772525E-20  2.834949E-22  5.293216E-25  1.624147E-27  1.944706E-30
    125  4.849826454798E-02  2.407648E-14  1.752257E-15  1.119205E-17  6.282807E-20  4.788893E-22  8.995099E-25  2.796903E-27  3.365862E-30
    126  4.867786870736E-02  3.891790E-14  2.868133E-15  1.857835E-17  1.051545E-19  8.132664E-22  1.536967E-24  4.844490E-27  5.860236E-30
    127  4.885872256535E-02  6.273200E-14  4.681910E-15  3.075987E-17  1.755555E-19  1.377849E-21  2.620103E-24  8.372796E-27  1.018137E-29
    128  4.903755607841E-02  1.000293E-13  7.559351E-15  5.036694E-17  2.898353E-19  2.308146E-21  4.416111E-24  1.430568E-26  1.748605E-29
    129  4.921259737621E-02  1.571715E-13  1.202375E-14  8.122414E-17  4.711916E-19  3.806390E-21  7.326534E-24  2.405311E-26  2.954999E-29
    130  4.938368810460E-02  2.434143E-13  1.884526E-14  1.290359E-16  7.544966E-19  6.180872E-21  1.196712E-23  3.980603E-26  4.914635E-29
    131  4.955132280349E-02  3.722454E-13  2.915894E-14  2.023200E-16  1.192221E-18  9.901845E-21  1.928252E-23  6.496923E-26  8.060572E-29
    132  4.971624312404E-02  5.633979E-13  4.464399E-14  3.138404E-16  1.863589E-18  1.568890E-20  3.072642E-23  1.048487E-25  1.307091E-28
    133  4.987811857735E-02  8.434871E-13  6.759901E-14  4.813630E-16  2.879931E-18  2.457031E-20  4.839062E-23  1.671975E-25  2.094215E-28
    134  5.003799836445E-02  1.253079E-12  1.015535E-13  7.324141E-16  4.414684E-18  3.816401E-20  7.558051E-23  2.643869E-25  3.327039E-28
    135  5.019682549602E-02  1.851320E-12  1.517128E-13  1.108127E-15  6.729008E-18  5.893937E-20  1.173696E-22  4.156467E-25  5.254824E-28
    136  5.035511419132E-02  2.723569E-12  2.256777E-13  1.669379E-15  1.021245E-17  9.063103E-20  1.814753E-22  6.506065E-25  8.263502E-28
    137  5.051299755300E-02  3.990989E-12  3.343712E-13  2.504913E-15  1.543757E-17  1.388082E-19  2.794760E-22  1.014322E-24  1.294288E-27
    138  5.067010535678E-02  5.819612E-12  4.929671E-13  3.739937E-15  2.321945E-17  2.115246E-19  4.282247E-22  1.573325E-24  2.016861E-27
    139  5.082726902819E-02  8.460593E-12  7.246087E-13  5.567325E-15  3.482112E-17  3.213943E-19  6.542382E-22  2.433391E-24  3.133830E-27
    140  5.098506829486E-02  1.227770E-11  1.063210E-12  8.273582E-15  5.213355E-17  4.875666E-19  9.980047E-22  3.758126E-24  4.862412E-27
    141  5.114361869269E-02  1.778475E-11  1.557304E-12  1.227490E-14  7.792748E-17  7.385286E-19  1.520138E-21  5.795912E-24  7.534102E-27
    142  5.130328078870E-02  2.572861E-11  2.278248E-12  1.819144E-14  1.163637E-16  1.117652E-18  2.313453E-21  8.932019E-24  1.166556E-26
    143  5.146205644840E-02  3.698917E-11  3.312012E-12  2.678925E-14  1.726539E-16  1.680571E-18  3.498164E-21  1.367603E-23  1.794543E-26
    144  5.162089365231E-02  5.294487E-11  4.793771E-12  3.927926E-14  2.550657E-16  2.516159E-18  5.266911E-21  2.085074E-23  2.748885E-26
    145  5.177902725711E-02  7.529185E-11  6.893142E-12  5.721474E-14  3.743354E-16  3.742296E-18  7.877428E-21  3.157786E-23  4.182663E-26
    146  5.193558292952E-02  1.061596E-10  9.826463E-12  8.261286E-14  5.445501E-16  5.516448E-18  1.167655E-20  4.739177E-23  6.306539E-26
    147  5.207655208218E-02  1.439567E-10  1.345749E-11  1.144536E-13  7.595184E-16  7.786447E-18  1.656402E-20  6.798501E-23  9.084880E-26
    148  5.220437120847E-02  1.889205E-10  1.781996E-11  1.531541E-13  1.022559E-15  1.059729E-17  2.264610E-20  9.389799E-23  1.259543E-25
    149  5.240275279905E-02  2.855288E-10  2.731085E-11  2.385933E-13  1.608232E-15  1.695078E-17  3.648066E-20  1.536779E-22  2.073675E-25
    150  5.258707116153E-02  4.146185E-10  4.017449E-11  3.563453E-13  2.423242E-15  2.594466E-17  5.620494E-20  2.402791E-22  3.260102E-25
    151  5.276353482958E-02  5.863905E-10  5.752679E-11  5.177576E-13  3.550861E-15  3.859430E-17  8.413738E-20  3.648118E-22  4.975917E-25
    152  5.293536770993E-02  8.130958E-10  8.073603E-11  7.370699E-13  5.096926E-15  5.621855E-17  1.233157E-19  5.421145E-22  7.432383E-25
    153  5.310288915571E-02  1.106194E-09  1.111397E-10  1.028855E-12  7.172369E-15  8.025444E-17  1.771002E-19  7.891291E-22  1.087340E-24
    154  5.325369291828E-02  1.445513E-09  1.467786E-10  1.375940E-12  9.662114E-15  1.095220E-16  2.429997E-19  1.096013E-21  1.517042E-24
    155  5.339308966526E-02  1.835536E-09  1.882169E-10  1.785023E-12  1.261960E-14  1.447708E-16  3.228231E-19  1.472535E-21  2.046753E-24
    156  5.362726198018E-02  2.691623E-09  2.805914E-10  2.713815E-12  1.940546E-14  2.271678E-16  5.108680E-19  2.375022E-21  3.324561E-24
    157  5.383816121000E-02  3.723585E-09  3.939666E-10  3.878284E-12  2.801761E-14  3.340134E-16  7.568954E-19  3.579549E-21  5.042586E-24
    158  5.403768730975E-02  4.974478E-09  5.337563E-10  5.343281E-12  3.897799E-14  4.727798E-16  1.079124E-18  5.187029E-21  7.351213E-24
    159  5.422986619970E-02  6.472131E-09  7.039118E-10  7.161755E-12  5.273575E-14  6.504200E-16  1.494993E-18  7.299629E-21  1.040556E-23
    160  5.440569294967E-02  8.127765E-09  8.949932E-10  9.242179E-12  6.864285E-14  8.596690E-16  1.988642E-18  9.850711E-21  1.411709E-23
    161  5.456994612052E-02  9.947912E-09  1.108168E-09  1.160386E-11  8.687987E-14  1.103767E-15  2.568652E-18  1.289636E-20  1.857414E-23
    162  5.485681963417E-02  1.383742E-08  1.572959E-09  1.687760E-11  1.281608E-13  1.669647E-15  3.926580E-18  2.018542E-20  2.932724E-23
    163  5.511708850657E-02  1.824038E-08  2.111855E-09  2.316824E-11  1.781997E-13  2.375168E-15  5.639372E-18  2.962000E-20  4.337735E-23
    164  5.536560227933E-02  2.331745E-08  2.747419E-09  3.078846E-11  2.397373E-13  3.266057E-15  7.825850E-18  4.195892E-20  6.191536E-23
    165  5.559867087093E-02  2.893437E-08  3.465803E-09  3.962390E-11  3.121202E-13  4.340592E-15  1.049042E-17  5.734520E-20  8.522568E-23
    166  5.582344501454E-02  3.521140E-08  4.285178E-09  4.994914E-11  3.978717E-13  5.644355E-15  1.375532E-17  7.661442E-20  1.146514E-22
    167  5.608267729631E-02  4.358335E-08  5.402130E-09  6.439482E-11  5.196082E-13  7.543058E-15  1.856022E-17  1.056419E-19  1.593560E-22
    168  5.632179590432E-02  5.246288E-08  6.613667E-09  8.048791E-11  6.572721E-13  9.746962E-15  2.419756E-17  1.405191E-19  2.135356E-22
    169  5.658568452696E-02  6.364893E-08  8.175098E-09  1.018004E-10  8.423785E-13  1.279009E-14  3.206681E-17  1.903987E-19  2.917037E-22
    170  5.682194908758E-02  7.498752E-08  9.793960E-09  1.245001E-10  1.042521E-12  1.616775E-14  4.089550E-17  2.477119E-19  3.823006E-22
    171  5.707748662895E-02  8.876015E-08  1.180464E-08  1.534553E-10  1.301639E-12  2.065543E-14  5.275093E-17  3.265136E-19  5.079345E-22
    172  5.730159219632E-02  1.022189E-07  1.381238E-08  1.831250E-10  1.570998E-12  2.543879E-14  6.551789E-17  4.133332E-19  6.474976E-22
    173  5.769211250520E-02  1.290307E-07  1.792549E-08  2.459867E-10  2.152496E-12  3.610919E-14  9.438378E-17  6.156115E-19  9.762132E-22
    174  5.804755660481E-02  1.575251E-07  2.244395E-08  3.178500E-10  2.832138E-12  4.907103E-14  1.300079E-16  8.741918E-19  1.401800E-21
    175  5.837706807704E-02  1.877970E-07  2.739176E-08  3.994711E-10  3.619879E-12  6.463539E-14  1.734103E-16  1.199576E-18  1.943617E-21
    176  5.868213309337E-02  2.194718E-07  3.271493E-08  4.902969E-10  4.513013E-12  8.286797E-14  2.249397E-16  1.597602E-18  2.613578E-21
    177  5.897372529375E-02  2.533406E-07  3.855671E-08  5.931748E-10  5.542568E-12  1.045396E-13  2.869652E-16  2.090342E-18  3.451406E-21
