 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                n14           n15           n16           n17           n18           n19           n20           n21  
     87  4.137235583218E-02  2.961688E-14  2.441731E-11  7.323696E-22  2.463712E-24  8.589913E-28  1.183817E-30  1.000000E-30  1.000000E-30
     88  4.152714488067E-02  2.828567E-14  2.409170E-11  7.323586E-22  2.463649E-24  8.588448E-28  1.183349E-30  1.000000E-30  1.000000E-30
     89  4.165981986900E-02  2.708600E-14  2.376290E-11  7.323492E-22  2.463595E-24  8.587192E-28  1.182947E-30  1.000000E-30  1.000000E-30
     90  4.188596337322E-02  2.494505E-14  2.309935E-11  7.323331E-22  2.463502E-24  8.585053E-28  1.182263E-30  1.000000E-30  1.000000E-30
     91  4.208159634323E-02  2.302943E-14  2.242511E-11  7.323193E-22  2.463422E-24  8.583202E-28  1.181672E-30  1.000000E-30  1.000000E-30
     92  4.230932596557E-02  2.077578E-14  2.153356E-11  7.323031E-22  2.463329E-24  8.581048E-28  1.180984E-30  1.000000E-30  1.000000E-30
     93  4.251598135750E-02  1.875506E-14  2.063747E-11  7.322885E-22  2.463244E-24  8.579094E-28  1.180360E-30  1.000000E-30  1.000000E-30
     94  4.274368410830E-02  1.661322E-14  1.957529E-11  7.322723E-22  2.463151E-24  8.576942E-28  1.179672E-30  1.000000E-30  1.000000E-30
     95  4.294191711445E-02  1.486020E-14  1.860507E-11  7.322583E-22  2.463070E-24  8.575068E-28  1.179074E-30  1.000000E-30  1.000000E-30
     96  4.316569238790E-02  1.304104E-14  1.748130E-11  7.322424E-22  2.462979E-24  8.572954E-28  1.178400E-30  1.000000E-30  1.000000E-30
     97  4.339365876136E-02  1.138820E-14  1.633006E-11  7.322262E-22  2.462885E-24  8.570800E-28  1.177713E-30  1.000000E-30  1.000000E-30
     98  4.362382833621E-02  9.938093E-15  1.518664E-11  7.322099E-22  2.462791E-24  8.568626E-28  1.177020E-30  1.000000E-30  1.000000E-30
     99  4.384703699487E-02  8.741629E-15  1.411829E-11  7.321941E-22  2.462700E-24  8.566519E-28  1.176348E-30  1.000000E-30  1.000000E-30
    100  4.408801045744E-02  7.669651E-15  1.303163E-11  7.321770E-22  2.462601E-24  8.564244E-28  1.175623E-30  1.000000E-30  1.000000E-30
    101  4.430336182063E-02  6.886262E-15  1.213325E-11  7.321617E-22  2.462513E-24  8.562212E-28  1.174976E-30  1.000000E-30  1.000000E-30
    102  4.453208602613E-02  6.214857E-15  1.126886E-11  7.321455E-22  2.462420E-24  8.560054E-28  1.174289E-30  1.000000E-30  1.000000E-30
    103  4.474836808964E-02  5.712845E-15  1.054727E-11  7.321302E-22  2.462331E-24  8.558014E-28  1.173639E-30  1.000000E-30  1.000000E-30
    104  4.497736119052E-02  5.300689E-15  9.890919E-12  7.321140E-22  2.462238E-24  8.555855E-28  1.172952E-30  1.000000E-30  1.000000E-30
    105  4.517199675598E-02  5.032258E-15  9.422402E-12  7.321002E-22  2.462158E-24  8.554020E-28  1.172368E-30  1.000000E-30  1.000000E-30
    106  4.536038532241E-02  4.833222E-15  9.046871E-12  7.320868E-22  2.462081E-24  8.552244E-28  1.171803E-30  1.000000E-30  1.000000E-30
    107  4.552484255766E-02  4.701786E-15  8.780345E-12  7.320752E-22  2.462014E-24  8.550694E-28  1.171311E-30  1.000000E-30  1.000000E-30
    108  4.581275722245E-02  4.551396E-15  8.443554E-12  7.320547E-22  2.461896E-24  8.547982E-28  1.170448E-30  1.000000E-30  1.000000E-30
    109  4.603616864208E-02  4.493707E-15  8.288298E-12  7.320389E-22  2.461805E-24  8.545878E-28  1.169780E-30  1.000000E-30  1.000000E-30
    110  4.624194314299E-02  4.478379E-15  8.219798E-12  7.320243E-22  2.461721E-24  8.543940E-28  1.169164E-30  1.000000E-30  1.000000E-30
    111  4.641297951594E-02  4.489183E-15  8.211483E-12  7.320122E-22  2.461651E-24  8.542330E-28  1.168653E-30  1.000000E-30  1.000000E-30
    112  4.656990459822E-02  4.515511E-15  8.239225E-12  7.320011E-22  2.461586E-24  8.540853E-28  1.168184E-30  1.000000E-30  1.000000E-30
    113  4.671253119976E-02  4.551576E-15  8.291483E-12  7.319910E-22  2.461528E-24  8.539510E-28  1.167758E-30  1.000000E-30  1.000000E-30
    114  4.684580987606E-02  4.594665E-15  8.361871E-12  7.319815E-22  2.461474E-24  8.538256E-28  1.167360E-30  1.000000E-30  1.000000E-30
    115  4.697520204195E-02  4.644363E-15  8.448781E-12  7.319724E-22  2.461421E-24  8.537039E-28  1.166974E-30  1.000000E-30  1.000000E-30
    116  4.709649788536E-02  4.697379E-15  8.545846E-12  7.319638E-22  2.461371E-24  8.535898E-28  1.166612E-30  1.000000E-30  1.000000E-30
    117  4.721637454993E-02  4.755379E-15  8.655759E-12  7.319553E-22  2.461322E-24  8.534770E-28  1.166254E-30  1.000000E-30  1.000000E-30
    118  4.732862910872E-02  4.814354E-15  8.770652E-12  7.319473E-22  2.461276E-24  8.533715E-28  1.165919E-30  1.000000E-30  1.000000E-30
