 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ga83          ga84          ga85          ga86          ga87          ga88          ga89          ga90 
    122  4.799263518131E-02  2.882872E-20  1.444133E-23  2.418735E-26  5.839250E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    123  4.815339657435E-02  4.424151E-20  2.227078E-23  3.766899E-26  9.124167E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    124  4.832264594384E-02  6.903813E-20  3.493287E-23  5.970155E-26  1.451157E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    125  4.849826454798E-02  1.089206E-19  5.540947E-23  9.572406E-26  2.335236E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    126  4.867786870736E-02  1.726811E-19  8.832942E-23  1.542937E-25  3.778146E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    127  4.885872256535E-02  2.732607E-19  1.405550E-22  2.482802E-25  6.102512E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    128  4.903755607841E-02  4.282671E-19  2.214981E-22  3.956198E-25  9.760369E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    129  4.921259737621E-02  6.621837E-19  3.443291E-22  6.217337E-25  1.539513E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    130  4.938368810460E-02  1.010264E-18  5.281067E-22  9.637848E-25  2.395065E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    131  4.955132280349E-02  1.523364E-18  8.004608E-22  1.476196E-24  3.681386E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    132  4.971624312404E-02  2.275173E-18  1.201622E-21  2.239005E-24  5.603130E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    133  4.987811857735E-02  3.363752E-18  1.785491E-21  3.360903E-24  8.439470E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    134  5.003799836445E-02  4.937733E-18  2.634014E-21  5.008214E-24  1.261857E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    135  5.019682549602E-02  7.211905E-18  3.866226E-21  7.425066E-24  1.877108E-27  1.477980E-30  1.000000E-30  1.000000E-30  1.000000E-30
    136  5.035511419132E-02  1.049330E-17  5.653179E-21  1.096603E-23  2.781621E-27  2.208340E-30  1.000000E-30  1.000000E-30  1.000000E-30
    137  5.051299755300E-02  1.521364E-17  8.236737E-21  1.613819E-23  4.107352E-27  3.289096E-30  1.000000E-30  1.000000E-30  1.000000E-30
    138  5.067010535678E-02  2.195847E-17  1.194700E-20  2.364233E-23  6.037425E-27  4.876441E-30  1.000000E-30  1.000000E-30  1.000000E-30
    139  5.082726902819E-02  3.160911E-17  1.728257E-20  3.454484E-23  8.851206E-27  7.211088E-30  1.000000E-30  1.000000E-30  1.000000E-30
    140  5.098506829486E-02  4.543197E-17  2.496373E-20  5.040290E-23  1.295811E-26  1.064906E-29  1.000000E-30  1.000000E-30  1.000000E-30
    141  5.114361869269E-02  6.520063E-17  3.600524E-20  7.343686E-23  1.894422E-26  1.570525E-29  1.000000E-30  1.000000E-30  1.000000E-30
    142  5.130328078870E-02  9.347571E-17  5.187972E-20  1.069030E-22  2.767212E-26  2.314433E-29  1.000000E-30  1.000000E-30  1.000000E-30
    143  5.146205644840E-02  1.332303E-16  7.431533E-20  1.547034E-22  4.018251E-26  3.390477E-29  1.000000E-30  1.000000E-30  1.000000E-30
    144  5.162089365231E-02  1.891228E-16  1.060232E-19  2.229788E-22  5.811509E-26  4.947031E-29  1.000000E-30  1.000000E-30  1.000000E-30
    145  5.177902725711E-02  2.668230E-16  1.503335E-19  3.194113E-22  8.353341E-26  7.173640E-29  1.000000E-30  1.000000E-30  1.000000E-30
    146  5.193558292952E-02  3.733882E-16  2.114224E-19  4.537795E-22  1.190770E-25  1.031580E-28  1.000000E-30  1.000000E-30  1.000000E-30
    147  5.207655208218E-02  5.030359E-16  2.861109E-19  6.197182E-22  1.631191E-25  1.424300E-28  1.000000E-30  1.000000E-30  1.000000E-30
    148  5.220437120847E-02  6.564292E-16  3.748778E-19  8.187542E-22  2.161077E-25  1.900535E-28  1.000000E-30  1.000000E-30  1.000000E-30
    149  5.240275279905E-02  9.839630E-16  5.654956E-19  1.251132E-21  3.316623E-25  2.949446E-28  1.000000E-30  1.000000E-30  1.000000E-30
    150  5.258707116153E-02  1.418599E-15  8.201006E-19  1.836390E-21  4.887700E-25  4.391931E-28  1.000000E-30  1.000000E-30  1.000000E-30
    151  5.276353482958E-02  1.993568E-15  1.159021E-18  2.625446E-21  7.014851E-25  6.366410E-28  1.000000E-30  1.000000E-30  1.000000E-30
    152  5.293536770993E-02  2.748535E-15  1.606774E-18  3.680963E-21  9.872153E-25  9.047115E-28  1.000000E-30  1.000000E-30  1.000000E-30
    153  5.310288915571E-02  3.720299E-15  2.186600E-18  5.064795E-21  1.363359E-24  1.261354E-27  1.000000E-30  1.000000E-30  1.000000E-30
    154  5.325369291828E-02  4.840987E-15  2.859120E-18  6.688676E-21  1.806462E-24  1.685687E-27  1.000000E-30  1.000000E-30  1.000000E-30
    155  5.339308966526E-02  6.125391E-15  3.633986E-18  8.580023E-21  2.324399E-24  2.186283E-27  1.000000E-30  1.000000E-30  1.000000E-30
    156  5.362726198018E-02  8.933854E-15  5.340354E-18  1.280567E-20  3.487123E-24  3.324009E-27  1.000000E-30  1.000000E-30  1.000000E-30
    157  5.383816121000E-02  1.230770E-14  7.407528E-18  1.801319E-20  4.928146E-24  4.754739E-27  1.000000E-30  1.000000E-30  1.000000E-30
    158  5.403768730975E-02  1.638385E-14  9.924821E-18  2.445743E-20  6.720880E-24  6.559123E-27  1.000000E-30  1.000000E-30  1.000000E-30
    159  5.422986619970E-02  2.125117E-14  1.295400E-17  3.233475E-20  8.923635E-24  8.805851E-27  1.000000E-30  1.000000E-30  1.000000E-30
    160  5.440569294967E-02  2.661544E-14  1.631703E-17  4.121150E-20  1.141805E-23  1.138227E-26  1.000000E-30  1.000000E-30  1.000000E-30
    161  5.456994612052E-02  3.249627E-14  2.002941E-17  5.114857E-20  1.422328E-23  1.431414E-26  1.169915E-30  1.000000E-30  1.000000E-30
    162  5.485681963417E-02  4.498567E-14  2.798797E-17  7.286120E-20  2.039116E-23  2.086465E-26  1.712429E-30  1.000000E-30  1.000000E-30
    163  5.511708850657E-02  5.903777E-14  3.704570E-17  9.815408E-20  2.763088E-23  2.870483E-26  2.361958E-30  1.000000E-30  1.000000E-30
    164  5.536560227933E-02  7.510548E-14  4.751553E-17  1.280384E-19  3.624625E-23  3.820742E-26  3.151648E-30  1.000000E-30  1.000000E-30
    165  5.559867087093E-02  9.269275E-14  5.909472E-17  1.617868E-19  4.604193E-23  4.920142E-26  4.067970E-30  1.000000E-30  1.000000E-30
    166  5.582344501454E-02  1.121259E-13  7.201747E-17  2.002163E-19  5.726945E-23  6.201470E-26  5.138925E-30  1.000000E-30  1.000000E-30
    167  5.608267729631E-02  1.377099E-13  8.921327E-17  2.524651E-19  7.264125E-23  7.987306E-26  6.636047E-30  1.000000E-30  1.000000E-30
    168  5.632179590432E-02  1.644793E-13  1.074060E-16  3.089857E-19  8.938982E-23  9.969140E-26  8.302621E-30  1.000000E-30  1.000000E-30
    169  5.658568452696E-02  1.977601E-13  1.302795E-16  3.816703E-19  1.110858E-22  1.258457E-25  1.050890E-29  1.000000E-30  1.000000E-30
    170  5.682194908758E-02  2.310726E-13  1.534322E-16  4.569088E-19  1.337068E-22  1.536219E-25  1.285928E-29  1.000000E-30  1.000000E-30
    171  5.707748662895E-02  2.710986E-13  1.815584E-16  5.503463E-19  1.619996E-22  1.889971E-25  1.586181E-29  1.000000E-30  1.000000E-30
    172  5.730159219632E-02  3.098345E-13  2.090696E-16  6.437120E-19  1.904655E-22  2.252169E-25  1.894512E-29  1.000000E-30  1.000000E-30
    173  5.769211250520E-02  3.860789E-13  2.639658E-16  8.351972E-19  2.493649E-22  3.018715E-25  2.549554E-29  1.000000E-30  1.000000E-30
    174  5.804755660481E-02  4.664196E-13  3.227612E-16  1.047085E-18  3.152271E-22  3.899110E-25  3.305294E-29  1.000000E-30  1.000000E-30
    175  5.837706807704E-02  5.513726E-13  3.858552E-16  1.281301E-18  3.887270E-22  4.905835E-25  4.173055E-29  1.000000E-30  1.000000E-30
    176  5.868213309337E-02  6.400150E-13  4.525793E-16  1.535776E-18  4.692826E-22  6.034042E-25  5.149219E-29  1.000000E-30  1.000000E-30
    177  5.897372529375E-02  7.348229E-13  5.248395E-16  1.818380E-18  5.594702E-22  7.323634E-25  6.268970E-29  1.000000E-30  1.000000E-30
