 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                o21           o22           f16           f17           f18           f19           f20           f21  
    139  5.082726902819E-02  1.866128E-29  1.000000E-30  1.554851E-30  4.356649E-20  2.664615E-18  1.605923E-15  3.337989E-25  2.404835E-26
    140  5.098506829486E-02  1.866197E-29  1.000000E-30  1.606833E-30  4.371175E-20  2.707579E-18  1.679067E-15  3.337957E-25  2.404772E-26
    141  5.114361869269E-02  1.866267E-29  1.000000E-30  1.654779E-30  4.383060E-20  2.751847E-18  1.756264E-15  3.337924E-25  2.404709E-26
    142  5.130328078870E-02  1.866336E-29  1.000000E-30  1.697333E-30  4.392075E-20  2.797549E-18  1.837946E-15  3.337892E-25  2.404645E-26
    143  5.146205644840E-02  1.866406E-29  1.000000E-30  1.754432E-30  4.397886E-20  2.844132E-18  1.923302E-15  3.337860E-25  2.404581E-26
    144  5.162089365231E-02  1.866475E-29  1.000000E-30  1.804542E-30  4.400341E-20  2.891887E-18  2.013026E-15  3.337828E-25  2.404517E-26
    145  5.177902725711E-02  1.866544E-29  1.000000E-30  1.855512E-30  4.399236E-20  2.940608E-18  2.106894E-15  3.337796E-25  2.404454E-26
    146  5.193558292952E-02  1.866613E-29  1.000000E-30  2.755544E-30  4.394439E-20  2.990395E-18  2.204833E-15  3.337764E-25  2.404391E-26
    147  5.207655208218E-02  1.866674E-29  1.000000E-30  2.074166E-30  4.386787E-20  3.036346E-18  2.297306E-15  3.337735E-25  2.404335E-26
    148  5.220437120847E-02  1.866730E-29  1.000000E-30  1.558729E-30  4.376982E-20  3.078905E-18  2.384809E-15  3.337709E-25  2.404284E-26
    149  5.240275279905E-02  1.866817E-29  1.000000E-30  1.770635E-30  4.356090E-20  3.146704E-18  2.527889E-15  3.337669E-25  2.404204E-26
    150  5.258707116153E-02  1.866898E-29  1.000000E-30  1.807860E-30  4.330247E-20  3.211649E-18  2.669211E-15  3.337632E-25  2.404131E-26
    151  5.276353482958E-02  1.866975E-29  1.000000E-30  1.934820E-30  4.299402E-20  3.275680E-18  2.812604E-15  3.337596E-25  2.404060E-26
    152  5.293536770993E-02  1.867050E-29  1.000000E-30  2.011167E-30  4.263414E-20  3.339849E-18  2.960340E-15  3.337561E-25  2.403991E-26
    153  5.310288915571E-02  1.867123E-29  1.000000E-30  1.244471E-30  4.222488E-20  3.404225E-18  3.112587E-15  3.337527E-25  2.403924E-26
    154  5.325369291828E-02  1.867189E-29  1.000000E-30  1.135651E-30  4.180630E-20  3.463725E-18  3.256921E-15  3.337497E-25  2.403864E-26
    155  5.339308966526E-02  1.867250E-29  1.000000E-30  1.731499E-29  4.137630E-20  3.520098E-18  3.396867E-15  3.337469E-25  2.403808E-26
    156  5.362726198018E-02  1.867352E-29  1.000000E-30  1.840102E-30  4.055985E-20  3.617751E-18  3.646778E-15  3.337421E-25  2.403714E-26
    157  5.383816121000E-02  1.867444E-29  1.000000E-30  1.895866E-30  3.972372E-20  3.709210E-18  3.889273E-15  3.337378E-25  2.403630E-26
    158  5.403768730975E-02  1.867532E-29  1.000000E-30  2.042393E-30  3.884627E-20  3.798667E-18  4.134758E-15  3.337338E-25  2.403550E-26
    159  5.422986619970E-02  1.867616E-29  1.000000E-30  1.000000E-30  3.792654E-20  3.887017E-18  4.386367E-15  3.337299E-25  2.403473E-26
    160  5.440569294967E-02  1.867692E-29  1.000000E-30  1.000000E-30  3.702651E-20  3.969298E-18  4.629798E-15  3.337263E-25  2.403402E-26
    161  5.456994612052E-02  1.867764E-29  1.000000E-30  1.959713E-29  3.614010E-20  4.047115E-18  4.868927E-15  3.337230E-25  2.403337E-26
    162  5.485681963417E-02  1.867889E-29  1.000000E-30  1.786081E-30  3.450477E-20  4.183796E-18  5.313332E-15  3.337172E-25  2.403222E-26
    163  5.511708850657E-02  1.868003E-29  1.000000E-30  1.864258E-30  3.295138E-20  4.307119E-18  5.746291E-15  3.337119E-25  2.403118E-26
    164  5.536560227933E-02  1.868112E-29  1.000000E-30  1.000000E-30  3.143363E-20  4.422435E-18  6.185166E-15  3.337069E-25  2.403018E-26
    165  5.559867087093E-02  1.868214E-29  1.000000E-30  1.000000E-30  3.000211E-20  4.527020E-18  6.618437E-15  3.337022E-25  2.402925E-26
    166  5.582344501454E-02  1.868312E-29  1.000000E-30  3.852777E-29  2.862792E-20  4.624396E-18  7.056932E-15  3.336976E-25  2.402835E-26
    167  5.608267729631E-02  1.868425E-29  1.000000E-30  5.029782E-29  2.707069E-20  4.731283E-18  7.586886E-15  3.336924E-25  2.402731E-26
    168  5.632179590432E-02  1.868529E-29  1.000000E-30  2.934313E-30  2.567388E-20  4.824307E-18  8.098757E-15  3.336875E-25  2.402636E-26
    169  5.658568452696E-02  1.868645E-29  1.000000E-30  4.684205E-29  2.418586E-20  4.920960E-18  8.690523E-15  3.336822E-25  2.402530E-26
    170  5.682194908758E-02  1.868748E-29  1.000000E-30  3.398416E-29  2.290630E-20  5.002504E-18  9.245646E-15  3.336774E-25  2.402436E-26
    171  5.707748662895E-02  1.868859E-29  1.000000E-30  3.389379E-29  2.158117E-20  5.085959E-18  9.875027E-15  3.336722E-25  2.402333E-26
    172  5.730159219632E-02  1.868957E-29  1.000000E-30  2.110901E-29  2.047035E-20  5.155538E-18  1.045352E-14  3.336677E-25  2.402244E-26
    173  5.769211250520E-02  1.869128E-29  1.000000E-30  2.111993E-30  1.864767E-20  5.270283E-18  1.152719E-14  3.336597E-25  2.402087E-26
    174  5.804755660481E-02  1.869283E-29  1.000000E-30  2.164846E-30  1.711112E-20  5.368998E-18  1.258497E-14  3.336525E-25  2.401945E-26
    175  5.837706807704E-02  1.869427E-29  1.000000E-30  1.000000E-30  1.579175E-20  5.455629E-18  1.363865E-14  3.336459E-25  2.401813E-26
    176  5.868213309337E-02  1.869560E-29  1.000000E-30  1.000000E-30  1.465819E-20  5.531882E-18  1.468142E-14  3.336397E-25  2.401691E-26
    177  5.897372529375E-02  1.869687E-29  1.000000E-30  1.000000E-30  1.365131E-20  5.601305E-18  1.574257E-14  3.336338E-25  2.401575E-26
