 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                as68          as69          as70          as71          as72          as73          as74          as75 
    165  5.559867087093E-02  1.000000E-30  1.414913E-30  1.600986E-27  1.046068E-23  2.245826E-21  3.862870E-18  2.218669E-16  9.824829E-14
    166  5.582344501454E-02  1.000000E-30  1.002196E-30  1.179578E-27  8.104669E-24  1.800627E-21  3.248988E-18  1.929456E-16  8.930751E-14
    167  5.608267729631E-02  1.000000E-30  1.000000E-30  8.174471E-28  5.953238E-24  1.375759E-21  2.623515E-18  1.619216E-16  7.887591E-14
    168  5.632179590432E-02  1.000000E-30  1.000000E-30  5.757309E-28  4.425160E-24  1.060325E-21  2.127977E-18  1.360902E-16  6.949092E-14
    169  5.658568452696E-02  1.000000E-30  1.000000E-30  3.862738E-28  3.151621E-24  7.858233E-22  1.668616E-18  1.109830E-16  5.969415E-14
    170  5.682194908758E-02  1.000000E-30  1.000000E-30  2.675697E-28  2.303350E-24  5.950783E-22  1.329114E-18  9.156322E-17  5.159415E-14
    171  5.707748662895E-02  1.000000E-30  1.000000E-30  1.781873E-28  1.625737E-24  4.364128E-22  1.029531E-18  7.367273E-17  4.365493E-14
    172  5.730159219632E-02  1.000000E-30  1.000000E-30  1.238278E-28  1.189009E-24  3.300603E-22  8.169297E-19  6.044235E-17  3.743106E-14
    173  5.769211250520E-02  1.000000E-30  1.000000E-30  6.464849E-29  6.788680E-25  1.997963E-22  5.377288E-19  4.217193E-17  2.820898E-14
    174  5.804755660481E-02  1.000000E-30  1.000000E-30  3.521746E-29  4.012784E-25  1.245725E-22  3.619207E-19  2.993582E-17  2.148698E-14
    175  5.837706807704E-02  1.000000E-30  1.000000E-30  1.983032E-29  2.437744E-25  7.952026E-23  2.480396E-19  2.155715E-17  1.652068E-14
    176  5.868213309337E-02  1.000000E-30  1.000000E-30  1.155305E-29  1.523907E-25  5.204648E-23  1.734002E-19  1.577865E-17  1.285001E-14
    177  5.897372529375E-02  1.000000E-30  1.000000E-30  6.845596E-30  9.660207E-26  3.447536E-23  1.223386E-19  1.163329E-17  1.004197E-14
