 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                f22           f23           f24           f25           f26           ne16          ne17          ne18 
     52  3.080037159611E-02  1.371785E-18  3.349022E-19  9.798526E-23  1.280358E-24  5.691290E-29  1.000000E-30  1.000000E-30  1.249753E-25
     53  3.111325257314E-02  1.699215E-18  4.239081E-19  1.254064E-22  1.639338E-24  7.410348E-29  1.000000E-30  1.000000E-30  1.174144E-25
     54  3.147800645819E-02  2.153397E-18  5.505701E-19  1.650196E-22  2.151542E-24  9.849048E-29  1.000000E-30  1.000000E-30  1.089441E-25
     55  3.181357346897E-02  2.645694E-18  6.915684E-19  2.098227E-22  2.722078E-24  1.275499E-28  1.000000E-30  1.000000E-30  1.015105E-25
     56  3.217197145871E-02  3.256842E-18  8.713962E-19  2.679004E-22  3.449118E-24  1.613738E-28  1.000000E-30  1.000000E-30  9.397828E-26
     57  3.249951277145E-02  3.899296E-18  1.065598E-18  3.316483E-22  4.233023E-24  1.977835E-28  1.000000E-30  1.000000E-30  8.747740E-26
     58  3.262595809504E-02  4.170664E-18  1.149093E-18  3.593498E-22  4.569635E-24  2.133732E-28  1.000000E-30  1.000000E-30  8.506658E-26
     59  3.272641576722E-02  4.399121E-18  1.219940E-18  3.829653E-22  4.854902E-24  2.266066E-28  1.000000E-30  1.000000E-30  8.318255E-26
     60  3.304841700500E-02  5.195679E-18  1.471244E-18  4.675997E-22  5.865477E-24  2.734981E-28  1.000000E-30  1.000000E-30  7.737620E-26
     61  3.362823507679E-02  6.907199E-18  2.031593E-18  6.605337E-22  8.114340E-24  3.776438E-28  1.000000E-30  1.000000E-30  6.780747E-26
     62  3.417743618412E-02  8.923166E-18  2.722887E-18  9.050892E-22  1.088801E-23  5.058668E-28  1.000000E-30  1.000000E-30  5.975722E-26
     63  3.448472684867E-02  1.025515E-17  3.195773E-18  1.075750E-21  1.278873E-23  5.936389E-28  1.000000E-30  1.000000E-30  5.565966E-26
     64  3.459225947862E-02  1.076425E-17  3.379466E-18  1.142659E-21  1.352755E-23  6.277260E-28  1.000000E-30  1.000000E-30  5.428770E-26
     65  3.468161085917E-02  1.120724E-17  3.540493E-18  1.201559E-21  1.417539E-23  6.576207E-28  1.000000E-30  1.000000E-30  5.316948E-26
     66  3.501586344154E-02  1.301744E-17  4.210383E-18  1.449079E-21  1.687589E-23  7.821830E-28  1.000000E-30  1.000000E-30  4.918307E-26
     67  3.563385967804E-02  1.710946E-17  5.787614E-18  2.045262E-21  2.327759E-23  1.077150E-27  1.000000E-30  1.000000E-30  4.258924E-26
     68  3.619390900501E-02  2.186678E-17  7.715964E-18  2.794468E-21  3.119831E-23  1.441718E-27  1.000000E-30  1.000000E-30  3.741644E-26
     69  3.661379630041E-02  2.627743E-17  9.580303E-18  3.535272E-21  3.895065E-23  1.798249E-27  1.000000E-30  1.000000E-30  3.398681E-26
     70  3.704099468238E-02  3.169829E-17  1.195875E-17  4.499152E-21  4.896034E-23  2.258227E-27  1.000000E-30  1.000000E-30  3.085342E-26
     71  3.731378163516E-02  3.570683E-17  1.377535E-17  5.247805E-21  5.670166E-23  2.613792E-27  1.000000E-30  1.000000E-30  2.903599E-26
     72  3.757630769329E-02  4.000951E-17  1.577642E-17  6.083529E-21  6.532330E-23  3.009659E-27  1.000000E-30  1.000000E-30  2.741448E-26
     73  3.788075418501E-02  4.558800E-17  1.844600E-17  7.214710E-21  7.697391E-23  3.544420E-27  1.000000E-30  1.000000E-30  2.568228E-26
     74  3.819794660071E-02  5.211705E-17  2.167355E-17  8.604717E-21  9.128016E-23  4.200843E-27  1.000000E-30  1.000000E-30  2.403608E-26
     75  3.838080203158E-02  5.623016E-17  2.376190E-17  9.516051E-21  1.006611E-22  4.631151E-27  1.000000E-30  1.000000E-30  2.315564E-26
     76  3.859219912978E-02  6.135964E-17  2.642049E-17  1.068806E-20  1.127142E-22  5.183818E-27  1.000000E-30  1.000000E-30  2.219184E-26
     77  3.884096228080E-02  6.786214E-17  2.988127E-17  1.223342E-20  1.286239E-22  5.913140E-27  1.000000E-30  1.000000E-30  2.113402E-26
     78  3.907668434759E-02  7.448880E-17  3.351138E-17  1.387691E-20  1.455760E-22  6.690051E-27  1.000000E-30  1.000000E-30  2.020255E-26
     79  3.934936577490E-02  8.270885E-17  3.815893E-17  1.601267E-20  1.676701E-22  7.702394E-27  1.000000E-30  1.000000E-30  1.920406E-26
     80  3.961640452516E-02  9.131224E-17  4.319599E-17  1.836531E-20  1.921075E-22  8.821862E-27  1.000000E-30  1.000000E-30  1.830104E-26
     81  3.991996766101E-02  1.017049E-16  4.952156E-17  2.137276E-20  2.235190E-22  1.026055E-26  1.000000E-30  1.000000E-30  1.735530E-26
     82  4.019473378510E-02  1.115994E-16  5.579884E-17  2.441332E-20  2.554901E-22  1.172464E-26  1.000000E-30  1.000000E-30  1.656568E-26
     83  4.046928694587E-02  1.218896E-16  6.260155E-17  2.776872E-20  2.909913E-22  1.334999E-26  1.000000E-30  1.000000E-30  1.583211E-26
     84  4.074955599116E-02  1.326479E-16  7.004414E-17  3.151194E-20  3.308898E-22  1.517620E-26  1.000000E-30  1.000000E-30  1.513548E-26
     85  4.099011663524E-02  1.419099E-16  7.676230E-17  3.495796E-20  3.679515E-22  1.687232E-26  1.000000E-30  1.000000E-30  1.457598E-26
     86  4.118445936105E-02  1.492949E-16  8.235880E-17  3.787957E-20  3.996435E-22  1.832268E-26  1.000000E-30  1.000000E-30  1.414746E-26
     87  4.137235583218E-02  1.562577E-16  8.786509E-17  4.080208E-20  4.316116E-22  1.978564E-26  1.000000E-30  1.000000E-30  1.375141E-26
     88  4.152714488067E-02  1.617980E-16  9.243566E-17  4.326669E-20  4.587928E-22  2.102954E-26  1.000000E-30  1.000000E-30  1.343754E-26
     89  4.165981986900E-02  1.663633E-16  9.635235E-17  4.540884E-20  4.825952E-22  2.211885E-26  1.000000E-30  1.000000E-30  1.317671E-26
     90  4.188596337322E-02  1.736530E-16  1.029604E-16  4.909262E-20  5.239659E-22  2.401253E-26  1.000000E-30  1.000000E-30  1.274795E-26
     91  4.208159634323E-02  1.793644E-16  1.085434E-16  5.228223E-20  5.602528E-22  2.567327E-26  1.000000E-30  1.000000E-30  1.239136E-26
     92  4.230932596557E-02  1.852021E-16  1.147941E-16  5.595214E-20  6.025632E-22  2.760965E-26  1.000000E-30  1.000000E-30  1.199056E-26
     93  4.251598135750E-02  1.896366E-16  1.201465E-16  5.919708E-20  6.405307E-22  2.934703E-26  1.000000E-30  1.000000E-30  1.163792E-26
     94  4.274368410830E-02  1.934553E-16  1.255790E-16  6.261728E-20  6.813085E-22  3.121319E-26  1.000000E-30  1.000000E-30  1.125937E-26
     95  4.294191711445E-02  1.957816E-16  1.298213E-16  6.541227E-20  7.153524E-22  3.277168E-26  1.000000E-30  1.000000E-30  1.093641E-26
     96  4.316569238790E-02  1.972557E-16  1.339933E-16  6.831762E-20  7.516660E-22  3.443430E-26  1.000000E-30  1.000000E-30  1.057765E-26
     97  4.339365876136E-02  1.974344E-16  1.374691E-16  7.094273E-20  7.856500E-22  3.599039E-26  1.000000E-30  1.000000E-30  1.021699E-26
     98  4.362382833621E-02  1.962046E-16  1.400786E-16  7.318096E-20  8.159849E-22  3.738064E-26  1.000000E-30  1.000000E-30  9.856514E-27
     99  4.384703699487E-02  1.936248E-16  1.416491E-16  7.488964E-20  8.407826E-22  3.851826E-26  1.000000E-30  1.000000E-30  9.509836E-27
    100  4.408801045744E-02  1.892740E-16  1.421727E-16  7.614437E-20  8.614175E-22  3.946637E-26  1.000000E-30  1.000000E-30  9.138470E-27
    101  4.430336182063E-02  1.839488E-16  1.414848E-16  7.666007E-20  8.732012E-22  4.000934E-26  1.000000E-30  1.000000E-30  8.809071E-27
    102  4.453208602613E-02  1.768491E-16  1.394987E-16  7.652372E-20  8.781023E-22  4.023769E-26  1.000000E-30  1.000000E-30  8.462392E-27
    103  4.474836808964E-02  1.687554E-16  1.363357E-16  7.567082E-20  8.745972E-22  4.008343E-26  1.000000E-30  1.000000E-30  8.138016E-27
    104  4.497736119052E-02  1.587913E-16  1.315856E-16  7.394991E-20  8.614418E-22  3.948671E-26  1.000000E-30  1.000000E-30  7.798981E-27
    105  4.517199675598E-02  1.492815E-16  1.264140E-16  7.180218E-20  8.422041E-22  3.860954E-26  1.000000E-30  1.000000E-30  7.515049E-27
    106  4.536038532241E-02  1.392851E-16  1.204584E-16  6.912859E-20  8.165201E-22  3.743875E-26  1.000000E-30  1.000000E-30  7.244599E-27
    107  4.552484255766E-02  1.300362E-16  1.145555E-16  6.633722E-20  7.885329E-22  3.616260E-26  1.000000E-30  1.000000E-30  7.012476E-27
    108  4.581275722245E-02  1.130715E-16  1.029086E-16  6.054533E-20  7.281892E-22  3.340661E-26  1.000000E-30  1.000000E-30  6.616421E-27
    109  4.603616864208E-02  9.965728E-17  9.304085E-17  5.542041E-20  6.730796E-22  3.088773E-26  1.000000E-30  1.000000E-30  6.319156E-27
    110  4.624194314299E-02  8.740304E-17  8.355567E-17  5.034238E-20  6.170818E-22  2.832616E-26  1.000000E-30  1.000000E-30  6.053715E-27
    111  4.641297951594E-02  7.758653E-17  7.565568E-17  4.601882E-20  5.685974E-22  2.610683E-26  1.000000E-30  1.000000E-30  5.839765E-27
    112  4.656990459822E-02  6.901099E-17  6.853502E-17  4.205436E-20  5.235434E-22  2.404378E-26  1.000000E-30  1.000000E-30  5.648982E-27
    113  4.671253119976E-02  6.165473E-17  6.225974E-17  3.850981E-20  4.827905E-22  2.217703E-26  1.000000E-30  1.000000E-30  5.480225E-27
    114  4.684580987606E-02  5.520592E-17  5.662659E-17  3.528818E-20  4.453632E-22  2.046210E-26  1.000000E-30  1.000000E-30  5.326542E-27
    115  4.697520204195E-02  4.936721E-17  5.141443E-17  3.227379E-20  4.100020E-22  1.884139E-26  1.000000E-30  1.000000E-30  5.181039E-27
    116  4.709649788536E-02  4.428598E-17  4.678646E-17  2.956980E-20  3.779908E-22  1.737383E-26  1.000000E-30  1.000000E-30  5.047922E-27
    117  4.721637454993E-02  3.964203E-17  4.247654E-17  2.702781E-20  3.476339E-22  1.598175E-26  1.000000E-30  1.000000E-30  4.919447E-27
    118  4.732862910872E-02  3.563230E-17  3.868879E-17  2.477408E-20  3.204937E-22  1.473689E-26  1.000000E-30  1.000000E-30  4.801880E-27
    119  4.750539400184E-02  2.996567E-17  3.322049E-17  2.148617E-20  2.804917E-22  1.290155E-26  1.000000E-30  1.000000E-30  4.622017E-27
    120  4.767210524850E-02  2.531462E-17  2.861834E-17  1.868519E-20  2.459871E-22  1.131788E-26  1.000000E-30  1.000000E-30  4.458140E-27
    121  4.783406579930E-02  2.139425E-17  2.464714E-17  1.624088E-20  2.155158E-22  9.918874E-27  1.000000E-30  1.000000E-30  4.304124E-27
    122  4.799263518131E-02  1.807640E-17  2.120958E-17  1.410222E-20  1.885370E-22  8.679927E-27  1.000000E-30  1.000000E-30  4.158120E-27
    123  4.815339657435E-02  1.517735E-17  1.813755E-17  1.217050E-20  1.638425E-22  7.545261E-27  1.000000E-30  1.000000E-30  4.014678E-27
    124  4.832264594384E-02  1.259095E-17  1.533443E-17  1.038931E-20  1.407901E-22  6.485688E-27  1.000000E-30  1.000000E-30  3.868625E-27
    125  4.849826454798E-02  1.034864E-17  1.284704E-17  8.791679E-21  1.198411E-22  5.522475E-27  1.000000E-30  1.000000E-30  3.722280E-27
    126  4.867786870736E-02  8.455399E-18  1.069647E-17  7.395367E-21  1.012760E-22  4.668580E-27  1.000000E-30  1.000000E-30  3.577908E-27
    127  4.885872256535E-02  6.895708E-18  8.882021E-18  6.204584E-21  8.520992E-23  3.929376E-27  1.000000E-30  1.000000E-30  3.437752E-27
