 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                br79          br80          br81          br82          br83          br84          br85          br86 
    117  4.721637454993E-02  5.751759E-20  1.243044E-18  5.180789E-17  4.270499E-16  7.690465E-15  1.696889E-14  7.619741E-14  1.299349E-14
    118  4.732862910872E-02  7.280708E-20  1.596697E-18  6.782620E-17  5.671294E-16  1.039943E-14  2.323668E-14  1.062043E-13  1.825881E-14
    119  4.750539400184E-02  1.041381E-19  2.337223E-18  1.023099E-16  8.749461E-16  1.650783E-14  3.762378E-14  1.768188E-13  3.079174E-14
    120  4.767210524850E-02  1.439813E-19  3.302853E-18  1.487455E-16  1.299438E-15  2.518738E-14  5.849298E-14  2.822510E-13  4.975340E-14
    121  4.783406579930E-02  1.950191E-19  4.569789E-18  2.115714E-16  1.886960E-15  3.754831E-14  8.880444E-14  4.396636E-13  7.842257E-14
    122  4.799263518131E-02  2.599387E-19  6.219424E-18  2.958657E-16  2.692903E-15  5.498355E-14  1.323871E-13  6.721606E-13  1.212895E-13
    123  4.815339657435E-02  3.447905E-19  8.426496E-18  4.120891E-16  3.828964E-15  8.025526E-14  1.967784E-13  1.025024E-12  1.871493E-13
    124  4.832264594384E-02  4.602353E-19  1.150240E-17  5.791560E-16  5.499711E-15  1.185056E-13  2.961861E-13  1.585126E-12  2.930206E-13
    125  4.849826454798E-02  6.158659E-19  1.575412E-17  8.176546E-16  7.942187E-15  1.761255E-13  4.490522E-13  2.471753E-12  4.628372E-13
    126  4.867786870736E-02  8.230417E-19  2.156132E-17  1.154377E-15  1.147581E-14  2.620937E-13  6.820089E-13  3.863753E-12  7.330846E-13
    127  4.885872256535E-02  1.094122E-18  2.935984E-17  1.621981E-15  1.650566E-14  3.883392E-13  1.031523E-12  6.016171E-12  1.156730E-12
    128  4.903755607841E-02  1.440439E-18  3.958370E-17  2.255819E-15  2.349339E-14  5.692571E-13  1.543204E-12  9.263363E-12  1.804631E-12
    129  4.921259737621E-02  1.874537E-18  5.272853E-17  3.097920E-15  3.300417E-14  8.231294E-13  2.276440E-12  1.405603E-11  2.773800E-12
    130  4.938368810460E-02  2.412689E-18  6.943355E-17  4.202987E-15  4.578332E-14  1.174582E-12  3.312547E-12  2.102694E-11  4.202044E-12
    131  4.955132280349E-02  3.075458E-18  9.051244E-17  5.641890E-15  6.281231E-14  1.656807E-12  4.763027E-12  3.106592E-11  6.285455E-12
    132  4.971624312404E-02  3.888602E-18  1.169981E-16  7.506565E-15  8.538742E-14  2.314722E-12  6.781417E-12  4.542971E-11  9.304210E-12
    133  4.987811857735E-02  4.876545E-18  1.499412E-16  9.897414E-15  1.149871E-13  3.202092E-12  9.557107E-12  6.573107E-11  1.362402E-11
    134  5.003799836445E-02  6.075841E-18  1.908749E-16  1.295973E-14  1.537477E-13  4.397197E-12  1.336771E-11  9.436856E-11  1.979245E-11
    135  5.019682549602E-02  7.532425E-18  2.417484E-16  1.688118E-14  2.044825E-13  6.005547E-12  1.859437E-11  1.347182E-10  2.858961E-11
    136  5.035511419132E-02  9.298747E-18  3.048746E-16  2.189453E-14  2.707776E-13  8.166214E-12  2.575032E-11  1.914630E-10  4.111163E-11
    137  5.051299755300E-02  1.143281E-17  3.829188E-16  2.828058E-14  3.570918E-13  1.105835E-11  3.551211E-11  2.709737E-10  5.887051E-11
    138  5.067010535678E-02  1.399247E-17  4.787095E-16  3.635661E-14  4.686610E-13  1.490166E-11  4.873242E-11  3.815765E-10  8.387326E-11
    139  5.082726902819E-02  1.706369E-17  5.963346E-16  4.657548E-14  6.129614E-13  2.001236E-11  6.664888E-11  5.355414E-10  1.191006E-10
