 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                mg23          mg24          mg25          mg26          mg27          mg28          mg29          mg30 
     85  4.099011663524E-02  1.332370E-20  5.857077E-14  3.793253E-13  5.411127E-11  3.149559E-11  8.704221E-11  6.051253E-13  2.185555E-14
     86  4.118445936105E-02  1.232687E-20  5.706003E-14  3.759175E-13  5.504772E-11  3.242395E-11  9.176057E-11  6.443429E-13  2.361736E-14
     87  4.137235583218E-02  1.133231E-20  5.518960E-14  3.696623E-13  5.552022E-11  3.308323E-11  9.581067E-11  6.793509E-13  2.526030E-14
     88  4.152714488067E-02  1.050165E-20  5.336454E-14  3.623431E-13  5.556817E-11  3.343110E-11  9.868294E-11  7.053608E-13  2.654122E-14
     89  4.165981986900E-02  9.789017E-21  5.161277E-14  3.545629E-13  5.535535E-11  3.357924E-11  1.007599E-10  7.251985E-13  2.756869E-14
     90  4.188596337322E-02  8.590423E-21  4.827991E-14  3.383152E-13  5.444905E-11  3.349946E-11  1.033821E-10  7.529132E-13  2.912948E-14
     91  4.208159634323E-02  7.588129E-21  4.510977E-14  3.215501E-13  5.312579E-11  3.308870E-11  1.046371E-10  7.699191E-13  3.024699E-14
     92  4.230932596557E-02  6.484086E-21  4.118827E-14  2.994629E-13  5.100603E-11  3.222655E-11  1.048627E-10  7.808935E-13  3.123344E-14
     93  4.251598135750E-02  5.557500E-21  3.751094E-14  2.776168E-13  4.860474E-11  3.111164E-11  1.039087E-10  7.822989E-13  3.180693E-14
     94  4.274368410830E-02  4.635797E-21  3.345388E-14  2.524077E-13  4.553819E-11  2.956790E-11  1.016415E-10  7.745445E-13  3.206929E-14
     95  4.294191711445E-02  3.925639E-21  3.000489E-14  2.301200E-13  4.260144E-11  2.800428E-11  9.872179E-11  7.602931E-13  3.198437E-14
     96  4.316569238790E-02  3.229556E-21  2.629190E-14  2.052837E-13  3.910595E-11  2.606258E-11  9.453442E-11  7.368208E-13  3.156206E-14
     97  4.339365876136E-02  2.632764E-21  2.277789E-14  1.809592E-13  3.546517E-11  2.396356E-11  8.948900E-11  7.060943E-13  3.081081E-14
     98  4.362382833621E-02  2.137253E-21  1.955609E-14  1.579155E-13  3.181919E-11  2.179316E-11  8.381693E-11  6.696029E-13  2.977244E-14
     99  4.384703699487E-02  1.748374E-21  1.677110E-14  1.373706E-13  2.840229E-11  1.970179E-11  7.797216E-11  6.304822E-13  2.855073E-14
    100  4.408801045744E-02  1.415254E-21  1.414463E-14  1.173907E-13  2.492004E-11  1.751545E-11  7.149628E-11  5.857384E-13  2.705636E-14
    101  4.430336182063E-02  1.180493E-21  1.211627E-14  1.014843E-13  2.202692E-11  1.565716E-11  6.570587E-11  5.446554E-13  2.561099E-14
    102  4.453208602613E-02  9.838101E-22  1.027415E-14  8.661364E-14  1.921634E-11  1.381526E-11  5.970943E-11  5.011791E-13  2.401889E-14
    103  4.474836808964E-02  8.372572E-22  8.801605E-15  7.436471E-14  1.681690E-11  1.221368E-11  5.427916E-11  4.610373E-13  2.249759E-14
    104  4.497736119052E-02  7.138877E-22  7.492930E-15  6.313920E-14  1.454573E-11  1.067300E-11  4.885461E-11  4.202270E-13  2.090380E-14
    105  4.517199675598E-02  6.284890E-22  6.556271E-15  5.485624E-14  1.282272E-11  9.488294E-12  4.453795E-11  3.872355E-13  1.958115E-14
    106  4.536038532241E-02  5.587354E-22  5.780724E-15  4.779769E-14  1.132126E-11  8.445114E-12  4.062149E-11  3.568887E-13  1.833688E-14
    107  4.552484255766E-02  5.060160E-22  5.195009E-15  4.231653E-14  1.013330E-11  7.612831E-12  3.741026E-11  3.316918E-13  1.728250E-14
    108  4.581275722245E-02  4.280102E-22  4.341140E-15  3.402453E-14  8.296409E-12  6.314007E-12  3.222177E-11  2.903184E-13  1.550520E-14
    109  4.603616864208E-02  3.777820E-22  3.806502E-15  2.858621E-14  7.061878E-12  5.432551E-12  2.855402E-11  2.605102E-13  1.418446E-14
