 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                au192         au193         au194         au195         au196         au197         au198         au199
    132  4.971624312404E-02  4.219849E-30  3.291983E-29  5.710520E-29  2.662222E-28  3.782618E-28  6.876868E-28  6.539314E-28  6.059325E-28
    133  4.987811857735E-02  3.966142E-30  3.151346E-29  5.570208E-29  2.657476E-28  3.850899E-28  7.156064E-28  6.943453E-28  6.570359E-28
    134  5.003799836445E-02  3.730587E-30  3.037302E-29  5.477371E-29  2.674946E-28  3.953363E-28  7.509027E-28  7.433856E-28  7.183041E-28
    135  5.019682549602E-02  3.535963E-30  2.940645E-29  5.403625E-29  2.698033E-28  4.063061E-28  7.880514E-28  7.952990E-28  7.839906E-28
    136  5.035511419132E-02  3.355834E-30  2.842812E-29  5.328902E-29  2.724347E-28  4.185675E-28  8.301329E-28  8.550520E-28  8.609812E-28
    137  5.051299755300E-02  3.165582E-30  2.764031E-29  5.284948E-29  2.765329E-28  4.332206E-28  8.778002E-28  9.218589E-28  9.469237E-28
    138  5.067010535678E-02  3.002937E-30  2.668513E-29  5.195291E-29  2.778971E-28  4.435489E-28  9.174316E-28  9.816560E-28  1.027955E-27
    139  5.082726902819E-02  2.847833E-30  2.580718E-29  5.126394E-29  2.807557E-28  4.571223E-28  9.666855E-28  1.055485E-27  1.128785E-27
    140  5.098506829486E-02  2.697930E-30  2.515913E-29  5.093639E-29  2.852600E-28  4.732958E-28  1.022079E-27  1.137436E-27  1.240690E-27
    141  5.114361869269E-02  2.568478E-30  2.436700E-29  5.031206E-29  2.884867E-28  4.882575E-28  1.077817E-27  1.223543E-27  1.362282E-27
    142  5.130328078870E-02  2.439347E-30  2.368884E-29  4.987086E-29  2.925874E-28  5.048826E-28  1.138797E-27  1.318309E-27  1.497898E-27
    143  5.146205644840E-02  2.281826E-30  2.270858E-29  4.874489E-29  2.929114E-28  5.156759E-28  1.188916E-27  1.403558E-27  1.627052E-27
    144  5.162089365231E-02  2.164138E-30  2.180991E-29  4.772681E-29  2.934262E-28  5.266669E-28  1.240755E-27  1.493782E-27  1.767483E-27
    145  5.177902725711E-02  2.019197E-30  2.091115E-29  4.664593E-29  2.934956E-28  5.371445E-28  1.293024E-27  1.587329E-27  1.916599E-27
    146  5.193558292952E-02  1.861167E-30  2.034961E-29  4.611413E-29  2.918197E-28  5.366846E-28  1.301205E-27  1.611882E-27  1.973606E-27
    147  5.207655208218E-02  1.569970E-30  1.749333E-29  4.063248E-29  2.636955E-28  4.948619E-28  1.226321E-27  1.548403E-27  1.932332E-27
    148  5.220437120847E-02  1.350023E-30  1.531985E-29  3.618275E-29  2.393444E-28  4.562129E-28  1.149589E-27  1.472889E-27  1.865281E-27
    149  5.240275279905E-02  1.941567E-30  2.271001E-29  5.462955E-29  3.702750E-28  7.209795E-28  1.862934E-27  2.446429E-27  3.189314E-27
    150  5.258707116153E-02  1.665132E-30  1.932650E-29  4.766834E-29  3.399391E-28  6.907208E-28  1.862230E-27  2.525764E-27  3.373017E-27
    151  5.276353482958E-02  1.473722E-30  1.756243E-29  4.434587E-29  3.237450E-28  6.714241E-28  1.854937E-27  2.573845E-27  3.521851E-27
    152  5.293536770993E-02  1.326612E-30  1.624036E-29  4.190366E-29  3.133793E-28  6.632367E-28  1.875214E-27  2.658425E-27  3.723744E-27
    153  5.310288915571E-02  1.187332E-30  1.550497E-29  4.075537E-29  3.062538E-28  6.503473E-28  1.849398E-27  2.644179E-27  3.759531E-27
    154  5.325369291828E-02  1.000000E-30  1.313728E-29  3.542513E-29  2.736455E-28  5.940109E-28  1.729479E-27  2.523249E-27  3.660183E-27
    155  5.339308966526E-02  1.000000E-30  1.177358E-29  3.183439E-29  2.500192E-28  5.504811E-28  1.622101E-27  2.383969E-27  3.469498E-27
    156  5.362726198018E-02  1.287725E-30  1.831187E-29  5.155650E-29  4.170305E-28  9.393941E-28  2.852632E-27  4.334236E-27  6.597723E-27
    157  5.383816121000E-02  1.020862E-30  1.444938E-29  4.175679E-29  3.605388E-28  8.600723E-28  2.766894E-27  4.388051E-27  6.883019E-27
    158  5.403768730975E-02  1.000000E-30  1.276620E-29  3.793696E-29  3.350626E-28  8.161589E-28  2.698058E-27  4.393705E-27  7.097943E-27
    159  5.422986619970E-02  1.000000E-30  1.198760E-29  3.635703E-29  3.227914E-28  7.880895E-28  2.619196E-27  4.307916E-27  7.099965E-27
    160  5.440569294967E-02  1.000000E-30  1.012277E-29  3.155690E-29  2.893349E-28  7.246236E-28  2.473772E-27  4.161200E-27  7.010980E-27
    161  5.456994612052E-02  1.000000E-30  8.938253E-30  2.822066E-29  2.648848E-28  6.767403E-28  2.350580E-27  3.997109E-27  6.771056E-27
    162  5.485681963417E-02  1.000000E-30  1.410195E-29  4.639048E-29  4.500560E-28  1.179463E-27  4.242836E-27  7.510474E-27  1.346627E-26
    163  5.511708850657E-02  1.000000E-30  1.061344E-29  3.604672E-29  3.768518E-28  1.058506E-27  4.094121E-27  7.650345E-27  1.423494E-26
    164  5.536560227933E-02  1.000000E-30  9.819157E-30  3.421588E-29  3.583332E-28  1.005077E-27  3.911520E-27  7.425109E-27  1.428589E-26
    165  5.559867087093E-02  1.000000E-30  8.105525E-30  2.953968E-29  3.230920E-28  9.368692E-28  3.769523E-27  7.347493E-27  1.450025E-26
    166  5.582344501454E-02  1.000000E-30  7.025045E-30  2.612851E-29  2.978474E-28  8.939835E-28  3.707347E-27  7.362944E-27  1.465438E-26
    167  5.608267729631E-02  1.000000E-30  6.881635E-30  2.690089E-29  3.240361E-28  1.013730E-27  4.381236E-27  8.997055E-27  1.849100E-26
    168  5.632179590432E-02  1.000000E-30  5.581767E-30  2.239491E-29  2.800280E-28  9.064862E-28  4.092421E-27  8.767581E-27  1.893416E-26
