 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                tb155         tb156         tb157         tb158         tb159         tb160         tb161         tb162
     75  3.838080203158E-02  2.196312E-30  2.843939E-30  3.305681E-30  2.143408E-30  1.395029E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  3.859219912978E-02  2.651512E-30  3.497096E-30  4.429754E-30  2.953852E-30  1.945917E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  3.884096228080E-02  3.275515E-30  4.517532E-30  5.717027E-30  4.030482E-30  2.830353E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  3.907668434759E-02  3.224050E-30  4.532627E-30  5.942533E-30  4.307390E-30  3.021259E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  3.934936577490E-02  4.171876E-30  5.912508E-30  7.708093E-30  5.584742E-30  4.235054E-30  1.375204E-30  1.000000E-30  1.000000E-30
     80  3.961640452516E-02  4.308878E-30  6.289778E-30  8.471808E-30  6.252549E-30  4.907668E-30  1.636976E-30  1.000000E-30  1.000000E-30
     81  3.991996766101E-02  5.232218E-30  7.734288E-30  1.097045E-29  8.271456E-30  6.333985E-30  2.127210E-30  1.000000E-30  1.000000E-30
     82  4.019473378510E-02  4.957174E-30  7.649085E-30  1.112543E-29  8.611736E-30  6.836517E-30  2.441490E-30  1.117477E-30  1.000000E-30
     83  4.046928694587E-02  5.121756E-30  8.247239E-30  1.269387E-29  1.017355E-29  8.380332E-30  2.944361E-30  1.358287E-30  1.000000E-30
     84  4.074955599116E-02  5.291666E-30  8.880113E-30  1.426403E-29  1.215709E-29  1.089785E-29  4.079578E-30  1.947149E-30  1.000000E-30
     85  4.099011663524E-02  4.610413E-30  7.719890E-30  1.284270E-29  1.117414E-29  9.925882E-30  3.754253E-30  1.843388E-30  1.000000E-30
     86  4.118445936105E-02  3.864897E-30  6.580588E-30  1.119044E-29  9.934563E-30  9.031977E-30  3.507910E-30  1.768432E-30  1.000000E-30
     87  4.137235583218E-02  3.811842E-30  6.667416E-30  1.166161E-29  1.059245E-29  9.906042E-30  3.880781E-30  1.986839E-30  1.000000E-30
     88  4.152714488067E-02  3.258032E-30  5.770023E-30  1.021856E-29  9.393357E-30  8.892111E-30  3.569125E-30  1.869930E-30  1.000000E-30
     89  4.165981986900E-02  2.839616E-30  5.103027E-30  9.181171E-30  8.548148E-30  8.216631E-30  3.354216E-30  1.788040E-30  1.000000E-30
     90  4.188596337322E-02  4.830702E-30  8.876386E-30  1.625339E-29  1.530601E-29  1.490178E-29  6.272052E-30  3.402901E-30  1.000000E-30
     91  4.208159634323E-02  4.260471E-30  8.225592E-30  1.559173E-29  1.511486E-29  1.532068E-29  6.516909E-30  3.669493E-30  1.000000E-30
     92  4.230932596557E-02  4.976956E-30  9.699426E-30  1.871530E-29  1.838112E-29  1.883393E-29  8.345900E-30  4.832528E-30  1.000000E-30
