 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sn119         sn120         sn121         sn122         sn123         sn124         sn125         sn126
    118  4.732862910872E-02  5.480856E-29  1.554306E-28  3.994893E-28  6.912455E-28  9.116904E-28  1.124034E-27  7.896915E-28  5.099283E-28
    119  4.750539400184E-02  8.589623E-29  2.487250E-28  6.519047E-28  1.154131E-27  1.556449E-27  1.972013E-27  1.421961E-27  9.479222E-28
    120  4.767210524850E-02  7.988571E-29  2.407630E-28  6.521656E-28  1.191437E-27  1.643657E-27  2.120264E-27  1.542065E-27  1.028201E-27
    121  4.783406579930E-02  7.758271E-29  2.387297E-28  6.593768E-28  1.231362E-27  1.732782E-27  2.285593E-27  1.695009E-27  1.155445E-27
    122  4.799263518131E-02  7.540012E-29  2.369608E-28  6.670449E-28  1.272207E-27  1.824565E-27  2.459056E-27  1.858740E-27  1.294986E-27
    123  4.815339657435E-02  7.584184E-29  2.433194E-28  6.981184E-28  1.360635E-27  1.990604E-27  2.745214E-27  2.118208E-27  1.511328E-27
    124  4.832264594384E-02  7.853196E-29  2.576004E-28  7.545344E-28  1.505732E-27  2.250981E-27  3.182039E-27  2.509467E-27  1.835383E-27
    125  4.849826454798E-02  8.006931E-29  2.691349E-28  8.056823E-28  1.646656E-27  2.513613E-27  3.635613E-27  2.923213E-27  2.183314E-27
    126  4.867786870736E-02  8.055850E-29  2.775968E-28  8.495460E-28  1.778712E-27  2.772945E-27  4.104548E-27  3.365750E-27  2.568667E-27
    127  4.885872256535E-02  7.977885E-29  2.818571E-28  8.817386E-28  1.890971E-27  3.010273E-27  4.559984E-27  3.813806E-27  2.975187E-27
    128  4.903755607841E-02  7.766883E-29  2.811536E-28  8.984024E-28  1.971942E-27  3.203412E-27  4.963319E-27  4.232920E-27  3.375708E-27
    129  4.921259737621E-02  7.490318E-29  2.775170E-28  9.050158E-28  2.031674E-27  3.366731E-27  5.335341E-27  4.641376E-27  3.787159E-27
    130  4.938368810460E-02  7.214090E-29  2.733054E-28  9.089187E-28  2.085582E-27  3.524122E-27  5.711117E-27  5.067959E-27  4.232076E-27
    131  4.955132280349E-02  6.958987E-29  2.694370E-28  9.133685E-28  2.141280E-27  3.688273E-27  6.110554E-27  5.529925E-27  4.724947E-27
    132  4.971624312404E-02  6.729558E-29  2.661764E-28  9.194463E-28  2.201658E-27  3.864655E-27  6.543876E-27  6.037890E-27  5.276939E-27
    133  4.987811857735E-02  6.489421E-29  2.621519E-28  9.224133E-28  2.254950E-27  4.031553E-27  6.971973E-27  6.554037E-27  5.853879E-27
    134  5.003799836445E-02  6.289496E-29  2.594345E-28  9.297011E-28  2.320047E-27  4.224495E-27  7.461150E-27  7.145868E-27  6.522859E-27
    135  5.019682549602E-02  6.118036E-29  2.577268E-28  9.407454E-28  2.396826E-27  4.445248E-27  8.018629E-27  7.824098E-27  7.298199E-27
