                                                      NUCLIDE ABUNDANCE YIELDS
                                                      ------- --------- ------


 Computational parameters:
   cy = 0.300/  ct = 0.030/  initial temp = 8.48E-02/  final temp = 1.00E-02/  smallest abundances allowed = 1.00E-25
 Model parameters:
   g =  1.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00

    SumX         time        N          P            D          T          He3          He4          Li7       Li8       N14       Fe56
-2.146E+05   1.229E+00   2.523E-07   2.519E-07   5.461E-10   1.514E-07   8.831E-12   2.500E-01   8.051E-08   2.202E-09   1.161E-08   1.616E-08
-2.146E+05   1.241E+00   2.549E-07   2.527E-07   5.562E-10   1.507E-07   8.704E-12   2.500E-01   8.139E-08   2.272E-09   1.111E-08   1.616E-08
-2.146E+05   1.253E+00   2.575E-07   2.535E-07   5.664E-10   1.500E-07   8.581E-12   2.500E-01   8.226E-08   2.343E-09   1.063E-08   1.616E-08
-2.146E+05   1.265E+00   2.601E-07   2.542E-07   5.768E-10   1.492E-07   8.460E-12   2.500E-01   8.312E-08   2.416E-09   1.016E-08   1.616E-08
-2.146E+05   1.277E+00   2.627E-07   2.549E-07   5.871E-10   1.484E-07   8.342E-12   2.500E-01   8.398E-08   2.489E-09   9.713E-09   1.616E-08
-2.146E+05   1.290E+00   2.653E-07   2.555E-07   5.974E-10   1.477E-07   8.228E-12   2.500E-01   8.483E-08   2.564E-09   9.278E-09   1.616E-08
-2.146E+05   1.302E+00   2.678E-07   2.561E-07   6.078E-10   1.469E-07   8.117E-12   2.500E-01   8.567E-08   2.640E-09   8.858E-09   1.616E-08
-2.146E+05   1.314E+00   2.704E-07   2.567E-07   6.183E-10   1.461E-07   8.008E-12   2.500E-01   8.651E-08   2.717E-09   8.454E-09   1.616E-08
-2.146E+05   1.326E+00   2.730E-07   2.572E-07   6.288E-10   1.453E-07   7.901E-12   2.500E-01   8.734E-08   2.795E-09   8.064E-09   1.616E-08
-2.265E+05   1.338E+00   2.755E-07   2.577E-07   6.394E-10   1.445E-07   7.796E-12   2.500E-01   8.816E-08   2.875E-09   7.689E-09   1.616E-08
-2.265E+05   1.350E+00   2.780E-07   2.581E-07   6.501E-10   1.437E-07   7.694E-12   2.500E-01   8.897E-08   2.956E-09   7.329E-09   1.616E-08
-2.265E+05   1.363E+00   2.805E-07   2.585E-07   6.608E-10   1.428E-07   7.595E-12   2.500E-01   8.978E-08   3.038E-09   6.982E-09   1.616E-08
-2.265E+05   1.375E+00   2.830E-07   2.589E-07   6.714E-10   1.420E-07   7.498E-12   2.500E-01   9.058E-08   3.121E-09   6.648E-09   1.616E-08
-2.265E+05   1.387E+00   2.855E-07   2.592E-07   6.822E-10   1.412E-07   7.403E-12   2.500E-01   9.137E-08   3.205E-09   6.328E-09   1.616E-08
-2.265E+05   1.399E+00   2.880E-07   2.595E-07   6.930E-10   1.403E-07   7.309E-12   2.500E-01   9.215E-08   3.290E-09   6.021E-09   1.616E-08
-2.265E+05   1.411E+00   2.904E-07   2.597E-07   7.039E-10   1.395E-07   7.219E-12   2.500E-01   9.293E-08   3.377E-09   5.726E-09   1.616E-08
-2.265E+05   1.423E+00   2.928E-07   2.599E-07   7.148E-10   1.386E-07   7.130E-12   2.500E-01   9.370E-08   3.464E-09   5.444E-09   1.616E-08
-2.265E+05   1.436E+00   2.952E-07   2.601E-07   7.258E-10   1.378E-07   7.043E-12   2.500E-01   9.446E-08   3.553E-09   5.173E-09   1.616E-08
-2.265E+05   1.448E+00   2.976E-07   2.603E-07   7.368E-10   1.369E-07   6.958E-12   2.500E-01   9.522E-08   3.643E-09   4.913E-09   1.616E-08
-2.265E+05   1.460E+00   3.000E-07   2.604E-07   7.478E-10   1.360E-07   6.875E-12   2.500E-01   9.596E-08   3.734E-09   4.665E-09   1.616E-08
-2.265E+05   1.472E+00   3.023E-07   2.605E-07   7.587E-10   1.352E-07   6.794E-12   2.500E-01   9.670E-08   3.826E-09   4.427E-09   1.616E-08
-2.146E+05   1.484E+00   3.047E-07   2.605E-07   7.697E-10   1.343E-07   6.714E-12   2.500E-01   9.743E-08   3.919E-09   4.200E-09   1.616E-08
-2.146E+05   1.496E+00   3.070E-07   2.606E-07   7.809E-10   1.334E-07   6.636E-12   2.500E-01   9.816E-08   4.013E-09   3.983E-09   1.616E-08
-2.146E+05   1.509E+00   3.093E-07   2.606E-07   7.921E-10   1.325E-07   6.560E-12   2.500E-01   9.887E-08   4.108E-09   3.775E-09   1.616E-08
-2.265E+05   1.521E+00   3.116E-07   2.605E-07   8.033E-10   1.316E-07   6.486E-12   2.500E-01   9.958E-08   4.204E-09   3.577E-09   1.616E-08
-2.265E+05   1.533E+00   3.139E-07   2.605E-07   8.146E-10   1.307E-07   6.412E-12   2.500E-01   1.003E-07   4.301E-09   3.388E-09   1.616E-08
-2.265E+05   1.545E+00   3.162E-07   2.604E-07   8.259E-10   1.298E-07   6.340E-12   2.500E-01   1.010E-07   4.399E-09   3.208E-09   1.616E-08
-2.265E+05   1.557E+00   3.184E-07   2.602E-07   8.371E-10   1.289E-07   6.271E-12   2.500E-01   1.017E-07   4.498E-09   3.036E-09   1.616E-08
-2.265E+05   1.569E+00   3.206E-07   2.601E-07   8.484E-10   1.280E-07   6.202E-12   2.500E-01   1.023E-07   4.598E-09   2.872E-09   1.616E-08
-2.265E+05   1.582E+00   3.228E-07   2.599E-07   8.597E-10   1.271E-07   6.135E-12   2.500E-01   1.030E-07   4.698E-09   2.716E-09   1.616E-08
-2.265E+05   1.594E+00   3.250E-07   2.597E-07   8.711E-10   1.262E-07   6.069E-12   2.500E-01   1.037E-07   4.800E-09   2.568E-09   1.616E-08
-2.384E+05   1.606E+00   3.271E-07   2.595E-07   8.824E-10   1.253E-07   6.005E-12   2.500E-01   1.043E-07   4.902E-09   2.426E-09   1.616E-08
-2.384E+05   1.618E+00   3.293E-07   2.593E-07   8.938E-10   1.244E-07   5.942E-12   2.500E-01   1.050E-07   5.006E-09   2.292E-09   1.616E-08
-2.384E+05   1.630E+00   3.314E-07   2.590E-07   9.051E-10   1.235E-07   5.879E-12   2.500E-01   1.056E-07   5.110E-09   2.164E-09   1.616E-08
-2.384E+05   1.642E+00   3.335E-07   2.587E-07   9.166E-10   1.226E-07   5.819E-12   2.500E-01   1.062E-07   5.215E-09   2.043E-09   1.616E-08
-2.503E+05   1.655E+00   3.356E-07   2.584E-07   9.280E-10   1.217E-07   5.759E-12   2.500E-01   1.069E-07   5.321E-09   1.927E-09   1.616E-08
-2.503E+05   1.667E+00   3.377E-07   2.581E-07   9.394E-10   1.208E-07   5.701E-12   2.500E-01   1.075E-07   5.428E-09   1.818E-09   1.616E-08
-2.503E+05   1.679E+00   3.397E-07   2.577E-07   9.509E-10   1.199E-07   5.643E-12   2.500E-01   1.081E-07   5.536E-09   1.714E-09   1.616E-08
-2.503E+05   1.691E+00   3.417E-07   2.573E-07   9.624E-10   1.190E-07   5.588E-12   2.500E-01   1.087E-07   5.644E-09   1.616E-09   1.616E-08
-2.503E+05   1.703E+00   3.437E-07   2.569E-07   9.738E-10   1.181E-07   5.533E-12   2.500E-01   1.093E-07   5.753E-09   1.522E-09   1.616E-08
-2.503E+05   1.715E+00   3.457E-07   2.565E-07   9.854E-10   1.172E-07   5.478E-12   2.500E-01   1.099E-07   5.863E-09   1.434E-09   1.616E-08
-2.503E+05   1.728E+00   3.477E-07   2.561E-07   9.970E-10   1.163E-07   5.425E-12   2.500E-01   1.104E-07   5.973E-09   1.350E-09   1.616E-08
-2.503E+05   1.740E+00   3.496E-07   2.556E-07   1.009E-09   1.154E-07   5.374E-12   2.500E-01   1.110E-07   6.084E-09   1.271E-09   1.616E-08
-2.503E+05   1.752E+00   3.516E-07   2.551E-07   1.020E-09   1.146E-07   5.322E-12   2.500E-01   1.116E-07   6.196E-09   1.196E-09   1.616E-08
-2.503E+05   1.764E+00   3.535E-07   2.547E-07   1.032E-09   1.137E-07   5.272E-12   2.500E-01   1.121E-07   6.308E-09   1.125E-09   1.616E-08
-2.503E+05   1.776E+00   3.553E-07   2.542E-07   1.043E-09   1.128E-07   5.223E-12   2.500E-01   1.127E-07   6.421E-09   1.058E-09   1.616E-08
