 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                er192         er193         er194         er195         er196         er197         er198         tm150
     62  1.076805333108E-03  1.013823E-30  1.020825E-30  1.036737E-30  1.009146E-30  1.026980E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.014473E-30  1.021816E-30  1.038458E-30  1.009572E-30  1.028242E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.015138E-30  1.022829E-30  1.040216E-30  1.010006E-30  1.029531E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.015812E-30  1.023857E-30  1.041996E-30  1.010446E-30  1.030836E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.016492E-30  1.024895E-30  1.043793E-30  1.010890E-30  1.032153E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.017178E-30  1.025943E-30  1.045603E-30  1.011336E-30  1.033480E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.017868E-30  1.027000E-30  1.047426E-30  1.011786E-30  1.034816E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.018564E-30  1.028065E-30  1.049261E-30  1.012238E-30  1.036160E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.019264E-30  1.029139E-30  1.051108E-30  1.012693E-30  1.037513E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.019970E-30  1.030220E-30  1.052966E-30  1.013151E-30  1.038875E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.020680E-30  1.031311E-30  1.054835E-30  1.013611E-30  1.040244E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.021394E-30  1.032409E-30  1.056716E-30  1.014073E-30  1.041621E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.022113E-30  1.033515E-30  1.058608E-30  1.014538E-30  1.043007E-30  1.000000E-30  1.000000E-30  1.000000E-30
