 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                br95          br96          br97          br98          br99          br100         br101         br102
     64  1.179263354774E-03  1.016872E-30  1.007854E-30  1.017340E-30  1.026075E-30  1.075632E-30  1.000000E-30  1.004079E-30  1.051406E-30
     65  1.231720185468E-03  1.017627E-30  1.008216E-30  1.018133E-30  1.027281E-30  1.079043E-30  1.000000E-30  1.004251E-30  1.053553E-30
     66  1.284679788904E-03  1.018390E-30  1.008581E-30  1.018936E-30  1.028504E-30  1.082490E-30  1.000000E-30  1.004423E-30  1.055710E-30
     67  1.338068714676E-03  1.019160E-30  1.008951E-30  1.019748E-30  1.029740E-30  1.085969E-30  1.000000E-30  1.004595E-30  1.057873E-30
     68  1.391852718980E-03  1.019936E-30  1.009324E-30  1.020567E-30  1.030989E-30  1.089477E-30  1.000000E-30  1.004768E-30  1.060040E-30
     69  1.446014888479E-03  1.020718E-30  1.009701E-30  1.021395E-30  1.032251E-30  1.093014E-30  1.000000E-30  1.004942E-30  1.062211E-30
     70  1.500546342624E-03  1.021506E-30  1.010081E-30  1.022229E-30  1.033526E-30  1.096578E-30  1.000000E-30  1.005115E-30  1.064384E-30
     71  1.555442065896E-03  1.022300E-30  1.010466E-30  1.023072E-30  1.034813E-30  1.100170E-30  1.000000E-30  1.005289E-30  1.066560E-30
     72  1.610698967280E-03  1.023099E-30  1.010853E-30  1.023922E-30  1.036113E-30  1.103789E-30  1.000000E-30  1.005464E-30  1.068738E-30
     73  1.666314948699E-03  1.023904E-30  1.011245E-30  1.024779E-30  1.037426E-30  1.107436E-30  1.000000E-30  1.005638E-30  1.070918E-30
     74  1.722288445659E-03  1.024715E-30  1.011640E-30  1.025644E-30  1.038751E-30  1.111109E-30  1.000000E-30  1.005813E-30  1.073100E-30
     75  1.778618195039E-03  1.025531E-30  1.012038E-30  1.026517E-30  1.040089E-30  1.114810E-30  1.000000E-30  1.005987E-30  1.075283E-30
     76  1.835303663832E-03  1.026353E-30  1.012441E-30  1.027397E-30  1.041440E-30  1.118537E-30  1.000000E-30  1.006162E-30  1.077467E-30
