 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                zn77          zn78          zn79          zn80          zn81          zn82          zn83          zn84 
     74  1.722288445659E-03  1.001971E-30  1.002677E-30  1.005153E-30  1.006735E-30  1.007553E-30  1.020067E-30  1.000000E-30  1.054866E-30
     75  1.778618195039E-03  1.002035E-30  1.002765E-30  1.005321E-30  1.006955E-30  1.007800E-30  1.020721E-30  1.000000E-30  1.056645E-30
     76  1.835303663832E-03  1.002100E-30  1.002853E-30  1.005491E-30  1.007177E-30  1.008049E-30  1.021380E-30  1.000000E-30  1.058433E-30
     77  1.892344396716E-03  1.002166E-30  1.002942E-30  1.005662E-30  1.007399E-30  1.008299E-30  1.022042E-30  1.000000E-30  1.060232E-30
     78  1.949739812628E-03  1.002231E-30  1.003031E-30  1.005834E-30  1.007624E-30  1.008550E-30  1.022709E-30  1.000000E-30  1.062041E-30
     79  2.007489276907E-03  1.002297E-30  1.003121E-30  1.006007E-30  1.007849E-30  1.008803E-30  1.023379E-30  1.000000E-30  1.063860E-30
     80  2.065592139419E-03  1.002364E-30  1.003211E-30  1.006181E-30  1.008076E-30  1.009058E-30  1.024054E-30  1.000000E-30  1.065690E-30
     81  2.124047755162E-03  1.002431E-30  1.003302E-30  1.006356E-30  1.008304E-30  1.009314E-30  1.024732E-30  1.000000E-30  1.067529E-30
     82  2.182855495215E-03  1.002498E-30  1.003393E-30  1.006532E-30  1.008534E-30  1.009572E-30  1.025414E-30  1.000000E-30  1.069378E-30
     83  2.242014752368E-03  1.002566E-30  1.003485E-30  1.006709E-30  1.008765E-30  1.009831E-30  1.026101E-30  1.000000E-30  1.071237E-30
     84  2.301524943777E-03  1.002634E-30  1.003577E-30  1.006887E-30  1.008997E-30  1.010092E-30  1.026791E-30  1.000000E-30  1.073106E-30
     85  2.361385511936E-03  1.002702E-30  1.003670E-30  1.007067E-30  1.009231E-30  1.010354E-30  1.027485E-30  1.000000E-30  1.074985E-30
     86  2.421595924701E-03  1.002771E-30  1.003764E-30  1.007247E-30  1.009466E-30  1.010618E-30  1.028184E-30  1.000000E-30  1.076874E-30
     87  2.482155674804E-03  1.002840E-30  1.003858E-30  1.007429E-30  1.009702E-30  1.010884E-30  1.028886E-30  1.000000E-30  1.078772E-30
     88  2.543064279071E-03  1.002910E-30  1.003953E-30  1.007611E-30  1.009940E-30  1.011150E-30  1.029592E-30  1.000000E-30  1.080681E-30
     89  2.604321277494E-03  1.002980E-30  1.004048E-30  1.007795E-30  1.010179E-30  1.011419E-30  1.030302E-30  1.000000E-30  1.082599E-30
     90  2.665926232237E-03  1.003051E-30  1.004143E-30  1.007979E-30  1.010419E-30  1.011689E-30  1.031015E-30  1.000000E-30  1.084526E-30
     91  2.727878734382E-03  1.003122E-30  1.004240E-30  1.008165E-30  1.010661E-30  1.011960E-30  1.031733E-30  1.000000E-30  1.086464E-30
     92  2.790178404165E-03  1.003193E-30  1.004336E-30  1.008352E-30  1.010904E-30  1.012233E-30  1.032455E-30  1.000000E-30  1.088411E-30
     93  2.852824875480E-03  1.003265E-30  1.004434E-30  1.008540E-30  1.011148E-30  1.012508E-30  1.033180E-30  1.000000E-30  1.090368E-30
     94  2.915817796872E-03  1.003337E-30  1.004532E-30  1.008729E-30  1.011394E-30  1.012783E-30  1.033909E-30  1.000000E-30  1.092334E-30
     95  2.979156831833E-03  1.003409E-30  1.004630E-30  1.008919E-30  1.011641E-30  1.013061E-30  1.034643E-30  1.000000E-30  1.094310E-30
