 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                re207         re208         re209         re210         re211         re212         re213         re214
     70  1.500546342624E-03  1.011924E-30  1.000000E-30  1.013119E-30  1.007275E-30  1.008229E-30  1.003744E-30  1.006982E-30  1.004220E-30
     71  1.555442065896E-03  1.012359E-30  1.000000E-30  1.013600E-30  1.007545E-30  1.008529E-30  1.003889E-30  1.007241E-30  1.004381E-30
     72  1.610698967280E-03  1.012797E-30  1.000000E-30  1.014085E-30  1.007817E-30  1.008832E-30  1.004035E-30  1.007503E-30  1.004542E-30
     73  1.666314948699E-03  1.013237E-30  1.000000E-30  1.014573E-30  1.008092E-30  1.009136E-30  1.004182E-30  1.007766E-30  1.004706E-30
     74  1.722288445659E-03  1.013680E-30  1.000000E-30  1.015064E-30  1.008368E-30  1.009442E-30  1.004331E-30  1.008032E-30  1.004871E-30
     75  1.778618195039E-03  1.014126E-30  1.000000E-30  1.015558E-30  1.008647E-30  1.009750E-30  1.004482E-30  1.008300E-30  1.005037E-30
     76  1.835303663832E-03  1.014575E-30  1.000000E-30  1.016056E-30  1.008927E-30  1.010060E-30  1.004634E-30  1.008569E-30  1.005205E-30
     77  1.892344396716E-03  1.015026E-30  1.000000E-30  1.016557E-30  1.009210E-30  1.010372E-30  1.004788E-30  1.008841E-30  1.005374E-30
     78  1.949739812628E-03  1.015481E-30  1.000000E-30  1.017061E-30  1.009495E-30  1.010686E-30  1.004943E-30  1.009114E-30  1.005545E-30
     79  2.007489276907E-03  1.015937E-30  1.000000E-30  1.017568E-30  1.009782E-30  1.011002E-30  1.005100E-30  1.009390E-30  1.005717E-30
     80  2.065592139419E-03  1.016397E-30  1.000000E-30  1.018078E-30  1.010071E-30  1.011320E-30  1.005258E-30  1.009667E-30  1.005891E-30
     81  2.124047755162E-03  1.016859E-30  1.000000E-30  1.018592E-30  1.010362E-30  1.011639E-30  1.005418E-30  1.009947E-30  1.006067E-30
     82  2.182855495215E-03  1.017324E-30  1.000000E-30  1.019109E-30  1.010655E-30  1.011961E-30  1.005580E-30  1.010229E-30  1.006243E-30
     83  2.242014752368E-03  1.017792E-30  1.000000E-30  1.019629E-30  1.010950E-30  1.012284E-30  1.005743E-30  1.010512E-30  1.006422E-30
     84  2.301524943777E-03  1.018262E-30  1.000000E-30  1.020152E-30  1.011247E-30  1.012610E-30  1.005908E-30  1.010798E-30  1.006602E-30
     85  2.361385511936E-03  1.018735E-30  1.000000E-30  1.020679E-30  1.011546E-30  1.012937E-30  1.006074E-30  1.011085E-30  1.006783E-30
     86  2.421595924701E-03  1.019210E-30  1.000000E-30  1.021209E-30  1.011848E-30  1.013266E-30  1.006242E-30  1.011375E-30  1.006966E-30
     87  2.482155674804E-03  1.019689E-30  1.000000E-30  1.021742E-30  1.012151E-30  1.013597E-30  1.006412E-30  1.011666E-30  1.007151E-30
     88  2.543064279071E-03  1.020170E-30  1.000000E-30  1.022278E-30  1.012457E-30  1.013930E-30  1.006583E-30  1.011960E-30  1.007337E-30
     89  2.604321277494E-03  1.020653E-30  1.000000E-30  1.022817E-30  1.012765E-30  1.014265E-30  1.006756E-30  1.012256E-30  1.007524E-30
     90  2.665926232237E-03  1.021139E-30  1.000000E-30  1.023360E-30  1.013074E-30  1.014601E-30  1.006931E-30  1.012553E-30  1.007714E-30
     91  2.727878734382E-03  1.021628E-30  1.000000E-30  1.023905E-30  1.013386E-30  1.014940E-30  1.007107E-30  1.012853E-30  1.007904E-30
     92  2.790178404165E-03  1.022120E-30  1.000000E-30  1.024454E-30  1.013701E-30  1.015280E-30  1.007285E-30  1.013154E-30  1.008097E-30
     93  2.852824875480E-03  1.022614E-30  1.000000E-30  1.025006E-30  1.014017E-30  1.015622E-30  1.007465E-30  1.013458E-30  1.008291E-30
     94  2.915817796872E-03  1.023110E-30  1.000000E-30  1.025562E-30  1.014335E-30  1.015967E-30  1.007646E-30  1.013764E-30  1.008486E-30
