 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                te136         te137         te138         te139         te140         te141         te142         te143
     60  9.888739022907E-04  1.000704E-30  1.000378E-30  1.016194E-30  1.001420E-30  1.015739E-30  1.003638E-30  1.008926E-30  1.016644E-30
     61  1.029744313280E-03  1.000734E-30  1.000394E-30  1.016864E-30  1.001479E-30  1.016389E-30  1.003788E-30  1.009293E-30  1.017329E-30
     62  1.076805333108E-03  1.000767E-30  1.000412E-30  1.017634E-30  1.001546E-30  1.017137E-30  1.003961E-30  1.009716E-30  1.018117E-30
     63  1.127478238084E-03  1.000803E-30  1.000432E-30  1.018464E-30  1.001619E-30  1.017943E-30  1.004147E-30  1.010172E-30  1.018965E-30
     64  1.179263354774E-03  1.000840E-30  1.000451E-30  1.019312E-30  1.001693E-30  1.018765E-30  1.004337E-30  1.010637E-30  1.019831E-30
     65  1.231720185468E-03  1.000878E-30  1.000472E-30  1.020170E-30  1.001769E-30  1.019599E-30  1.004529E-30  1.011109E-30  1.020708E-30
     66  1.284679788904E-03  1.000915E-30  1.000492E-30  1.021037E-30  1.001844E-30  1.020440E-30  1.004723E-30  1.011584E-30  1.021593E-30
     67  1.338068714676E-03  1.000954E-30  1.000512E-30  1.021911E-30  1.001921E-30  1.021288E-30  1.004919E-30  1.012064E-30  1.022485E-30
     68  1.391852718980E-03  1.000992E-30  1.000533E-30  1.022792E-30  1.001998E-30  1.022143E-30  1.005116E-30  1.012547E-30  1.023383E-30
     69  1.446014888479E-03  1.001031E-30  1.000554E-30  1.023678E-30  1.002076E-30  1.023003E-30  1.005314E-30  1.013032E-30  1.024287E-30
     70  1.500546342624E-03  1.001070E-30  1.000575E-30  1.024571E-30  1.002154E-30  1.023869E-30  1.005514E-30  1.013522E-30  1.025197E-30
     71  1.555442065896E-03  1.001109E-30  1.000596E-30  1.025469E-30  1.002232E-30  1.024740E-30  1.005715E-30  1.014014E-30  1.026112E-30
     72  1.610698967280E-03  1.001148E-30  1.000617E-30  1.026374E-30  1.002312E-30  1.025618E-30  1.005917E-30  1.014509E-30  1.027033E-30
     73  1.666314948699E-03  1.001188E-30  1.000639E-30  1.027284E-30  1.002391E-30  1.026500E-30  1.006121E-30  1.015007E-30  1.027959E-30
     74  1.722288445659E-03  1.001228E-30  1.000660E-30  1.028200E-30  1.002471E-30  1.027389E-30  1.006326E-30  1.015509E-30  1.028891E-30
     75  1.778618195039E-03  1.001268E-30  1.000682E-30  1.029122E-30  1.002552E-30  1.028283E-30  1.006532E-30  1.016013E-30  1.029828E-30
     76  1.835303663832E-03  1.001309E-30  1.000704E-30  1.030050E-30  1.002633E-30  1.029182E-30  1.006739E-30  1.016520E-30  1.030771E-30
     77  1.892344396716E-03  1.001349E-30  1.000726E-30  1.030983E-30  1.002715E-30  1.030087E-30  1.006947E-30  1.017031E-30  1.031719E-30
     78  1.949739812628E-03  1.001390E-30  1.000748E-30  1.031923E-30  1.002797E-30  1.030997E-30  1.007157E-30  1.017544E-30  1.032672E-30
     79  2.007489276907E-03  1.001432E-30  1.000770E-30  1.032868E-30  1.002880E-30  1.031913E-30  1.007368E-30  1.018060E-30  1.033631E-30
     80  2.065592139419E-03  1.001473E-30  1.000792E-30  1.033819E-30  1.002963E-30  1.032835E-30  1.007580E-30  1.018579E-30  1.034595E-30
     81  2.124047755162E-03  1.001515E-30  1.000815E-30  1.034775E-30  1.003046E-30  1.033762E-30  1.007793E-30  1.019102E-30  1.035565E-30
     82  2.182855495215E-03  1.001557E-30  1.000838E-30  1.035737E-30  1.003131E-30  1.034694E-30  1.008008E-30  1.019627E-30  1.036540E-30
     83  2.242014752368E-03  1.001599E-30  1.000860E-30  1.036705E-30  1.003215E-30  1.035632E-30  1.008224E-30  1.020155E-30  1.037520E-30
     84  2.301524943777E-03  1.001642E-30  1.000883E-30  1.037679E-30  1.003300E-30  1.036575E-30  1.008441E-30  1.020686E-30  1.038505E-30
     85  2.361385511936E-03  1.001685E-30  1.000907E-30  1.038659E-30  1.003386E-30  1.037524E-30  1.008659E-30  1.021220E-30  1.039496E-30
     86  2.421595924701E-03  1.001728E-30  1.000930E-30  1.039644E-30  1.003472E-30  1.038478E-30  1.008879E-30  1.021757E-30  1.040492E-30
     87  2.482155674804E-03  1.001771E-30  1.000953E-30  1.040635E-30  1.003558E-30  1.039437E-30  1.009099E-30  1.022296E-30  1.041493E-30
     88  2.543064279071E-03  1.001815E-30  1.000977E-30  1.041631E-30  1.003646E-30  1.040402E-30  1.009321E-30  1.022839E-30  1.042499E-30
     89  2.604321277494E-03  1.001858E-30  1.001000E-30  1.042633E-30  1.003733E-30  1.041372E-30  1.009544E-30  1.023385E-30  1.043511E-30
     90  2.665926232237E-03  1.001903E-30  1.001024E-30  1.043641E-30  1.003821E-30  1.042347E-30  1.009769E-30  1.023933E-30  1.044527E-30
     91  2.727878734382E-03  1.001947E-30  1.001048E-30  1.044654E-30  1.003910E-30  1.043328E-30  1.009994E-30  1.024484E-30  1.045549E-30
     92  2.790178404165E-03  1.001991E-30  1.001072E-30  1.045674E-30  1.003999E-30  1.044315E-30  1.010221E-30  1.025039E-30  1.046576E-30
     93  2.852824875480E-03  1.002036E-30  1.001097E-30  1.046698E-30  1.004088E-30  1.045306E-30  1.010449E-30  1.025596E-30  1.047608E-30
     94  2.915817796872E-03  1.002081E-30  1.001121E-30  1.047729E-30  1.004178E-30  1.046303E-30  1.010678E-30  1.026155E-30  1.048645E-30
     95  2.979156831833E-03  1.002127E-30  1.001145E-30  1.048765E-30  1.004268E-30  1.047305E-30  1.010908E-30  1.026718E-30  1.049688E-30
