 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                gd189         gd190         gd191         tb142         tb143         tb144         tb145         tb146
     68  1.391852718980E-03  1.036865E-30  1.071288E-30  1.000000E-30  1.000000E-30  1.000231E-30  1.000000E-30  1.000051E-30  1.000000E-30
     69  1.446014888479E-03  1.038260E-30  1.073965E-30  1.000000E-30  1.000000E-30  1.000240E-30  1.000000E-30  1.000053E-30  1.000000E-30
     70  1.500546342624E-03  1.039662E-30  1.076654E-30  1.000000E-30  1.000000E-30  1.000249E-30  1.000000E-30  1.000054E-30  1.000000E-30
     71  1.555442065896E-03  1.041070E-30  1.079353E-30  1.000000E-30  1.000000E-30  1.000258E-30  1.000000E-30  1.000056E-30  1.000000E-30
     72  1.610698967280E-03  1.042485E-30  1.082062E-30  1.000000E-30  1.000000E-30  1.000268E-30  1.000000E-30  1.000058E-30  1.000000E-30
     73  1.666314948699E-03  1.043905E-30  1.084782E-30  1.000000E-30  1.000000E-30  1.000277E-30  1.000000E-30  1.000061E-30  1.000000E-30
     74  1.722288445659E-03  1.045332E-30  1.087512E-30  1.000000E-30  1.000000E-30  1.000286E-30  1.000000E-30  1.000063E-30  1.000000E-30
     75  1.778618195039E-03  1.046765E-30  1.090252E-30  1.000000E-30  1.000000E-30  1.000295E-30  1.000000E-30  1.000065E-30  1.000000E-30
     76  1.835303663832E-03  1.048204E-30  1.093001E-30  1.000000E-30  1.000000E-30  1.000305E-30  1.000000E-30  1.000067E-30  1.000000E-30
     77  1.892344396716E-03  1.049649E-30  1.095760E-30  1.000000E-30  1.000000E-30  1.000314E-30  1.000000E-30  1.000069E-30  1.000000E-30
     78  1.949739812628E-03  1.051099E-30  1.098529E-30  1.000000E-30  1.000000E-30  1.000324E-30  1.000000E-30  1.000071E-30  1.000000E-30
     79  2.007489276907E-03  1.052555E-30  1.101306E-30  1.000000E-30  1.000000E-30  1.000333E-30  1.000000E-30  1.000073E-30  1.000000E-30
     80  2.065592139419E-03  1.054017E-30  1.104093E-30  1.000000E-30  1.000000E-30  1.000343E-30  1.000000E-30  1.000075E-30  1.000000E-30
     81  2.124047755162E-03  1.055485E-30  1.106889E-30  1.000000E-30  1.000000E-30  1.000353E-30  1.000000E-30  1.000077E-30  1.000000E-30
     82  2.182855495215E-03  1.056958E-30  1.109693E-30  1.000000E-30  1.000000E-30  1.000363E-30  1.000000E-30  1.000079E-30  1.000000E-30
     83  2.242014752368E-03  1.058436E-30  1.112506E-30  1.000000E-30  1.000000E-30  1.000372E-30  1.000000E-30  1.000081E-30  1.000000E-30
     84  2.301524943777E-03  1.059920E-30  1.115328E-30  1.000000E-30  1.000000E-30  1.000382E-30  1.000000E-30  1.000084E-30  1.000000E-30
     85  2.361385511936E-03  1.061409E-30  1.118158E-30  1.000000E-30  1.000000E-30  1.000392E-30  1.000000E-30  1.000086E-30  1.000000E-30
     86  2.421595924701E-03  1.062904E-30  1.120996E-30  1.000000E-30  1.000000E-30  1.000402E-30  1.000000E-30  1.000088E-30  1.000000E-30
     87  2.482155674804E-03  1.064403E-30  1.123843E-30  1.000000E-30  1.000000E-30  1.000412E-30  1.000000E-30  1.000090E-30  1.000000E-30
     88  2.543064279071E-03  1.065908E-30  1.126697E-30  1.000000E-30  1.000000E-30  1.000422E-30  1.000000E-30  1.000092E-30  1.000000E-30
     89  2.604321277494E-03  1.067418E-30  1.129559E-30  1.000000E-30  1.000000E-30  1.000433E-30  1.000000E-30  1.000095E-30  1.000000E-30
     90  2.665926232237E-03  1.068933E-30  1.132428E-30  1.000000E-30  1.000000E-30  1.000443E-30  1.000000E-30  1.000097E-30  1.000000E-30
     91  2.727878734382E-03  1.070453E-30  1.135305E-30  1.000000E-30  1.000000E-30  1.000453E-30  1.000000E-30  1.000099E-30  1.000000E-30
     92  2.790178404165E-03  1.071978E-30  1.138190E-30  1.000000E-30  1.000000E-30  1.000463E-30  1.000000E-30  1.000101E-30  1.000000E-30
     93  2.852824875480E-03  1.073507E-30  1.141082E-30  1.000000E-30  1.000000E-30  1.000474E-30  1.000000E-30  1.000104E-30  1.000000E-30
     94  2.915817796872E-03  1.075042E-30  1.143980E-30  1.000000E-30  1.000000E-30  1.000484E-30  1.000000E-30  1.000106E-30  1.000000E-30
     95  2.979156831833E-03  1.076581E-30  1.146886E-30  1.000000E-30  1.000000E-30  1.000495E-30  1.000000E-30  1.000108E-30  1.000000E-30
