 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                p24           p25           p26           p27           p28           p29           p30           p31  
     53  7.551843574001E-04  1.000000E-30  1.000000E-30  1.003232E-30  1.031726E-30  1.002865E-30  1.002735E-30  1.000000E-30  1.000204E-30
     54  7.854224313090E-04  1.000000E-30  1.000000E-30  1.003360E-30  1.032995E-30  1.003006E-30  1.002847E-30  1.000000E-30  1.000212E-30
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.003492E-30  1.034295E-30  1.003152E-30  1.002962E-30  1.000000E-30  1.000220E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.003627E-30  1.035632E-30  1.003304E-30  1.003081E-30  1.000000E-30  1.000229E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.003767E-30  1.037013E-30  1.003463E-30  1.003203E-30  1.000000E-30  1.000238E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.003912E-30  1.038446E-30  1.003631E-30  1.003331E-30  1.000000E-30  1.000247E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.004064E-30  1.039945E-30  1.003809E-30  1.003465E-30  1.000000E-30  1.000257E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.004224E-30  1.041531E-30  1.004001E-30  1.003606E-30  1.000000E-30  1.000267E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.004397E-30  1.043245E-30  1.004212E-30  1.003760E-30  1.000000E-30  1.000278E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.004596E-30  1.045218E-30  1.004459E-30  1.003937E-30  1.000000E-30  1.000291E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.004811E-30  1.047343E-30  1.004730E-30  1.004129E-30  1.000000E-30  1.000305E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.005030E-30  1.049514E-30  1.005013E-30  1.004325E-30  1.000000E-30  1.000319E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.005251E-30  1.051713E-30  1.005306E-30  1.004525E-30  1.000000E-30  1.000333E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.005475E-30  1.053933E-30  1.005607E-30  1.004727E-30  1.000000E-30  1.000347E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.005700E-30  1.056170E-30  1.005917E-30  1.004931E-30  1.000000E-30  1.000362E-30
