 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                xe151         xe152         xe153         xe154         xe155         xe156         xe157         xe158
     56  8.482679080764E-04  1.014046E-30  1.017985E-30  1.027145E-30  1.030829E-30  1.043377E-30  1.045976E-30  1.063018E-30  1.082658E-30
     57  8.811699017317E-04  1.014594E-30  1.018692E-30  1.028204E-30  1.032031E-30  1.045036E-30  1.047723E-30  1.065401E-30  1.085762E-30
     58  9.153304977871E-04  1.015164E-30  1.019426E-30  1.029303E-30  1.033280E-30  1.046758E-30  1.049534E-30  1.067871E-30  1.088976E-30
     59  9.510634923056E-04  1.015760E-30  1.020194E-30  1.030453E-30  1.034586E-30  1.048556E-30  1.051426E-30  1.070450E-30  1.092329E-30
     60  9.888739022907E-04  1.016391E-30  1.021008E-30  1.031671E-30  1.035969E-30  1.050457E-30  1.053424E-30  1.073172E-30  1.095869E-30
     61  1.029744313280E-03  1.017074E-30  1.021889E-30  1.032988E-30  1.037465E-30  1.052509E-30  1.055580E-30  1.076108E-30  1.099683E-30
     62  1.076805333108E-03  1.017861E-30  1.022904E-30  1.034505E-30  1.039188E-30  1.054869E-30  1.058058E-30  1.079481E-30  1.104061E-30
     63  1.127478238084E-03  1.018709E-30  1.023998E-30  1.036139E-30  1.041045E-30  1.057406E-30  1.060719E-30  1.083102E-30  1.108758E-30
     64  1.179263354774E-03  1.019576E-30  1.025119E-30  1.037810E-30  1.042943E-30  1.059995E-30  1.063433E-30  1.086792E-30  1.113540E-30
     65  1.231720185468E-03  1.020456E-30  1.026255E-30  1.039504E-30  1.044867E-30  1.062613E-30  1.066175E-30  1.090519E-30  1.118366E-30
     66  1.284679788904E-03  1.021344E-30  1.027404E-30  1.041214E-30  1.046810E-30  1.065252E-30  1.068937E-30  1.094270E-30  1.123219E-30
     67  1.338068714676E-03  1.022241E-30  1.028563E-30  1.042940E-30  1.048770E-30  1.067908E-30  1.071715E-30  1.098040E-30  1.128093E-30
     68  1.391852718980E-03  1.023145E-30  1.029733E-30  1.044679E-30  1.050745E-30  1.070579E-30  1.074506E-30  1.101826E-30  1.132983E-30
     69  1.446014888479E-03  1.024057E-30  1.030913E-30  1.046432E-30  1.052736E-30  1.073265E-30  1.077310E-30  1.105628E-30  1.137888E-30
     70  1.500546342624E-03  1.024976E-30  1.032102E-30  1.048197E-30  1.054741E-30  1.075964E-30  1.080125E-30  1.109443E-30  1.142807E-30
     71  1.555442065896E-03  1.025902E-30  1.033301E-30  1.049975E-30  1.056761E-30  1.078676E-30  1.082953E-30  1.113272E-30  1.147739E-30
     72  1.610698967280E-03  1.026835E-30  1.034509E-30  1.051766E-30  1.058795E-30  1.081402E-30  1.085792E-30  1.117114E-30  1.152683E-30
     73  1.666314948699E-03  1.027775E-30  1.035727E-30  1.053570E-30  1.060843E-30  1.084141E-30  1.088642E-30  1.120969E-30  1.157639E-30
     74  1.722288445659E-03  1.028722E-30  1.036955E-30  1.055386E-30  1.062905E-30  1.086892E-30  1.091503E-30  1.124836E-30  1.162607E-30
     75  1.778618195039E-03  1.029677E-30  1.038192E-30  1.057214E-30  1.064981E-30  1.089657E-30  1.094374E-30  1.128715E-30  1.167586E-30
     76  1.835303663832E-03  1.030639E-30  1.039438E-30  1.059055E-30  1.067072E-30  1.092433E-30  1.097257E-30  1.132606E-30  1.172575E-30
     77  1.892344396716E-03  1.031607E-30  1.040695E-30  1.060908E-30  1.069177E-30  1.095223E-30  1.100149E-30  1.136509E-30  1.177575E-30
     78  1.949739812628E-03  1.032583E-30  1.041960E-30  1.062774E-30  1.071295E-30  1.098025E-30  1.103052E-30  1.140424E-30  1.182585E-30
     79  2.007489276907E-03  1.033567E-30  1.043236E-30  1.064653E-30  1.073428E-30  1.100838E-30  1.105966E-30  1.144350E-30  1.187604E-30
