 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                in126         in127         in128         in129         in130         in131         in132         in133
     57  8.811699017317E-04  1.000807E-30  1.001095E-30  1.001463E-30  1.001273E-30  1.001880E-30  1.006823E-30  1.003378E-30  1.000000E-30
     58  9.153304977871E-04  1.000838E-30  1.001138E-30  1.001520E-30  1.001322E-30  1.001954E-30  1.007088E-30  1.003510E-30  1.000000E-30
     59  9.510634923056E-04  1.000871E-30  1.001182E-30  1.001580E-30  1.001375E-30  1.002031E-30  1.007366E-30  1.003649E-30  1.000000E-30
     60  9.888739022907E-04  1.000906E-30  1.001230E-30  1.001643E-30  1.001430E-30  1.002113E-30  1.007660E-30  1.003795E-30  1.000000E-30
     61  1.029744313280E-03  1.000943E-30  1.001281E-30  1.001711E-30  1.001490E-30  1.002201E-30  1.007978E-30  1.003954E-30  1.000000E-30
     62  1.076805333108E-03  1.000987E-30  1.001340E-30  1.001790E-30  1.001558E-30  1.002303E-30  1.008344E-30  1.004137E-30  1.000000E-30
     63  1.127478238084E-03  1.001033E-30  1.001403E-30  1.001875E-30  1.001633E-30  1.002412E-30  1.008738E-30  1.004334E-30  1.000000E-30
     64  1.179263354774E-03  1.001081E-30  1.001468E-30  1.001962E-30  1.001709E-30  1.002525E-30  1.009141E-30  1.004535E-30  1.000000E-30
     65  1.231720185468E-03  1.001129E-30  1.001533E-30  1.002050E-30  1.001786E-30  1.002639E-30  1.009549E-30  1.004740E-30  1.000000E-30
     66  1.284679788904E-03  1.001178E-30  1.001600E-30  1.002138E-30  1.001863E-30  1.002754E-30  1.009962E-30  1.004946E-30  1.000000E-30
     67  1.338068714676E-03  1.001227E-30  1.001667E-30  1.002228E-30  1.001942E-30  1.002870E-30  1.010378E-30  1.005155E-30  1.000000E-30
     68  1.391852718980E-03  1.001277E-30  1.001734E-30  1.002318E-30  1.002021E-30  1.002987E-30  1.010797E-30  1.005365E-30  1.000000E-30
     69  1.446014888479E-03  1.001327E-30  1.001802E-30  1.002409E-30  1.002101E-30  1.003105E-30  1.011219E-30  1.005577E-30  1.000000E-30
     70  1.500546342624E-03  1.001377E-30  1.001871E-30  1.002501E-30  1.002181E-30  1.003224E-30  1.011645E-30  1.005790E-30  1.000000E-30
     71  1.555442065896E-03  1.001428E-30  1.001939E-30  1.002594E-30  1.002262E-30  1.003344E-30  1.012073E-30  1.006006E-30  1.000000E-30
     72  1.610698967280E-03  1.001479E-30  1.002009E-30  1.002687E-30  1.002344E-30  1.003465E-30  1.012505E-30  1.006223E-30  1.000000E-30
     73  1.666314948699E-03  1.001530E-30  1.002079E-30  1.002781E-30  1.002427E-30  1.003587E-30  1.012939E-30  1.006441E-30  1.000000E-30
     74  1.722288445659E-03  1.001582E-30  1.002149E-30  1.002875E-30  1.002510E-30  1.003710E-30  1.013376E-30  1.006662E-30  1.000000E-30
     75  1.778618195039E-03  1.001634E-30  1.002220E-30  1.002970E-30  1.002593E-30  1.003833E-30  1.013817E-30  1.006884E-30  1.000000E-30
     76  1.835303663832E-03  1.001686E-30  1.002292E-30  1.003066E-30  1.002677E-30  1.003958E-30  1.014260E-30  1.007107E-30  1.000000E-30
     77  1.892344396716E-03  1.001739E-30  1.002363E-30  1.003163E-30  1.002762E-30  1.004084E-30  1.014706E-30  1.007332E-30  1.000000E-30
     78  1.949739812628E-03  1.001792E-30  1.002436E-30  1.003260E-30  1.002848E-30  1.004210E-30  1.015155E-30  1.007559E-30  1.000000E-30
     79  2.007489276907E-03  1.001845E-30  1.002509E-30  1.003357E-30  1.002934E-30  1.004338E-30  1.015608E-30  1.007788E-30  1.000000E-30
     80  2.065592139419E-03  1.001899E-30  1.002582E-30  1.003456E-30  1.003020E-30  1.004466E-30  1.016063E-30  1.008018E-30  1.000000E-30
     81  2.124047755162E-03  1.001953E-30  1.002656E-30  1.003555E-30  1.003108E-30  1.004595E-30  1.016521E-30  1.008250E-30  1.000000E-30
     82  2.182855495215E-03  1.002008E-30  1.002730E-30  1.003655E-30  1.003196E-30  1.004726E-30  1.016982E-30  1.008484E-30  1.000000E-30
     83  2.242014752368E-03  1.002063E-30  1.002805E-30  1.003755E-30  1.003284E-30  1.004857E-30  1.017446E-30  1.008719E-30  1.000000E-30
     84  2.301524943777E-03  1.002118E-30  1.002880E-30  1.003857E-30  1.003374E-30  1.004989E-30  1.017913E-30  1.008956E-30  1.000000E-30
     85  2.361385511936E-03  1.002173E-30  1.002956E-30  1.003959E-30  1.003464E-30  1.005122E-30  1.018382E-30  1.009195E-30  1.000000E-30
     86  2.421595924701E-03  1.002229E-30  1.003032E-30  1.004061E-30  1.003554E-30  1.005256E-30  1.018855E-30  1.009435E-30  1.000000E-30
     87  2.482155674804E-03  1.002285E-30  1.003109E-30  1.004164E-30  1.003645E-30  1.005391E-30  1.019331E-30  1.009677E-30  1.000000E-30
     88  2.543064279071E-03  1.002342E-30  1.003186E-30  1.004268E-30  1.003737E-30  1.005527E-30  1.019810E-30  1.009921E-30  1.000000E-30
     89  2.604321277494E-03  1.002399E-30  1.003264E-30  1.004373E-30  1.003830E-30  1.005664E-30  1.020291E-30  1.010166E-30  1.000000E-30
     90  2.665926232237E-03  1.002456E-30  1.003342E-30  1.004478E-30  1.003923E-30  1.005802E-30  1.020776E-30  1.010414E-30  1.000000E-30
     91  2.727878734382E-03  1.002514E-30  1.003421E-30  1.004584E-30  1.004016E-30  1.005941E-30  1.021263E-30  1.010662E-30  1.000000E-30
     92  2.790178404165E-03  1.002572E-30  1.003500E-30  1.004691E-30  1.004111E-30  1.006081E-30  1.021754E-30  1.010913E-30  1.000000E-30
     93  2.852824875480E-03  1.002630E-30  1.003580E-30  1.004798E-30  1.004206E-30  1.006222E-30  1.022247E-30  1.011165E-30  1.000000E-30
     94  2.915817796872E-03  1.002689E-30  1.003660E-30  1.004906E-30  1.004301E-30  1.006363E-30  1.022743E-30  1.011419E-30  1.000000E-30
     95  2.979156831833E-03  1.002748E-30  1.003740E-30  1.005014E-30  1.004398E-30  1.006506E-30  1.023243E-30  1.011675E-30  1.000000E-30
