 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                os222         os223         os224         os225         os226         ir172         ir173         ir174
     49  6.396318340541E-04  1.007339E-30  1.021607E-30  1.020293E-30  1.019383E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     50  6.678959636874E-04  1.007660E-30  1.022551E-30  1.021176E-30  1.020223E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     51  6.965161747902E-04  1.007984E-30  1.023507E-30  1.022069E-30  1.021071E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     52  7.255817382538E-04  1.008313E-30  1.024476E-30  1.022975E-30  1.021932E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     53  7.551843574001E-04  1.008648E-30  1.025463E-30  1.023896E-30  1.022807E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     54  7.854224313090E-04  1.008990E-30  1.026469E-30  1.024835E-30  1.023699E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     55  8.164066374138E-04  1.009340E-30  1.027500E-30  1.025797E-30  1.024611E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     56  8.482679080764E-04  1.009699E-30  1.028558E-30  1.026784E-30  1.025547E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     57  8.811699017317E-04  1.010069E-30  1.029650E-30  1.027802E-30  1.026512E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     58  9.153304977871E-04  1.010454E-30  1.030783E-30  1.028857E-30  1.027512E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     59  9.510634923056E-04  1.010855E-30  1.031966E-30  1.029959E-30  1.028556E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     60  9.888739022907E-04  1.011280E-30  1.033217E-30  1.031123E-30  1.029658E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
