 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ru124         ru125         ru126         ru127         ru128         rh89          rh90          rh91 
     66  1.284679788904E-03  1.033182E-30  1.087498E-30  1.088393E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.016975E-30
     67  1.338068714676E-03  1.034595E-30  1.091122E-30  1.092017E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.017680E-30
     68  1.391852718980E-03  1.036022E-30  1.094773E-30  1.095664E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.018391E-30
     69  1.446014888479E-03  1.037461E-30  1.098448E-30  1.099333E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.019107E-30
     70  1.500546342624E-03  1.038914E-30  1.102147E-30  1.103022E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.019827E-30
     71  1.555442065896E-03  1.040379E-30  1.105871E-30  1.106732E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.020553E-30
     72  1.610698967280E-03  1.041858E-30  1.109617E-30  1.110462E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.021283E-30
     73  1.666314948699E-03  1.043349E-30  1.113387E-30  1.114212E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.022018E-30
     74  1.722288445659E-03  1.044854E-30  1.117180E-30  1.117982E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.022757E-30
     75  1.778618195039E-03  1.046372E-30  1.120996E-30  1.121772E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.023502E-30
     76  1.835303663832E-03  1.047903E-30  1.124836E-30  1.125581E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.024251E-30
     77  1.892344396716E-03  1.049448E-30  1.128698E-30  1.129410E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.025004E-30
