 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                os198         os199         os200         os201         os202         os203         os204         os205
     70  1.500546342624E-03  1.000455E-30  1.000434E-30  1.000585E-30  1.000874E-30  1.002203E-30  1.001716E-30  1.003523E-30  1.002807E-30
     71  1.555442065896E-03  1.000472E-30  1.000450E-30  1.000607E-30  1.000906E-30  1.002284E-30  1.001779E-30  1.003652E-30  1.002910E-30
     72  1.610698967280E-03  1.000489E-30  1.000466E-30  1.000628E-30  1.000938E-30  1.002365E-30  1.001842E-30  1.003782E-30  1.003014E-30
     73  1.666314948699E-03  1.000506E-30  1.000482E-30  1.000650E-30  1.000970E-30  1.002447E-30  1.001905E-30  1.003912E-30  1.003119E-30
     74  1.722288445659E-03  1.000523E-30  1.000498E-30  1.000672E-30  1.001003E-30  1.002529E-30  1.001969E-30  1.004044E-30  1.003224E-30
     75  1.778618195039E-03  1.000540E-30  1.000514E-30  1.000694E-30  1.001036E-30  1.002612E-30  1.002034E-30  1.004176E-30  1.003330E-30
     76  1.835303663832E-03  1.000557E-30  1.000531E-30  1.000716E-30  1.001069E-30  1.002695E-30  1.002099E-30  1.004309E-30  1.003437E-30
     77  1.892344396716E-03  1.000574E-30  1.000547E-30  1.000738E-30  1.001102E-30  1.002779E-30  1.002164E-30  1.004443E-30  1.003544E-30
     78  1.949739812628E-03  1.000592E-30  1.000564E-30  1.000761E-30  1.001135E-30  1.002863E-30  1.002229E-30  1.004578E-30  1.003652E-30
     79  2.007489276907E-03  1.000609E-30  1.000581E-30  1.000783E-30  1.001169E-30  1.002948E-30  1.002295E-30  1.004714E-30  1.003761E-30
     80  2.065592139419E-03  1.000627E-30  1.000597E-30  1.000806E-30  1.001203E-30  1.003033E-30  1.002362E-30  1.004850E-30  1.003870E-30
     81  2.124047755162E-03  1.000645E-30  1.000614E-30  1.000829E-30  1.001237E-30  1.003119E-30  1.002429E-30  1.004987E-30  1.003981E-30
     82  2.182855495215E-03  1.000662E-30  1.000631E-30  1.000852E-30  1.001271E-30  1.003205E-30  1.002496E-30  1.005125E-30  1.004091E-30
     83  2.242014752368E-03  1.000680E-30  1.000648E-30  1.000875E-30  1.001305E-30  1.003292E-30  1.002564E-30  1.005264E-30  1.004203E-30
     84  2.301524943777E-03  1.000698E-30  1.000666E-30  1.000898E-30  1.001340E-30  1.003379E-30  1.002632E-30  1.005404E-30  1.004315E-30
     85  2.361385511936E-03  1.000717E-30  1.000683E-30  1.000921E-30  1.001375E-30  1.003467E-30  1.002700E-30  1.005544E-30  1.004428E-30
     86  2.421595924701E-03  1.000735E-30  1.000700E-30  1.000945E-30  1.001410E-30  1.003556E-30  1.002769E-30  1.005686E-30  1.004542E-30
     87  2.482155674804E-03  1.000753E-30  1.000718E-30  1.000968E-30  1.001445E-30  1.003645E-30  1.002838E-30  1.005828E-30  1.004656E-30
     88  2.543064279071E-03  1.000772E-30  1.000735E-30  1.000992E-30  1.001481E-30  1.003734E-30  1.002908E-30  1.005971E-30  1.004771E-30
     89  2.604321277494E-03  1.000790E-30  1.000753E-30  1.001016E-30  1.001516E-30  1.003824E-30  1.002978E-30  1.006115E-30  1.004887E-30
     90  2.665926232237E-03  1.000809E-30  1.000771E-30  1.001040E-30  1.001552E-30  1.003914E-30  1.003048E-30  1.006260E-30  1.005004E-30
     91  2.727878734382E-03  1.000828E-30  1.000789E-30  1.001064E-30  1.001588E-30  1.004005E-30  1.003119E-30  1.006405E-30  1.005121E-30
     92  2.790178404165E-03  1.000847E-30  1.000807E-30  1.001088E-30  1.001625E-30  1.004097E-30  1.003190E-30  1.006551E-30  1.005239E-30
     93  2.852824875480E-03  1.000866E-30  1.000825E-30  1.001113E-30  1.001661E-30  1.004189E-30  1.003262E-30  1.006698E-30  1.005357E-30
     94  2.915817796872E-03  1.000885E-30  1.000843E-30  1.001137E-30  1.001698E-30  1.004281E-30  1.003334E-30  1.006846E-30  1.005476E-30
