 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ga91          ga92          ge58          ge59          ge60          ge61          ge62          ge63 
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.070288E-30  1.028039E-30  1.030604E-30  1.003287E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.073370E-30  1.029272E-30  1.031964E-30  1.003440E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.076479E-30  1.030517E-30  1.033338E-30  1.003596E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.079608E-30  1.031770E-30  1.034723E-30  1.003754E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.082757E-30  1.033031E-30  1.036117E-30  1.003914E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.085924E-30  1.034300E-30  1.037522E-30  1.004075E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.089108E-30  1.035576E-30  1.038936E-30  1.004239E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.092310E-30  1.036860E-30  1.040360E-30  1.004404E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.095528E-30  1.038151E-30  1.041793E-30  1.004571E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.098764E-30  1.039449E-30  1.043235E-30  1.004739E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.102016E-30  1.040753E-30  1.044686E-30  1.004910E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.105284E-30  1.042065E-30  1.046147E-30  1.005082E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.108569E-30  1.043384E-30  1.047616E-30  1.005256E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.111870E-30  1.044710E-30  1.049095E-30  1.005432E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.115188E-30  1.046043E-30  1.050583E-30  1.005610E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.118521E-30  1.047382E-30  1.052080E-30  1.005790E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.121870E-30  1.048729E-30  1.053586E-30  1.005971E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.125235E-30  1.050082E-30  1.055101E-30  1.006155E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.128616E-30  1.051442E-30  1.056626E-30  1.006340E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.132012E-30  1.052808E-30  1.058159E-30  1.006527E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.135424E-30  1.054182E-30  1.059701E-30  1.006717E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.138851E-30  1.055562E-30  1.061252E-30  1.006908E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.142293E-30  1.056948E-30  1.062813E-30  1.007101E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.145750E-30  1.058341E-30  1.064382E-30  1.007296E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.149223E-30  1.059740E-30  1.065960E-30  1.007493E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.152710E-30  1.061146E-30  1.067547E-30  1.007692E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.156212E-30  1.062559E-30  1.069144E-30  1.007893E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.159729E-30  1.063978E-30  1.070749E-30  1.008096E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.163261E-30  1.065403E-30  1.072363E-30  1.008301E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.166807E-30  1.066834E-30  1.073985E-30  1.008508E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.170368E-30  1.068272E-30  1.075617E-30  1.008717E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.173943E-30  1.069716E-30  1.077258E-30  1.008929E-30
