 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                fe76          fe77          fe78          co48          co49          co50          co51          co52 
     84  2.301524943777E-03  1.430438E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.057423E-30  1.090131E-30  1.031820E-30
     85  2.361385511936E-03  1.441429E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.058889E-30  1.092457E-30  1.032744E-30
     86  2.421595924701E-03  1.452474E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.060362E-30  1.094795E-30  1.033679E-30
     87  2.482155674804E-03  1.463572E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.061842E-30  1.097146E-30  1.034625E-30
     88  2.543064279071E-03  1.474724E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.063329E-30  1.099510E-30  1.035580E-30
     89  2.604321277494E-03  1.485929E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.064824E-30  1.101886E-30  1.036546E-30
     90  2.665926232237E-03  1.497187E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.066325E-30  1.104274E-30  1.037523E-30
     91  2.727878734382E-03  1.508498E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.067834E-30  1.106676E-30  1.038510E-30
     92  2.790178404165E-03  1.519861E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.069349E-30  1.109089E-30  1.039508E-30
     93  2.852824875480E-03  1.531276E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.070871E-30  1.111515E-30  1.040517E-30
     94  2.915817796872E-03  1.542743E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.072401E-30  1.113953E-30  1.041537E-30
     95  2.979156831833E-03  1.554262E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.073937E-30  1.116404E-30  1.042567E-30
